date	disease
2016/7/22	0
2016/7/23	0
2016/7/24	0
2016/7/25	0
2016/7/26	0
2016/7/27	0
2016/7/28	0
2016/7/29	0
2016/7/30	0
2016/7/31	0
2016/8/1	0
2016/8/2	0
2016/8/3	0
2016/8/4	0
2016/8/5	0
2016/8/6	0
2016/8/7	0
2016/8/8	0
2016/8/9	0
2016/8/10	0
2016/8/11	0
2016/8/12	0
2016/8/13	0
2016/8/14	0
2016/8/15	0
2016/8/16	0
2016/8/17	0
2016/8/18	0
2016/8/19	0
2016/8/20	0
2016/8/21	0
2016/8/22	0
2016/8/23	0
2016/8/24	0
2016/8/25	0
2016/8/26	0
2016/8/27	0
2016/8/28	0
2016/8/29	0
2016/8/30	0
2016/8/31	0
2016/9/1	0
2016/9/2	0
2016/9/3	0
2016/9/4	0
2016/9/5	0
2016/9/6	0
2016/9/7	0
2016/9/8	0
2016/9/9	0
2016/9/10	0
2016/9/11	0
2016/9/12	0
2016/9/13	0
2016/9/14	0
2016/9/15	0
