Date/Time,T20,ST,T60,H
2016/9/16 0:00,23.5,24.7,23.9,98
2016/9/16 0:10,23.5,24.7,23.9,97
2016/9/16 0:20,23.5,24.7,24,96
2016/9/16 0:30,23.6,24.7,23.9,96
2016/9/16 0:40,23.6,24.7,24,96
2016/9/16 0:50,23.6,24.7,24,96
2016/9/16 1:00,23.7,24.7,24,96
2016/9/16 1:10,23.5,24.7,23.9,95
2016/9/16 1:20,23.6,24.7,23.9,97
2016/9/16 1:30,23.5,24.7,23.9,96
2016/9/16 1:40,23.5,24.7,24,97
2016/9/16 1:50,23.6,24.7,24,97
2016/9/16 2:00,23.6,24.6,23.9,97
2016/9/16 2:10,23.5,24.6,23.9,96
2016/9/16 2:20,23.6,24.6,23.9,96
2016/9/16 2:30,23.6,24.6,23.9,96
2016/9/16 2:40,23.6,24.6,23.9,96
2016/9/16 2:50,23.6,24.6,23.9,96
2016/9/16 3:00,23.5,24.6,23.9,96
2016/9/16 3:10,23.5,24.6,23.9,94
2016/9/16 3:20,23.5,24.6,23.9,95
2016/9/16 3:30,23.5,24.6,23.9,97
2016/9/16 3:40,23.5,24.6,23.8,96
2016/9/16 3:50,23.4,24.6,23.8,96
2016/9/16 4:00,23.4,24.6,23.8,96
2016/9/16 4:10,23.4,24.6,23.7,96
2016/9/16 4:20,23.3,24.6,23.8,96
2016/9/16 4:30,23.4,24.6,23.8,96
2016/9/16 4:40,23.4,24.5,23.8,95
2016/9/16 4:50,23.3,24.5,23.7,94
2016/9/16 5:00,23.4,24.5,23.7,96
2016/9/16 5:10,23.3,24.5,23.7,94
2016/9/16 5:20,23.2,24.5,23.7,95
2016/9/16 5:30,23.1,24.5,23.6,97
2016/9/16 5:40,23.2,24.5,23.7,99
2016/9/16 5:50,23.3,24.5,23.7,100
2016/9/16 6:00,23.2,24.5,23.7,99
2016/9/16 6:10,23.2,24.5,23.7,99
2016/9/16 6:20,23.3,24.5,23.7,100
2016/9/16 6:30,23.3,24.5,23.7,100
2016/9/16 6:40,23.5,24.5,23.7,100
2016/9/16 6:50,23.3,24.5,23.7,100
2016/9/16 7:00,23.4,24.5,23.6,99
2016/9/16 7:10,23.7,24.5,23.7,98
2016/9/16 7:20,24.1,24.5,23.9,99
2016/9/16 7:30,24.5,24.5,24,98
2016/9/16 7:40,24.9,24.5,24.2,97
2016/9/16 7:50,25.1,24.5,24.3,96
2016/9/16 8:00,25.6,24.6,24.5,96
2016/9/16 8:10,25.9,24.6,24.7,94
2016/9/16 8:20,27,24.7,25,90
2016/9/16 8:30,27.2,24.7,25.2,89
2016/9/16 8:40,27.3,24.8,25.3,88
2016/9/16 8:50,26.7,24.8,25,91
2016/9/16 9:00,26.5,24.9,25,91
2016/9/16 9:10,26.7,24.9,25.1,90
2016/9/16 9:20,27.7,24.9,25.5,89
2016/9/16 9:30,27.4,25,25.5,87
2016/9/16 9:40,27.3,25,25.5,87
2016/9/16 9:50,26.1,25,25.2,88
2016/9/16 10:00,26.4,25,25.1,88
2016/9/16 10:10,27,25,25.3,87
2016/9/16 10:20,27,25,25.4,87
2016/9/16 10:30,27.8,25.1,25.7,85
2016/9/16 10:40,28.7,25.1,26.1,82
2016/9/16 10:50,30,25.2,26.7,84
2016/9/16 11:00,30.1,25.2,26.9,83
2016/9/16 11:10,30.5,25.3,27.2,84
2016/9/16 11:20,29.3,25.4,27,84
2016/9/16 11:30,32,25.5,27.9,82
2016/9/16 11:40,33.3,25.6,28.7,80
2016/9/16 11:50,30.8,25.6,28.1,80
2016/9/16 12:00,31.4,25.7,28.3,81
2016/9/16 12:10,30.7,25.8,27.9,80
2016/9/16 12:20,33.4,25.9,29.1,82
2016/9/16 12:30,31.5,25.9,28.3,78
2016/9/16 12:40,29.5,25.9,27.6,85
2016/9/16 12:50,28.6,25.9,27,86
2016/9/16 13:00,28.3,25.8,26.6,89
2016/9/16 13:10,27.9,25.8,26.6,89
2016/9/16 13:20,27.9,25.8,26.6,92
2016/9/16 13:30,28.1,25.8,26.7,90
2016/9/16 13:40,30.6,25.8,27.6,90
2016/9/16 13:50,29.9,25.9,27.8,83
2016/9/16 14:00,29.9,25.9,27.9,81
2016/9/16 14:10,29.4,26,27.9,80
2016/9/16 14:20,30,26,28.2,79
2016/9/16 14:30,30.3,26,28.5,78
2016/9/16 14:40,29.9,26.1,28.5,73
2016/9/16 14:50,29.2,26,28,75
2016/9/16 15:00,28.9,26,27.9,77
2016/9/16 15:10,29,26,28.1,77
2016/9/16 15:20,29.3,26,28.5,75
2016/9/16 15:30,28.2,26,27.5,78
2016/9/16 15:40,27.4,25.9,27,79
2016/9/16 15:50,29.3,25.9,27.8,76
2016/9/16 16:00,29.3,26,27.9,76
2016/9/16 16:10,28.6,26,27.6,76
2016/9/16 16:20,28.4,26,27.5,79
2016/9/16 16:30,28.1,26,27.3,78
2016/9/16 16:40,26.5,25.9,26.5,78
2016/9/16 16:50,26.4,25.8,26.3,80
2016/9/16 17:00,26.6,25.8,26.3,81
2016/9/16 17:10,26,25.7,26.1,82
2016/9/16 17:20,25.4,25.7,25.7,84
2016/9/16 17:30,25,25.6,25.4,85
2016/9/16 17:40,24.9,25.6,25.3,85
2016/9/16 17:50,24.7,25.5,25.2,85
2016/9/16 18:00,24.3,25.5,24.9,86
2016/9/16 18:10,23.9,25.4,24.7,86
2016/9/16 18:20,24.1,25.4,24.7,86
2016/9/16 18:30,24,25.3,24.7,86
2016/9/16 18:40,23.8,25.3,24.6,88
2016/9/16 18:50,23.8,25.2,24.5,89
2016/9/16 19:00,23.7,25.2,24.4,92
2016/9/16 19:10,23.4,25.1,24.1,92
2016/9/16 19:20,23.6,25.1,24.4,93
2016/9/16 19:30,23.4,25.1,24.2,93
2016/9/16 19:40,23.4,25.1,24.1,94
2016/9/16 19:50,23.5,25.1,24.1,96
2016/9/16 20:00,23.5,25,24.2,96
2016/9/16 20:10,23.5,25,24.3,95
2016/9/16 20:20,23.6,25,24.4,94
2016/9/16 20:30,23.5,25,24.3,93
2016/9/16 20:40,23.4,25,24.2,95
2016/9/16 20:50,23.4,25,24.1,96
2016/9/16 21:00,23.3,25,24,97
2016/9/16 21:10,23.4,24.9,24,97
2016/9/16 21:20,23.5,24.9,24.1,98
2016/9/16 21:30,23.5,24.9,24.1,98
2016/9/16 21:40,23.5,24.9,24.1,98
2016/9/16 21:50,23.4,24.9,24,98
2016/9/16 22:00,23.4,24.8,23.9,98
2016/9/16 22:10,23.4,24.8,23.9,99
2016/9/16 22:20,23.3,24.8,23.9,99
2016/9/16 22:30,23.2,24.8,23.9,99
2016/9/16 22:40,23.2,24.8,23.8,98
2016/9/16 22:50,23.2,24.7,23.8,98
2016/9/16 23:00,23.3,24.7,23.8,98
2016/9/16 23:10,23.3,24.7,23.9,98
2016/9/16 23:20,23.3,24.7,23.8,98
2016/9/16 23:30,23.3,24.7,23.9,99
2016/9/16 23:40,23.3,24.7,23.9,98
2016/9/16 23:50,23.3,24.7,23.9,96
2016/9/17 0:00,23.3,24.7,23.7,97
2016/9/17 0:10,23.2,24.7,23.6,98
2016/9/17 0:20,23.1,24.6,23.6,98
2016/9/17 0:30,23,24.6,23.6,98
2016/9/17 0:40,23,24.6,23.6,98
2016/9/17 0:50,23.1,24.6,23.6,97
2016/9/17 1:00,23.1,24.6,23.6,97
2016/9/17 1:10,23.1,24.5,23.6,98
2016/9/17 1:20,23,24.5,23.6,97
2016/9/17 1:30,22.9,24.5,23.5,97
2016/9/17 1:40,23,24.5,23.6,98
2016/9/17 1:50,23,24.5,23.6,97
2016/9/17 2:00,23,24.5,23.5,97
2016/9/17 2:10,22.8,24.5,23.4,97
2016/9/17 2:20,22.7,24.5,23.4,98
2016/9/17 2:30,22.6,24.5,23.3,98
2016/9/17 2:40,22.6,24.4,23.3,99
2016/9/17 2:50,22.6,24.4,23.2,99
2016/9/17 3:00,22.7,24.4,23.2,100
2016/9/17 3:10,22.7,24.4,23.3,100
2016/9/17 3:20,22.6,24.3,23.2,99
2016/9/17 3:30,22.4,24.3,23.1,99
2016/9/17 3:40,22.4,24.3,23.1,99
2016/9/17 3:50,22.6,24.3,23.1,100
2016/9/17 4:00,22.6,24.3,23.2,100
2016/9/17 4:10,22.3,24.3,23,100
2016/9/17 4:20,22.4,24.3,23.1,100
2016/9/17 4:30,22.6,24.2,23.1,100
2016/9/17 4:40,22.5,24.2,23.1,100
2016/9/17 4:50,22.5,24.2,23.1,99
2016/9/17 5:00,22.4,24.2,23.1,99
2016/9/17 5:10,22.6,24.2,23.1,99
2016/9/17 5:20,22.4,24.2,23,100
2016/9/17 5:30,22.5,24.1,23,100
2016/9/17 5:40,22.4,24.2,23.1,100
2016/9/17 5:50,22.6,24.1,23.1,100
2016/9/17 6:00,22.7,24.1,23.2,99
2016/9/17 6:10,22.8,24.1,23.2,97
2016/9/17 6:20,23.2,24.2,23.3,97
2016/9/17 6:30,24.2,24.2,23.7,97
2016/9/17 6:40,25.3,24.2,24,95
2016/9/17 6:50,25.3,24.3,24.1,93
2016/9/17 7:00,26.2,24.3,24.3,92
2016/9/17 7:10,26.5,24.3,24.4,91
2016/9/17 7:20,28.5,24.4,24.9,88
2016/9/17 7:30,30.5,24.5,25.7,87
2016/9/17 7:40,32.7,24.7,26.6,83
2016/9/17 7:50,28.6,24.8,26,83
2016/9/17 8:00,27.5,24.8,25.7,87
2016/9/17 8:10,27.5,24.8,25.6,87
2016/9/17 8:20,31.2,24.9,26.5,86
2016/9/17 8:30,31.9,25,27,84
2016/9/17 8:40,34.5,25.2,27.9,82
2016/9/17 8:50,32.6,25.3,27.9,82
2016/9/17 9:00,31.3,25.3,27.6,84
2016/9/17 9:10,31.5,25.4,27.9,83
2016/9/17 9:20,30.7,25.5,27.7,84
2016/9/17 9:30,30.2,25.5,27.7,83
2016/9/17 9:40,31,25.6,28,84
2016/9/17 9:50,31.2,25.6,28.2,80
2016/9/17 10:00,31.1,25.7,28.3,80
2016/9/17 10:10,32.6,25.8,28.8,80
2016/9/17 10:20,33.2,25.9,29.3,77
2016/9/17 10:30,32.6,26,29.5,76
2016/9/17 10:40,32.8,26.1,29.7,72
2016/9/17 10:50,33.2,26.2,29.6,75
2016/9/17 11:00,33.5,26.2,29.9,75
2016/9/17 11:10,33.6,26.3,30,76
2016/9/17 11:20,32.4,26.3,29.4,73
2016/9/17 11:30,31.7,26.4,29.3,75
2016/9/17 11:40,33.5,26.4,29.7,78
2016/9/17 11:50,34.5,26.5,30.8,72
2016/9/17 12:00,32.9,26.6,30.3,72
2016/9/17 12:10,32.9,26.7,30.3,74
2016/9/17 12:20,32.1,26.7,29.9,75
2016/9/17 12:30,29.6,26.6,29,76
2016/9/17 12:40,29.8,26.6,28.8,79
2016/9/17 12:50,32.4,26.7,29.9,75
2016/9/17 13:00,33.4,26.8,30.6,74
2016/9/17 13:10,35,26.9,31.5,71
2016/9/17 13:20,34.3,27.1,31.5,68
2016/9/17 13:30,33.3,27.2,31.4,67
2016/9/17 13:40,31.7,27.1,30.1,73
2016/9/17 13:50,32.1,27.1,30.3,74
2016/9/17 14:00,30.8,27,29.5,74
2016/9/17 14:10,29.9,26.9,28.9,75
2016/9/17 14:20,29.8,26.9,28.7,78
2016/9/17 14:30,29.2,26.8,28.5,76
2016/9/17 14:40,29.3,26.8,28.4,77
2016/9/17 14:50,29.6,26.7,28.5,76
2016/9/17 15:00,28.3,26.7,28,76
2016/9/17 15:10,28,26.6,27.7,79
2016/9/17 15:20,28.2,26.5,27.6,80
2016/9/17 15:30,28.8,26.5,27.9,78
2016/9/17 15:40,29.2,26.5,28.1,78
2016/9/17 15:50,28.8,26.5,28,77
2016/9/17 16:00,29.9,26.6,28.6,79
2016/9/17 16:10,28.7,26.5,28,79
2016/9/17 16:20,28,26.5,27.6,79
2016/9/17 16:30,27.7,26.4,27.3,82
2016/9/17 16:40,27.4,26.4,27.1,83
2016/9/17 16:50,27.2,26.4,27,83
2016/9/17 17:00,27.2,26.3,27,83
2016/9/17 17:10,27.1,26.3,26.9,85
2016/9/17 17:20,27.1,26.2,26.9,86
2016/9/17 17:30,26.6,26.2,26.6,86
2016/9/17 17:40,25.9,26.2,26.3,85
2016/9/17 17:50,25.5,26.1,26,86
2016/9/17 18:00,25.4,26.1,25.9,87
2016/9/17 18:10,25.2,26,25.8,89
2016/9/17 18:20,25,26,25.7,91
2016/9/17 18:30,24.8,25.9,25.6,90
