date	disease
2016/9/17	1
2016/9/18	1
2016/9/19	1
2016/9/20	1
2016/9/21	1
2016/9/22	1
2016/9/23	1
2016/9/24	1
2016/9/25	1
2016/9/26	1
2016/9/27	1
2016/9/28	1
2016/9/29	1
2016/9/30	1
2016/10/1	1
2016/10/2	1
2016/10/3	1
2016/10/4	1
2016/10/5	1
2016/10/6	1
2016/10/7	1
2016/10/8	1
2016/10/9	1
2016/10/10	1
2016/10/11	1
2016/10/12	1
2016/10/13	0
2016/10/14	0
2016/10/15	0
2016/10/16	0
2016/10/17	0
2016/10/18	0
2016/10/19	0
2016/10/20	0
2016/10/21	0
2016/10/22	0
2016/10/23	0
2016/10/24	0
2016/10/25	0
2016/10/26	0
2016/10/27	0
2016/10/28	0
2016/10/29	0
2016/10/30	0
2016/10/31	0
2016/11/1	0
2016/11/2	0
2016/11/3	0
2016/11/4	0
2016/11/5	0
2016/11/6	0
2016/11/7	0
2016/11/8	0
2016/11/9	0
2016/11/10	0
2016/11/11	0
