"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"09/16/2016 00:00'00"	"42629.0000000000"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 00:10'00"	"42629.0069444444"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 00:20'00"	"42629.0138888889"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 00:30'00"	"42629.0208333333"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 00:40'00"	"42629.0277777778"	"  23.2000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 00:50'00"	"42629.0347222222"	"  23.4000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 01:00'00"	"42629.0416666667"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 01:10'00"	"42629.0486111111"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 01:20'00"	"42629.0555555556"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 01:30'00"	"42629.0625000000"	"  23.6000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 01:40'00"	"42629.0694444444"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 01:50'00"	"42629.0763888889"	"  23.3000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 02:00'00"	"42629.0833333333"	"  23.3000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 02:10'00"	"42629.0902777778"	"  23.2000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 02:20'00"	"42629.0972222222"	"  23.2000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 02:30'00"	"42629.1041666667"	"  23.2000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 02:40'00"	"42629.1111111111"	"  23.3000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 02:50'00"	"42629.1180555556"	"  23.3000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 03:00'00"	"42629.1250000000"	"  23.2000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 03:10'00"	"42629.1319444444"	"  23.1000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 03:20'00"	"42629.1388888889"	"  23.3000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 03:30'00"	"42629.1458333333"	"  23.1000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 03:40'00"	"42629.1527777778"	"  23.1000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 03:50'00"	"42629.1597222222"	"  23.0000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 04:00'00"	"42629.1666666667"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 04:10'00"	"42629.1736111111"	"  23.0000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 04:20'00"	"42629.1805555556"	"  23.1000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 04:30'00"	"42629.1875000000"	"  23.1000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 04:40'00"	"42629.1944444444"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 04:50'00"	"42629.2013888889"	"  23.0000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 05:00'00"	"42629.2083333333"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 05:10'00"	"42629.2152777778"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 05:20'00"	"42629.2222222222"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 05:30'00"	"42629.2291666667"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 05:40'00"	"42629.2361111111"	"  23.2000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 05:50'00"	"42629.2430555556"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 06:00'00"	"42629.2500000000"	"  22.9000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 06:10'00"	"42629.2569444444"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 06:20'00"	"42629.2638888889"	"  23.0000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 06:30'00"	"42629.2708333333"	"  23.1000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 06:40'00"	"42629.2777777778"	"  23.0000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 06:50'00"	"42629.2847222222"	"  22.8000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 07:00'00"	"42629.2916666667"	"  22.8000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 07:10'00"	"42629.2986111111"	"  23.2000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 07:20'00"	"42629.3055555556"	"  23.7000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 07:30'00"	"42629.3125000000"	"  23.8000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 07:40'00"	"42629.3194444444"	"  24.0000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 07:50'00"	"42629.3263888889"	"  24.3000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 08:00'00"	"42629.3333333333"	"  24.3000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 08:10'00"	"42629.3402777778"	"  24.9000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 08:20'00"	"42629.3472222222"	"  25.6000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 08:30'00"	"42629.3541666667"	"  25.8000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 08:40'00"	"42629.3611111111"	"  25.4000"	"  24.5000"	""	""	""	""	""	""	
"09/16/2016 08:50'00"	"42629.3680555556"	"  25.2000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 09:00'00"	"42629.3750000000"	"  25.1000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 09:10'00"	"42629.3819444444"	"  25.4000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 09:20'00"	"42629.3888888889"	"  26.1000"	"  24.6000"	""	""	""	""	""	""	
"09/16/2016 09:30'00"	"42629.3958333333"	"  25.5000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 09:40'00"	"42629.4027777778"	"  25.9000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 09:50'00"	"42629.4097222222"	"  24.7000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 10:00'00"	"42629.4166666667"	"  25.2000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 10:10'00"	"42629.4236111111"	"  25.6000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 10:20'00"	"42629.4305555556"	"  25.8000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 10:30'00"	"42629.4375000000"	"  26.4000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 10:40'00"	"42629.4444444444"	"  27.5000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 10:50'00"	"42629.4513888889"	"  27.9000"	"  24.7000"	""	""	""	""	""	""	
"09/16/2016 11:00'00"	"42629.4583333333"	"  28.4000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 11:10'00"	"42629.4652777778"	"  28.1000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 11:20'00"	"42629.4722222222"	"  28.2000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 11:30'00"	"42629.4791666667"	"  30.6000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 11:40'00"	"42629.4861111111"	"  31.3000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 11:50'00"	"42629.4930555556"	"  29.7000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 12:00'00"	"42629.5000000000"	"  29.8000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 12:10'00"	"42629.5069444444"	"  29.2000"	"  25.1000"	""	""	""	""	""	""	
"09/16/2016 12:20'00"	"42629.5138888889"	"  31.2000"	"  25.1000"	""	""	""	""	""	""	
"09/16/2016 12:30'00"	"42629.5208333333"	"  29.0000"	"  25.2000"	""	""	""	""	""	""	
"09/16/2016 12:40'00"	"42629.5277777778"	"  26.9000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 12:50'00"	"42629.5347222222"	"  26.7000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 13:00'00"	"42629.5416666667"	"  26.6000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 13:10'00"	"42629.5486111111"	"  26.4000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 13:20'00"	"42629.5555555556"	"  26.4000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 13:30'00"	"42629.5625000000"	"  26.3000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 13:40'00"	"42629.5694444444"	"  29.3000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 13:50'00"	"42629.5763888889"	"  28.3000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 14:00'00"	"42629.5833333333"	"  30.3000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 14:10'00"	"42629.5902777778"	"  28.5000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 14:20'00"	"42629.5972222222"	"  30.0000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 14:30'00"	"42629.6041666667"	"  30.3000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 14:40'00"	"42629.6111111111"	"  29.5000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 14:50'00"	"42629.6180555556"	"  29.7000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 15:00'00"	"42629.6250000000"	"  29.7000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 15:10'00"	"42629.6319444444"	"  29.4000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 15:20'00"	"42629.6388888889"	"  29.9000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 15:30'00"	"42629.6458333333"	"  28.4000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 15:40'00"	"42629.6527777778"	"  27.7000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 15:50'00"	"42629.6597222222"	"  29.4000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 16:00'00"	"42629.6666666667"	"  29.5000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 16:10'00"	"42629.6736111111"	"  28.0000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 16:20'00"	"42629.6805555556"	"  28.0000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 16:30'00"	"42629.6875000000"	"  27.4000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 16:40'00"	"42629.6944444444"	"  26.1000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 16:50'00"	"42629.7013888889"	"  26.2000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 17:00'00"	"42629.7083333333"	"  26.4000"	"  25.7000"	""	""	""	""	""	""	
"09/16/2016 17:10'00"	"42629.7152777778"	"  25.7000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 17:20'00"	"42629.7222222222"	"  25.0000"	"  25.7000"	""	""	""	""	""	""	
"09/16/2016 17:30'00"	"42629.7291666667"	"  24.8000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 17:40'00"	"42629.7361111111"	"  24.8000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 17:50'00"	"42629.7430555556"	"  24.5000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 18:00'00"	"42629.7500000000"	"  23.9000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 18:10'00"	"42629.7569444444"	"  23.7000"	"  25.6000"	""	""	""	""	""	""	
"09/16/2016 18:20'00"	"42629.7638888889"	"  23.5000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 18:30'00"	"42629.7708333333"	"  23.5000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 18:40'00"	"42629.7777777778"	"  23.5000"	"  25.5000"	""	""	""	""	""	""	
"09/16/2016 18:50'00"	"42629.7847222222"	"  23.4000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 19:00'00"	"42629.7916666667"	"  23.1000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 19:10'00"	"42629.7986111111"	"  23.1000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 19:20'00"	"42629.8055555556"	"  23.0000"	"  25.4000"	""	""	""	""	""	""	
"09/16/2016 19:30'00"	"42629.8125000000"	"  22.9000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 19:40'00"	"42629.8194444444"	"  22.8000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 19:50'00"	"42629.8263888889"	"  23.0000"	"  25.3000"	""	""	""	""	""	""	
"09/16/2016 20:00'00"	"42629.8333333333"	"  23.1000"	"  25.2000"	""	""	""	""	""	""	
"09/16/2016 20:10'00"	"42629.8402777778"	"  23.1000"	"  25.2000"	""	""	""	""	""	""	
"09/16/2016 20:20'00"	"42629.8472222222"	"  23.3000"	"  25.2000"	""	""	""	""	""	""	
"09/16/2016 20:30'00"	"42629.8541666667"	"  23.1000"	"  25.2000"	""	""	""	""	""	""	
"09/16/2016 20:40'00"	"42629.8611111111"	"  22.9000"	"  25.2000"	""	""	""	""	""	""	
"09/16/2016 20:50'00"	"42629.8680555556"	"  23.0000"	"  25.1000"	""	""	""	""	""	""	
"09/16/2016 21:00'00"	"42629.8750000000"	"  22.9000"	"  25.1000"	""	""	""	""	""	""	
"09/16/2016 21:10'00"	"42629.8819444444"	"  22.9000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 21:20'00"	"42629.8888888889"	"  23.4000"	"  25.1000"	""	""	""	""	""	""	
"09/16/2016 21:30'00"	"42629.8958333333"	"  23.1000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 21:40'00"	"42629.9027777778"	"  23.2000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 21:50'00"	"42629.9097222222"	"  23.0000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 22:00'00"	"42629.9166666667"	"  22.9000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 22:10'00"	"42629.9236111111"	"  23.1000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 22:20'00"	"42629.9305555556"	"  23.1000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 22:30'00"	"42629.9375000000"	"  22.8000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 22:40'00"	"42629.9444444444"	"  22.8000"	"  25.0000"	""	""	""	""	""	""	
"09/16/2016 22:50'00"	"42629.9513888889"	"  22.8000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 23:00'00"	"42629.9583333333"	"  23.0000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 23:10'00"	"42629.9652777778"	"  23.0000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 23:20'00"	"42629.9722222222"	"  23.2000"	"  24.9000"	""	""	""	""	""	""	
"09/16/2016 23:30'00"	"42629.9791666667"	"  23.2000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 23:40'00"	"42629.9861111111"	"  23.0000"	"  24.8000"	""	""	""	""	""	""	
"09/16/2016 23:50'00"	"42629.9930555556"	"  22.9000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 00:00'00"	"42630.0000000000"	"  22.8000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 00:10'00"	"42630.0069444444"	"  22.8000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 00:20'00"	"42630.0138888889"	"  22.7000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 00:30'00"	"42630.0208333333"	"  22.7000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 00:40'00"	"42630.0277777778"	"  22.7000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 00:50'00"	"42630.0347222222"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 01:00'00"	"42630.0416666667"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 01:10'00"	"42630.0486111111"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 01:20'00"	"42630.0555555556"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 01:30'00"	"42630.0625000000"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 01:40'00"	"42630.0694444444"	"  22.7000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 01:50'00"	"42630.0763888889"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 02:00'00"	"42630.0833333333"	"  22.7000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 02:10'00"	"42630.0902777778"	"  22.6000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 02:20'00"	"42630.0972222222"	"  22.5000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 02:30'00"	"42630.1041666667"	"  22.6000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 02:40'00"	"42630.1111111111"	"  22.4000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 02:50'00"	"42630.1180555556"	"  22.2000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 03:00'00"	"42630.1250000000"	"  22.3000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 03:10'00"	"42630.1319444444"	"  22.4000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 03:20'00"	"42630.1388888889"	"  22.4000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 03:30'00"	"42630.1458333333"	"  22.2000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 03:40'00"	"42630.1527777778"	"  22.1000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 03:50'00"	"42630.1597222222"	"  22.2000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 04:00'00"	"42630.1666666667"	"  22.1000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 04:10'00"	"42630.1736111111"	"  22.3000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 04:20'00"	"42630.1805555556"	"  22.3000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 04:30'00"	"42630.1875000000"	"  22.3000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 04:40'00"	"42630.1944444444"	"  22.2000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 04:50'00"	"42630.2013888889"	"  22.3000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 05:00'00"	"42630.2083333333"	"  22.1000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 05:10'00"	"42630.2152777778"	"  22.1000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 05:20'00"	"42630.2222222222"	"  22.2000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 05:30'00"	"42630.2291666667"	"  22.2000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 05:40'00"	"42630.2361111111"	"  22.3000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 05:50'00"	"42630.2430555556"	"  22.5000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 06:00'00"	"42630.2500000000"	"  22.4000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 06:10'00"	"42630.2569444444"	"  22.5000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 06:20'00"	"42630.2638888889"	"  22.8000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 06:30'00"	"42630.2708333333"	"  23.7000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 06:40'00"	"42630.2777777778"	"  23.7000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 06:50'00"	"42630.2847222222"	"  24.0000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 07:00'00"	"42630.2916666667"	"  24.2000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 07:10'00"	"42630.2986111111"	"  24.2000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 07:20'00"	"42630.3055555556"	"  24.7000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 07:30'00"	"42630.3125000000"	"  26.8000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 07:40'00"	"42630.3194444444"	"  27.5000"	"  24.3000"	""	""	""	""	""	""	
"09/17/2016 07:50'00"	"42630.3263888889"	"  25.8000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 08:00'00"	"42630.3333333333"	"  25.6000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 08:10'00"	"42630.3402777778"	"  25.7000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 08:20'00"	"42630.3472222222"	"  28.6000"	"  24.4000"	""	""	""	""	""	""	
"09/17/2016 08:30'00"	"42630.3541666667"	"  29.1000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 08:40'00"	"42630.3611111111"	"  30.4000"	"  24.5000"	""	""	""	""	""	""	
"09/17/2016 08:50'00"	"42630.3680555556"	"  28.7000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 09:00'00"	"42630.3750000000"	"  29.6000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 09:10'00"	"42630.3819444444"	"  28.8000"	"  24.6000"	""	""	""	""	""	""	
"09/17/2016 09:20'00"	"42630.3888888889"	"  29.0000"	"  24.7000"	""	""	""	""	""	""	
"09/17/2016 09:30'00"	"42630.3958333333"	"  29.8000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 09:40'00"	"42630.4027777778"	"  29.2000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 09:50'00"	"42630.4097222222"	"  30.3000"	"  24.8000"	""	""	""	""	""	""	
"09/17/2016 10:00'00"	"42630.4166666667"	"  29.5000"	"  24.9000"	""	""	""	""	""	""	
"09/17/2016 10:10'00"	"42630.4236111111"	"  32.3000"	"  24.9000"	""	""	""	""	""	""	
"09/17/2016 10:20'00"	"42630.4305555556"	"  32.8000"	"  25.0000"	""	""	""	""	""	""	
"09/17/2016 10:30'00"	"42630.4375000000"	"  32.3000"	"  25.0000"	""	""	""	""	""	""	
"09/17/2016 10:40'00"	"42630.4444444444"	"  31.4000"	"  25.1000"	""	""	""	""	""	""	
"09/17/2016 10:50'00"	"42630.4513888889"	"  31.4000"	"  25.1000"	""	""	""	""	""	""	
"09/17/2016 11:00'00"	"42630.4583333333"	"  32.0000"	"  25.3000"	""	""	""	""	""	""	
"09/17/2016 11:10'00"	"42630.4652777778"	"  32.5000"	"  25.4000"	""	""	""	""	""	""	
"09/17/2016 11:20'00"	"42630.4722222222"	"  31.4000"	"  25.4000"	""	""	""	""	""	""	
"09/17/2016 11:30'00"	"42630.4791666667"	"  31.0000"	"  25.5000"	""	""	""	""	""	""	
"09/17/2016 11:40'00"	"42630.4861111111"	"  32.8000"	"  25.5000"	""	""	""	""	""	""	
"09/17/2016 11:50'00"	"42630.4930555556"	"  33.7000"	"  25.5000"	""	""	""	""	""	""	
"09/17/2016 12:00'00"	"42630.5000000000"	"  33.4000"	"  25.6000"	""	""	""	""	""	""	
"09/17/2016 12:10'00"	"42630.5069444444"	"  32.0000"	"  25.6000"	""	""	""	""	""	""	
"09/17/2016 12:20'00"	"42630.5138888889"	"  30.6000"	"  25.7000"	""	""	""	""	""	""	
"09/17/2016 12:30'00"	"42630.5208333333"	"  29.1000"	"  25.7000"	""	""	""	""	""	""	
"09/17/2016 12:40'00"	"42630.5277777778"	"  29.0000"	"  25.8000"	""	""	""	""	""	""	
"09/17/2016 12:50'00"	"42630.5347222222"	"  31.7000"	"  25.8000"	""	""	""	""	""	""	
"09/17/2016 13:00'00"	"42630.5416666667"	"  31.5000"	"  25.8000"	""	""	""	""	""	""	
"09/17/2016 13:10'00"	"42630.5486111111"	"  32.1000"	"  25.9000"	""	""	""	""	""	""	
"09/17/2016 13:20'00"	"42630.5555555556"	"  32.7000"	"  25.9000"	""	""	""	""	""	""	
"09/17/2016 13:30'00"	"42630.5625000000"	"  30.0000"	"  26.0000"	""	""	""	""	""	""	
"09/17/2016 13:40'00"	"42630.5694444444"	"  29.7000"	"  26.0000"	""	""	""	""	""	""	
"09/17/2016 13:50'00"	"42630.5763888889"	"  31.6000"	"  26.1000"	""	""	""	""	""	""	
