"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"11/16/2016 00:00'00"	"42690.0000000000"	"  11.4000"	"  89.0000"	""	""	""	""	""	""	
"11/16/2016 00:10'00"	"42690.0069444444"	"  11.4000"	"  85.0000"	""	""	""	""	""	""	
"11/16/2016 00:20'00"	"42690.0138888889"	"  11.4000"	"  86.0000"	""	""	""	""	""	""	
"11/16/2016 00:30'00"	"42690.0208333333"	"  11.5000"	"  89.0000"	""	""	""	""	""	""	
"11/16/2016 00:40'00"	"42690.0277777778"	"  11.3000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 00:50'00"	"42690.0347222222"	"  11.1000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 01:00'00"	"42690.0416666667"	"  10.9000"	"  86.0000"	""	""	""	""	""	""	
"11/16/2016 01:10'00"	"42690.0486111111"	"  10.8000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 01:20'00"	"42690.0555555556"	"  10.6000"	"  89.0000"	""	""	""	""	""	""	
"11/16/2016 01:30'00"	"42690.0625000000"	"  10.6000"	"  89.0000"	""	""	""	""	""	""	
"11/16/2016 01:40'00"	"42690.0694444444"	"  10.5000"	"  90.0000"	""	""	""	""	""	""	
"11/16/2016 01:50'00"	"42690.0763888889"	"  10.5000"	"  90.0000"	""	""	""	""	""	""	
"11/16/2016 02:00'00"	"42690.0833333333"	"  10.4000"	"  90.0000"	""	""	""	""	""	""	
"11/16/2016 02:10'00"	"42690.0902777778"	"  10.4000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 02:20'00"	"42690.0972222222"	"  10.2000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 02:30'00"	"42690.1041666667"	"  10.2000"	"  90.0000"	""	""	""	""	""	""	
"11/16/2016 02:40'00"	"42690.1111111111"	"  10.2000"	"  91.0000"	""	""	""	""	""	""	
"11/16/2016 02:50'00"	"42690.1180555556"	"  10.0000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 03:00'00"	"42690.1250000000"	"   9.7000"	"  91.0000"	""	""	""	""	""	""	
"11/16/2016 03:10'00"	"42690.1319444444"	"   9.5000"	"  93.0000"	""	""	""	""	""	""	
"11/16/2016 03:20'00"	"42690.1388888889"	"   9.4000"	"  94.0000"	""	""	""	""	""	""	
"11/16/2016 03:30'00"	"42690.1458333333"	"   9.4000"	"  94.0000"	""	""	""	""	""	""	
"11/16/2016 03:40'00"	"42690.1527777778"	"   9.4000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 03:50'00"	"42690.1597222222"	"   9.3000"	"  91.0000"	""	""	""	""	""	""	
"11/16/2016 04:00'00"	"42690.1666666667"	"   9.0000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 04:10'00"	"42690.1736111111"	"   8.9000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 04:20'00"	"42690.1805555556"	"   8.9000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 04:30'00"	"42690.1875000000"	"   8.8000"	"  93.0000"	""	""	""	""	""	""	
"11/16/2016 04:40'00"	"42690.1944444444"	"   8.8000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 04:50'00"	"42690.2013888889"	"   8.8000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 05:00'00"	"42690.2083333333"	"   8.8000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 05:10'00"	"42690.2152777778"	"   8.9000"	"  90.0000"	""	""	""	""	""	""	
"11/16/2016 05:20'00"	"42690.2222222222"	"   8.8000"	"  89.0000"	""	""	""	""	""	""	
"11/16/2016 05:30'00"	"42690.2291666667"	"   8.7000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 05:40'00"	"42690.2361111111"	"   8.6000"	"  88.0000"	""	""	""	""	""	""	
