date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2017-01-14,13.81319444444445,14.33402777777778,12.63263888888889,99.5,12.4,13.7,11.1,89,21.3,15.1,19.4,100
2017-01-15,15.492361111111117,14.58888888888889,13.936805555555564,93.04166666666667,12.3,13.5,10.9,62,24.7,17.1,22.7,100
2017-01-16,16.053472222222226,14.58402777777778,14.309722222222218,93.58333333333333,12.3,13.7,10.9,65,26.7,16.4,21.9,100
2017-01-17,16.953472222222217,15.11597222222222,14.984027777777776,91.45138888888889,12.3,13.5,10.7,55,29.5,18.0,25.4,100
2017-01-18,17.524999999999995,15.624999999999993,15.640972222222224,91.89583333333333,12.4,13.9,10.9,60,31.1,18.8,27.4,100
2017-01-19,16.138888888888896,15.382638888888883,14.658333333333335,96.53472222222223,12.5,14.6,11.8,66,26.7,17.3,23.3,100
2017-01-20,15.61458333333333,15.115277777777774,14.545833333333336,97.29166666666667,12.5,14.1,11.6,73,30.9,16.8,25.5,100
2017-01-21,17.349305555555546,15.595138888888894,15.600694444444438,90.77083333333333,12.4,14.0,11.4,56,28.8,18.7,27.1,100
2017-01-22,16.154861111111103,15.474305555555553,14.814583333333331,94.98611111111111,12.5,14.1,11.3,67,30.7,18.0,24.1,100
2017-01-23,16.30069444444446,15.37430555555555,14.804861111111116,92.64583333333333,12.2,14.1,11.1,52,27.9,18.3,27.5,100
2017-01-24,16.86597222222222,14.900694444444447,14.739583333333327,91.47222222222223,12.1,6.4,10.4,64,30.6,21.9,25.9,100
2017-01-25,17.44861111111112,15.01041666666666,15.184027777777779,90.45138888888889,12.2,11.9,10.6,62,31.6,22.1,25.8,100
2017-01-26,17.38958333333334,15.412499999999998,15.514583333333336,91.33333333333333,12.2,12.2,10.8,60,31.2,23.8,26.9,100
2017-01-27,17.120138888888892,15.663194444444445,15.738194444444439,95.36111111111111,12.3,12.6,11.1,64,29.9,20.3,25.4,100
2017-01-28,18.295138888888893,15.782638888888885,16.38958333333333,90.72916666666667,12.4,12.9,11.5,54,31.2,21.0,27.0,100
2017-01-29,17.420138888888893,15.899305555555562,15.956944444444437,95.88194444444444,12.3,13.1,11.2,66,30.1,20.8,25.4,100
2017-01-30,15.52291666666667,15.144444444444437,14.662499999999998,96.99305555555556,12.5,13.5,11.9,66,27.9,20.6,24.9,100
2017-01-31,17.698611111111106,15.342361111111119,15.382638888888895,90.20138888888889,12.1,12.3,10.4,61,31.3,21.5,26.7,100
2017-02-01,16.76388888888889,14.770833333333336,15.03958333333333,93.625,12.2,12.1,10.8,65,28.7,19.1,23.5,100
2017-02-02,17.286805555555567,15.400694444444452,15.236805555555552,90.20833333333333,12.0,12.6,10.9,60,30.1,19.3,24.9,100
2017-02-03,17.831249999999997,16.021527777777766,16.04513888888889,89.00694444444444,12.2,14.2,11.4,52,30.4,19.3,27.9,100
2017-02-04,18.16736111111112,15.997222222222222,16.34861111111111,87.98611111111111,11.9,12.5,11.0,53,31.2,18.8,26.6,100
2017-02-05,13.493749999999999,14.972222222222221,12.898611111111112,99.97916666666667,12.2,14.8,11.6,98,15.0,15.4,13.9,100
2017-02-06,16.519444444444453,15.621527777777779,15.422916666666664,93.57638888888889,12.3,14.6,11.9,60,27.3,17.7,25.0,100
2017-02-07,16.926388888888887,15.256250000000003,15.081250000000004,91.23611111111111,11.9,12.4,11.2,59,29.5,17.3,24.5,100
2017-02-08,17.392361111111104,15.699305555555558,15.618055555555559,90.77083333333333,11.9,14.3,11.1,63,29.8,18.0,25.4,100
2017-02-09,14.647916666666665,15.115972222222224,13.895833333333329,99.21527777777777,12.2,14.1,11.7,93,20.2,16.1,18.3,100
2017-02-10,16.974305555555546,15.753472222222221,15.438194444444438,89.1875,12.2,14.0,11.6,57,31.0,19.2,24.9,100
2017-02-11,16.384722222222226,15.28611111111111,14.934722222222218,91.88888888888889,12.1,12.1,11.5,60,29.9,18.4,24.2,100
2017-02-12,17.42986111111111,15.977083333333335,15.819444444444436,87.24305555555556,12.0,13.9,11.4,56,31.7,19.6,25.3,100
2017-02-13,17.893749999999997,16.206250000000004,16.10347222222222,84.80555555555556,11.9,14.0,11.4,42,32.1,19.6,26.5,100
2017-02-14,17.735416666666673,16.75902777777779,16.260416666666668,83.36111111111111,11.9,13.0,11.1,50,30.9,23.0,26.1,100
2017-02-15,18.14375,16.659722222222225,16.615277777777777,80.20833333333333,12.0,12.9,11.2,42,31.4,23.2,28.1,100
2017-02-16,18.28541666666666,16.567361111111108,16.952083333333324,84.13194444444444,12.1,13.1,11.2,47,29.6,22.8,27.0,100
2017-02-17,14.42847222222222,15.535416666666642,14.25902777777778,98.30555555555556,12.3,14.9,12.4,90,21.3,16.6,19.5,100
2017-02-18,18.302777777777788,16.904861111111117,17.27152777777777,87.51388888888889,12.3,14.7,12.5,39,29.7,19.8,26.4,100
2017-02-19,18.22916666666667,16.99236111111112,16.938194444444445,83.38194444444444,12.1,14.9,12.0,40,31.1,20.2,25.9,100
2017-02-20,16.61319444444444,16.629166666666666,15.999305555555557,95.40972222222223,12.4,15.2,12.8,76,26.8,18.8,23.4,100
2017-02-21,17.59166666666667,16.60902777777778,16.240277777777774,82.125,12.0,13.8,11.8,37,29.9,21.8,26.3,100
2017-02-22,17.802777777777774,15.916666666666673,16.413888888888888,88.59722222222223,11.9,13.2,11.4,47,28.2,19.0,24.5,100
2017-02-23,16.020138888888898,16.30902777777777,15.681249999999999,98.77083333333333,12.6,15.5,13.0,92,23.3,17.8,20.7,100
2017-02-24,18.322916666666668,16.85208333333333,16.999305555555562,81.95138888888889,12.1,14.8,12.2,36,30.7,19.8,25.6,100
2017-02-25,18.599305555555546,16.47986111111111,17.034722222222214,85.1875,12.0,13.6,11.9,46,32.0,19.4,26.0,100
2017-02-26,18.254861111111108,17.13125,17.266666666666662,84.06944444444444,12.1,14.7,11.5,42,30.6,20.3,26.0,100
2017-02-27,19.48750000000001,17.86319444444445,18.427777777777766,82.85416666666667,12.2,15.2,12.3,42,35.4,21.3,32.2,100
2017-02-28,18.56180555555555,17.954166666666655,17.950694444444455,84.61805555555556,12.2,15.8,12.8,45,31.7,21.3,28.4,100
2017-03-01,17.901388888888896,17.635416666666668,17.37569444444445,89.5625,12.2,15.5,12.4,57,30.7,21.0,27.0,100
2017-03-02,14.74861111111111,16.253472222222225,14.627777777777782,97.71527777777777,12.6,15.7,13.0,89,25.5,17.7,20.9,100
2017-03-03,18.609722222222217,17.236805555555556,17.60694444444445,78.79861111111111,12.1,15.1,12.3,27,31.4,20.2,26.9,100
2017-03-04,18.702083333333327,17.574305555555554,17.630555555555546,81.68055555555556,12.1,15.1,12.2,39,31.3,20.7,27.5,100
2017-03-05,18.609722222222224,17.83541666666667,17.82847222222222,88.35416666666667,12.2,15.5,12.1,47,30.9,20.9,28.1,100
2017-03-06,14.961111111111105,16.603472222222226,14.816666666666663,97.44444444444444,12.6,15.8,12.9,87,21.6,17.3,19.3,100
2017-03-07,17.406944444444438,16.852777777777778,16.43541666666666,84.52083333333333,12.1,15.2,12.1,44,30.5,19.8,25.1,100
2017-03-08,17.290277777777774,16.766666666666662,16.306249999999995,84.10416666666667,12.0,15.0,11.8,31,29.7,19.6,26.2,100
2017-03-09,18.89375,17.50625,17.83402777777779,80.27777777777777,12.0,14.9,11.8,43,33.3,21.1,29.2,100
2017-03-10,18.501250000000002,16.678749999999997,17.16,83.25,12.2,15.4,12.1,43,33.2,20.2,29.0,100
