Date/Time,T20,ST,T60,H
2017/1/14 0:00,14.3,14.5,12.5,100
2017/1/14 0:10,12.6,14.4,11.7,100
2017/1/14 0:20,14.3,14.5,12.9,100
2017/1/14 0:30,13.4,14.4,12.2,100
2017/1/14 0:40,13.5,14.4,12.5,100
2017/1/14 0:50,14.3,14.4,12.8,100
2017/1/14 1:00,12.7,14.4,12.1,100
2017/1/14 1:10,14.3,14.4,13.1,100
2017/1/14 1:20,13.6,14.4,12.5,100
2017/1/14 1:30,13.2,14.4,12.4,100
2017/1/14 1:40,14.4,14.4,12.9,100
2017/1/14 1:50,12.8,14.4,12,100
2017/1/14 2:00,14,14.4,13,100
2017/1/14 2:10,13.6,14.4,12.2,100
2017/1/14 2:20,13.2,14.3,12.2,100
2017/1/14 2:30,14.3,14.4,12.6,100
2017/1/14 2:40,12.6,14.3,11.8,100
2017/1/14 2:50,14.1,14.3,12.9,100
2017/1/14 3:00,13.1,14.3,11.8,100
2017/1/14 3:10,13.5,14.3,12.3,100
2017/1/14 3:20,13.9,14.3,12.3,100
2017/1/14 3:30,12.8,14.3,11.9,100
2017/1/14 3:40,14.2,14.3,12.7,100
2017/1/14 3:50,12.5,14.2,11.7,100
2017/1/14 4:00,14,14.3,12.7,100
2017/1/14 4:10,13.3,14.2,11.9,100
2017/1/14 4:20,13.3,14.2,12.2,100
2017/1/14 4:30,13.9,14.2,12.3,100
2017/1/14 4:40,12.7,14.2,11.8,100
2017/1/14 4:50,14.4,14.2,12.9,100
2017/1/14 5:00,12.8,14.2,11.7,100
2017/1/14 5:10,13.9,14.2,12.5,100
2017/1/14 5:20,13.3,14.2,11.9,100
2017/1/14 5:30,13.3,14.2,12,100
2017/1/14 5:40,13.9,14.2,12.1,100
2017/1/14 5:50,12.7,14.1,11.6,100
2017/1/14 6:00,14.2,14.2,12.6,100
2017/1/14 6:10,12.5,14.1,11.5,100
2017/1/14 6:20,13.9,14.2,12.5,100
2017/1/14 6:30,13.2,14.1,11.8,100
2017/1/14 6:40,13.3,14.1,12.1,100
2017/1/14 6:50,13.8,14.1,12.3,100
2017/1/14 7:00,12.9,14.1,11.9,100
2017/1/14 7:10,14.2,14.1,12.7,100
2017/1/14 7:20,12.6,14.1,11.7,100
2017/1/14 7:30,14,14.1,12.7,100
2017/1/14 7:40,13.6,14.1,12.1,100
2017/1/14 7:50,13.4,14.1,12.3,100
2017/1/14 8:00,14.6,14.2,13,100
2017/1/14 8:10,13.4,14.1,12.5,100
2017/1/14 8:20,13,14.2,12.4,100
2017/1/14 8:30,13.6,14.2,12.9,100
2017/1/14 8:40,13,14.2,12.3,100
2017/1/14 8:50,14.6,14.2,13.1,100
2017/1/14 9:00,13.3,14.2,12.7,100
2017/1/14 9:10,13.3,14.2,12.6,100
2017/1/14 9:20,14.9,14.3,13.5,100
2017/1/14 9:30,13.3,14.3,12.4,100
2017/1/14 9:40,13.6,14.3,12.9,100
2017/1/14 9:50,14.1,14.3,12.8,100
2017/1/14 10:00,14.7,14.3,13.4,100
2017/1/14 10:10,16.7,14.4,15.4,98
2017/1/14 10:20,15.7,14.5,15.1,96
2017/1/14 10:30,14.9,14.5,14.5,95
2017/1/14 10:40,14.4,14.6,14,95
2017/1/14 10:50,13.4,14.6,13.1,96
2017/1/14 11:00,12.8,14.5,12.4,100
2017/1/14 11:10,14.8,14.5,13.3,100
2017/1/14 11:20,13.3,14.5,12.3,100
2017/1/14 11:30,14.5,14.5,13.3,100
2017/1/14 11:40,15.7,14.6,14.2,100
2017/1/14 11:50,15.4,14.6,14.4,100
2017/1/14 12:00,16.1,14.6,15.2,99
2017/1/14 12:10,16.2,14.7,15.5,96
2017/1/14 12:20,17.8,14.8,16.4,96
2017/1/14 12:30,21.3,14.9,19.4,95
2017/1/14 12:40,21,15.1,19.3,90
2017/1/14 12:50,18.8,15.1,17.4,89
2017/1/14 13:00,17.2,15.1,16.1,92
2017/1/14 13:10,15.2,15.1,14.5,94
2017/1/14 13:20,13.3,15.1,12.9,98
2017/1/14 13:30,12.9,15,12.2,100
2017/1/14 13:40,15,15,13.6,100
2017/1/14 13:50,13.8,14.9,13,100
2017/1/14 14:00,13.2,14.9,12.9,100
2017/1/14 14:10,13.2,14.9,12.8,100
2017/1/14 14:20,12.8,14.8,12.3,100
2017/1/14 14:30,13.1,14.8,12.7,99
2017/1/14 14:40,12.9,14.8,12.4,100
