Date/Time	T20	ST	T60	H
2017/1/14 0:00	14.9	15.9	14.1	93
2017/1/14 0:10	12.9	15.8	13.3	93
2017/1/14 0:20	15.2	15.8	13.9	93
2017/1/14 0:30	13.7	15.8	13.8	94
2017/1/14 0:40	14	15.8	13.5	95
2017/1/14 0:50	14.7	15.8	14.3	96
2017/1/14 1:00	13.1	15.8	13.5	95
2017/1/14 1:10	15.2	15.8	13.9	96
2017/1/14 1:20	13.9	15.8	14	97
2017/1/14 1:30	13.6	15.8	13.4	96
2017/1/14 1:40	14.9	15.8	14.2	98
2017/1/14 1:50	13.2	15.8	13.5	97
2017/1/14 2:00	15.1	15.8	13.8	97
2017/1/14 2:10	13.9	15.8	13.9	98
2017/1/14 2:20	13.6	15.7	13.4	97
2017/1/14 2:30	14.7	15.7	14	97
2017/1/14 2:40	12.8	15.7	13.3	96
2017/1/14 2:50	15	15.7	13.8	97
2017/1/14 3:00	13.4	15.7	13.6	96
2017/1/14 3:10	14	15.7	13.4	96
2017/1/14 3:20	14.3	15.7	14	98
2017/1/14 3:30	13	15.6	13.2	96
2017/1/14 3:40	14.9	15.6	13.9	95
2017/1/14 3:50	12.9	15.6	13.4	96
2017/1/14 4:00	15	15.6	13.6	97
2017/1/14 4:10	13.6	15.6	13.8	99
2017/1/14 4:20	13.6	15.6	13.2	96
2017/1/14 4:30	14.4	15.6	13.8	97
2017/1/14 4:40	12.9	15.6	13.2	97
2017/1/14 4:50	15.1	15.6	13.8	98
2017/1/14 5:00	13	15.6	13.4	99
2017/1/14 5:10	14.6	15.5	13.5	98
2017/1/14 5:20	13.7	15.5	13.6	99
2017/1/14 5:30	13.6	15.5	13.2	97
2017/1/14 5:40	14.4	15.5	13.7	97
2017/1/14 5:50	13	15.5	13.1	97
2017/1/14 6:00	15	15.5	13.7	98
2017/1/14 6:10	12.8	15.5	13.3	99
2017/1/14 6:20	14.9	15.5	13.4	98
2017/1/14 6:30	13.5	15.5	13.5	100
2017/1/14 6:40	13.8	15.4	13.2	99
2017/1/14 6:50	14.2	15.4	13.8	100
2017/1/14 7:00	12.9	15.4	13.1	99
2017/1/14 7:10	15	15.4	13.7	100
2017/1/14 7:20	12.8	15.4	13.3	100
2017/1/14 7:30	15	15.4	13.5	100
2017/1/14 7:40	13.8	15.4	13.7	100
