"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72 temp","TR-72 hum"
"","","°C","%"
"2017-01-14 00:00:00","42749.0000000000","14.1","93"
"2017-01-14 00:10:00","42749.0069444444","13.3","93"
"2017-01-14 00:20:00","42749.0138888889","13.9","93"
"2017-01-14 00:30:00","42749.0208333333","13.8","94"
"2017-01-14 00:40:00","42749.0277777778","13.5","95"
"2017-01-14 00:50:00","42749.0347222222","14.3","96"
"2017-01-14 01:00:00","42749.0416666667","13.5","95"
"2017-01-14 01:10:00","42749.0486111111","13.9","96"
"2017-01-14 01:20:00","42749.0555555556","14.0","97"
"2017-01-14 01:30:00","42749.0625000000","13.4","96"
"2017-01-14 01:40:00","42749.0694444444","14.2","98"
"2017-01-14 01:50:00","42749.0763888889","13.5","97"
"2017-01-14 02:00:00","42749.0833333333","13.8","97"
"2017-01-14 02:10:00","42749.0902777778","13.9","98"
"2017-01-14 02:20:00","42749.0972222222","13.4","97"
"2017-01-14 02:30:00","42749.1041666667","14.0","97"
"2017-01-14 02:40:00","42749.1111111111","13.3","96"
"2017-01-14 02:50:00","42749.1180555556","13.8","97"
"2017-01-14 03:00:00","42749.1250000000","13.6","96"
"2017-01-14 03:10:00","42749.1319444444","13.4","96"
"2017-01-14 03:20:00","42749.1388888889","14.0","98"
"2017-01-14 03:30:00","42749.1458333333","13.2","96"
"2017-01-14 03:40:00","42749.1527777778","13.9","95"
"2017-01-14 03:50:00","42749.1597222222","13.4","96"
"2017-01-14 04:00:00","42749.1666666667","13.6","97"
"2017-01-14 04:10:00","42749.1736111111","13.8","99"
"2017-01-14 04:20:00","42749.1805555556","13.2","96"
"2017-01-14 04:30:00","42749.1875000000","13.8","97"
"2017-01-14 04:40:00","42749.1944444444","13.2","97"
"2017-01-14 04:50:00","42749.2013888889","13.8","98"
"2017-01-14 05:00:00","42749.2083333333","13.4","99"
"2017-01-14 05:10:00","42749.2152777778","13.5","98"
"2017-01-14 05:20:00","42749.2222222222","13.6","99"
"2017-01-14 05:30:00","42749.2291666667","13.2","97"
"2017-01-14 05:40:00","42749.2361111111","13.7","97"
"2017-01-14 05:50:00","42749.2430555556","13.1","97"
"2017-01-14 06:00:00","42749.2500000000","13.7","98"
"2017-01-14 06:10:00","42749.2569444444","13.3","99"
"2017-01-14 06:20:00","42749.2638888889","13.4","98"
"2017-01-14 06:30:00","42749.2708333333","13.5","100"
"2017-01-14 06:40:00","42749.2777777778","13.2","99"
"2017-01-14 06:50:00","42749.2847222222","13.8","100"
"2017-01-14 07:00:00","42749.2916666667","13.1","99"
"2017-01-14 07:10:00","42749.2986111111","13.7","100"
"2017-01-14 07:20:00","42749.3055555556","13.3","100"
"2017-01-14 07:30:00","42749.3125000000","13.5","100"
"2017-01-14 07:40:00","42749.3194444444","13.7","100"
"2017-01-14 07:50:00","42749.3263888889","13.3","100"
"2017-01-14 08:00:00","42749.3333333333","14.2","100"
"2017-01-14 08:10:00","42749.3402777778","13.7","100"
"2017-01-14 08:20:00","42749.3472222222","13.6","100"
"2017-01-14 08:30:00","42749.3541666667","13.2","96"
"2017-01-14 08:40:00","42749.3611111111","12.7","93"
"2017-01-14 08:50:00","42749.3680555556","14.0","95"
"2017-01-14 09:00:00","42749.3750000000","13.9","94"
"2017-01-14 09:10:00","42749.3819444444","13.5","97"
"2017-01-14 09:20:00","42749.3888888889","14.4","95"
"2017-01-14 09:30:00","42749.3958333333","13.8","94"
"2017-01-14 09:40:00","42749.4027777778","13.6","96"
"2017-01-14 09:50:00","42749.4097222222","14.0","95"
"2017-01-14 10:00:00","42749.4166666667","14.7","95"
"2017-01-14 10:10:00","42749.4236111111","16.3","94"
"2017-01-14 10:20:00","42749.4305555556","16.0","94"
"2017-01-14 10:30:00","42749.4375000000","15.7","95"
"2017-01-14 10:40:00","42749.4444444444","15.4","96"
"2017-01-14 10:50:00","42749.4513888889","14.8","97"
"2017-01-14 11:00:00","42749.4583333333","13.8","98"
"2017-01-14 11:10:00","42749.4652777778","14.2","96"
"2017-01-14 11:20:00","42749.4722222222","14.0","94"
"2017-01-14 11:30:00","42749.4791666667","13.8","94"
"2017-01-14 11:40:00","42749.4861111111","14.8","89"
"2017-01-14 11:50:00","42749.4930555556","15.0","93"
"2017-01-14 12:00:00","42749.5000000000","15.8","94"
"2017-01-14 12:10:00","42749.5069444444","16.5","95"
"2017-01-14 12:20:00","42749.5138888889","17.6","95"
"2017-01-14 12:30:00","42749.5208333333","19.9","92"
"2017-01-14 12:40:00","42749.5277777778","20.1","92"
"2017-01-14 12:50:00","42749.5347222222","18.9","93"
"2017-01-14 13:00:00","42749.5416666667","18.0","95"
"2017-01-14 13:10:00","42749.5486111111","16.6","96"
"2017-01-14 13:20:00","42749.5555555556","15.3","97"
"2017-01-14 13:30:00","42749.5625000000","14.1","97"
"2017-01-14 13:40:00","42749.5694444444","14.6","94"
"2017-01-14 13:50:00","42749.5763888889","14.3","94"
"2017-01-14 14:00:00","42749.5833333333","14.8","98"
"2017-01-14 14:10:00","42749.5902777778","14.7","97"
"2017-01-14 14:20:00","42749.5972222222","14.6","98"
"2017-01-14 14:30:00","42749.6041666667","14.9","97"
"2017-01-14 14:40:00","42749.6111111111","14.4","96"
"2017-01-14 14:50:00","42749.6180555556","14.6","95"
"2017-01-14 15:00:00","42749.6250000000","14.5","94"
"2017-01-14 15:10:00","42749.6319444444","14.3","97"
"2017-01-14 15:20:00","42749.6388888889","14.1","97"
"2017-01-14 15:30:00","42749.6458333333","14.1","94"
"2017-01-14 15:40:00","42749.6527777778","13.4","95"
"2017-01-14 15:50:00","42749.6597222222","14.1","93"
"2017-01-14 16:00:00","42749.6666666667","13.4","93"
"2017-01-14 16:10:00","42749.6736111111","13.8","94"
"2017-01-14 16:20:00","42749.6805555556","13.8","94"
"2017-01-14 16:30:00","42749.6875000000","13.5","97"
"2017-01-14 16:40:00","42749.6944444444","14.0","100"
"2017-01-14 16:50:00","42749.7013888889","13.3","99"
"2017-01-14 17:00:00","42749.7083333333","13.9","100"
"2017-01-14 17:10:00","42749.7152777778","13.4","100"
"2017-01-14 17:20:00","42749.7222222222","13.5","100"
"2017-01-14 17:30:00","42749.7291666667","13.9","100"
"2017-01-14 17:40:00","42749.7361111111","13.2","98"
"2017-01-14 17:50:00","42749.7430555556","13.9","97"
"2017-01-14 18:00:00","42749.7500000000","13.2","95"
"2017-01-14 18:10:00","42749.7569444444","13.8","96"
"2017-01-14 18:20:00","42749.7638888889","13.6","96"
"2017-01-14 18:30:00","42749.7708333333","13.5","94"
"2017-01-14 18:40:00","42749.7777777778","13.8","95"
"2017-01-14 18:50:00","42749.7847222222","13.3","94"
"2017-01-14 19:00:00","42749.7916666667","13.8","95"
"2017-01-14 19:10:00","42749.7986111111","13.1","94"
"2017-01-14 19:20:00","42749.8055555556","13.8","94"
"2017-01-14 19:30:00","42749.8125000000","13.1","94"
"2017-01-14 19:40:00","42749.8194444444","13.7","93"
"2017-01-14 19:50:00","42749.8263888889","13.6","94"
"2017-01-14 20:00:00","42749.8333333333","13.3","93"
"2017-01-14 20:10:00","42749.8402777778","13.8","93"
"2017-01-14 20:20:00","42749.8472222222","13.1","93"
"2017-01-14 20:30:00","42749.8541666667","13.8","93"
"2017-01-14 20:40:00","42749.8611111111","13.1","93"
"2017-01-14 20:50:00","42749.8680555556","13.8","92"
"2017-01-14 21:00:00","42749.8750000000","13.2","93"
"2017-01-14 21:10:00","42749.8819444444","13.5","93"
"2017-01-14 21:20:00","42749.8888888889","13.4","93"
"2017-01-14 21:30:00","42749.8958333333","13.2","92"
"2017-01-14 21:40:00","42749.9027777778","13.8","93"
"2017-01-14 21:50:00","42749.9097222222","13.0","92"
"2017-01-14 22:00:00","42749.9166666667","13.8","92"
"2017-01-14 22:10:00","42749.9236111111","13.0","93"
"2017-01-14 22:20:00","42749.9305555556","13.7","91"
"2017-01-14 22:30:00","42749.9375000000","13.3","94"
"2017-01-14 22:40:00","42749.9444444444","13.3","92"
"2017-01-14 22:50:00","42749.9513888889","13.5","93"
"2017-01-14 23:00:00","42749.9583333333","13.1","91"
"2017-01-14 23:10:00","42749.9652777778","13.7","92"
"2017-01-14 23:20:00","42749.9722222222","13.0","91"
"2017-01-14 23:30:00","42749.9791666667","13.7","91"
"2017-01-14 23:40:00","42749.9861111111","12.9","91"
"2017-01-14 23:50:00","42749.9930555556","13.5","92"
"2017-01-15 00:00:00","42750.0000000000","13.1","93"
"2017-01-15 00:10:00","42750.0069444444","13.3","92"
"2017-01-15 00:20:00","42750.0138888889","13.3","93"
"2017-01-15 00:30:00","42750.0208333333","13.1","92"
"2017-01-15 00:40:00","42750.0277777778","13.4","93"
"2017-01-15 00:50:00","42750.0347222222","12.8","92"
"2017-01-15 01:00:00","42750.0416666667","13.5","90"
"2017-01-15 01:10:00","42750.0486111111","12.7","90"
"2017-01-15 01:20:00","42750.0555555556","13.4","91"
"2017-01-15 01:30:00","42750.0625000000","12.6","90"
"2017-01-15 01:40:00","42750.0694444444","13.0","91"
"2017-01-15 01:50:00","42750.0763888889","12.9","92"
"2017-01-15 02:00:00","42750.0833333333","12.7","92"
"2017-01-15 02:10:00","42750.0902777778","13.4","93"
"2017-01-15 02:20:00","42750.0972222222","12.6","92"
"2017-01-15 02:30:00","42750.1041666667","13.3","92"
"2017-01-15 02:40:00","42750.1111111111","12.5","92"
"2017-01-15 02:50:00","42750.1180555556","13.1","91"
"2017-01-15 03:00:00","42750.1250000000","12.8","92"
"2017-01-15 03:10:00","42750.1319444444","13.0","90"
"2017-01-15 03:20:00","42750.1388888889","13.1","92"
"2017-01-15 03:30:00","42750.1458333333","12.7","91"
"2017-01-15 03:40:00","42750.1527777778","13.3","91"
"2017-01-15 03:50:00","42750.1597222222","12.7","92"
"2017-01-15 04:00:00","42750.1666666667","13.4","91"
"2017-01-15 04:10:00","42750.1736111111","12.7","92"
"2017-01-15 04:20:00","42750.1805555556","13.3","92"
"2017-01-15 04:30:00","42750.1875000000","12.9","93"
"2017-01-15 04:40:00","42750.1944444444","13.2","93"
"2017-01-15 04:50:00","42750.2013888889","13.2","94"
"2017-01-15 05:00:00","42750.2083333333","12.8","93"
"2017-01-15 05:10:00","42750.2152777778","13.4","94"
"2017-01-15 05:20:00","42750.2222222222","12.6","94"
"2017-01-15 05:30:00","42750.2291666667","13.5","91"
"2017-01-15 05:40:00","42750.2361111111","12.6","92"
"2017-01-15 05:50:00","42750.2430555556","13.2","93"
"2017-01-15 06:00:00","42750.2500000000","12.8","95"
"2017-01-15 06:10:00","42750.2569444444","12.9","94"
"2017-01-15 06:20:00","42750.2638888889","13.3","95"
"2017-01-15 06:30:00","42750.2708333333","12.6","94"
"2017-01-15 06:40:00","42750.2777777778","13.4","94"
"2017-01-15 06:50:00","42750.2847222222","12.6","94"
"2017-01-15 07:00:00","42750.2916666667","13.3","93"
"2017-01-15 07:10:00","42750.2986111111","12.8","94"
"2017-01-15 07:20:00","42750.3055555556","13.0","94"
"2017-01-15 07:30:00","42750.3125000000","13.2","95"
"2017-01-15 07:40:00","42750.3194444444","13.0","93"
"2017-01-15 07:50:00","42750.3263888889","13.7","95"
"2017-01-15 08:00:00","42750.3333333333","12.9","96"
"2017-01-15 08:10:00","42750.3402777778","13.8","95"
"2017-01-15 08:20:00","42750.3472222222","13.5","98"
"2017-01-15 08:30:00","42750.3541666667","13.6","98"
"2017-01-15 08:40:00","42750.3611111111","14.2","99"
"2017-01-15 08:50:00","42750.3680555556","14.3","97"
"2017-01-15 09:00:00","42750.3750000000","14.5","95"
"2017-01-15 09:10:00","42750.3819444444","15.0","94"
"2017-01-15 09:20:00","42750.3888888889","15.8","93"
"2017-01-15 09:30:00","42750.3958333333","16.6","93"
"2017-01-15 09:40:00","42750.4027777778","17.2","93"
"2017-01-15 09:50:00","42750.4097222222","18.1","93"
"2017-01-15 10:00:00","42750.4166666667","19.4","93"
"2017-01-15 10:10:00","42750.4236111111","19.6","93"
"2017-01-15 10:20:00","42750.4305555556","20.2","92"
"2017-01-15 10:30:00","42750.4375000000","21.3","92"
"2017-01-15 10:40:00","42750.4444444444","22.1","89"
"2017-01-15 10:50:00","42750.4513888889","21.7","89"
"2017-01-15 11:00:00","42750.4583333333","22.9","90"
"2017-01-15 11:10:00","42750.4652777778","22.4","89"
"2017-01-15 11:20:00","42750.4722222222","21.1","81"
"2017-01-15 11:30:00","42750.4791666667","20.3","76"
"2017-01-15 11:40:00","42750.4861111111","19.8","81"
"2017-01-15 11:50:00","42750.4930555556","20.9","81"
"2017-01-15 12:00:00","42750.5000000000","20.8","73"
"2017-01-15 12:10:00","42750.5069444444","20.7","71"
"2017-01-15 12:20:00","42750.5138888889","20.5","72"
"2017-01-15 12:30:00","42750.5208333333","20.9","73"
"2017-01-15 12:40:00","42750.5277777778","21.1","67"
"2017-01-15 12:50:00","42750.5347222222","20.6","63"
"2017-01-15 13:00:00","42750.5416666667","20.2","73"
"2017-01-15 13:10:00","42750.5486111111","21.3","75"
"2017-01-15 13:20:00","42750.5555555556","20.5","65"
"2017-01-15 13:30:00","42750.5625000000","21.6","66"
"2017-01-15 13:40:00","42750.5694444444","22.3","65"
"2017-01-15 13:50:00","42750.5763888889","23.3","63"
"2017-01-15 14:00:00","42750.5833333333","23.2","58"
"2017-01-15 14:10:00","42750.5902777778","24.2","60"
"2017-01-15 14:20:00","42750.5972222222","23.5","55"
"2017-01-15 14:30:00","42750.6041666667","23.0","59"
"2017-01-15 14:40:00","42750.6111111111","22.5","68"
"2017-01-15 14:50:00","42750.6180555556","21.5","72"
"2017-01-15 15:00:00","42750.6250000000","21.4","71"
"2017-01-15 15:10:00","42750.6319444444","21.6","69"
"2017-01-15 15:20:00","42750.6388888889","20.3","73"
"2017-01-15 15:30:00","42750.6458333333","19.4","75"
"2017-01-15 15:40:00","42750.6527777778","17.3","80"
"2017-01-15 15:50:00","42750.6597222222","17.2","82"
"2017-01-15 16:00:00","42750.6666666667","18.1","87"
"2017-01-15 16:10:00","42750.6736111111","18.3","88"
"2017-01-15 16:20:00","42750.6805555556","18.1","89"
