Date/Time,T20,ST
2017/5/12 0:00,16.5,18.3
2017/5/12 0:10,16.2,18.2
2017/5/12 0:20,16.1,18.1
2017/5/12 0:30,15.9,18
2017/5/12 0:40,15.8,17.9
2017/5/12 0:50,15.7,17.8
2017/5/12 1:00,15.5,17.7
2017/5/12 1:10,15.4,17.6
2017/5/12 1:20,15.3,17.5
2017/5/12 1:30,15.6,17.5
2017/5/12 1:40,15.6,17.5
2017/5/12 1:50,15.4,17.4
2017/5/12 2:00,15.2,17.3
2017/5/12 2:10,15.1,17.2
2017/5/12 2:20,15.1,17.2
2017/5/12 2:30,15,17.1
2017/5/12 2:40,14.9,17.1
2017/5/12 2:50,14.8,17
2017/5/12 3:00,14.8,17
2017/5/12 3:10,14.6,16.8
2017/5/12 3:20,14.6,16.8
2017/5/12 3:30,14.5,16.7
2017/5/12 3:40,14.4,16.7
2017/5/12 3:50,14.3,16.6
2017/5/12 4:00,14.3,16.6
2017/5/12 4:10,14.2,16.5
2017/5/12 4:20,14.1,16.4
2017/5/12 4:30,14.1,16.3
2017/5/12 4:40,14.1,16.3
2017/5/12 4:50,14,16.3
2017/5/12 5:00,14.1,16.2
2017/5/12 5:10,14.1,16.2
2017/5/12 5:20,14.5,16.3
2017/5/12 5:30,14.8,16.4
2017/5/12 5:40,15.2,16.6
2017/5/12 5:50,15.9,16.8
2017/5/12 6:00,16.5,17
2017/5/12 6:10,16.9,17.2
2017/5/12 6:20,17.3,17.4
2017/5/12 6:30,18,17.7
2017/5/12 6:40,18.6,18
2017/5/12 6:50,19.5,18.4
2017/5/12 7:00,20.5,19
2017/5/12 7:10,21.6,19.5
2017/5/12 7:20,22.2,20.1
2017/5/12 7:30,21.3,20.4
2017/5/12 7:40,22.8,21
2017/5/12 7:50,23.7,21.6
2017/5/12 8:00,24.5,22.3
2017/5/12 8:10,25,22.9
2017/5/12 8:20,25.6,23.4
2017/5/12 8:30,23.6,23.1
2017/5/12 8:40,24.1,23.2
2017/5/12 8:50,24.3,23.4
2017/5/12 9:00,24.7,23.4
2017/5/12 9:10,24.3,23.3
2017/5/12 9:20,26.2,24.5
2017/5/12 9:30,27.6,25.3
2017/5/12 9:40,26.1,25.5
2017/5/12 9:50,26,25.7
2017/5/12 10:00,27.1,26.1
2017/5/12 10:10,27.7,26.7
2017/5/12 10:20,28.4,27.1
2017/5/12 10:30,27.8,27.1
2017/5/12 10:40,28.4,27.4
2017/5/12 10:50,27.9,27.6
2017/5/12 11:00,28.2,27.8
2017/5/12 11:10,28.6,27.7
2017/5/12 11:20,29,28.1
2017/5/12 11:30,28.3,28.1
2017/5/12 11:40,26.4,26.6
2017/5/12 11:50,27.7,27.2
2017/5/12 12:00,29,27.4
2017/5/12 12:10,28.5,27.4
2017/5/12 12:20,28,27.2
2017/5/12 12:30,27,26.4
2017/5/12 12:40,27.7,26.6
2017/5/12 12:50,26,26
2017/5/12 13:00,26.1,25.7
2017/5/12 13:10,26.2,25.4
2017/5/12 13:20,27.3,25.6
2017/5/12 13:30,27.4,25.3
2017/5/12 13:40,28,27.7
