"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"05/12/2017 00:00'00"	"42867.0000000000"	"  16.9000"	"  20.2000"	""	""	""	""	""	""	
"05/12/2017 00:10'00"	"42867.0069444444"	"  16.9000"	"  20.1000"	""	""	""	""	""	""	
"05/12/2017 00:20'00"	"42867.0138888889"	"  16.6000"	"  20.0000"	""	""	""	""	""	""	
"05/12/2017 00:30'00"	"42867.0208333333"	"  16.3000"	"  20.0000"	""	""	""	""	""	""	
"05/12/2017 00:40'00"	"42867.0277777778"	"  16.0000"	"  19.9000"	""	""	""	""	""	""	
"05/12/2017 00:50'00"	"42867.0347222222"	"  16.4000"	"  19.9000"	""	""	""	""	""	""	
"05/12/2017 01:00'00"	"42867.0416666667"	"  16.1000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 01:10'00"	"42867.0486111111"	"  15.8000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 01:20'00"	"42867.0555555556"	"  15.7000"	"  19.7000"	""	""	""	""	""	""	
"05/12/2017 01:30'00"	"42867.0625000000"	"  15.9000"	"  19.7000"	""	""	""	""	""	""	
"05/12/2017 01:40'00"	"42867.0694444444"	"  15.4000"	"  19.6000"	""	""	""	""	""	""	
"05/12/2017 01:50'00"	"42867.0763888889"	"  15.3000"	"  19.6000"	""	""	""	""	""	""	
"05/12/2017 02:00'00"	"42867.0833333333"	"  15.2000"	"  19.5000"	""	""	""	""	""	""	
"05/12/2017 02:10'00"	"42867.0902777778"	"  15.4000"	"  19.4000"	""	""	""	""	""	""	
"05/12/2017 02:20'00"	"42867.0972222222"	"  15.3000"	"  19.4000"	""	""	""	""	""	""	
"05/12/2017 02:30'00"	"42867.1041666667"	"  15.4000"	"  19.3000"	""	""	""	""	""	""	
"05/12/2017 02:40'00"	"42867.1111111111"	"  15.2000"	"  19.2000"	""	""	""	""	""	""	
"05/12/2017 02:50'00"	"42867.1180555556"	"  15.4000"	"  19.2000"	""	""	""	""	""	""	
"05/12/2017 03:00'00"	"42867.1250000000"	"  15.5000"	"  19.2000"	""	""	""	""	""	""	
"05/12/2017 03:10'00"	"42867.1319444444"	"  15.0000"	"  19.1000"	""	""	""	""	""	""	
"05/12/2017 03:20'00"	"42867.1388888889"	"  14.7000"	"  19.1000"	""	""	""	""	""	""	
"05/12/2017 03:30'00"	"42867.1458333333"	"  14.9000"	"  19.0000"	""	""	""	""	""	""	
"05/12/2017 03:40'00"	"42867.1527777778"	"  14.8000"	"  18.9000"	""	""	""	""	""	""	
"05/12/2017 03:50'00"	"42867.1597222222"	"  14.8000"	"  18.9000"	""	""	""	""	""	""	
"05/12/2017 04:00'00"	"42867.1666666667"	"  14.8000"	"  18.8000"	""	""	""	""	""	""	
"05/12/2017 04:10'00"	"42867.1736111111"	"  14.8000"	"  18.8000"	""	""	""	""	""	""	
"05/12/2017 04:20'00"	"42867.1805555556"	"  14.8000"	"  18.7000"	""	""	""	""	""	""	
"05/12/2017 04:30'00"	"42867.1875000000"	"  14.6000"	"  18.7000"	""	""	""	""	""	""	
"05/12/2017 04:40'00"	"42867.1944444444"	"  14.7000"	"  18.6000"	""	""	""	""	""	""	
"05/12/2017 04:50'00"	"42867.2013888889"	"  14.6000"	"  18.6000"	""	""	""	""	""	""	
"05/12/2017 05:00'00"	"42867.2083333333"	"  14.4000"	"  18.5000"	""	""	""	""	""	""	
"05/12/2017 05:10'00"	"42867.2152777778"	"  14.3000"	"  18.5000"	""	""	""	""	""	""	
"05/12/2017 05:20'00"	"42867.2222222222"	"  14.7000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 05:30'00"	"42867.2291666667"	"  15.1000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 05:40'00"	"42867.2361111111"	"  15.5000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 05:50'00"	"42867.2430555556"	"  16.1000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 06:00'00"	"42867.2500000000"	"  16.5000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 06:10'00"	"42867.2569444444"	"  16.5000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 06:20'00"	"42867.2638888889"	"  16.7000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 06:30'00"	"42867.2708333333"	"  17.1000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 06:40'00"	"42867.2777777778"	"  18.0000"	"  18.4000"	""	""	""	""	""	""	
"05/12/2017 06:50'00"	"42867.2847222222"	"  18.3000"	"  18.6000"	""	""	""	""	""	""	
"05/12/2017 07:00'00"	"42867.2916666667"	"  19.2000"	"  18.6000"	""	""	""	""	""	""	
"05/12/2017 07:10'00"	"42867.2986111111"	"  20.1000"	"  18.7000"	""	""	""	""	""	""	
"05/12/2017 07:20'00"	"42867.3055555556"	"  21.4000"	"  18.8000"	""	""	""	""	""	""	
"05/12/2017 07:30'00"	"42867.3125000000"	"  21.5000"	"  19.0000"	""	""	""	""	""	""	
"05/12/2017 07:40'00"	"42867.3194444444"	"  22.8000"	"  19.2000"	""	""	""	""	""	""	
"05/12/2017 07:50'00"	"42867.3263888889"	"  23.8000"	"  19.4000"	""	""	""	""	""	""	
"05/12/2017 08:00'00"	"42867.3333333333"	"  25.0000"	"  19.6000"	""	""	""	""	""	""	
"05/12/2017 08:10'00"	"42867.3402777778"	"  25.4000"	"  19.9000"	""	""	""	""	""	""	
"05/12/2017 08:20'00"	"42867.3472222222"	"  23.9000"	"  20.2000"	""	""	""	""	""	""	
"05/12/2017 08:30'00"	"42867.3541666667"	"  23.5000"	"  20.5000"	""	""	""	""	""	""	
"05/12/2017 08:40'00"	"42867.3611111111"	"  24.0000"	"  20.7000"	""	""	""	""	""	""	
"05/12/2017 08:50'00"	"42867.3680555556"	"  24.6000"	"  20.9000"	""	""	""	""	""	""	
"05/12/2017 09:00'00"	"42867.3750000000"	"  24.4000"	"  21.1000"	""	""	""	""	""	""	
"05/12/2017 09:10'00"	"42867.3819444444"	"  24.5000"	"  21.3000"	""	""	""	""	""	""	
"05/12/2017 09:20'00"	"42867.3888888889"	"  26.7000"	"  21.4000"	""	""	""	""	""	""	
"05/12/2017 09:30'00"	"42867.3958333333"	"  27.4000"	"  21.6000"	""	""	""	""	""	""	
"05/12/2017 09:40'00"	"42867.4027777778"	"  25.4000"	"  21.9000"	""	""	""	""	""	""	
"05/12/2017 09:50'00"	"42867.4097222222"	"  25.1000"	"  22.2000"	""	""	""	""	""	""	
"05/12/2017 10:00'00"	"42867.4166666667"	"  28.0000"	"  22.5000"	""	""	""	""	""	""	
"05/12/2017 10:10'00"	"42867.4236111111"	"  28.1000"	"  22.8000"	""	""	""	""	""	""	
"05/12/2017 10:20'00"	"42867.4305555556"	"  28.3000"	"  23.1000"	""	""	""	""	""	""	
"05/12/2017 10:30'00"	"42867.4375000000"	"  28.9000"	"  23.4000"	""	""	""	""	""	""	
"05/12/2017 10:40'00"	"42867.4444444444"	"  29.0000"	"  23.6000"	""	""	""	""	""	""	
"05/12/2017 10:50'00"	"42867.4513888889"	"  27.8000"	"  24.0000"	""	""	""	""	""	""	
"05/12/2017 11:00'00"	"42867.4583333333"	"  29.6000"	"  24.2000"	""	""	""	""	""	""	
"05/12/2017 11:10'00"	"42867.4652777778"	"  28.9000"	"  24.5000"	""	""	""	""	""	""	
"05/12/2017 11:20'00"	"42867.4722222222"	"  29.9000"	"  24.6000"	""	""	""	""	""	""	
"05/12/2017 11:30'00"	"42867.4791666667"	"  28.7000"	"  24.8000"	""	""	""	""	""	""	
"05/12/2017 11:40'00"	"42867.4861111111"	"  26.9000"	"  25.0000"	""	""	""	""	""	""	
"05/12/2017 11:50'00"	"42867.4930555556"	"  28.0000"	"  25.1000"	""	""	""	""	""	""	
"05/12/2017 12:00'00"	"42867.5000000000"	"  29.8000"	"  25.1000"	""	""	""	""	""	""	
"05/12/2017 12:10'00"	"42867.5069444444"	"  28.9000"	"  25.2000"	""	""	""	""	""	""	
"05/12/2017 12:20'00"	"42867.5138888889"	"  29.0000"	"  25.2000"	""	""	""	""	""	""	
"05/12/2017 12:30'00"	"42867.5208333333"	"  27.8000"	"  25.3000"	""	""	""	""	""	""	
"05/12/2017 12:40'00"	"42867.5277777778"	"  28.0000"	"  25.3000"	""	""	""	""	""	""	
"05/12/2017 12:50'00"	"42867.5347222222"	"  25.9000"	"  25.2000"	""	""	""	""	""	""	
"05/12/2017 13:00'00"	"42867.5416666667"	"  26.2000"	"  25.2000"	""	""	""	""	""	""	
"05/12/2017 13:10'00"	"42867.5486111111"	"  26.7000"	"  25.2000"	""	""	""	""	""	""	
"05/12/2017 13:20'00"	"42867.5555555556"	"  28.0000"	"  25.1000"	""	""	""	""	""	""	
"05/12/2017 13:30'00"	"42867.5625000000"	"  27.4000"	"  27.2000"	""	""	""	""	""	""	
"05/12/2017 13:40'00"	"42867.5694444444"	"  28.5000"	"  27.6000"	""	""	""	""	""	""	
"05/12/2017 13:50'00"	"42867.5763888889"	"  28.3000"	"  27.7000"	""	""	""	""	""	""	
"05/12/2017 14:00'00"	"42867.5833333333"	"  29.5000"	"  28.4000"	""	""	""	""	""	""	
"05/12/2017 14:10'00"	"42867.5902777778"	"  28.0000"	"  27.8000"	""	""	""	""	""	""	
"05/12/2017 14:20'00"	"42867.5972222222"	"  27.2000"	"  26.9000"	""	""	""	""	""	""	
"05/12/2017 14:30'00"	"42867.6041666667"	"  27.0000"	"  26.8000"	""	""	""	""	""	""	
"05/12/2017 14:40'00"	"42867.6111111111"	"  29.0000"	"  28.2000"	""	""	""	""	""	""	
"05/12/2017 14:50'00"	"42867.6180555556"	"  30.5000"	"  29.8000"	""	""	""	""	""	""	
"05/12/2017 15:00'00"	"42867.6250000000"	"  30.0000"	"  29.2000"	""	""	""	""	""	""	
"05/12/2017 15:10'00"	"42867.6319444444"	"  28.9000"	"  28.0000"	""	""	""	""	""	""	
"05/12/2017 15:20'00"	"42867.6388888889"	"  27.9000"	"  27.2000"	""	""	""	""	""	""	
"05/12/2017 15:30'00"	"42867.6458333333"	"  27.7000"	"  27.2000"	""	""	""	""	""	""	
"05/12/2017 15:40'00"	"42867.6527777778"	"  26.9000"	"  26.3000"	""	""	""	""	""	""	
"05/12/2017 15:50'00"	"42867.6597222222"	"  26.8000"	"  26.3000"	""	""	""	""	""	""	
"05/12/2017 16:00'00"	"42867.6666666667"	"  26.5000"	"  26.6000"	""	""	""	""	""	""	
"05/12/2017 16:10'00"	"42867.6736111111"	"  25.7000"	"  25.2000"	""	""	""	""	""	""	
"05/12/2017 16:20'00"	"42867.6805555556"	"  25.3000"	"  24.9000"	""	""	""	""	""	""	
"05/12/2017 16:30'00"	"42867.6875000000"	"  25.7000"	"  25.1000"	""	""	""	""	""	""	
"05/12/2017 16:40'00"	"42867.6944444444"	"  25.9000"	"  25.3000"	""	""	""	""	""	""	
"05/12/2017 16:50'00"	"42867.7013888889"	"  26.8000"	"  25.8000"	""	""	""	""	""	""	
"05/12/2017 17:00'00"	"42867.7083333333"	"  25.4000"	"  25.0000"	""	""	""	""	""	""	
"05/12/2017 17:10'00"	"42867.7152777778"	"  24.3000"	"  24.2000"	""	""	""	""	""	""	
"05/12/2017 17:20'00"	"42867.7222222222"	"  24.0000"	"  23.8000"	""	""	""	""	""	""	
"05/12/2017 17:30'00"	"42867.7291666667"	"  23.7000"	"  23.6000"	""	""	""	""	""	""	
"05/12/2017 17:40'00"	"42867.7361111111"	"  23.3000"	"  23.4000"	""	""	""	""	""	""	
"05/12/2017 17:50'00"	"42867.7430555556"	"  23.0000"	"  23.0000"	""	""	""	""	""	""	
"05/12/2017 18:00'00"	"42867.7500000000"	"  22.7000"	"  22.8000"	""	""	""	""	""	""	
"05/12/2017 18:10'00"	"42867.7569444444"	"  22.6000"	"  22.7000"	""	""	""	""	""	""	
"05/12/2017 18:20'00"	"42867.7638888889"	"  22.2000"	"  22.3000"	""	""	""	""	""	""	
"05/12/2017 18:30'00"	"42867.7708333333"	"  21.8000"	"  22.0000"	""	""	""	""	""	""	
"05/12/2017 18:40'00"	"42867.7777777778"	"  21.7000"	"  21.8000"	""	""	""	""	""	""	
"05/12/2017 18:50'00"	"42867.7847222222"	"  21.4000"	"  21.6000"	""	""	""	""	""	""	
"05/12/2017 19:00'00"	"42867.7916666667"	"  21.4000"	"  21.5000"	""	""	""	""	""	""	
"05/12/2017 19:10'00"	"42867.7986111111"	"  21.3000"	"  21.4000"	""	""	""	""	""	""	
"05/12/2017 19:20'00"	"42867.8055555556"	"  21.2000"	"  21.3000"	""	""	""	""	""	""	
"05/12/2017 19:30'00"	"42867.8125000000"	"  21.0000"	"  21.2000"	""	""	""	""	""	""	
"05/12/2017 19:40'00"	"42867.8194444444"	"  20.9000"	"  21.1000"	""	""	""	""	""	""	
"05/12/2017 19:50'00"	"42867.8263888889"	"  20.7000"	"  20.8000"	""	""	""	""	""	""	
"05/12/2017 20:00'00"	"42867.8333333333"	"  21.0000"	"  21.1000"	""	""	""	""	""	""	
"05/12/2017 20:10'00"	"42867.8402777778"	"  20.6000"	"  20.7000"	""	""	""	""	""	""	
