Date/Time,T20,ST
2017/8/1 0:00,26.5,27.7
2017/8/1 0:10,26.2,27.6
2017/8/1 0:20,26.1,27.6
2017/8/1 0:30,26.6,27.5
2017/8/1 0:40,26.7,27.5
2017/8/1 0:50,26.2,27.5
2017/8/1 1:00,26.1,27.5
2017/8/1 1:10,26.4,27.4
2017/8/1 1:20,26.5,27.4
2017/8/1 1:30,26,27.4
2017/8/1 1:40,26,27.4
2017/8/1 1:50,25.5,27.4
2017/8/1 2:00,25.7,27.3
2017/8/1 2:10,25.8,27.3
2017/8/1 2:20,25.7,27.2
2017/8/1 2:30,25.5,27.2
2017/8/1 2:40,25.4,27.2
2017/8/1 2:50,25.4,27.1
2017/8/1 3:00,25.2,27.1
2017/8/1 3:10,25.1,27.1
2017/8/1 3:20,25.2,27.1
2017/8/1 3:30,24.9,27
2017/8/1 3:40,24.9,27
2017/8/1 3:50,24.8,27
2017/8/1 4:00,25,27
2017/8/1 4:10,24.8,26.9
2017/8/1 4:20,25,26.9
2017/8/1 4:30,25,26.9
2017/8/1 4:40,25.2,26.9
2017/8/1 4:50,25.1,26.8
2017/8/1 5:00,25.3,26.8
2017/8/1 5:10,25.2,26.8
2017/8/1 5:20,25.3,26.8
2017/8/1 5:30,25.5,26.8
2017/8/1 5:40,25.7,26.8
2017/8/1 5:50,25.9,26.8
2017/8/1 6:00,25.9,26.8
2017/8/1 6:10,26.2,26.8
2017/8/1 6:20,26.5,26.9
2017/8/1 6:30,26.4,26.8
2017/8/1 6:40,27,26.9
2017/8/1 6:50,27.2,27
2017/8/1 7:00,27.5,27
2017/8/1 7:10,27.6,27.1
2017/8/1 7:20,27.8,27.1
2017/8/1 7:30,28.1,27.2
2017/8/1 7:40,28.2,27.2
2017/8/1 7:50,30.2,27.3
2017/8/1 8:00,30.2,27.4
2017/8/1 8:10,30.1,27.5
2017/8/1 8:20,29.8,27.6
2017/8/1 8:30,29.4,27.7
2017/8/1 8:40,31.4,27.8
2017/8/1 8:50,31.5,27.9
2017/8/1 9:00,32.6,28
2017/8/1 9:10,33.6,28.1
2017/8/1 9:20,32.9,28.3
2017/8/1 9:30,34.1,28.4
2017/8/1 9:40,33.9,28.6
2017/8/1 9:50,33.6,28.7
2017/8/1 10:00,35.4,28.8
2017/8/1 10:10,33.8,29
2017/8/1 10:20,34.8,29.2
2017/8/1 10:30,33.6,29.3
2017/8/1 10:40,33.5,29.3
2017/8/1 10:50,33.3,29.4
2017/8/1 11:00,34.3,29.4
2017/8/1 11:10,34.8,29.4
2017/8/1 11:20,33.8,29.6
2017/8/1 11:30,36.5,29.7
2017/8/1 11:40,34.9,29.8
2017/8/1 11:50,36.5,29.9
2017/8/1 12:00,36.3,30
2017/8/1 12:10,35.5,30.2
2017/8/1 12:20,34.5,30.2
2017/8/1 12:30,37,30.2
2017/8/1 12:40,36.2,30.4
2017/8/1 12:50,36.4,30.5
2017/8/1 13:00,36.4,30.6
2017/8/1 13:10,35.9,30.6
2017/8/1 13:20,35.7,30.6
2017/8/1 13:30,36.1,30.7
2017/8/1 13:40,35.1,30.7
2017/8/1 13:50,36,30.7
2017/8/1 14:00,37.2,30.7
2017/8/1 14:10,36.3,30.6
2017/8/1 14:20,36.2,30.6
2017/8/1 14:30,35.9,30.7
2017/8/1 14:40,34.9,30.6
2017/8/1 14:50,33.3,30.6
2017/8/1 15:00,33,30.4
2017/8/1 15:10,32.8,30.4
2017/8/1 15:20,33.9,30.2
2017/8/1 15:30,33.7,30.2
2017/8/1 15:40,33.7,30.3
2017/8/1 15:50,32.6,30.2
2017/8/1 16:00,32.4,30.1
2017/8/1 16:10,32.7,30
2017/8/1 16:20,32.4,30
2017/8/1 16:30,32.9,29.9
2017/8/1 16:40,32.7,30
2017/8/1 16:50,32,29.9
2017/8/1 17:00,32.6,29.9
2017/8/1 17:10,32.4,29.8
2017/8/1 17:20,32.3,29.8
2017/8/1 17:30,32.2,29.6
2017/8/1 17:40,32.2,29.5
2017/8/1 17:50,31.9,29.5
2017/8/1 18:00,31.6,29.4
2017/8/1 18:10,31.2,29.3
2017/8/1 18:20,30.8,29.2
2017/8/1 18:30,30.7,29.1
2017/8/1 18:40,30.3,29
2017/8/1 18:50,30.2,28.9
2017/8/1 19:00,29.6,28.8
2017/8/1 19:10,29.3,28.7
2017/8/1 19:20,28.9,28.7
2017/8/1 19:30,29.2,28.6
2017/8/1 19:40,29,28.5
2017/8/1 19:50,28.9,28.4
2017/8/1 20:00,28.6,28.4
2017/8/1 20:10,28.4,28.4
2017/8/1 20:20,27.9,28.3
2017/8/1 20:30,27.8,28.2
2017/8/1 20:40,27.4,28.2
2017/8/1 20:50,27,28.1
2017/8/1 21:00,27.7,28
2017/8/1 21:10,28,28
2017/8/1 21:20,28.1,28.1
2017/8/1 21:30,28.2,28
2017/8/1 21:40,28.1,28
2017/8/1 21:50,28.2,28
2017/8/1 22:00,27.9,27.9
2017/8/1 22:10,28,27.9
2017/8/1 22:20,27.8,27.8
2017/8/1 22:30,27.4,27.7
2017/8/1 22:40,26.3,27.7
2017/8/1 22:50,25.4,27.6
2017/8/1 23:00,25.2,27.5
2017/8/1 23:10,25.5,27.4
2017/8/1 23:20,25.7,27.5
2017/8/1 23:30,25.7,27.4
2017/8/1 23:40,25.9,27.4
2017/8/1 23:50,25.7,27.4
2017/8/2 0:00,25.5,27.4
2017/8/2 0:10,25.7,27.4
2017/8/2 0:20,25.7,27.3
2017/8/2 0:30,25.7,27.3
2017/8/2 0:40,25.5,27.3
2017/8/2 0:50,25.6,27.3
2017/8/2 1:00,25.5,27.3
2017/8/2 1:10,25.6,27.2
2017/8/2 1:20,25.7,27.2
2017/8/2 1:30,25.7,27.2
2017/8/2 1:40,25.3,27.2
2017/8/2 1:50,25,27.1
2017/8/2 2:00,25,27.1
2017/8/2 2:10,24.9,27.1
2017/8/2 2:20,24.8,27
2017/8/2 2:30,24.9,27
2017/8/2 2:40,25.1,27
2017/8/2 2:50,25.1,26.9
2017/8/2 3:00,25.2,26.9
2017/8/2 3:10,25.2,26.9
2017/8/2 3:20,25,26.9
2017/8/2 3:30,25,26.9
2017/8/2 3:40,25,26.9
2017/8/2 3:50,25,26.8
2017/8/2 4:00,25,26.8
2017/8/2 4:10,25,26.8
2017/8/2 4:20,25.1,26.8
2017/8/2 4:30,25.2,26.8
2017/8/2 4:40,25.4,26.8
2017/8/2 4:50,25,26.8
2017/8/2 5:00,25,26.8
2017/8/2 5:10,25,26.8
2017/8/2 5:20,25.1,26.7
2017/8/2 5:30,25.4,26.7
