"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72 temp","TR-72 hum"
"","","°C","%"
"2017-08-01 00:00:00","42948.0000000000","27.0","91"
"2017-08-01 00:10:00","42948.0069444444","26.8","91"
"2017-08-01 00:20:00","42948.0138888889","26.7","92"
"2017-08-01 00:30:00","42948.0208333333","26.8","93"
"2017-08-01 00:40:00","42948.0277777778","26.9","93"
"2017-08-01 00:50:00","42948.0347222222","26.8","93"
"2017-08-01 01:00:00","42948.0416666667","26.7","92"
"2017-08-01 01:10:00","42948.0486111111","26.7","94"
"2017-08-01 01:20:00","42948.0555555556","26.8","94"
"2017-08-01 01:30:00","42948.0625000000","26.7","94"
"2017-08-01 01:40:00","42948.0694444444","26.6","94"
"2017-08-01 01:50:00","42948.0763888889","26.6","94"
"2017-08-01 02:00:00","42948.0833333333","26.5","94"
"2017-08-01 02:10:00","42948.0902777778","26.5","95"
"2017-08-01 02:20:00","42948.0972222222","26.4","95"
"2017-08-01 02:30:00","42948.1041666667","26.2","95"
"2017-08-01 02:40:00","42948.1111111111","26.3","95"
"2017-08-01 02:50:00","42948.1180555556","26.1","95"
"2017-08-01 03:00:00","42948.1250000000","26.1","95"
"2017-08-01 03:10:00","42948.1319444444","26.1","95"
"2017-08-01 03:20:00","42948.1388888889","26.2","96"
"2017-08-01 03:30:00","42948.1458333333","26.1","96"
"2017-08-01 03:40:00","42948.1527777778","26.2","96"
"2017-08-01 03:50:00","42948.1597222222","26.0","95"
"2017-08-01 04:00:00","42948.1666666667","25.8","95"
"2017-08-01 04:10:00","42948.1736111111","25.9","96"
"2017-08-01 04:20:00","42948.1805555556","25.9","97"
"2017-08-01 04:30:00","42948.1875000000","25.9","97"
"2017-08-01 04:40:00","42948.1944444444","25.9","97"
"2017-08-01 04:50:00","42948.2013888889","25.9","97"
"2017-08-01 05:00:00","42948.2083333333","25.9","97"
"2017-08-01 05:10:00","42948.2152777778","25.9","97"
"2017-08-01 05:20:00","42948.2222222222","26.0","97"
"2017-08-01 05:30:00","42948.2291666667","26.2","97"
"2017-08-01 05:40:00","42948.2361111111","26.3","97"
"2017-08-01 05:50:00","42948.2430555556","26.2","96"
"2017-08-01 06:00:00","42948.2500000000","26.5","96"
"2017-08-01 06:10:00","42948.2569444444","26.6","95"
"2017-08-01 06:20:00","42948.2638888889","26.9","96"
"2017-08-01 06:30:00","42948.2708333333","26.6","92"
"2017-08-01 06:40:00","42948.2777777778","26.7","93"
"2017-08-01 06:50:00","42948.2847222222","26.8","91"
"2017-08-01 07:00:00","42948.2916666667","27.4","93"
"2017-08-01 07:10:00","42948.2986111111","27.4","90"
"2017-08-01 07:20:00","42948.3055555556","27.6","88"
"2017-08-01 07:30:00","42948.3125000000","27.9","88"
"2017-08-01 07:40:00","42948.3194444444","28.2","86"
"2017-08-01 07:50:00","42948.3263888889","29.0","88"
"2017-08-01 08:00:00","42948.3333333333","29.7","82"
"2017-08-01 08:10:00","42948.3402777778","29.7","80"
"2017-08-01 08:20:00","42948.3472222222","29.4","79"
"2017-08-01 08:30:00","42948.3541666667","29.3","80"
"2017-08-01 08:40:00","42948.3611111111","30.0","80"
"2017-08-01 08:50:00","42948.3680555556","30.6","76"
"2017-08-01 09:00:00","42948.3750000000","31.3","72"
"2017-08-01 09:10:00","42948.3819444444","31.6","77"
"2017-08-01 09:20:00","42948.3888888889","31.7","73"
"2017-08-01 09:30:00","42948.3958333333","31.9","77"
"2017-08-01 09:40:00","42948.4027777778","32.5","70"
"2017-08-01 09:50:00","42948.4097222222","31.8","71"
"2017-08-01 10:00:00","42948.4166666667","32.8","75"
"2017-08-01 10:10:00","42948.4236111111","33.2","73"
"2017-08-01 10:20:00","42948.4305555556","33.5","75"
"2017-08-01 10:30:00","42948.4375000000","32.3","73"
"2017-08-01 10:40:00","42948.4444444444","32.3","77"
"2017-08-01 10:50:00","42948.4513888889","33.0","74"
"2017-08-01 11:00:00","42948.4583333333","32.6","76"
"2017-08-01 11:10:00","42948.4652777778","32.7","77"
"2017-08-01 11:20:00","42948.4722222222","33.1","75"
"2017-08-01 11:30:00","42948.4791666667","33.9","74"
"2017-08-01 11:40:00","42948.4861111111","33.9","67"
"2017-08-01 11:50:00","42948.4930555556","34.0","71"
"2017-08-01 12:00:00","42948.5000000000","34.3","67"
"2017-08-01 12:10:00","42948.5069444444","34.6","66"
"2017-08-01 12:20:00","42948.5138888889","34.2","68"
"2017-08-01 12:30:00","42948.5208333333","34.6","65"
"2017-08-01 12:40:00","42948.5277777778","34.7","65"
"2017-08-01 12:50:00","42948.5347222222","34.8","67"
"2017-08-01 13:00:00","42948.5416666667","34.9","67"
"2017-08-01 13:10:00","42948.5486111111","35.0","68"
"2017-08-01 13:20:00","42948.5555555556","34.3","67"
"2017-08-01 13:30:00","42948.5625000000","34.4","68"
"2017-08-01 13:40:00","42948.5694444444","34.4","65"
"2017-08-01 13:50:00","42948.5763888889","34.6","65"
"2017-08-01 14:00:00","42948.5833333333","34.5","67"
"2017-08-01 14:10:00","42948.5902777778","34.0","67"
"2017-08-01 14:20:00","42948.5972222222","34.3","69"
"2017-08-01 14:30:00","42948.6041666667","34.1","68"
"2017-08-01 14:40:00","42948.6111111111","33.6","71"
"2017-08-01 14:50:00","42948.6180555556","32.7","71"
"2017-08-01 15:00:00","42948.6250000000","32.3","72"
"2017-08-01 15:10:00","42948.6319444444","32.1","73"
"2017-08-01 15:20:00","42948.6388888889","32.4","72"
"2017-08-01 15:30:00","42948.6458333333","32.8","73"
"2017-08-01 15:40:00","42948.6527777778","33.1","70"
"2017-08-01 15:50:00","42948.6597222222","32.7","67"
"2017-08-01 16:00:00","42948.6666666667","32.1","68"
"2017-08-01 16:10:00","42948.6736111111","31.9","70"
"2017-08-01 16:20:00","42948.6805555556","31.8","70"
"2017-08-01 16:30:00","42948.6875000000","31.8","73"
"2017-08-01 16:40:00","42948.6944444444","32.3","72"
"2017-08-01 16:50:00","42948.7013888889","31.8","69"
"2017-08-01 17:00:00","42948.7083333333","31.7","70"
"2017-08-01 17:10:00","42948.7152777778","31.7","71"
"2017-08-01 17:20:00","42948.7222222222","31.7","70"
"2017-08-01 17:30:00","42948.7291666667","31.3","66"
"2017-08-01 17:40:00","42948.7361111111","31.4","65"
"2017-08-01 17:50:00","42948.7430555556","31.1","66"
"2017-08-01 18:00:00","42948.7500000000","30.9","68"
"2017-08-01 18:10:00","42948.7569444444","30.6","69"
"2017-08-01 18:20:00","42948.7638888889","30.4","64"
"2017-08-01 18:30:00","42948.7708333333","30.2","65"
"2017-08-01 18:40:00","42948.7777777778","30.0","65"
"2017-08-01 18:50:00","42948.7847222222","29.8","67"
"2017-08-01 19:00:00","42948.7916666667","29.4","75"
"2017-08-01 19:10:00","42948.7986111111","29.1","71"
"2017-08-01 19:20:00","42948.8055555556","28.8","72"
"2017-08-01 19:30:00","42948.8125000000","28.8","70"
"2017-08-01 19:40:00","42948.8194444444","28.7","72"
"2017-08-01 19:50:00","42948.8263888889","28.5","74"
"2017-08-01 20:00:00","42948.8333333333","28.4","77"
"2017-08-01 20:10:00","42948.8402777778","28.1","77"
"2017-08-01 20:20:00","42948.8472222222","27.9","78"
"2017-08-01 20:30:00","42948.8541666667","27.7","79"
"2017-08-01 20:40:00","42948.8611111111","27.5","83"
"2017-08-01 20:50:00","42948.8680555556","27.3","80"
"2017-08-01 21:00:00","42948.8750000000","27.3","83"
"2017-08-01 21:10:00","42948.8819444444","27.5","82"
"2017-08-01 21:20:00","42948.8888888889","27.7","82"
"2017-08-01 21:30:00","42948.8958333333","28.0","80"
"2017-08-01 21:40:00","42948.9027777778","27.8","79"
"2017-08-01 21:50:00","42948.9097222222","28.0","76"
"2017-08-01 22:00:00","42948.9166666667","28.0","76"
"2017-08-01 22:10:00","42948.9236111111","27.9","78"
"2017-08-01 22:20:00","42948.9305555556","27.9","74"
"2017-08-01 22:30:00","42948.9375000000","27.8","76"
"2017-08-01 22:40:00","42948.9444444444","27.4","81"
"2017-08-01 22:50:00","42948.9513888889","26.8","84"
"2017-08-01 23:00:00","42948.9583333333","26.3","86"
"2017-08-01 23:10:00","42948.9652777778","26.4","88"
"2017-08-01 23:20:00","42948.9722222222","26.6","90"
"2017-08-01 23:30:00","42948.9791666667","26.6","91"
"2017-08-01 23:40:00","42948.9861111111","26.6","91"
"2017-08-01 23:50:00","42948.9930555556","26.6","88"
"2017-08-02 00:00:00","42949.0000000000","26.5","88"
"2017-08-02 00:10:00","42949.0069444444","26.5","87"
"2017-08-02 00:20:00","42949.0138888889","26.5","89"
"2017-08-02 00:30:00","42949.0208333333","26.5","88"
"2017-08-02 00:40:00","42949.0277777778","26.6","91"
"2017-08-02 00:50:00","42949.0347222222","26.4","88"
"2017-08-02 01:00:00","42949.0416666667","26.4","86"
"2017-08-02 01:10:00","42949.0486111111","26.5","89"
"2017-08-02 01:20:00","42949.0555555556","26.5","91"
"2017-08-02 01:30:00","42949.0625000000","26.3","89"
"2017-08-02 01:40:00","42949.0694444444","26.4","91"
"2017-08-02 01:50:00","42949.0763888889","26.4","92"
"2017-08-02 02:00:00","42949.0833333333","26.3","92"
"2017-08-02 02:10:00","42949.0902777778","26.1","91"
"2017-08-02 02:20:00","42949.0972222222","26.1","91"
"2017-08-02 02:30:00","42949.1041666667","26.2","93"
"2017-08-02 02:40:00","42949.1111111111","26.1","92"
"2017-08-02 02:50:00","42949.1180555556","26.3","94"
"2017-08-02 03:00:00","42949.1250000000","26.3","94"
"2017-08-02 03:10:00","42949.1319444444","26.1","94"
"2017-08-02 03:20:00","42949.1388888889","26.1","94"
"2017-08-02 03:30:00","42949.1458333333","26.2","95"
"2017-08-02 03:40:00","42949.1527777778","26.2","96"
"2017-08-02 03:50:00","42949.1597222222","26.2","96"
"2017-08-02 04:00:00","42949.1666666667","26.3","96"
"2017-08-02 04:10:00","42949.1736111111","26.4","97"
"2017-08-02 04:20:00","42949.1805555556","26.3","96"
"2017-08-02 04:30:00","42949.1875000000","26.4","97"
"2017-08-02 04:40:00","42949.1944444444","26.4","96"
"2017-08-02 04:50:00","42949.2013888889","26.2","95"
"2017-08-02 05:00:00","42949.2083333333","26.1","94"
"2017-08-02 05:10:00","42949.2152777778","26.0","94"
"2017-08-02 05:20:00","42949.2222222222","26.1","95"
"2017-08-02 05:30:00","42949.2291666667","26.1","96"
"2017-08-02 05:40:00","42949.2361111111","26.4","97"
"2017-08-02 05:50:00","42949.2430555556","26.6","97"
"2017-08-02 06:00:00","42949.2500000000","26.7","96"
"2017-08-02 06:10:00","42949.2569444444","26.9","96"
"2017-08-02 06:20:00","42949.2638888889","27.1","95"
"2017-08-02 06:30:00","42949.2708333333","27.3","94"
"2017-08-02 06:40:00","42949.2777777778","27.5","92"
"2017-08-02 06:50:00","42949.2847222222","27.8","91"
"2017-08-02 07:00:00","42949.2916666667","28.1","91"
"2017-08-02 07:10:00","42949.2986111111","27.9","88"
"2017-08-02 07:20:00","42949.3055555556","27.9","87"
"2017-08-02 07:30:00","42949.3125000000","27.6","88"
"2017-08-02 07:40:00","42949.3194444444","27.3","89"
"2017-08-02 07:50:00","42949.3263888889","27.1","89"
"2017-08-02 08:00:00","42949.3333333333","27.0","89"
"2017-08-02 08:10:00","42949.3402777778","27.2","88"
"2017-08-02 08:20:00","42949.3472222222","27.8","89"
"2017-08-02 08:30:00","42949.3541666667","28.4","85"
"2017-08-02 08:40:00","42949.3611111111","33.6","97"
"2017-08-02 08:50:00","42949.3680555556","32.7","100"
"2017-08-02 09:00:00","42949.3750000000","32.8","100"
"2017-08-02 09:10:00","42949.3819444444","33.5","100"
"2017-08-02 09:20:00","42949.3888888889","33.4","100"
"2017-08-02 09:30:00","42949.3958333333","32.7","100"
"2017-08-02 09:40:00","42949.4027777778","32.8","100"
"2017-08-02 09:50:00","42949.4097222222","33.7","100"
"2017-08-02 10:00:00","42949.4166666667","33.7","100"
"2017-08-02 10:10:00","42949.4236111111","33.3","100"
"2017-08-02 10:20:00","42949.4305555556","32.9","100"
"2017-08-02 10:30:00","42949.4375000000","32.7","100"
"2017-08-02 10:40:00","42949.4444444444","33.1","100"
"2017-08-02 10:50:00","42949.4513888889","34.1","100"
"2017-08-02 11:00:00","42949.4583333333","35.1","100"
"2017-08-02 11:10:00","42949.4652777778","35.0","100"
"2017-08-02 11:20:00","42949.4722222222","34.6","100"
"2017-08-02 11:30:00","42949.4791666667","34.5","100"
"2017-08-02 11:40:00","42949.4861111111","34.3","100"
"2017-08-02 11:50:00","42949.4930555556","34.3","100"
"2017-08-02 12:00:00","42949.5000000000","34.3","99"
"2017-08-02 12:10:00","42949.5069444444","33.5","98"
"2017-08-02 12:20:00","42949.5138888889","33.0","97"
"2017-08-02 12:30:00","42949.5208333333","32.3","97"
"2017-08-02 12:40:00","42949.5277777778","32.3","97"
"2017-08-02 12:50:00","42949.5347222222","30.4","97"
"2017-08-02 13:00:00","42949.5416666667","28.3","99"
"2017-08-02 13:10:00","42949.5486111111","28.7","98"
"2017-08-02 13:20:00","42949.5555555556","28.3","97"
"2017-08-02 13:30:00","42949.5625000000","28.8","91"
"2017-08-02 13:40:00","42949.5694444444","29.4","85"
"2017-08-02 13:50:00","42949.5763888889","29.1","83"
"2017-08-02 14:00:00","42949.5833333333","29.2","82"
"2017-08-02 14:10:00","42949.5902777778","29.0","75"
"2017-08-02 14:20:00","42949.5972222222","28.5","76"
"2017-08-02 14:30:00","42949.6041666667","28.1","77"
"2017-08-02 14:40:00","42949.6111111111","27.9","78"
"2017-08-02 14:50:00","42949.6180555556","28.7","78"
"2017-08-02 15:00:00","42949.6250000000","29.2","76"
"2017-08-02 15:10:00","42949.6319444444","28.9","76"
"2017-08-02 15:20:00","42949.6388888889","28.2","77"
"2017-08-02 15:30:00","42949.6458333333","27.7","77"
"2017-08-02 15:40:00","42949.6527777778","27.3","78"
"2017-08-02 15:50:00","42949.6597222222","27.1","78"
"2017-08-02 16:00:00","42949.6666666667","26.9","79"
"2017-08-02 16:10:00","42949.6736111111","26.8","79"
"2017-08-02 16:20:00","42949.6805555556","26.8","80"
