"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","°C","°C","","","","","",""
"10/13/2017 00:00'00","43021.0000000000","  20.3000","  22.8000","","","","","","",
"10/13/2017 00:10'00","43021.0069444444","  20.3000","  22.9000","","","","","","",
"10/13/2017 00:20'00","43021.0138888889","  20.3000","  22.8000","","","","","","",
"10/13/2017 00:30'00","43021.0208333333","  20.4000","  22.8000","","","","","","",
"10/13/2017 00:40'00","43021.0277777778","  20.5000","  22.8000","","","","","","",
"10/13/2017 00:50'00","43021.0347222222","  20.6000","  22.8000","","","","","","",
"10/13/2017 01:00'00","43021.0416666667","  20.4000","  22.8000","","","","","","",
"10/13/2017 01:10'00","43021.0486111111","  20.4000","  22.8000","","","","","","",
"10/13/2017 01:20'00","43021.0555555556","  20.1000","  22.8000","","","","","","",
"10/13/2017 01:30'00","43021.0625000000","  19.5000","  22.7000","","","","","","",
"10/13/2017 01:40'00","43021.0694444444","  19.5000","  22.7000","","","","","","",
"10/13/2017 01:50'00","43021.0763888889","  19.3000","  22.7000","","","","","","",
"10/13/2017 02:00'00","43021.0833333333","  19.3000","  22.7000","","","","","","",
"10/13/2017 02:10'00","43021.0902777778","  19.4000","  22.7000","","","","","","",
"10/13/2017 02:20'00","43021.0972222222","  19.3000","  22.6000","","","","","","",
"10/13/2017 02:30'00","43021.1041666667","  19.3000","  22.6000","","","","","","",
"10/13/2017 02:40'00","43021.1111111111","  19.0000","  22.6000","","","","","","",
"10/13/2017 02:50'00","43021.1180555556","  19.1000","  22.6000","","","","","","",
"10/13/2017 03:00'00","43021.1250000000","  19.0000","  22.5000","","","","","","",
"10/13/2017 03:10'00","43021.1319444444","  19.0000","  22.5000","","","","","","",
"10/13/2017 03:20'00","43021.1388888889","  19.0000","  22.4000","","","","","","",
"10/13/2017 03:30'00","43021.1458333333","  18.8000","  22.4000","","","","","","",
"10/13/2017 03:40'00","43021.1527777778","  19.0000","  22.4000","","","","","","",
"10/13/2017 03:50'00","43021.1597222222","  18.9000","  22.4000","","","","","","",
"10/13/2017 04:00'00","43021.1666666667","  19.2000","  22.4000","","","","","","",
"10/13/2017 04:10'00","43021.1736111111","  19.5000","  22.3000","","","","","","",
"10/13/2017 04:20'00","43021.1805555556","  19.2000","  22.3000","","","","","","",
"10/13/2017 04:30'00","43021.1875000000","  19.3000","  22.3000","","","","","","",
"10/13/2017 04:40'00","43021.1944444444","  18.8000","  22.2000","","","","","","",
"10/13/2017 04:50'00","43021.2013888889","  19.1000","  22.2000","","","","","","",
"10/13/2017 05:00'00","43021.2083333333","  19.4000","  22.2000","","","","","","",
"10/13/2017 05:10'00","43021.2152777778","  19.6000","  22.2000","","","","","","",
"10/13/2017 05:20'00","43021.2222222222","  19.2000","  22.1000","","","","","","",
"10/13/2017 05:30'00","43021.2291666667","  19.1000","  22.1000","","","","","","",
"10/13/2017 05:40'00","43021.2361111111","  19.0000","  22.1000","","","","","","",
"10/13/2017 05:50'00","43021.2430555556","  19.0000","  22.1000","","","","","","",
"10/13/2017 06:00'00","43021.2500000000","  18.8000","  22.1000","","","","","","",
"10/13/2017 06:10'00","43021.2569444444","  19.2000","  22.1000","","","","","","",
"10/13/2017 06:20'00","43021.2638888889","  18.9000","  22.1000","","","","","","",
"10/13/2017 06:30'00","43021.2708333333","  18.9000","  22.1000","","","","","","",
"10/13/2017 06:40'00","43021.2777777778","  19.1000","  22.1000","","","","","","",
"10/13/2017 06:50'00","43021.2847222222","  19.4000","  22.0000","","","","","","",
"10/13/2017 07:00'00","43021.2916666667","  19.8000","  22.0000","","","","","","",
"10/13/2017 07:10'00","43021.2986111111","  19.9000","  22.0000","","","","","","",
"10/13/2017 07:20'00","43021.3055555556","  20.1000","  22.0000","","","","","","",
"10/13/2017 07:30'00","43021.3125000000","  20.6000","  22.0000","","","","","","",
"10/13/2017 07:40'00","43021.3194444444","  20.9000","  22.0000","","","","","","",
"10/13/2017 07:50'00","43021.3263888889","  20.5000","  22.0000","","","","","","",
"10/13/2017 08:00'00","43021.3333333333","  21.2000","  22.0000","","","","","","",
"10/13/2017 08:10'00","43021.3402777778","  21.2000","  22.0000","","","","","","",
"10/13/2017 08:20'00","43021.3472222222","  20.4000","  22.0000","","","","","","",
"10/13/2017 08:30'00","43021.3541666667","  21.9000","  22.0000","","","","","","",
"10/13/2017 08:40'00","43021.3611111111","  23.5000","  22.0000","","","","","","",
"10/13/2017 08:50'00","43021.3680555556","  22.1000","  22.0000","","","","","","",
"10/13/2017 09:00'00","43021.3750000000","  22.4000","  22.1000","","","","","","",
"10/13/2017 09:10'00","43021.3819444444","  23.9000","  22.0000","","","","","","",
