"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","‹C‰·","Ž¼“x"
"","","°C","%"
"2017-10-13 00:00:00","43021.0000000000","20.6","91.0"
"2017-10-13 00:10:00","43021.0069444444","20.5","91.0"
"2017-10-13 00:20:00","43021.0138888889","20.6","92.0"
"2017-10-13 00:30:00","43021.0208333333","20.6","92.0"
"2017-10-13 00:40:00","43021.0277777778","20.7","92.0"
"2017-10-13 00:50:00","43021.0347222222","20.8","94.0"
"2017-10-13 01:00:00","43021.0416666667","20.6","95.0"
"2017-10-13 01:10:00","43021.0486111111","20.6","95.0"
"2017-10-13 01:20:00","43021.0555555556","20.4","94.0"
"2017-10-13 01:30:00","43021.0625000000","20.1","94.0"
"2017-10-13 01:40:00","43021.0694444444","20.1","94.0"
"2017-10-13 01:50:00","43021.0763888889","19.8","94.0"
"2017-10-13 02:00:00","43021.0833333333","19.7","94.0"
"2017-10-13 02:10:00","43021.0902777778","19.6","93.0"
"2017-10-13 02:20:00","43021.0972222222","19.6","94.0"
"2017-10-13 02:30:00","43021.1041666667","19.5","94.0"
"2017-10-13 02:40:00","43021.1111111111","19.4","94.0"
"2017-10-13 02:50:00","43021.1180555556","19.4","94.0"
"2017-10-13 03:00:00","43021.1250000000","19.3","93.0"
"2017-10-13 03:10:00","43021.1319444444","19.5","93.0"
"2017-10-13 03:20:00","43021.1388888889","19.3","93.0"
"2017-10-13 03:30:00","43021.1458333333","19.1","93.0"
"2017-10-13 03:40:00","43021.1527777778","19.2","93.0"
"2017-10-13 03:50:00","43021.1597222222","19.0","93.0"
"2017-10-13 04:00:00","43021.1666666667","19.1","94.0"
"2017-10-13 04:10:00","43021.1736111111","19.4","95.0"
"2017-10-13 04:20:00","43021.1805555556","19.3","95.0"
"2017-10-13 04:30:00","43021.1875000000","19.3","94.0"
"2017-10-13 04:40:00","43021.1944444444","19.1","93.0"
"2017-10-13 04:50:00","43021.2013888889","19.3","92.0"
"2017-10-13 05:00:00","43021.2083333333","19.6","94.0"
"2017-10-13 05:10:00","43021.2152777778","19.7","94.0"
"2017-10-13 05:20:00","43021.2222222222","19.6","94.0"
"2017-10-13 05:30:00","43021.2291666667","19.4","92.0"
"2017-10-13 05:40:00","43021.2361111111","19.3","91.0"
"2017-10-13 05:50:00","43021.2430555556","19.3","89.0"
"2017-10-13 06:00:00","43021.2500000000","19.2","86.0"
"2017-10-13 06:10:00","43021.2569444444","19.3","87.0"
"2017-10-13 06:20:00","43021.2638888889","19.3","85.0"
"2017-10-13 06:30:00","43021.2708333333","19.3","84.0"
"2017-10-13 06:40:00","43021.2777777778","19.4","86.0"
"2017-10-13 06:50:00","43021.2847222222","19.6","88.0"
"2017-10-13 07:00:00","43021.2916666667","19.7","89.0"
"2017-10-13 07:10:00","43021.2986111111","19.8","89.0"
"2017-10-13 07:20:00","43021.3055555556","20.0","88.0"
"2017-10-13 07:30:00","43021.3125000000","20.1","89.0"
"2017-10-13 07:40:00","43021.3194444444","20.4","88.0"
"2017-10-13 07:50:00","43021.3263888889","20.4","84.0"
"2017-10-13 08:00:00","43021.3333333333","20.6","82.0"
"2017-10-13 08:10:00","43021.3402777778","20.9","81.0"
"2017-10-13 08:20:00","43021.3472222222","20.5","80.0"
"2017-10-13 08:30:00","43021.3541666667","20.9","78.0"
"2017-10-13 08:40:00","43021.3611111111","21.8","76.0"
"2017-10-13 08:50:00","43021.3680555556","21.6","76.0"
"2017-10-13 09:00:00","43021.3750000000","21.6","76.0"
"2017-10-13 09:10:00","43021.3819444444","22.4","75.0"
"2017-10-13 09:20:00","43021.3888888889","22.8","72.0"
"2017-10-13 09:30:00","43021.3958333333","23.3","73.0"
"2017-10-13 09:40:00","43021.4027777778","25.3","69.0"
"2017-10-13 09:50:00","43021.4097222222","24.3","66.0"
"2017-10-13 10:00:00","43021.4166666667","23.5","68.0"
"2017-10-13 10:10:00","43021.4236111111","24.0","68.0"
"2017-10-13 10:20:00","43021.4305555556","24.9","67.0"
"2017-10-13 10:30:00","43021.4375000000","25.5","64.0"
"2017-10-13 10:40:00","43021.4444444444","26.1","61.0"
"2017-10-13 10:50:00","43021.4513888889","27.2","61.0"
"2017-10-13 11:00:00","43021.4583333333","26.8","59.0"
"2017-10-13 11:10:00","43021.4652777778","26.2","61.0"
"2017-10-13 11:20:00","43021.4722222222","25.0","64.0"
"2017-10-13 11:30:00","43021.4791666667","24.5","64.0"
"2017-10-13 11:40:00","43021.4861111111","24.1","65.0"
"2017-10-13 11:50:00","43021.4930555556","23.9","67.0"
"2017-10-13 12:00:00","43021.5000000000","23.5","67.0"
"2017-10-13 12:10:00","43021.5069444444","22.9","70.0"
"2017-10-13 12:20:00","43021.5138888889","22.9","69.0"
"2017-10-13 12:30:00","43021.5208333333","23.0","70.0"
"2017-10-13 12:40:00","43021.5277777778","22.9","69.0"
"2017-10-13 12:50:00","43021.5347222222","22.5","70.0"
"2017-10-13 13:00:00","43021.5416666667","22.4","70.0"
"2017-10-13 13:10:00","43021.5486111111","22.6","70.0"
"2017-10-13 13:20:00","43021.5555555556","22.5","72.0"
"2017-10-13 13:30:00","43021.5625000000","22.4","70.0"
"2017-10-13 13:40:00","43021.5694444444","22.2","70.0"
"2017-10-13 13:50:00","43021.5763888889","22.5","72.0"
"2017-10-13 14:00:00","43021.5833333333","22.6","69.0"
"2017-10-13 14:10:00","43021.5902777778","22.4","69.0"
"2017-10-13 14:20:00","43021.5972222222","22.2","68.0"
"2017-10-13 14:30:00","43021.6041666667","22.2","70.0"
"2017-10-13 14:40:00","43021.6111111111","22.2","68.0"
"2017-10-13 14:50:00","43021.6180555556","21.8","68.0"
"2017-10-13 15:00:00","43021.6250000000","21.6","70.0"
"2017-10-13 15:10:00","43021.6319444444","21.5","70.0"
"2017-10-13 15:20:00","43021.6388888889","21.5","71.0"
"2017-10-13 15:30:00","43021.6458333333","21.4","72.0"
"2017-10-13 15:40:00","43021.6527777778","21.3","76.0"
"2017-10-13 15:50:00","43021.6597222222","21.2","76.0"
"2017-10-13 16:00:00","43021.6666666667","21.2","78.0"
"2017-10-13 16:10:00","43021.6736111111","21.1","80.0"
"2017-10-13 16:20:00","43021.6805555556","21.0","77.0"
"2017-10-13 16:30:00","43021.6875000000","20.9","80.0"
"2017-10-13 16:40:00","43021.6944444444","20.9","77.0"
"2017-10-13 16:50:00","43021.7013888889","20.9","77.0"
"2017-10-13 17:00:00","43021.7083333333","21.0","79.0"
"2017-10-13 17:10:00","43021.7152777778","20.8","79.0"
"2017-10-13 17:20:00","43021.7222222222","20.8","81.0"
"2017-10-13 17:30:00","43021.7291666667","20.9","84.0"
"2017-10-13 17:40:00","43021.7361111111","20.9","87.0"
"2017-10-13 17:50:00","43021.7430555556","20.8","82.0"
"2017-10-13 18:00:00","43021.7500000000","20.8","81.0"
"2017-10-13 18:10:00","43021.7569444444","20.8","81.0"
"2017-10-13 18:20:00","43021.7638888889","20.7","80.0"
"2017-10-13 18:30:00","43021.7708333333","20.7","81.0"
"2017-10-13 18:40:00","43021.7777777778","20.6","84.0"
"2017-10-13 18:50:00","43021.7847222222","20.5","82.0"
"2017-10-13 19:00:00","43021.7916666667","20.4","81.0"
"2017-10-13 19:10:00","43021.7986111111","20.3","82.0"
"2017-10-13 19:20:00","43021.8055555556","20.2","84.0"
"2017-10-13 19:30:00","43021.8125000000","20.0","87.0"
"2017-10-13 19:40:00","43021.8194444444","19.9","88.0"
"2017-10-13 19:50:00","43021.8263888889","19.8","90.0"
"2017-10-13 20:00:00","43021.8333333333","19.9","91.0"
"2017-10-13 20:10:00","43021.8402777778","19.8","92.0"
"2017-10-13 20:20:00","43021.8472222222","19.8","93.0"
"2017-10-13 20:30:00","43021.8541666667","19.9","94.0"
"2017-10-13 20:40:00","43021.8611111111","19.8","94.0"
"2017-10-13 20:50:00","43021.8680555556","19.7","93.0"
"2017-10-13 21:00:00","43021.8750000000","19.6","93.0"
"2017-10-13 21:10:00","43021.8819444444","19.6","93.0"
"2017-10-13 21:20:00","43021.8888888889","19.6","94.0"
"2017-10-13 21:30:00","43021.8958333333","19.6","95.0"
"2017-10-13 21:40:00","43021.9027777778","19.5","95.0"
"2017-10-13 21:50:00","43021.9097222222","19.6","95.0"
"2017-10-13 22:00:00","43021.9166666667","19.7","96.0"
"2017-10-13 22:10:00","43021.9236111111","19.6","96.0"
"2017-10-13 22:20:00","43021.9305555556","19.7","97.0"
"2017-10-13 22:30:00","43021.9375000000","19.6","97.0"
"2017-10-13 22:40:00","43021.9444444444","19.6","97.0"
"2017-10-13 22:50:00","43021.9513888889","19.7","97.0"
"2017-10-13 23:00:00","43021.9583333333","19.6","97.0"
"2017-10-13 23:10:00","43021.9652777778","19.6","97.0"
"2017-10-13 23:20:00","43021.9722222222","19.7","97.0"
"2017-10-13 23:30:00","43021.9791666667","19.7","98.0"
"2017-10-13 23:40:00","43021.9861111111","19.6","98.0"
"2017-10-13 23:50:00","43021.9930555556","19.7","98.0"
"2017-10-14 00:00:00","43022.0000000000","19.6","98.0"
"2017-10-14 00:10:00","43022.0069444444","19.6","98.0"
"2017-10-14 00:20:00","43022.0138888889","19.5","98.0"
"2017-10-14 00:30:00","43022.0208333333","19.3","97.0"
"2017-10-14 00:40:00","43022.0277777778","19.3","97.0"
"2017-10-14 00:50:00","43022.0347222222","19.2","96.0"
"2017-10-14 01:00:00","43022.0416666667","19.1","97.0"
"2017-10-14 01:10:00","43022.0486111111","19.1","97.0"
"2017-10-14 01:20:00","43022.0555555556","19.1","97.0"
"2017-10-14 01:30:00","43022.0625000000","19.3","97.0"
"2017-10-14 01:40:00","43022.0694444444","19.3","98.0"
"2017-10-14 01:50:00","43022.0763888889","19.4","98.0"
"2017-10-14 02:00:00","43022.0833333333","19.2","97.0"
"2017-10-14 02:10:00","43022.0902777778","19.1","97.0"
"2017-10-14 02:20:00","43022.0972222222","19.1","97.0"
"2017-10-14 02:30:00","43022.1041666667","19.0","96.0"
"2017-10-14 02:40:00","43022.1111111111","18.8","96.0"
"2017-10-14 02:50:00","43022.1180555556","18.8","96.0"
"2017-10-14 03:00:00","43022.1250000000","18.8","96.0"
"2017-10-14 03:10:00","43022.1319444444","18.7","96.0"
"2017-10-14 03:20:00","43022.1388888889","18.8","96.0"
"2017-10-14 03:30:00","43022.1458333333","18.7","96.0"
"2017-10-14 03:40:00","43022.1527777778","18.7","96.0"
"2017-10-14 03:50:00","43022.1597222222","18.7","96.0"
"2017-10-14 04:00:00","43022.1666666667","18.8","96.0"
"2017-10-14 04:10:00","43022.1736111111","18.7","96.0"
"2017-10-14 04:20:00","43022.1805555556","18.6","97.0"
"2017-10-14 04:30:00","43022.1875000000","18.7","97.0"
"2017-10-14 04:40:00","43022.1944444444","18.8","97.0"
"2017-10-14 04:50:00","43022.2013888889","18.9","97.0"
"2017-10-14 05:00:00","43022.2083333333","18.9","98.0"
"2017-10-14 05:10:00","43022.2152777778","19.0","98.0"
"2017-10-14 05:20:00","43022.2222222222","19.1","98.0"
"2017-10-14 05:30:00","43022.2291666667","19.0","98.0"
"2017-10-14 05:40:00","43022.2361111111","19.0","98.0"
"2017-10-14 05:50:00","43022.2430555556","19.0","98.0"
"2017-10-14 06:00:00","43022.2500000000","19.1","98.0"
"2017-10-14 06:10:00","43022.2569444444","19.1","98.0"
"2017-10-14 06:20:00","43022.2638888889","19.2","98.0"
"2017-10-14 06:30:00","43022.2708333333","19.1","98.0"
"2017-10-14 06:40:00","43022.2777777778","19.1","98.0"
"2017-10-14 06:50:00","43022.2847222222","19.2","98.0"
"2017-10-14 07:00:00","43022.2916666667","19.5","99.0"
"2017-10-14 07:10:00","43022.2986111111","19.2","98.0"
"2017-10-14 07:20:00","43022.3055555556","19.2","98.0"
"2017-10-14 07:30:00","43022.3125000000","19.2","98.0"
"2017-10-14 07:40:00","43022.3194444444","19.3","98.0"
"2017-10-14 07:50:00","43022.3263888889","19.5","98.0"
"2017-10-14 08:00:00","43022.3333333333","19.6","99.0"
"2017-10-14 08:10:00","43022.3402777778","19.5","98.0"
"2017-10-14 08:20:00","43022.3472222222","19.5","98.0"
"2017-10-14 08:30:00","43022.3541666667","19.6","98.0"
"2017-10-14 08:40:00","43022.3611111111","19.7","98.0"
"2017-10-14 08:50:00","43022.3680555556","20.7","98.0"
"2017-10-14 09:00:00","43022.3750000000","21.1","97.0"
"2017-10-14 09:10:00","43022.3819444444","21.4","96.0"
"2017-10-14 09:20:00","43022.3888888889","21.8","95.0"
"2017-10-14 09:30:00","43022.3958333333","21.5","93.0"
"2017-10-14 09:40:00","43022.4027777778","21.8","92.0"
"2017-10-14 09:50:00","43022.4097222222","22.1","92.0"
"2017-10-14 10:00:00","43022.4166666667","21.8","89.0"
"2017-10-14 10:10:00","43022.4236111111","22.2","89.0"
"2017-10-14 10:20:00","43022.4305555556","21.8","87.0"
"2017-10-14 10:30:00","43022.4375000000","21.7","87.0"
"2017-10-14 10:40:00","43022.4444444444","21.9","88.0"
"2017-10-14 10:50:00","43022.4513888889","21.8","87.0"
"2017-10-14 11:00:00","43022.4583333333","22.4","88.0"
"2017-10-14 11:10:00","43022.4652777778","22.5","85.0"
"2017-10-14 11:20:00","43022.4722222222","22.8","83.0"
"2017-10-14 11:30:00","43022.4791666667","23.3","82.0"
"2017-10-14 11:40:00","43022.4861111111","22.8","80.0"
"2017-10-14 11:50:00","43022.4930555556","22.4","80.0"
"2017-10-14 12:00:00","43022.5000000000","22.2","82.0"
"2017-10-14 12:10:00","43022.5069444444","22.2","82.0"
"2017-10-14 12:20:00","43022.5138888889","22.5","84.0"
"2017-10-14 12:30:00","43022.5208333333","22.4","83.0"
"2017-10-14 12:40:00","43022.5277777778","22.4","83.0"
"2017-10-14 12:50:00","43022.5347222222","22.2","83.0"
"2017-10-14 13:00:00","43022.5416666667","21.6","84.0"
"2017-10-14 13:10:00","43022.5486111111","21.4","85.0"
"2017-10-14 13:20:00","43022.5555555556","21.5","85.0"
"2017-10-14 13:30:00","43022.5625000000","21.8","84.0"
"2017-10-14 13:40:00","43022.5694444444","21.6","85.0"
"2017-10-14 13:50:00","43022.5763888889","21.9","86.0"
"2017-10-14 14:00:00","43022.5833333333","21.8","87.0"
"2017-10-14 14:10:00","43022.5902777778","21.6","87.0"
"2017-10-14 14:20:00","43022.5972222222","21.2","87.0"
"2017-10-14 14:30:00","43022.6041666667","20.9","88.0"
"2017-10-14 14:40:00","43022.6111111111","20.7","88.0"
"2017-10-14 14:50:00","43022.6180555556","20.9","90.0"
"2017-10-14 15:00:00","43022.6250000000","21.0","90.0"
"2017-10-14 15:10:00","43022.6319444444","20.9","90.0"
"2017-10-14 15:20:00","43022.6388888889","21.0","90.0"
"2017-10-14 15:30:00","43022.6458333333","21.0","90.0"
"2017-10-14 15:40:00","43022.6527777778","21.2","90.0"
"2017-10-14 15:50:00","43022.6597222222","21.0","89.0"
"2017-10-14 16:00:00","43022.6666666667","20.9","88.0"
"2017-10-14 16:10:00","43022.6736111111","20.6","87.0"
"2017-10-14 16:20:00","43022.6805555556","20.6","88.0"
"2017-10-14 16:30:00","43022.6875000000","20.5","89.0"
"2017-10-14 16:40:00","43022.6944444444","20.4","90.0"
"2017-10-14 16:50:00","43022.7013888889","20.2","91.0"
"2017-10-14 17:00:00","43022.7083333333","20.1","91.0"
"2017-10-14 17:10:00","43022.7152777778","19.9","92.0"
"2017-10-14 17:20:00","43022.7222222222","19.8","92.0"
"2017-10-14 17:30:00","43022.7291666667","19.8","94.0"
"2017-10-14 17:40:00","43022.7361111111","19.7","94.0"
"2017-10-14 17:50:00","43022.7430555556","19.6","94.0"
"2017-10-14 18:00:00","43022.7500000000","19.7","94.0"
"2017-10-14 18:10:00","43022.7569444444","19.6","95.0"
"2017-10-14 18:20:00","43022.7638888889","19.5","95.0"
"2017-10-14 18:30:00","43022.7708333333","19.4","95.0"
"2017-10-14 18:40:00","43022.7777777778","19.4","96.0"
"2017-10-14 18:50:00","43022.7847222222","19.4","96.0"
"2017-10-14 19:00:00","43022.7916666667","19.4","97.0"
"2017-10-14 19:10:00","43022.7986111111","19.4","97.0"
"2017-10-14 19:20:00","43022.8055555556","19.6","97.0"
"2017-10-14 19:30:00","43022.8125000000","19.6","97.0"
"2017-10-14 19:40:00","43022.8194444444","19.5","97.0"
"2017-10-14 19:50:00","43022.8263888889","19.3","97.0"
"2017-10-14 20:00:00","43022.8333333333","19.2","97.0"
"2017-10-14 20:10:00","43022.8402777778","19.2","97.0"
"2017-10-14 20:20:00","43022.8472222222","19.2","97.0"
"2017-10-14 20:30:00","43022.8541666667","19.1","97.0"
"2017-10-14 20:40:00","43022.8611111111","18.7","97.0"
"2017-10-14 20:50:00","43022.8680555556","18.8","97.0"
"2017-10-14 21:00:00","43022.8750000000","18.8","97.0"
"2017-10-14 21:10:00","43022.8819444444","18.6","97.0"
"2017-10-14 21:20:00","43022.8888888889","18.7","97.0"
"2017-10-14 21:30:00","43022.8958333333","18.8","97.0"
"2017-10-14 21:40:00","43022.9027777778","18.8","98.0"
"2017-10-14 21:50:00","43022.9097222222","18.8","98.0"
"2017-10-14 22:00:00","43022.9166666667","18.6","97.0"
"2017-10-14 22:10:00","43022.9236111111","18.6","97.0"
"2017-10-14 22:20:00","43022.9305555556","18.5","97.0"
"2017-10-14 22:30:00","43022.9375000000","18.5","97.0"
"2017-10-14 22:40:00","43022.9444444444","18.7","97.0"
