date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,T20_mean_a,ST_mean_a,T60_mean_a,H_mean_a,T20_min_a,ST_min_a,T60_min_a,H_min_a,T20_max_a,ST_max_a,T60_max_a,H_max_a,T20_mean_b,ST_mean_b,T60_mean_b,H_mean_b,T20_min_b,ST_min_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b,T20_mean_c,ST_mean_c,T60_mean_c,H_mean_c,T20_min_c,ST_min_c,T60_min_c,H_min_c,T20_max_c,ST_max_c,T60_max_c,H_max_c,T20_mean_d,ST_mean_d,T60_mean_d,H_mean_d,T20_min_d,ST_min_d,T60_min_d,H_min_d,T20_max_d,ST_max_d,T60_max_d,H_max_d
2017-10-26,17.131192660550457,18.20642201834863,14.329357798165141,98.44036697247707,13.6,17.4,11.2,91.0,22.3,19.3,19.2,100.0,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0,19.41041666666667,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48.0,28.4,22.0,26.5,100.0,19.430555555555543,19.759027777777778,12.770138888888892,100.0,17.7,19.2,11.8,100.0,21.5,20.6,15.2,100.0,19.046527777777776,19.320138888888877,13.624305555555555,99.11111111111111,17.3,17.3,10.2,90.0,23.1,22.4,22.5,100.0,19.079861111111118,19.19930555555557,16.029166666666672,93.97916666666667,15.2,17.7,11.3,62.0,32.6,30.1,30.7,100.0,15.863888888888896,18.28125,8.838194444444438,98.60416666666667,12.2,18.2,0.3,77.0,20.7,18.4,15.3,100.0
2017-10-27,18.393577981651376,17.642201834862384,14.47981651376147,88.41284403669725,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0,19.41041666666667,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48.0,28.4,22.0,26.5,100.0,19.430555555555543,19.759027777777778,12.770138888888892,100.0,17.7,19.2,11.8,100.0,21.5,20.6,15.2,100.0,19.046527777777776,19.320138888888877,13.624305555555555,99.11111111111111,17.3,17.3,10.2,90.0,23.1,22.4,22.5,100.0,19.079861111111118,19.19930555555557,16.029166666666672,93.97916666666667,15.2,17.7,11.3,62.0,32.6,30.1,30.7,100.0
2017-10-28,18.49449541284404,17.96788990825688,15.525688073394495,86.90825688073394,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0,19.41041666666667,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48.0,28.4,22.0,26.5,100.0,19.430555555555543,19.759027777777778,12.770138888888892,100.0,17.7,19.2,11.8,100.0,21.5,20.6,15.2,100.0,19.046527777777776,19.320138888888877,13.624305555555555,99.11111111111111,17.3,17.3,10.2,90.0,23.1,22.4,22.5,100.0
2017-10-29,16.900917431192664,18.060550458715603,15.617431192660549,95.12844036697248,14.7,17.4,12.1,81.0,20.6,18.8,19.5,100.0,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0,19.41041666666667,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48.0,28.4,22.0,26.5,100.0,19.430555555555543,19.759027777777778,12.770138888888892,100.0,17.7,19.2,11.8,100.0,21.5,20.6,15.2,100.0
2017-10-30,17.658715596330268,18.063302752293573,10.328440366972474,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81.0,20.6,18.8,19.5,100.0,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0,19.41041666666667,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48.0,28.4,22.0,26.5,100.0
2017-10-31,17.897247706422018,18.22110091743119,16.054128440366966,77.6788990825688,11.8,17.1,11.0,44.0,25.7,19.6,24.9,100.0,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81.0,20.6,18.8,19.5,100.0,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0
2017-11-01,16.35779816513761,16.499999999999993,13.084403669724772,86.75229357798165,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44.0,25.7,19.6,24.9,100.0,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81.0,20.6,18.8,19.5,100.0,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0
2017-11-02,17.97522935779817,17.51376146788991,14.598165137614684,88.74311926605505,10.2,15.0,5.1,55.0,28.4,20.9,28.2,100.0,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44.0,25.7,19.6,24.9,100.0,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81.0,20.6,18.8,19.5,100.0,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0
2017-11-03,16.458715596330272,16.45963302752293,13.882568807339451,87.03669724770643,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55.0,28.4,20.9,28.2,100.0,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44.0,25.7,19.6,24.9,100.0,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81.0,20.6,18.8,19.5,100.0,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0
2017-11-04,17.831192660550453,17.21651376146789,15.858715596330276,83.71559633027523,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55.0,28.4,20.9,28.2,100.0,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44.0,25.7,19.6,24.9,100.0,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81.0,20.6,18.8,19.5,100.0
2017-11-05,18.80642201834863,18.37706422018348,15.352293577981655,87.20183486238533,13.4,16.7,8.6,53.0,27.4,20.6,25.8,100.0,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55.0,28.4,20.9,28.2,100.0,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44.0,25.7,19.6,24.9,100.0,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100.0,21.6,19.3,12.0,100.0
