Date/Time,Date/Time,No.1,No.2,,
Date/Time,Date/Time,TR-71 temp,TR-71 soil,,
,,°C,°C,,
2017/10/13 0:00,43021,20.6,22.6,,30.1
2017/10/13 0:10,43021.00694,20.4,22.6,,
2017/10/13 0:20,43021.01389,20.6,22.5,,
2017/10/13 0:30,43021.02083,20.6,22.5,,
2017/10/13 0:40,43021.02778,20.7,22.5,,
2017/10/13 0:50,43021.03472,20.8,22.5,,
2017/10/13 1:00,43021.04167,20.7,22.5,,
2017/10/13 1:10,43021.04861,20.6,22.5,,
2017/10/13 1:20,43021.05556,20.5,22.5,,
2017/10/13 1:30,43021.0625,20.3,22.4,,
2017/10/13 1:40,43021.06944,20.2,22.4,,
2017/10/13 1:50,43021.07639,20.1,22.4,,
2017/10/13 2:00,43021.08333,20,22.4,,
2017/10/13 2:10,43021.09028,19.8,22.3,,
2017/10/13 2:20,43021.09722,19.5,22.3,,
2017/10/13 2:30,43021.10417,19.1,22.3,,
2017/10/13 2:40,43021.11111,19.2,22.2,,
2017/10/13 2:50,43021.11806,19.1,22.2,,
2017/10/13 3:00,43021.125,19.1,22.1,,
2017/10/13 3:10,43021.13194,19.1,22.1,,
2017/10/13 3:20,43021.13889,19.1,22.1,,
2017/10/13 3:30,43021.14583,18.9,22.1,,
2017/10/13 3:40,43021.15278,18.6,22,,
2017/10/13 3:50,43021.15972,18.6,22,,
2017/10/13 4:00,43021.16667,18.7,21.9,,
2017/10/13 4:10,43021.17361,19.2,21.9,,
2017/10/13 4:20,43021.18056,19.3,21.9,,
2017/10/13 4:30,43021.1875,19.2,21.9,,
2017/10/13 4:40,43021.19444,18.9,21.8,,
2017/10/13 4:50,43021.20139,19,21.8,,
2017/10/13 5:00,43021.20833,19.5,21.8,,
2017/10/13 5:10,43021.21528,19.6,21.8,,
2017/10/13 5:20,43021.22222,19.5,21.8,,
2017/10/13 5:30,43021.22917,19.4,21.8,,
2017/10/13 5:40,43021.23611,19.2,21.8,,
2017/10/13 5:50,43021.24306,19.1,21.7,,
2017/10/13 6:00,43021.25,18.8,21.7,,
2017/10/13 6:10,43021.25694,18.8,21.7,,
2017/10/13 6:20,43021.26389,19,21.7,,
2017/10/13 6:30,43021.27083,19.2,21.6,,
2017/10/13 6:40,43021.27778,19.3,21.6,,
2017/10/13 6:50,43021.28472,19.4,21.6,,
2017/10/13 7:00,43021.29167,19.8,21.6,,
2017/10/13 7:10,43021.29861,20,21.6,,
2017/10/13 7:20,43021.30556,20.2,21.6,,
2017/10/13 7:30,43021.3125,20.8,21.6,,
2017/10/13 7:40,43021.31944,20.9,21.6,,
2017/10/13 7:50,43021.32639,20.7,21.7,,
2017/10/13 8:00,43021.33333,21.3,21.7,,
2017/10/13 8:10,43021.34028,21.4,21.7,,
2017/10/13 8:20,43021.34722,20.9,21.7,,
2017/10/13 8:30,43021.35417,21.8,21.7,,
2017/10/13 8:40,43021.36111,22.9,21.8,,
2017/10/13 8:50,43021.36806,22.3,21.8,,
2017/10/13 9:00,43021.375,22.4,21.8,,
2017/10/13 9:10,43021.38194,23.5,21.8,,
2017/10/13 9:20,43021.38889,23.9,21.9,,
2017/10/13 9:30,43021.39583,24.9,21.9,,
2017/10/13 9:40,43021.40278,27.6,22,,
2017/10/13 9:50,43021.40972,25.1,22.1,,
2017/10/13 10:00,43021.41667,23.8,22.2,,
2017/10/13 10:10,43021.42361,25,22.2,,
2017/10/13 10:20,43021.43056,26.4,22.3,,
2017/10/13 10:30,43021.4375,27.5,22.4,,
2017/10/13 10:40,43021.44444,28.2,22.5,,
2017/10/13 10:50,43021.45139,29.5,22.6,,
2017/10/13 11:00,43021.45833,28.6,22.7,,
2017/10/13 11:10,43021.46528,27.1,22.8,,
2017/10/13 11:20,43021.47222,25.6,22.8,,
2017/10/13 11:30,43021.47917,24.8,22.9,,
2017/10/13 11:40,43021.48611,24.5,22.9,,
2017/10/13 11:50,43021.49306,24.1,22.9,,
2017/10/13 12:00,43021.5,23.7,22.9,,
2017/10/13 12:10,43021.50694,23.1,22.8,,
2017/10/13 12:20,43021.51389,23,22.8,,
2017/10/13 12:30,43021.52083,23.3,22.8,,
2017/10/13 12:40,43021.52778,23.1,22.8,,
2017/10/13 12:50,43021.53472,22.5,22.8,,
2017/10/13 13:00,43021.54167,22.6,22.7,,
2017/10/13 13:10,43021.54861,22.9,22.7,,
2017/10/13 13:20,43021.55556,22.7,22.7,,
2017/10/13 13:30,43021.5625,22.4,22.7,,
2017/10/13 13:40,43021.56944,21.9,22.6,,
2017/10/13 13:50,43021.57639,22.9,22.6,,
2017/10/13 14:00,43021.58333,22.9,22.6,,
2017/10/13 14:10,43021.59028,22.4,22.6,,
2017/10/13 14:20,43021.59722,22.3,22.6,,
2017/10/13 14:30,43021.60417,22.3,22.6,,
2017/10/13 14:40,43021.61111,22.2,22.5,,
2017/10/13 14:50,43021.61806,21.6,22.5,,
2017/10/13 15:00,43021.625,21.5,22.5,,
2017/10/13 15:10,43021.63194,21.5,22.4,,
2017/10/13 15:20,43021.63889,21.3,22.4,,
2017/10/13 15:30,43021.64583,21.3,22.4,,
2017/10/13 15:40,43021.65278,21.2,22.3,,
2017/10/13 15:50,43021.65972,21.1,22.3,,
2017/10/13 16:00,43021.66667,21.2,22.3,,
2017/10/13 16:10,43021.67361,21,22.3,,
2017/10/13 16:20,43021.68056,20.9,22.2,,
2017/10/13 16:30,43021.6875,20.9,22.2,,
2017/10/13 16:40,43021.69444,20.9,22.2,,
2017/10/13 16:50,43021.70139,20.9,22.2,,
2017/10/13 17:00,43021.70833,20.9,22.1,,
2017/10/13 17:10,43021.71528,20.8,22.1,,
2017/10/13 17:20,43021.72222,20.7,22.1,,
2017/10/13 17:30,43021.72917,20.9,22.1,,
2017/10/13 17:40,43021.73611,20.9,22.1,,
2017/10/13 17:50,43021.74306,20.8,22.1,,
2017/10/13 18:00,43021.75,20.7,22.1,,
2017/10/13 18:10,43021.75694,20.6,22.1,,
2017/10/13 18:20,43021.76389,20.6,22,,
2017/10/13 18:30,43021.77083,20.6,22,,
2017/10/13 18:40,43021.77778,20.3,22,,
2017/10/13 18:50,43021.78472,20.4,22,,
2017/10/13 19:00,43021.79167,20.2,22,,
2017/10/13 19:10,43021.79861,20.2,21.9,,
