Date/Time,T20,ST,T60,H
2017/12/19 0:00,11.7,15.4,12.6,100
2017/12/19 0:10,12.9,15.4,13.1,100
2017/12/19 0:20,12.8,15.3,13.3,100
2017/12/19 0:30,11.8,15.3,12.6,100
2017/12/19 0:40,12.1,15.3,12.7,100
2017/12/19 0:50,13.1,15.3,13.3,100
2017/12/19 1:00,11.8,15.2,12.6,100
2017/12/19 1:10,12.1,15.2,12.6,100
2017/12/19 1:20,12.7,15.2,13,100
2017/12/19 1:30,11.3,15.2,12.1,100
2017/12/19 1:40,12.4,15.1,12.4,100
2017/12/19 1:50,12.3,15.1,12.6,100
2017/12/19 2:00,10.9,15,11.7,100
2017/12/19 2:10,12.6,15,12.5,100
2017/12/19 2:20,12.1,15,12.5,100
2017/12/19 2:30,11.3,14.9,11.9,100
2017/12/19 2:40,12.8,14.9,12.7,100
2017/12/19 2:50,11.6,14.9,12.2,100
2017/12/19 3:00,12.1,14.9,12.3,100
2017/12/19 3:10,12.6,14.9,12.8,100
2017/12/19 3:20,11.2,14.9,11.9,100
2017/12/19 3:30,12.8,14.8,12.6,100
2017/12/19 3:40,12.3,14.8,12.5,100
2017/12/19 3:50,11.3,14.8,11.8,100
2017/12/19 4:00,13,14.8,12.7,100
2017/12/19 4:10,11.8,14.8,12.4,100
2017/12/19 4:20,11.9,14.7,12.2,100
2017/12/19 4:30,12.8,14.7,12.8,100
2017/12/19 4:40,11.3,14.7,11.9,100
2017/12/19 4:50,12.7,14.7,12.5,100
2017/12/19 5:00,12,14.7,12.4,100
2017/12/19 5:10,11.5,14.7,11.9,100
2017/12/19 5:20,12.8,14.6,12.7,100
2017/12/19 5:30,11.3,14.6,11.9,100
2017/12/19 5:40,12.2,14.6,12.2,100
2017/12/19 5:50,12.1,14.6,12.3,100
2017/12/19 6:00,11.1,14.6,11.7,100
2017/12/19 6:10,12.7,14.6,12.4,100
2017/12/19 6:20,11.3,14.6,11.9,100
2017/12/19 6:30,11.8,14.5,11.9,100
2017/12/19 6:40,12.2,14.5,12.3,100
2017/12/19 6:50,10.9,14.5,11.4,100
2017/12/19 7:00,12.6,14.5,12.3,100
2017/12/19 7:10,11.4,14.5,11.8,100
2017/12/19 7:20,11.7,14.4,11.9,100
2017/12/19 7:30,12.6,14.4,12.6,100
2017/12/19 7:40,11.4,14.4,12.1,100
2017/12/19 7:50,11.1,14.4,12.1,100
2017/12/19 8:00,11.2,14.4,12.2,100
2017/12/19 8:10,11.5,14.4,12.3,100
2017/12/19 8:20,12.4,14.4,12.8,100
2017/12/19 8:30,13.4,14.5,13.6,100
2017/12/19 8:40,14.6,14.6,14.5,100
2017/12/19 8:50,15.9,14.7,15.6,100
2017/12/19 9:00,17.1,14.8,16.8,100
2017/12/19 9:10,18.4,15,17.8,100
2017/12/19 9:20,19.7,15.2,18.7,100
2017/12/19 9:30,20.7,15.4,19.7,100
2017/12/19 9:40,22.5,15.6,20.7,98
2017/12/19 9:50,21,15.8,20.6,100
2017/12/19 10:00,21.2,16,21.2,100
2017/12/19 10:10,21.9,16.2,22,100
2017/12/19 10:20,22.9,16.3,22.8,100
2017/12/19 10:30,23.7,16.5,23.5,100
2017/12/19 10:40,24.5,16.7,24.1,100
2017/12/19 10:50,25.1,16.8,24.5,100
2017/12/19 11:00,25.6,17,24.7,99
2017/12/19 11:10,24,17.2,22.8,88
2017/12/19 11:20,22.6,17.2,22.1,89
2017/12/19 11:30,21.9,17.3,21.5,89
2017/12/19 11:40,22.6,17.4,22,87
2017/12/19 11:50,22.9,17.4,22.2,87
2017/12/19 12:00,21.5,17.5,21.4,83
2017/12/19 12:10,21.3,17.6,21.5,81
2017/12/19 12:20,21.4,17.6,21.8,81
2017/12/19 12:30,21.4,17.7,21.9,78
2017/12/19 12:40,21.2,17.8,22.1,78
2017/12/19 12:50,21.2,17.9,22.8,76
2017/12/19 13:00,22.9,18,24.3,79
2017/12/19 13:10,25.4,18.2,26.1,80
2017/12/19 13:20,26.7,18.4,26.2,79
2017/12/19 13:30,24.2,18.5,23.4,89
2017/12/19 13:40,21.5,18.5,21.3,96
2017/12/19 13:50,19.5,18.4,19.8,100
2017/12/19 14:00,18.7,18.3,19.3,100
2017/12/19 14:10,19.4,18.2,19.7,100
2017/12/19 14:20,22,18.2,21.9,97
2017/12/19 14:30,25.2,18.4,23.3,92
2017/12/19 14:40,26,18.6,25,86
2017/12/19 14:50,24.8,18.7,23.6,90
2017/12/19 15:00,22.4,18.7,21.7,93
2017/12/19 15:10,20.1,18.6,20,98
2017/12/19 15:20,20.4,18.6,19.6,99
2017/12/19 15:30,20.6,18.5,19.6,99
2017/12/19 15:40,20.1,18.4,19.5,100
2017/12/19 15:50,20.1,18.4,19.8,100
2017/12/19 16:00,19.5,18.4,19.4,100
2017/12/19 16:10,18.5,18.3,18.7,100
2017/12/19 16:20,17.6,18.3,17.8,100
2017/12/19 16:30,16.6,18.2,17,100
2017/12/19 16:40,15.7,18,16.4,100
2017/12/19 16:50,15.3,17.9,16,100
2017/12/19 17:00,14.8,17.8,15.6,100
2017/12/19 17:10,14.5,17.7,15.2,100
2017/12/19 17:20,14.1,17.6,14.8,100
2017/12/19 17:30,13.8,17.4,14.8,100
2017/12/19 17:40,13.6,17.3,14.5,100
2017/12/19 17:50,13.3,17.2,14.2,100
2017/12/19 18:00,13.1,17.1,13.9,100
2017/12/19 18:10,13,16.9,13.6,100
2017/12/19 18:20,12.8,16.8,13.5,100
2017/12/19 18:30,12.6,16.7,13.4,100
2017/12/19 18:40,12.5,16.6,13.3,100
2017/12/19 18:50,13.5,16.5,13.9,100
2017/12/19 19:00,13.4,16.5,13.9,100
2017/12/19 19:10,12.9,16.4,13.4,100
2017/12/19 19:20,12.5,16.3,13.1,100
2017/12/19 19:30,12.5,16.3,13.1,100
2017/12/19 19:40,13.6,16.2,13.8,100
2017/12/19 19:50,12.8,16.2,13.4,100
2017/12/19 20:00,12.4,16.1,13,100
2017/12/19 20:10,12.3,16,12.8,100
2017/12/19 20:20,13.4,16,13.6,100
2017/12/19 20:30,12.6,16,13.3,100
2017/12/19 20:40,12.1,15.9,12.8,100
2017/12/19 20:50,13,15.9,13.1,100
2017/12/19 21:00,13,15.8,13.4,100
2017/12/19 21:10,12.2,15.8,12.9,100
2017/12/19 21:20,12.2,15.7,12.7,100
2017/12/19 21:30,13.4,15.7,13.6,100
2017/12/19 21:40,12.5,15.7,13,100
2017/12/19 21:50,11.9,15.6,12.5,100
2017/12/19 22:00,13.1,15.6,13,100
2017/12/19 22:10,12.9,15.6,13.3,100
