date	disease
2018/3/23	0
2018/3/24	0
2018/3/25	0
2018/3/26	0
2018/3/27	0
2018/3/28	0
2018/3/29	0
2018/3/30	0
2018/3/31	0
2018/4/1	0
2018/4/2	0
2018/4/3	0
2018/4/4	0
2018/4/5	0
2018/4/6	0
2018/4/7	0
2018/4/8	0
2018/4/9	0
2018/4/10	0
2018/4/11	0
2018/4/12	0
2018/4/13	0
2018/4/14	0
2018/4/15	0
2018/4/16	0
2018/4/17	0
2018/4/18	0
2018/4/19	0
2018/4/20	0
2018/4/21	0
2018/4/22	0
2018/4/23	0
2018/4/24	0
2018/4/25	0
2018/4/26	0
2018/4/27	0
2018/4/28	0
2018/4/29	0
2018/4/30	0
2018/5/1	0
2018/5/2	0
2018/5/3	0
2018/5/4	0
2018/5/5	0
2018/5/6	0
2018/5/7	0
2018/5/8	0
2018/5/9	0
2018/5/10	0
2018/5/11	0
2018/5/12	0
2018/5/13	0
2018/5/14	0
2018/5/15	0
2018/5/16	0
2018/5/17	0
