"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-71 temp","TR-71 soil"
"","","°C","°C"
"2018-03-23 00:00:00","43182.0000000000","13.2","16.1"
"2018-03-23 00:10:00","43182.0069444444","13.8","16.0"
"2018-03-23 00:20:00","43182.0138888889","14.1","16.0"
"2018-03-23 00:30:00","43182.0208333333","12.7","16.0"
"2018-03-23 00:40:00","43182.0277777778","13.0","15.9"
"2018-03-23 00:50:00","43182.0347222222","13.5","15.9"
"2018-03-23 01:00:00","43182.0416666667","13.9","15.9"
"2018-03-23 01:10:00","43182.0486111111","14.0","15.9"
"2018-03-23 01:20:00","43182.0555555556","13.9","15.9"
"2018-03-23 01:30:00","43182.0625000000","12.6","15.9"
"2018-03-23 01:40:00","43182.0694444444","13.0","15.8"
"2018-03-23 01:50:00","43182.0763888889","13.3","15.8"
"2018-03-23 02:00:00","43182.0833333333","13.7","15.8"
"2018-03-23 02:10:00","43182.0902777778","13.7","15.8"
"2018-03-23 02:20:00","43182.0972222222","13.7","15.8"
"2018-03-23 02:30:00","43182.1041666667","13.6","15.8"
"2018-03-23 02:40:00","43182.1111111111","13.6","15.8"
"2018-03-23 02:50:00","43182.1180555556","13.7","15.7"
"2018-03-23 03:00:00","43182.1250000000","13.5","15.7"
"2018-03-23 03:10:00","43182.1319444444","13.5","15.7"
"2018-03-23 03:20:00","43182.1388888889","13.4","15.7"
"2018-03-23 03:30:00","43182.1458333333","13.4","15.7"
"2018-03-23 03:40:00","43182.1527777778","13.5","15.6"
"2018-03-23 03:50:00","43182.1597222222","13.3","15.6"
"2018-03-23 04:00:00","43182.1666666667","13.3","15.6"
"2018-03-23 04:10:00","43182.1736111111","13.3","15.6"
"2018-03-23 04:20:00","43182.1805555556","13.3","15.6"
"2018-03-23 04:30:00","43182.1875000000","13.4","15.5"
"2018-03-23 04:40:00","43182.1944444444","13.2","15.5"
"2018-03-23 04:50:00","43182.2013888889","13.3","15.5"
"2018-03-23 05:00:00","43182.2083333333","13.1","15.5"
"2018-03-23 05:10:00","43182.2152777778","13.3","15.5"
"2018-03-23 05:20:00","43182.2222222222","13.3","15.5"
"2018-03-23 05:30:00","43182.2291666667","13.1","15.4"
"2018-03-23 05:40:00","43182.2361111111","13.1","15.4"
"2018-03-23 05:50:00","43182.2430555556","13.1","15.4"
"2018-03-23 06:00:00","43182.2500000000","13.1","15.4"
"2018-03-23 06:10:00","43182.2569444444","13.3","15.4"
"2018-03-23 06:20:00","43182.2638888889","13.5","15.4"
"2018-03-23 06:30:00","43182.2708333333","13.4","15.4"
"2018-03-23 06:40:00","43182.2777777778","12.9","15.4"
"2018-03-23 06:50:00","43182.2847222222","13.0","15.4"
"2018-03-23 07:00:00","43182.2916666667","13.4","15.4"
"2018-03-23 07:10:00","43182.2986111111","14.1","15.4"
"2018-03-23 07:20:00","43182.3055555556","15.0","15.4"
"2018-03-23 07:30:00","43182.3125000000","16.3","15.5"
"2018-03-23 07:40:00","43182.3194444444","17.1","15.6"
"2018-03-23 07:50:00","43182.3263888889","17.7","15.7"
"2018-03-23 08:00:00","43182.3333333333","18.7","15.8"
"2018-03-23 08:10:00","43182.3402777778","19.8","15.9"
"2018-03-23 08:20:00","43182.3472222222","20.0","16.0"
"2018-03-23 08:30:00","43182.3541666667","20.1","16.1"
"2018-03-23 08:40:00","43182.3611111111","20.5","16.2"
"2018-03-23 08:50:00","43182.3680555556","20.7","16.3"
"2018-03-23 09:00:00","43182.3750000000","21.7","16.4"
"2018-03-23 09:10:00","43182.3819444444","22.1","16.6"
"2018-03-23 09:20:00","43182.3888888889","22.3","16.7"
"2018-03-23 09:30:00","43182.3958333333","23.2","16.9"
"2018-03-23 09:40:00","43182.4027777778","25.6","17.1"
"2018-03-23 09:50:00","43182.4097222222","25.7","17.2"
"2018-03-23 10:00:00","43182.4166666667","26.3","17.4"
"2018-03-23 10:10:00","43182.4236111111","26.3","17.6"
"2018-03-23 10:20:00","43182.4305555556","27.4","17.8"
"2018-03-23 10:30:00","43182.4375000000","27.5","17.9"
"2018-03-23 10:40:00","43182.4444444444","28.6","18.1"
"2018-03-23 10:50:00","43182.4513888889","28.6","18.3"
"2018-03-23 11:00:00","43182.4583333333","29.4","18.5"
"2018-03-23 11:10:00","43182.4652777778","26.9","18.6"
"2018-03-23 11:20:00","43182.4722222222","26.8","18.7"
"2018-03-23 11:30:00","43182.4791666667","26.8","18.7"
"2018-03-23 11:40:00","43182.4861111111","27.6","18.8"
"2018-03-23 11:50:00","43182.4930555556","27.1","18.9"
"2018-03-23 12:00:00","43182.5000000000","27.3","18.9"
"2018-03-23 12:10:00","43182.5069444444","32.1","19.1"
"2018-03-23 12:20:00","43182.5138888889","33.2","19.4"
"2018-03-23 12:30:00","43182.5208333333","33.8","19.6"
"2018-03-23 12:40:00","43182.5277777778","34.0","19.9"
"2018-03-23 12:50:00","43182.5347222222","34.2","20.3"
"2018-03-23 13:00:00","43182.5416666667","34.1","20.6"
"2018-03-23 13:10:00","43182.5486111111","34.8","20.8"
"2018-03-23 13:20:00","43182.5555555556","34.6","21.0"
"2018-03-23 13:30:00","43182.5625000000","34.0","21.0"
"2018-03-23 13:40:00","43182.5694444444","32.6","21.0"
"2018-03-23 13:50:00","43182.5763888889","31.7","21.0"
"2018-03-23 14:00:00","43182.5833333333","30.5","21.0"
"2018-03-23 14:10:00","43182.5902777778","29.2","21.0"
"2018-03-23 14:20:00","43182.5972222222","28.2","20.9"
"2018-03-23 14:30:00","43182.6041666667","27.5","20.9"
"2018-03-23 14:40:00","43182.6111111111","26.9","20.8"
"2018-03-23 14:50:00","43182.6180555556","26.7","20.7"
"2018-03-23 15:00:00","43182.6250000000","26.3","20.7"
"2018-03-23 15:10:00","43182.6319444444","25.9","20.6"
"2018-03-23 15:20:00","43182.6388888889","25.4","20.6"
"2018-03-23 15:30:00","43182.6458333333","25.1","20.5"
"2018-03-23 15:40:00","43182.6527777778","25.2","20.4"
"2018-03-23 15:50:00","43182.6597222222","26.0","20.4"
"2018-03-23 16:00:00","43182.6666666667","25.7","20.3"
"2018-03-23 16:10:00","43182.6736111111","25.7","20.3"
"2018-03-23 16:20:00","43182.6805555556","26.4","20.2"
"2018-03-23 16:30:00","43182.6875000000","26.1","20.2"
