Date/Time,T20,ST,T60,H
2018/3/23 0:00,13.2,16.1,13.5,81.8
2018/3/23 0:10,13.8,16,14,78.9
2018/3/23 0:20,14.1,16,14.2,79.9
2018/3/23 0:30,12.7,16,13,80.8
2018/3/23 0:40,13,15.9,13.4,81.6
2018/3/23 0:50,13.5,15.9,13.8,79
2018/3/23 1:00,13.9,15.9,14.1,77.4
2018/3/23 1:10,14,15.9,14.2,77.6
2018/3/23 1:20,13.9,15.9,14,81.1
2018/3/23 1:30,12.6,15.9,12.9,80.3
2018/3/23 1:40,13,15.8,13.3,81
2018/3/23 1:50,13.3,15.8,13.6,78.3
2018/3/23 2:00,13.7,15.8,13.8,77.1
2018/3/23 2:10,13.7,15.8,13.9,76.6
2018/3/23 2:20,13.7,15.8,13.9,76.8
2018/3/23 2:30,13.6,15.8,13.9,76.6
2018/3/23 2:40,13.6,15.8,13.9,76.3
2018/3/23 2:50,13.7,15.7,13.8,76.3
2018/3/23 3:00,13.5,15.7,13.8,77.4
2018/3/23 3:10,13.5,15.7,13.7,77
2018/3/23 3:20,13.4,15.7,13.7,76.7
2018/3/23 3:30,13.4,15.7,13.7,76.8
2018/3/23 3:40,13.5,15.6,13.7,76.5
2018/3/23 3:50,13.3,15.6,13.6,76.9
2018/3/23 4:00,13.3,15.6,13.6,77.2
2018/3/23 4:10,13.3,15.6,13.6,76.6
2018/3/23 4:20,13.3,15.6,13.6,77
2018/3/23 4:30,13.4,15.5,13.5,77.3
2018/3/23 4:40,13.2,15.5,13.5,77.5
2018/3/23 4:50,13.3,15.5,13.5,77.6
2018/3/23 5:00,13.1,15.5,13.4,77.1
2018/3/23 5:10,13.3,15.5,13.4,77.2
2018/3/23 5:20,13.3,15.5,13.4,77.7
2018/3/23 5:30,13.1,15.4,13.4,77.5
2018/3/23 5:40,13.1,15.4,13.3,77.2
2018/3/23 5:50,13.1,15.4,13.3,77.8
2018/3/23 6:00,13.1,15.4,13.3,77.8
2018/3/23 6:10,13.3,15.4,13.5,77.9
2018/3/23 6:20,13.5,15.4,13.7,78.3
2018/3/23 6:30,13.4,15.4,13.4,80.7
2018/3/23 6:40,12.9,15.4,13,82
2018/3/23 6:50,13,15.4,12.9,83.8
2018/3/23 7:00,13.4,15.4,13.3,84.7
2018/3/23 7:10,14.1,15.4,14,85.1
2018/3/23 7:20,15,15.4,14.8,84
2018/3/23 7:30,16.3,15.5,15.8,81.1
2018/3/23 7:40,17.1,15.6,16.8,78.1
2018/3/23 7:50,17.7,15.7,18,74.9
2018/3/23 8:00,18.7,15.8,18.6,75.2
2018/3/23 8:10,19.8,15.9,19.1,67.7
2018/3/23 8:20,20,16,19.2,64.1
2018/3/23 8:30,20.1,16.1,19.1,58
2018/3/23 8:40,20.5,16.2,19.4,55.4
2018/3/23 8:50,20.7,16.3,19.5,53.3
2018/3/23 9:00,21.7,16.4,20.4,55.4
