date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2018-03-23,19.83541666666666,17.77777777777778,19.715277777777768,70.7090277777778,12.2,15.8,12.4,29.2,35.5,20.5,37.3,91.1
2018-03-24,19.090972222222216,17.37430555555555,18.94097222222222,71.66527777777782,7.9,13.2,8.9,28.8,32.1,21.6,36.1,97.5
2018-03-25,17.86319444444444,17.315277777777784,18.236805555555563,73.93333333333331,8.0,12.8,8.7,30.2,29.5,23.2,33.9,97.7
2018-03-26,17.663888888888884,16.657638888888886,17.75138888888889,76.85902777777778,6.2,11.8,7.0,34.3,31.6,20.3,32.3,96.0
2018-03-27,18.952777777777776,18.037499999999994,19.005555555555556,78.38263888888888,7.7,14.8,8.4,33.3,34.8,21.1,35.7,98.2
2018-03-28,19.68958333333334,18.222222222222225,19.498611111111117,77.36944444444447,8.5,15.3,9.3,35.8,34.3,21.0,33.5,99.2
2018-03-29,20.91874999999999,18.916666666666664,20.90625,75.99722222222225,8.2,15.4,9.0,33.0,36.6,22.1,37.2,98.0
2018-03-30,20.838194444444447,19.225694444444443,20.693055555555564,72.33472222222225,10.1,16.4,10.9,27.6,34.6,22.0,36.4,97.3
2018-03-31,19.448611111111102,18.52222222222222,19.47638888888888,76.2583333333333,7.2,15.6,8.2,34.6,34.3,21.3,36.0,98.1
2018-04-01,19.993750000000002,19.04791666666667,20.050694444444456,78.22986111111108,9.3,16.3,10.1,37.7,33.2,21.6,33.5,99.0
2018-04-02,20.88263888888889,19.532638888888886,20.757638888888895,78.375,11.2,17.2,11.8,42.6,32.6,21.7,33.9,99.7
2018-04-03,22.10902777777777,20.055555555555557,22.059722222222227,75.70902777777779,11.7,17.4,12.2,34.5,36.7,22.8,38.6,99.3
2018-04-04,22.818055555555553,20.38819444444444,22.536805555555546,76.64027777777778,11.7,17.7,12.3,36.6,36.3,22.7,37.4,98.2
2018-04-05,20.78055555555556,20.352083333333336,20.69027777777777,83.76111111111112,12.7,18.7,13.3,44.5,31.2,21.8,30.6,99.9
2018-04-06,20.073611111111113,20.174305555555545,20.034027777777784,93.80138888888888,16.1,18.6,16.5,65.4,29.7,21.5,28.1,100.0
