Date/Time,T20,ST,T60,H
2018/3/23 0:00,13.5,16.6,13.4,84.8
2018/3/23 0:10,14,16.5,13.9,81.8
2018/3/23 0:20,14,16.5,14,81.2
2018/3/23 0:30,12.3,16.5,12.6,84.5
2018/3/23 0:40,13.3,16.5,13.3,83.7
2018/3/23 0:50,13.8,16.4,13.7,81.6
2018/3/23 1:00,14,16.4,13.9,81.3
2018/3/23 1:10,14,16.4,13.9,80.4
2018/3/23 1:20,13.6,16.4,13.7,82.8
2018/3/23 1:30,12.3,16.3,12.5,83.9
2018/3/23 1:40,13.2,16.3,13.1,84.9
2018/3/23 1:50,13.6,16.3,13.5,80.6
2018/3/23 2:00,13.7,16.3,13.6,79.7
2018/3/23 2:10,13.7,16.3,13.6,80.5
2018/3/23 2:20,13.7,16.3,13.6,79.6
2018/3/23 2:30,13.7,16.2,13.5,80.3
2018/3/23 2:40,13.7,16.2,13.6,79.5
2018/3/23 2:50,13.6,16.2,13.5,79.5
2018/3/23 3:00,13.6,16.2,13.5,79.9
2018/3/23 3:10,13.6,16.2,13.5,79.1
2018/3/23 3:20,13.6,16.1,13.4,80
2018/3/23 3:30,13.6,16.1,13.5,79
2018/3/23 3:40,13.6,16.1,13.4,79
2018/3/23 3:50,13.5,16.1,13.4,79.6
2018/3/23 4:00,13.5,16.1,13.3,80.6
2018/3/23 4:10,13.4,16.1,13.2,81.2
2018/3/23 4:20,13.4,16.1,13.3,80.2
2018/3/23 4:30,13.4,16,13.3,80.2
2018/3/23 4:40,13.5,16,13.3,79.6
2018/3/23 4:50,13.4,16,13.2,79.8
2018/3/23 5:00,13.4,16,13.2,80.3
2018/3/23 5:10,13.4,16,13.1,80.5
2018/3/23 5:20,13.4,15.9,13.2,80.1
2018/3/23 5:30,13.4,15.9,13.2,80.3
2018/3/23 5:40,13.3,15.9,13.1,80
2018/3/23 5:50,13.3,15.9,13.1,80.7
2018/3/23 6:00,13.5,15.9,13.2,80.6
2018/3/23 6:10,13.7,15.9,13.4,80
2018/3/23 6:20,13.9,15.9,13.5,83.7
2018/3/23 6:30,13.2,15.9,12.9,82.1
2018/3/23 6:40,12.8,15.9,12.4,86.4
2018/3/23 6:50,13.5,15.8,12.7,88.6
2018/3/23 7:00,15.9,15.9,13.6,86
2018/3/23 7:10,17.5,15.9,14.7,83.1
2018/3/23 7:20,19.2,15.9,15.7,80.8
2018/3/23 7:30,21.5,16,17.2,79.1
2018/3/23 7:40,22.3,16.1,18.2,77.6
2018/3/23 7:50,21.1,16.2,19.2,78.2
2018/3/23 8:00,21.7,16.3,20,79.4
2018/3/23 8:10,23.2,16.4,20.7,78.6
2018/3/23 8:20,23.6,16.5,21.3,75.2
2018/3/23 8:30,25.3,16.6,21.9,70.8
2018/3/23 8:40,24.9,16.7,22.4,66.3
2018/3/23 8:50,23.5,16.8,23.2,61.7
2018/3/23 9:00,25.4,16.9,23.4,60.7
2018/3/23 9:10,26.3,17.1,24.6,52.9
2018/3/23 9:20,27.1,17.2,25,52.6
2018/3/23 9:30,28.3,17.3,26.2,50.8
2018/3/23 9:40,30.2,17.5,28.2,50
2018/3/23 9:50,29.9,16.5,28.4,51.7
2018/3/23 10:00,29,16.1,29.1,46.6
2018/3/23 10:10,29.8,16.1,31.4,42.8
2018/3/23 10:20,31.2,16.3,30.3,43.5
2018/3/23 10:30,31,16.5,33.1,39
2018/3/23 10:40,33.1,16.8,35.2,33.4
2018/3/23 10:50,31.1,17.1,37.3,29.2
2018/3/23 11:00,29.6,17.4,36.8,30.3
2018/3/23 11:10,28.7,17.6,29.2,51.6
2018/3/23 11:20,28.3,17.7,28.6,48.5
2018/3/23 11:30,28.8,17.9,28.6,53.4
2018/3/23 11:40,29.4,18,28.9,52.3
2018/3/23 11:50,28.4,18.2,28.5,48.9
2018/3/23 12:00,28.9,18.3,28.6,51.8
2018/3/23 12:10,33.3,18.5,35.8,37.7
2018/3/23 12:20,34.8,18.8,35,41.3
2018/3/23 12:30,35.5,19.1,34.8,43.2
2018/3/23 12:40,34.7,19.4,34.5,44.4
2018/3/23 12:50,33.9,19.7,35.1,40.7
2018/3/23 13:00,34,20,34.7,44.8
2018/3/23 13:10,33.7,20.2,35.1,41.5
2018/3/23 13:20,32.6,20.4,33.3,44.9
2018/3/23 13:30,32,20.5,32.8,42.8
2018/3/23 13:40,31.3,20.5,31.6,46.5
2018/3/23 13:50,31.5,20.5,30.7,45.3
2018/3/23 14:00,30.2,20.5,29.7,47.6
2018/3/23 14:10,29.2,20.5,28.7,47.6
2018/3/23 14:20,28.7,20.5,28.2,46.1
