date	disease
2018/5/29	1
2018/5/30	1
2018/5/31	1
2018/6/1	1
2018/6/2	1
2018/6/3	1
2018/6/4	1
2018/6/5	1
2018/6/6	1
2018/6/7	1
2018/6/8	1
2018/6/9	1
2018/6/10	1
2018/6/11	1
2018/6/12	1
2018/6/13	1
2018/6/14	1
2018/6/15	1
2018/6/16	1
2018/6/17	1
2018/6/18	1
2018/6/19	1
2018/6/20	1
2018/6/21	1
2018/6/22	1
2018/6/23	1
2018/6/24	1
2018/6/25	1
2018/6/26	1
2018/6/27	1
2018/6/28	1
2018/6/29	1
2018/6/30	1
2018/7/1	1
2018/7/2	1
2018/7/3	1
2018/7/4	1
2018/7/5	1
2018/7/6	1
2018/7/7	1
2018/7/8	1
2018/7/9	1
2018/7/10	1
2018/7/11	1
2018/7/12	1
2018/7/13	1
2018/7/14	1
2018/7/15	1
2018/7/16	1
2018/7/17	1
2018/7/18	1
2018/7/19	1
2018/7/20	1
2018/7/21	1
2018/7/22	1
2018/7/23	1
