"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72wf Ch.1","TR-72wf Ch.2"
"","","°C","%"
"2018-08-11 00:00:00","43323.0000000000","28.2","93"
"2018-08-11 00:10:00","43323.0069444444","28.2","92"
"2018-08-11 00:20:00","43323.0138888889","28.2","93"
"2018-08-11 00:30:00","43323.0208333333","28.2","94"
"2018-08-11 00:40:00","43323.0277777778","28.2","93"
"2018-08-11 00:50:00","43323.0347222222","28.1","93"
"2018-08-11 01:00:00","43323.0416666667","28.0","94"
"2018-08-11 01:10:00","43323.0486111111","27.9","95"
"2018-08-11 01:20:00","43323.0555555556","27.7","96"
"2018-08-11 01:30:00","43323.0625000000","27.6","97"
"2018-08-11 01:40:00","43323.0694444444","27.6","98"
"2018-08-11 01:50:00","43323.0763888889","27.5","98"
"2018-08-11 02:00:00","43323.0833333333","27.5","100"
"2018-08-11 02:10:00","43323.0902777778","27.5","100"
"2018-08-11 02:20:00","43323.0972222222","27.6","100"
"2018-08-11 02:30:00","43323.1041666667","27.5","100"
"2018-08-11 02:40:00","43323.1111111111","27.4","100"
"2018-08-11 02:50:00","43323.1180555556","27.3","100"
"2018-08-11 03:00:00","43323.1250000000","27.3","100"
"2018-08-11 03:10:00","43323.1319444444","27.3","100"
"2018-08-11 03:20:00","43323.1388888889","27.2","100"
"2018-08-11 03:30:00","43323.1458333333","27.2","100"
"2018-08-11 03:40:00","43323.1527777778","27.1","100"
"2018-08-11 03:50:00","43323.1597222222","27.1","100"
"2018-08-11 04:00:00","43323.1666666667","27.1","100"
"2018-08-11 04:10:00","43323.1736111111","27.1","100"
"2018-08-11 04:20:00","43323.1805555556","27.1","100"
"2018-08-11 04:30:00","43323.1875000000","27.1","100"
"2018-08-11 04:40:00","43323.1944444444","27.1","100"
"2018-08-11 04:50:00","43323.2013888889","27.0","100"
"2018-08-11 05:00:00","43323.2083333333","26.9","100"
"2018-08-11 05:10:00","43323.2152777778","26.8","100"
"2018-08-11 05:20:00","43323.2222222222","26.8","100"
"2018-08-11 05:30:00","43323.2291666667","26.9","100"
"2018-08-11 05:40:00","43323.2361111111","27.2","100"
"2018-08-11 05:50:00","43323.2430555556","27.4","98"
"2018-08-11 06:00:00","43323.2500000000","27.6","97"
"2018-08-11 06:10:00","43323.2569444444","28.0","96"
"2018-08-11 06:20:00","43323.2638888889","28.6","92"
"2018-08-11 06:30:00","43323.2708333333","29.1","88"
"2018-08-11 06:40:00","43323.2777777778","29.9","85"
"2018-08-11 06:50:00","43323.2847222222","30.6","82"
"2018-08-11 07:00:00","43323.2916666667","31.3","84"
"2018-08-11 07:10:00","43323.2986111111","32.3","80"
"2018-08-11 07:20:00","43323.3055555556","33.3","79"
"2018-08-11 07:30:00","43323.3125000000","32.7","80"
"2018-08-11 07:40:00","43323.3194444444","33.3","78"
"2018-08-11 07:50:00","43323.3263888889","33.3","79"
"2018-08-11 08:00:00","43323.3333333333","33.9","82"
"2018-08-11 08:10:00","43323.3402777778","32.3","77"
"2018-08-11 08:20:00","43323.3472222222","32.2","80"
"2018-08-11 08:30:00","43323.3541666667","32.6","77"
"2018-08-11 08:40:00","43323.3611111111","31.9","77"
"2018-08-11 08:50:00","43323.3680555556","33.4","74"
"2018-08-11 09:00:00","43323.3750000000","33.3","75"
"2018-08-11 09:10:00","43323.3819444444","34.0","72"
"2018-08-11 09:20:00","43323.3888888889","34.0","70"
"2018-08-11 09:30:00","43323.3958333333","33.6","71"
"2018-08-11 09:40:00","43323.4027777778","34.4","71"
"2018-08-11 09:50:00","43323.4097222222","34.4","68"
"2018-08-11 10:00:00","43323.4166666667","34.9","65"
"2018-08-11 10:10:00","43323.4236111111","35.5","64"
"2018-08-11 10:20:00","43323.4305555556","35.3","64"
"2018-08-11 10:30:00","43323.4375000000","35.4","65"
"2018-08-11 10:40:00","43323.4444444444","37.0","61"
"2018-08-11 10:50:00","43323.4513888889","36.2","64"
"2018-08-11 11:00:00","43323.4583333333","37.2","61"
"2018-08-11 11:10:00","43323.4652777778","36.5","59"
"2018-08-11 11:20:00","43323.4722222222","34.2","64"
"2018-08-11 11:30:00","43323.4791666667","35.8","63"
"2018-08-11 11:40:00","43323.4861111111","36.5","63"
"2018-08-11 11:50:00","43323.4930555556","38.6","52"
"2018-08-11 12:00:00","43323.5000000000","36.6","59"
"2018-08-11 12:10:00","43323.5069444444","35.3","62"
"2018-08-11 12:20:00","43323.5138888889","35.1","63"
"2018-08-11 12:30:00","43323.5208333333","35.8","60"
"2018-08-11 12:40:00","43323.5277777778","39.0","54"
"2018-08-11 12:50:00","43323.5347222222","38.6","52"
"2018-08-11 13:00:00","43323.5416666667","39.4","50"
"2018-08-11 13:10:00","43323.5486111111","39.0","52"
"2018-08-11 13:20:00","43323.5555555556","38.6","52"
"2018-08-11 13:30:00","43323.5625000000","37.6","52"
"2018-08-11 13:40:00","43323.5694444444","38.8","51"
"2018-08-11 13:50:00","43323.5763888889","37.9","57"
"2018-08-11 14:00:00","43323.5833333333","38.0","57"
"2018-08-11 14:10:00","43323.5902777778","35.1","62"
"2018-08-11 14:20:00","43323.5972222222","34.7","65"
"2018-08-11 14:30:00","43323.6041666667","33.5","68"
"2018-08-11 14:40:00","43323.6111111111","31.1","85"
"2018-08-11 14:50:00","43323.6180555556","31.2","84"
"2018-08-11 15:00:00","43323.6250000000","32.1","74"
"2018-08-11 15:10:00","43323.6319444444","31.7","73"
"2018-08-11 15:20:00","43323.6388888889","31.5","71"
"2018-08-11 15:30:00","43323.6458333333","31.7","73"
"2018-08-11 15:40:00","43323.6527777778","31.3","73"
"2018-08-11 15:50:00","43323.6597222222","30.9","72"
"2018-08-11 16:00:00","43323.6666666667","30.5","75"
"2018-08-11 16:10:00","43323.6736111111","30.5","74"
"2018-08-11 16:20:00","43323.6805555556","31.5","72"
"2018-08-11 16:30:00","43323.6875000000","31.5","72"
"2018-08-11 16:40:00","43323.6944444444","31.1","73"
"2018-08-11 16:50:00","43323.7013888889","30.9","74"
"2018-08-11 17:00:00","43323.7083333333","29.9","78"
"2018-08-11 17:10:00","43323.7152777778","30.1","79"
"2018-08-11 17:20:00","43323.7222222222","30.0","80"
