Date/Time,T20,ST,T60,H
2018/8/11 0:00,28.1,28.9,28.2,93
2018/8/11 0:10,28.1,28.9,28.2,92
2018/8/11 0:20,28,28.8,28.2,93
2018/8/11 0:30,28,28.8,28.2,94
2018/8/11 0:40,28,28.8,28.2,93
2018/8/11 0:50,27.9,28.8,28.1,93
2018/8/11 1:00,27.9,28.8,28,94
2018/8/11 1:10,27.7,28.7,27.9,95
2018/8/11 1:20,27.5,28.7,27.7,96
2018/8/11 1:30,27.4,28.7,27.6,97
2018/8/11 1:40,27.3,28.6,27.6,98
2018/8/11 1:50,27.2,28.6,27.5,98
2018/8/11 2:00,27.3,28.6,27.5,100
2018/8/11 2:10,27.2,28.6,27.5,100
2018/8/11 2:20,27.3,28.6,27.6,100
2018/8/11 2:30,27.3,28.5,27.5,100
2018/8/11 2:40,27.1,28.5,27.4,100
2018/8/11 2:50,27,28.5,27.3,100
2018/8/11 3:00,27,28.5,27.3,100
2018/8/11 3:10,27,28.5,27.3,100
2018/8/11 3:20,26.9,28.4,27.2,100
2018/8/11 3:30,26.8,28.4,27.2,100
2018/8/11 3:40,26.8,28.4,27.1,100
2018/8/11 3:50,26.8,28.4,27.1,100
2018/8/11 4:00,26.9,28.3,27.1,100
2018/8/11 4:10,26.9,28.3,27.1,100
2018/8/11 4:20,26.9,28.3,27.1,100
2018/8/11 4:30,26.8,28.3,27.1,100
2018/8/11 4:40,26.8,28.3,27.1,100
2018/8/11 4:50,26.7,28.2,27,100
2018/8/11 5:00,26.6,28.2,26.9,100
2018/8/11 5:10,26.4,28.2,26.8,100
2018/8/11 5:20,26.5,28.2,26.8,100
2018/8/11 5:30,26.7,28.1,26.9,100
2018/8/11 5:40,27,28.2,27.2,100
2018/8/11 5:50,27.3,28.2,27.4,98
2018/8/11 6:00,27.7,28.2,27.6,97
2018/8/11 6:10,28.4,28.2,28,96
2018/8/11 6:20,29.3,28.3,28.6,92
2018/8/11 6:30,29.8,28.5,29.1,88
2018/8/11 6:40,31.2,28.6,29.9,85
2018/8/11 6:50,32.8,28.8,30.6,82
2018/8/11 7:00,33.8,29,31.3,84
2018/8/11 7:10,35.1,29.3,32.3,80
2018/8/11 7:20,34.9,29.6,33.3,79
2018/8/11 7:30,34.4,30,32.7,80
2018/8/11 7:40,33.6,30.2,33.3,78
2018/8/11 7:50,33.3,30.5,33.3,79
2018/8/11 8:00,34.7,30.8,33.9,82
2018/8/11 8:10,32.4,30.8,32.3,77
2018/8/11 8:20,34.4,30.8,32.2,80
2018/8/11 8:30,34.1,30.7,32.6,77
2018/8/11 8:40,31.9,30.8,31.9,77
2018/8/11 8:50,33.6,30.9,33.4,74
2018/8/11 9:00,34,31,33.3,75
2018/8/11 9:10,34.5,31,34,72
2018/8/11 9:20,34.2,31.1,34,70
2018/8/11 9:30,34.5,31.2,33.6,71
2018/8/11 9:40,35.6,31.3,34.4,71
2018/8/11 9:50,34.8,31.3,34.4,68
2018/8/11 10:00,35.8,31.4,34.9,65
2018/8/11 10:10,36.1,31.5,35.5,64
2018/8/11 10:20,35.6,31.6,35.3,64
2018/8/11 10:30,35.3,31.7,35.4,65
2018/8/11 10:40,36.9,32,37,61
2018/8/11 10:50,36.5,32.1,36.2,64
2018/8/11 11:00,37.5,32.3,37.2,61
