Date/Time,T20,ST,T60,H
2018-08-11 00:00:00,27.9,28.4,27.8,92.8
2018-08-11 00:10:00,27.8,28.4,27.7,92.2
2018-08-11 00:20:00,27.8,28.4,27.7,92.6
2018-08-11 00:30:00,27.8,28.4,27.7,93.8
2018-08-11 00:40:00,27.8,28.4,27.7,93.8
2018-08-11 00:50:00,27.7,28.3,27.7,93.6
2018-08-11 01:00:00,27.6,28.3,27.6,93.9
2018-08-11 01:10:00,27.5,28.3,27.5,94.7
2018-08-11 01:20:00,27.3,28.3,27.3,94.8
2018-08-11 01:30:00,27.2,28.3,27.2,95.8
2018-08-11 01:40:00,27.0,28.2,27.0,96.1
2018-08-11 01:50:00,27.0,28.2,27.0,96.8
2018-08-11 02:00:00,27.0,28.2,27.0,97.5
2018-08-11 02:10:00,26.9,28.2,26.9,97.9
2018-08-11 02:20:00,27.0,28.2,27.0,98.3
2018-08-11 02:30:00,27.2,28.2,27.2,97.9
2018-08-11 02:40:00,27.3,28.1,27.2,96.0
2018-08-11 02:50:00,26.9,28.1,27.0,96.1
2018-08-11 03:00:00,26.9,28.1,27.0,96.6
2018-08-11 03:10:00,26.9,28.1,26.9,97.8
2018-08-11 03:20:00,26.8,28.1,26.8,97.9
2018-08-11 03:30:00,26.6,28.0,26.6,98.3
2018-08-11 03:40:00,26.7,28.0,26.6,98.6
2018-08-11 03:50:00,26.7,28.0,26.7,98.5
2018-08-11 04:00:00,26.8,28.0,26.7,98.3
2018-08-11 04:10:00,26.7,28.0,26.7,98.3
2018-08-11 04:20:00,26.8,28.0,26.8,98.5
2018-08-11 04:30:00,26.9,28.0,26.8,97.9
2018-08-11 04:40:00,26.8,27.9,26.8,98.0
2018-08-11 04:50:00,26.7,27.9,26.6,98.0
2018-08-11 05:00:00,26.5,27.9,26.4,97.3
2018-08-11 05:10:00,26.5,27.9,26.4,96.6
2018-08-11 05:20:00,26.4,27.9,26.4,96.4
2018-08-11 05:30:00,26.5,27.8,26.6,97.1
2018-08-11 05:40:00,27.1,27.8,26.9,96.9
2018-08-11 05:50:00,27.4,27.8,27.4,92.1
2018-08-11 06:00:00,27.7,27.8,27.7,90.4
2018-08-11 06:10:00,28.5,27.9,28.4,90.7
2018-08-11 06:20:00,29.7,27.9,29.7,84.5
2018-08-11 06:30:00,30.1,28.0,30.2,76.9
2018-08-11 06:40:00,31.9,28.2,31.4,73.3
2018-08-11 06:50:00,33.4,28.3,33.4,69.5
2018-08-11 07:00:00,33.2,28.5,32.8,72.8
2018-08-11 07:10:00,32.9,28.7,32.4,70.1
2018-08-11 07:20:00,33.3,29.0,33.3,70.3
2018-08-11 07:30:00,31.2,29.1,31.1,74.9
2018-08-11 07:40:00,32.3,29.2,32.8,74.6
2018-08-11 07:50:00,31.5,29.3,32.4,72.5
2018-08-11 08:00:00,32.2,29.4,32.0,71.0
2018-08-11 08:10:00,31.9,29.5,32.3,73.6
2018-08-11 08:20:00,33.2,29.6,32.8,75.2
2018-08-11 08:30:00,33.9,29.6,33.0,74.2
2018-08-11 08:40:00,31.5,29.7,31.8,77.0
2018-08-11 08:50:00,32.8,29.8,33.4,72.9
2018-08-11 09:00:00,33.8,29.9,32.8,73.3
2018-08-11 09:10:00,33.1,30.0,34.0,69.5
2018-08-11 09:20:00,33.3,30.2,33.5,70.7
2018-08-11 09:30:00,33.3,30.2,33.5,69.8
2018-08-11 09:40:00,34.0,30.2,33.8,69.2
2018-08-11 09:50:00,34.8,30.3,34.4,68.9
2018-08-11 10:00:00,35.1,30.4,34.6,68.2
2018-08-11 10:10:00,34.1,30.5,34.4,65.4
2018-08-11 10:20:00,34.0,30.5,34.5,64.1
2018-08-11 10:30:00,34.9,30.6,35.1,65.6
2018-08-11 10:40:00,35.9,30.7,36.7,64.7
2018-08-11 10:50:00,34.5,30.7,35.1,65.6
2018-08-11 11:00:00,37.2,30.8,37.2,62.6
2018-08-11 11:10:00,34.8,30.9,35.5,59.5
2018-08-11 11:20:00,32.9,30.9,33.3,63.8
2018-08-11 11:30:00,34.9,30.9,35.5,62.4
2018-08-11 11:40:00,34.4,30.9,35.5,62.2
2018-08-11 11:50:00,36.1,31.0,38.3,53.3
2018-08-11 12:00:00,34.1,31.2,36.1,57.0
2018-08-11 12:10:00,34.0,31.1,35.3,61.2
2018-08-11 12:20:00,34.0,31.0,35.3,61.6
2018-08-11 12:30:00,34.3,31.0,35.7,60.3
2018-08-11 12:40:00,36.6,31.0,38.1,51.2
2018-08-11 12:50:00,36.6,31.2,40.0,47.5
2018-08-11 13:00:00,35.5,31.4,40.3,45.2
2018-08-11 13:10:00,35.6,31.5,39.0,44.6
2018-08-11 13:20:00,36.7,31.6,40.8,45.1
2018-08-11 13:30:00,36.0,31.6,38.3,50.2
2018-08-11 13:40:00,36.1,31.6,40.7,42.6
2018-08-11 13:50:00,35.0,31.6,38.2,58.2
2018-08-11 14:00:00,35.8,31.7,38.2,56.8
2018-08-11 14:10:00,33.9,31.7,35.7,63.2
2018-08-11 14:20:00,33.8,31.6,34.6,67.9
2018-08-11 14:30:00,32.4,31.6,33.6,68.7
2018-08-11 14:40:00,32.1,30.6,32.5,73.9
2018-08-11 14:50:00,31.7,30.3,31.9,77.3
2018-08-11 15:00:00,31.9,30.3,32.3,72.6
2018-08-11 15:10:00,31.5,30.3,32.0,73.5
2018-08-11 15:20:00,31.1,30.3,31.7,73.4
2018-08-11 15:30:00,31.4,30.2,31.7,73.3
2018-08-11 15:40:00,30.8,30.2,31.4,74.9
2018-08-11 15:50:00,30.4,30.2,30.9,74.0
2018-08-11 16:00:00,29.8,30.1,30.3,75.8
2018-08-11 16:10:00,30.1,30.1,30.4,75.0
2018-08-11 16:20:00,31.5,30.0,31.7,72.7
2018-08-11 16:30:00,31.2,30.1,31.8,72.3
2018-08-11 16:40:00,30.8,30.1,31.4,72.0
2018-08-11 16:50:00,30.3,30.0,31.0,74.5
2018-08-11 17:00:00,29.6,30.0,29.9,78.4
2018-08-11 17:10:00,29.8,29.9,30.1,78.8
2018-08-11 17:20:00,29.6,29.9,29.9,80.9
2018-08-11 17:30:00,30.1,29.9,30.5,78.6
2018-08-11 17:40:00,30.0,29.9,30.4,79.0
2018-08-11 17:50:00,29.3,29.8,29.7,81.2
2018-08-11 18:00:00,28.9,29.7,29.3,83.5
2018-08-12 00:00:00,26.9,28.4,26.9,99.0
2018-08-12 00:10:00,27.0,28.4,27.0,99.3
2018-08-12 00:20:00,27.1,28.4,27.0,99.3
2018-08-12 00:30:00,27.3,28.4,27.2,99.5
2018-08-12 00:40:00,27.4,28.4,27.3,99.5
2018-08-12 00:50:00,27.6,28.3,27.4,99.6
2018-08-12 01:00:00,27.7,28.4,27.5,99.4
2018-08-12 01:10:00,27.8,28.4,27.5,99.0
2018-08-12 01:20:00,27.7,28.4,27.6,98.5
2018-08-12 01:30:00,27.7,28.4,27.5,98.8
2018-08-12 01:40:00,27.6,28.4,27.5,98.8
2018-08-12 01:50:00,27.5,28.4,27.4,98.9
2018-08-12 02:00:00,27.2,28.3,27.2,98.8
2018-08-12 02:10:00,27.1,28.3,27.1,98.6
2018-08-12 02:20:00,26.9,28.3,26.8,98.7
2018-08-12 02:30:00,26.9,28.3,26.9,98.9
2018-08-12 02:40:00,26.7,28.2,26.7,99.2
2018-08-12 02:50:00,26.7,28.2,26.7,99.2
2018-08-12 03:00:00,26.7,28.2,26.6,99.2
2018-08-12 03:10:00,26.7,28.2,26.7,98.2
2018-08-12 03:20:00,26.5,28.1,26.6,97.7
2018-08-12 03:30:00,26.4,28.1,26.4,96.2
2018-08-12 03:40:00,26.3,28.0,26.4,95.8
2018-08-12 03:50:00,26.4,28.0,26.4,97.0
2018-08-12 04:00:00,26.4,28.0,26.4,98.2
2018-08-12 04:10:00,26.3,28.0,26.3,98.3
2018-08-12 04:20:00,26.4,27.9,26.4,97.2
2018-08-12 04:30:00,26.4,27.9,26.4,97.9
2018-08-12 04:40:00,26.4,27.9,26.4,98.5
2018-08-12 04:50:00,26.5,27.9,26.5,98.3
2018-08-12 05:00:00,26.5,27.9,26.4,98.5
2018-08-12 05:10:00,26.5,27.8,26.5,98.0
2018-08-12 05:20:00,26.5,27.8,26.4,96.1
2018-08-12 05:30:00,26.5,27.8,26.5,95.4
2018-08-12 05:40:00,26.8,27.8,26.8,96.7
2018-08-12 05:50:00,27.1,27.8,27.0,96.5
2018-08-12 06:00:00,27.5,27.8,27.4,94.5
2018-08-12 06:10:00,27.7,27.9,27.6,91.2
2018-08-12 06:20:00,28.0,27.9,27.8,91.1
2018-08-12 06:30:00,28.2,27.9,28.2,91.8
2018-08-12 06:40:00,28.2,28.0,28.2,89.6
2018-08-12 06:50:00,28.5,28.0,28.4,86.7
2018-08-12 07:00:00,29.3,28.1,29.1,84.2
2018-08-12 07:10:00,30.7,28.2,30.0,80.5
2018-08-12 07:20:00,30.5,28.4,30.2,77.6
2018-08-12 07:30:00,31.3,28.5,31.0,82.2
2018-08-12 07:40:00,30.5,28.6,30.2,77.7
2018-08-12 07:50:00,30.3,28.6,30.2,81.6
2018-08-12 08:00:00,31.4,28.7,31.1,77.6
2018-08-12 08:10:00,32.0,28.8,31.5,74.5
