date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,T20_mean_a,ST_mean_a,T60_mean_a,H_mean_a,T20_min_a,ST_min_a,T60_min_a,H_min_a,T20_max_a,ST_max_a,T60_max_a,H_max_a,T20_mean_b,ST_mean_b,T60_mean_b,H_mean_b,T20_min_b,ST_min_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b
2018-11-01,17.49449541284404,18.112844036697247,18.014678899082572,82.28073394495416,11.8,16.6,11.5,52.8,26.5,20.1,29.1,95.0,17.378472222222218,18.564583333333335,17.659027777777776,80.79166666666664,11.0,16.5,10.6,51.2,28.4,20.8,29.8,95.4,17.524305555555554,18.734027777777776,17.711111111111116,81.53472222222229,10.7,16.5,10.2,55.3,27.1,20.9,28.7,93.7,18.193749999999998,19.559722222222227,18.41597222222223,80.25833333333333,12.3,17.8,11.9,52.7,28.2,21.5,29.4,94.6,20.08819444444445,20.67013888888887,20.19513888888889,88.54375000000002,14.9,19.5,14.8,63.0,29.3,22.2,30.8,99.2
2018-11-02,16.172477064220182,17.32935779816514,16.99908256880734,85.12477064220187,10.0,15.7,9.9,60.2,24.8,19.4,27.0,96.9,16.574305555555554,18.06597222222222,16.983333333333334,83.37361111111112,11.8,16.6,11.5,52.8,26.5,20.1,29.1,95.0,17.378472222222218,18.564583333333335,17.659027777777776,80.79166666666664,11.0,16.5,10.6,51.2,28.4,20.8,29.8,95.4,17.524305555555554,18.734027777777776,17.711111111111116,81.53472222222229,10.7,16.5,10.2,55.3,27.1,20.9,28.7,93.7,18.193749999999998,19.559722222222227,18.41597222222223,80.25833333333333,12.3,17.8,11.9,52.7,28.2,21.5,29.4,94.6
2018-11-03,17.22018348623853,17.293577981651378,17.862385321100916,78.53944954128434,9.4,15.3,9.3,48.9,27.6,19.5,30.0,94.8,15.455555555555552,17.434722222222224,16.06041666666666,85.87986111111114,10.0,15.7,9.9,60.2,24.8,19.4,27.0,96.9,16.574305555555554,18.06597222222222,16.983333333333334,83.37361111111112,11.8,16.6,11.5,52.8,26.5,20.1,29.1,95.0,17.378472222222218,18.564583333333335,17.659027777777776,80.79166666666664,11.0,16.5,10.6,51.2,28.4,20.8,29.8,95.4,17.524305555555554,18.734027777777776,17.711111111111116,81.53472222222229,10.7,16.5,10.2,55.3,27.1,20.9,28.7,93.7
2018-11-04,18.56880733944954,18.285321100917436,18.894495412844037,88.4926605504587,14.7,17.3,14.5,56.4,25.2,19.9,26.4,99.3,16.684027777777775,17.507638888888888,17.159027777777773,82.2777777777777,9.4,15.3,9.3,48.9,27.6,19.5,30.0,96.1,15.455555555555552,17.434722222222224,16.06041666666666,85.87986111111114,10.0,15.7,9.9,60.2,24.8,19.4,27.0,96.9,16.574305555555554,18.06597222222222,16.983333333333334,83.37361111111112,11.8,16.6,11.5,52.8,26.5,20.1,29.1,95.0,17.378472222222218,18.564583333333335,17.659027777777776,80.79166666666664,11.0,16.5,10.6,51.2,28.4,20.8,29.8,95.4
2018-11-05,18.582568807339445,18.815596330275234,18.756880733944953,95.8623853211009,15.5,18.0,15.4,85.2,23.2,19.6,24.2,100.0,18.12361111111111,18.434027777777775,18.341666666666686,90.40694444444445,14.7,17.3,14.5,56.4,25.2,19.9,26.4,99.3,16.684027777777775,17.507638888888888,17.159027777777773,82.2777777777777,9.4,15.3,9.3,48.9,27.6,19.5,30.0,96.1,15.455555555555552,17.434722222222224,16.06041666666666,85.87986111111114,10.0,15.7,9.9,60.2,24.8,19.4,27.0,96.9,16.574305555555554,18.06597222222222,16.983333333333334,83.37361111111112,11.8,16.6,11.5,52.8,26.5,20.1,29.1,95.0
2018-11-06,20.377064220183485,19.292660550458713,20.697247706422015,92.18623853211012,15.8,18.2,15.6,70.2,27.9,21.0,29.4,100.0,18.10972222222222,18.812499999999996,18.215277777777775,96.18055555555556,15.5,18.0,15.4,85.2,23.2,19.6,24.2,100.0,18.12361111111111,18.434027777777775,18.341666666666686,90.40694444444445,14.7,17.3,14.5,56.4,25.2,19.9,26.4,99.3,16.684027777777775,17.507638888888888,17.159027777777773,82.2777777777777,9.4,15.3,9.3,48.9,27.6,19.5,30.0,96.1,15.455555555555552,17.434722222222224,16.06041666666666,85.87986111111114,10.0,15.7,9.9,60.2,24.8,19.4,27.0,96.9
2018-11-07,20.627522935779808,20.30275229357796,20.796330275229355,96.87981651376143,18.9,19.9,18.8,77.4,24.8,21.2,25.6,100.0,20.175694444444435,19.54444444444444,20.40625,93.90902777777788,15.8,18.2,15.6,70.2,27.9,21.0,29.4,100.0,18.10972222222222,18.812499999999996,18.215277777777775,96.18055555555556,15.5,18.0,15.4,85.2,23.2,19.6,24.2,100.0,18.12361111111111,18.434027777777775,18.341666666666686,90.40694444444445,14.7,17.3,14.5,56.4,25.2,19.9,26.4,99.3,16.684027777777775,17.507638888888888,17.159027777777773,82.2777777777777,9.4,15.3,9.3,48.9,27.6,19.5,30.0,96.1
2018-11-08,20.910091743119267,20.29357798165138,21.302752293577978,89.27706422018348,16.5,19.1,16.3,66.2,27.3,21.8,28.6,100.0,20.183333333333323,20.343749999999986,20.316666666666656,97.52499999999998,17.9,19.9,18.0,77.4,24.8,21.2,25.6,100.0,20.175694444444435,19.54444444444444,20.40625,93.90902777777788,15.8,18.2,15.6,70.2,27.9,21.0,29.4,100.0,18.10972222222222,18.812499999999996,18.215277777777775,96.18055555555556,15.5,18.0,15.4,85.2,23.2,19.6,24.2,100.0,18.12361111111111,18.434027777777775,18.341666666666686,90.40694444444445,14.7,17.3,14.5,56.4,25.2,19.9,26.4,99.3
2018-11-09,21.668807339449554,20.743119266055047,22.068807339449545,87.3605504587156,17.0,19.4,16.8,56.5,29.2,22.4,31.0,100.0,20.332638888888884,20.37777777777778,20.61597222222221,91.43402777777777,16.5,19.1,16.3,66.2,27.3,21.8,28.6,100.0,20.183333333333323,20.343749999999986,20.316666666666656,97.52499999999998,17.9,19.9,18.0,77.4,24.8,21.2,25.6,100.0,20.175694444444435,19.54444444444444,20.40625,93.90902777777788,15.8,18.2,15.6,70.2,27.9,21.0,29.4,100.0,18.10972222222222,18.812499999999996,18.215277777777775,96.18055555555556,15.5,18.0,15.4,85.2,23.2,19.6,24.2,100.0
2018-11-10,19.54770642201835,20.237614678899085,19.725688073394497,98.42935779816511,17.6,19.8,17.6,86.7,24.0,20.9,24.9,100.0,20.876388888888894,20.731250000000003,21.16180555555555,89.78819444444446,17.0,19.4,16.8,56.5,29.2,22.4,31.0,100.0,20.332638888888884,20.37777777777778,20.61597222222221,91.43402777777777,16.5,19.1,16.3,66.2,27.3,21.8,28.6,100.0,20.183333333333323,20.343749999999986,20.316666666666656,97.52499999999998,17.9,19.9,18.0,77.4,24.8,21.2,25.6,100.0,20.175694444444435,19.54444444444444,20.40625,93.90902777777788,15.8,18.2,15.6,70.2,27.9,21.0,29.4,100.0
