Date/Time,ch.1,ch.2
01/09/2019 00:00'00,14.4,17.5
01/09/2019 00:10'00,14.1,17.5
01/09/2019 00:20'00,14,17.5
01/09/2019 00:30'00,13.8,17.4
01/09/2019 00:40'00,14.4,17.4
01/09/2019 00:50'00,14.9,17.4
01/09/2019 01:00'00,14.3,17.4
01/09/2019 01:10'00,14.1,17.3
01/09/2019 01:20'00,13.9,17.3
01/09/2019 01:30'00,13.7,17.3
01/09/2019 01:40'00,15.3,17.3
01/09/2019 01:50'00,14.3,17.3
01/09/2019 02:00'00,13.9,17.3
01/09/2019 02:10'00,13.8,17.2
01/09/2019 02:20'00,15.1,17.2
01/09/2019 02:30'00,14,17.2
01/09/2019 02:40'00,13.5,17.1
01/09/2019 02:50'00,15.3,17.1
01/09/2019 03:00'00,13.8,17.1
01/09/2019 03:10'00,13.5,17
01/09/2019 03:20'00,15.1,17
01/09/2019 03:30'00,13.5,17
01/09/2019 03:40'00,14.1,17
01/09/2019 03:50'00,14.1,16.9
01/09/2019 04:00'00,13.2,16.9
01/09/2019 04:10'00,15.2,16.9
01/09/2019 04:20'00,13.6,16.9
01/09/2019 04:30'00,13.8,16.9
01/09/2019 04:40'00,14.5,16.8
01/09/2019 04:50'00,13.1,16.8
01/09/2019 05:00'00,14.8,16.8
01/09/2019 05:10'00,13.7,16.8
01/09/2019 05:20'00,13.6,16.8
01/09/2019 05:30'00,14.7,16.7
01/09/2019 05:40'00,13.3,16.7
01/09/2019 05:50'00,14.3,16.7
01/09/2019 06:00'00,14,16.7
01/09/2019 06:10'00,13.2,16.7
01/09/2019 06:20'00,14.9,16.7
01/09/2019 06:30'00,13.1,16.7
01/09/2019 06:40'00,14.2,16.7
01/09/2019 06:50'00,13.8,16.7
01/09/2019 07:00'00,13.4,16.6
01/09/2019 07:10'00,14.9,16.6
01/09/2019 07:20'00,13.3,16.6
01/09/2019 07:30'00,14.5,16.6
01/09/2019 07:40'00,14.1,16.6
01/09/2019 07:50'00,13.3,16.5
01/09/2019 08:00'00,15.1,16.6
01/09/2019 08:10'00,14.3,16.6
01/09/2019 08:20'00,14.1,16.6
01/09/2019 08:30'00,14.9,16.6
01/09/2019 08:40'00,15.4,16.6
01/09/2019 08:50'00,16,16.7
01/09/2019 09:00'00,16.7,16.7
01/09/2019 09:10'00,17.1,16.7
01/09/2019 09:20'00,18.1,16.7
01/09/2019 09:30'00,18.9,16.2
01/09/2019 09:40'00,20,16.2
01/09/2019 09:50'00,21.2,16.1
01/09/2019 10:00'00,22.7,16.2
01/09/2019 10:10'00,22.5,16.3
01/09/2019 10:20'00,21.2,16.3
01/09/2019 10:30'00,19.6,16.5
01/09/2019 10:40'00,18.5,16.6
01/09/2019 10:50'00,22.2,16.7
01/09/2019 11:00'00,27.2,16.9
01/09/2019 11:10'00,25.7,17.1
01/09/2019 11:20'00,27.3,17.3
01/09/2019 11:30'00,28.8,17.6
01/09/2019 11:40'00,28,17.8
01/09/2019 11:50'00,28.5,18
01/09/2019 12:00'00,28.5,18.1
01/09/2019 12:10'00,28,18.3
01/09/2019 12:20'00,28.4,18.5
01/09/2019 12:30'00,28.5,18.8
01/09/2019 12:40'00,30.7,19.1
01/09/2019 12:50'00,29.9,19.3
01/09/2019 13:00'00,29.2,19.6
01/09/2019 13:10'00,30.5,19.7
01/09/2019 13:20'00,30.6,19.9
01/09/2019 13:30'00,30.5,20.1
01/09/2019 13:40'00,30.8,20.3
01/09/2019 13:50'00,30.2,20.5
01/09/2019 14:00'00,30.6,20.3
01/09/2019 14:10'00,30.2,20.5
01/09/2019 14:20'00,29.7,20.7
01/09/2019 14:30'00,30.3,20.9
01/09/2019 14:40'00,29.7,21
01/09/2019 14:50'00,28,21.2
01/09/2019 15:00'00,28.6,21.5
01/09/2019 15:10'00,28.1,21.6
01/09/2019 15:20'00,27.4,21.6
01/09/2019 15:30'00,25.9,21.7
01/09/2019 15:40'00,24.8,21.7
01/09/2019 15:50'00,24.7,21.6
01/09/2019 16:00'00,24.5,21.6
01/09/2019 16:10'00,24.6,21.6
01/09/2019 16:20'00,24.1,21.5
01/09/2019 16:30'00,22.9,21.5
01/09/2019 16:40'00,21.3,21.4
