date,T20_x,ST_x,T60_x,H_x,T20_y,ST_y,T60_y,H_y,T20,ST,T60,H
2019-01-09,16.914583333333333,16.72361111111111,17.57986111111111,89.42430555555558,11.5,13.3,12.0,54.4,33.2,23.4,32.4,100.0
2019-01-10,13.452777777777778,15.315972222222221,13.817361111111108,92.42152777777777,11.3,14.7,11.1,75.4,21.0,16.0,21.6,98.2
2019-01-11,17.217361111111103,16.544444444444444,18.318055555555546,89.54374999999997,11.6,14.5,12.2,58.9,34.1,22.0,37.7,97.9
2019-01-12,14.110416666666667,15.080555555555552,14.29513888888889,95.81597222222223,11.7,11.8,12.0,84.7,21.8,16.2,22.6,100.0
2019-01-13,18.58958333333333,16.59236111111111,18.613888888888894,85.72569444444447,11.1,14.4,11.4,41.7,40.2,20.1,34.2,100.0
2019-01-14,18.46944444444444,17.069444444444446,18.48472222222223,85.19097222222223,11.0,14.9,11.0,41.1,40.2,20.4,34.3,98.9
2019-01-15,15.526388888888894,16.43958333333334,15.673611111111107,94.53194444444443,11.8,15.4,11.6,70.6,28.5,18.1,30.2,100.0
2019-01-16,17.990277777777774,16.681250000000002,18.22916666666666,88.19236111111111,11.7,14.4,12.2,41.9,38.8,19.6,33.0,100.0
2019-01-17,17.202777777777776,16.625000000000004,17.245138888888892,87.89097222222225,11.8,15.2,11.9,34.9,38.9,19.4,35.3,98.4
2019-01-18,17.887500000000003,17.305555555555557,17.727083333333336,85.42013888888886,12.2,14.8,12.2,41.6,38.8,23.2,33.1,97.5
2019-01-19,18.475694444444443,17.739583333333325,18.490277777777777,83.42430555555555,11.9,14.8,12.0,42.4,38.7,23.5,33.3,94.9
2019-01-20,14.689583333333324,16.129166666666677,14.686111111111112,92.13888888888881,12.2,15.4,11.8,61.3,27.1,17.9,25.9,99.1
2019-01-21,17.581250000000015,16.91111111111111,17.65625000000001,85.04305555555555,11.8,14.5,12.0,38.4,39.2,22.2,33.5,95.7
2019-01-22,16.031944444444445,16.552777777777788,16.163888888888888,89.85763888888884,12.1,15.1,11.8,59.3,30.0,19.6,31.3,97.6
2019-01-23,18.039583333333336,17.315972222222214,18.384722222222234,85.79583333333332,11.6,14.4,11.5,50.7,34.7,22.6,33.3,95.5
2019-01-24,18.14652777777777,17.81180555555555,18.14236111111111,86.32986111111111,12.4,15.3,12.1,46.2,35.1,22.9,32.4,97.8
2019-01-25,17.050694444444446,17.136111111111116,17.120833333333326,87.5201388888889,12.0,14.6,11.7,45.1,37.5,21.5,33.7,94.9
2019-01-26,16.963194444444447,17.069444444444443,17.196527777777785,87.28749999999998,12.2,15.2,12.0,46.8,33.5,20.7,31.6,97.2
2019-01-27,18.090277777777775,17.491666666666664,18.313888888888883,82.75833333333337,11.7,14.6,11.5,44.7,37.3,23.0,34.7,93.7
2019-01-28,14.918750000000005,15.895833333333334,15.06944444444445,91.15833333333333,12.1,13.9,11.7,80.1,21.9,17.4,23.2,97.6
2019-01-29,17.892361111111107,17.25277777777778,18.3736111111111,85.57222222222225,12.0,14.6,11.4,48.5,35.8,22.4,33.8,96.8
2019-01-30,16.242361111111105,16.552083333333336,16.90069444444444,89.59236111111113,10.8,14.0,10.3,46.9,30.5,20.4,31.0,100.0
2019-01-31,12.843055555555551,14.990277777777784,12.831250000000004,98.80000000000001,11.4,14.3,11.1,94.6,18.7,15.7,20.7,100.0
2019-02-01,17.34513888888889,16.486805555555556,17.691666666666663,84.55694444444441,11.2,13.8,11.1,46.3,34.9,21.8,31.9,98.8
2019-02-02,17.770138888888887,16.72916666666666,18.419444444444437,85.74930555555554,11.1,12.3,11.0,50.4,35.0,21.3,35.1,95.4
2019-02-03,16.65625,16.654861111111117,17.371527777777786,90.23611111111113,11.0,14.5,10.8,67.5,29.1,19.4,33.2,96.2
