date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2019-01-10,18.24678899082569,16.772477064220187,19.092660550458717,87.66605504587154,11.5,13.3,12.2,54.4,33.2,23.4,32.4,100.0
2019-01-11,13.706422018348631,15.358715596330274,14.045871559633023,90.87339449541285,11.3,14.7,11.1,75.4,21.0,16.0,21.6,96.8
2019-01-12,18.49082568807339,16.74862385321101,19.977981651376147,87.72935779816511,11.6,14.5,12.3,58.9,34.1,22.0,37.7,97.9
2019-01-13,14.569724770642202,14.982568807339453,14.733944954128445,94.50825688073394,12.1,11.8,12.3,84.7,21.8,16.2,22.6,99.7
2019-01-14,20.222935779816517,16.3394495412844,20.3119266055046,81.81559633027523,11.1,14.4,11.4,41.7,40.2,20.1,34.2,100.0
2019-01-15,20.16238532110092,16.90550458715597,20.208256880733952,81.34495412844036,11.0,14.9,11.0,41.1,40.2,20.4,34.3,98.7
2019-01-16,16.290825688073397,16.48715596330275,16.5440366972477,92.77614678899081,11.8,15.4,11.6,70.6,28.5,18.1,30.2,100.0
2019-01-17,19.551376146788982,16.568807339449542,19.892660550458707,85.63119266055047,11.7,14.4,12.2,41.9,38.8,19.6,33.0,100.0
2019-01-18,18.444036697247704,16.65596330275229,18.52018348623853,85.27522935779818,11.8,15.2,11.9,34.9,38.9,19.4,35.3,98.4
2019-01-19,19.400917431192664,17.344954128440367,19.207339449541287,83.08440366972478,12.2,14.8,12.3,41.6,38.8,23.2,33.1,97.5
2019-01-20,20.034862385321105,17.666972477064213,20.152293577981656,80.50091743119266,11.9,14.8,12.0,42.4,38.7,23.5,33.3,93.8
2019-01-21,15.153211009174308,16.1770642201835,15.161467889908257,91.07614678899077,12.2,15.4,11.8,61.3,27.1,17.9,25.9,99.1
2019-01-22,18.91926605504588,16.827522935779815,19.124770642201835,82.5256880733945,11.8,14.5,12.0,38.4,39.2,22.2,33.5,95.7
2019-01-23,16.979816513761467,16.595412844036705,17.199999999999996,87.83211009174309,12.1,15.1,11.8,59.3,30.0,19.6,31.3,97.5
2019-01-24,19.45963302752294,17.15229357798165,20.080733944954133,83.51284403669727,11.6,14.4,11.5,50.7,34.7,22.6,33.3,95.5
2019-01-25,19.577981651376145,17.806422018348623,19.70733944954128,84.22477064220183,12.4,15.3,12.1,46.2,35.1,22.9,32.4,97.8
2019-01-26,18.292660550458717,17.10733944954129,18.5651376146789,86.01926605504589,12.0,14.6,12.0,45.1,37.5,21.5,33.7,94.9
2019-01-27,18.187155963302754,17.114678899082566,18.610091743119263,85.74770642201831,12.2,15.2,12.2,46.8,33.5,20.7,31.6,97.2
2019-01-28,19.487155963302744,17.36788990825688,19.95045871559633,79.97798165137614,11.7,14.6,11.5,44.7,37.3,23.0,34.7,92.1
2019-01-29,15.464220183486237,15.873394495412846,15.727522935779822,89.70550458715597,12.1,13.9,11.7,80.1,21.9,17.4,23.2,95.1
2019-01-30,19.36788990825688,17.126605504587157,20.219266055045864,83.71834862385323,12.0,14.6,12.1,48.5,35.8,22.4,33.8,96.8
2019-01-31,17.5,16.41834862385321,18.488073394495412,86.27339449541287,10.8,14.0,10.3,46.9,30.5,20.4,31.0,99.2
2019-02-01,13.08623853211009,15.131192660550463,13.09633027522936,98.6302752293578,11.4,14.6,11.1,94.6,18.7,15.7,20.7,100.0
2019-02-02,18.80275229357798,16.322018348623846,19.427522935779816,82.46605504587154,11.2,13.8,11.1,46.3,34.9,21.8,31.9,98.8
2019-02-03,19.12752293577981,16.444954128440358,20.128440366972477,83.86330275229355,11.1,12.3,11.0,50.4,35.0,21.3,35.1,95.4
2019-02-04,17.408256880733944,16.530275229357795,18.46330275229358,88.7926605504587,11.0,14.5,10.8,67.5,29.1,19.4,33.2,95.8
2019-02-05,19.28990825688073,16.96146788990826,20.179816513761466,88.051376146789,12.4,14.7,12.1,41.5,35.2,21.2,35.3,99.3
2019-02-06,18.633027522935777,17.40825688073394,19.56422018348624,86.60642201834861,11.7,15.2,11.6,51.7,29.9,21.4,33.3,99.5
2019-02-07,14.811009174311922,15.743119266055048,14.8348623853211,94.07155963302753,11.8,15.0,11.4,69.3,28.4,17.9,30.9,98.7
2019-02-08,18.306422018348623,16.38899082568807,19.594495412844033,89.02018348623855,11.7,14.4,11.2,68.4,29.3,20.1,33.6,96.8
2019-02-09,15.948623853211002,16.599082568807336,16.32844036697248,90.85229357798165,11.8,15.3,11.8,76.8,21.2,17.7,22.9,100.0
2019-02-10,13.06238532110091,14.910091743119274,13.234862385321101,99.11559633027525,10.9,14.4,10.9,93.5,17.6,15.5,18.9,100.0
2019-02-11,17.31009174311927,15.677981651376143,18.815596330275227,88.10917431192662,11.2,13.7,11.1,70.8,29.6,19.4,33.8,95.8
2019-02-12,14.307339449541288,15.077981651376152,14.670642201834855,91.20733944954131,11.4,14.2,11.2,81.4,20.7,16.4,22.7,96.6
2019-02-13,18.574311926605507,15.806422018348616,20.458715596330276,83.0348623853211,11.2,13.2,11.3,50.8,30.7,20.3,35.8,95.2
2019-02-14,18.51284403669725,16.614678899082577,19.4256880733945,83.98899082568806,11.6,14.5,11.3,49.2,32.3,21.1,34.9,95.5
2019-02-15,16.4348623853211,16.17064220183486,17.172477064220192,87.00733944954129,11.7,14.5,11.3,75.6,23.6,18.3,30.4,94.7
2019-02-16,13.73302752293578,14.976146788990828,14.50550458715596,90.85321100917432,10.8,14.0,10.5,77.5,24.7,16.2,34.5,95.4
2019-02-17,17.58715596330276,15.471559633027521,19.088990825688075,87.5348623853211,11.6,13.1,11.6,62.7,28.4,18.6,33.0,97.4
2019-02-18,19.26605504587156,16.8256880733945,21.33394495412844,81.72844036697244,11.8,14.5,11.5,50.1,31.2,21.4,36.9,95.3
2019-02-19,18.76788990825688,16.78715596330275,20.249541284403662,81.91559633027524,11.5,14.7,11.1,54.6,31.1,20.9,34.3,94.5
2019-02-20,14.26146788990826,15.732110091743126,14.197247706422015,96.05045871559638,12.5,15.2,12.0,91.7,17.2,16.2,17.8,98.4
2019-02-21,19.110091743119263,16.501834862385323,20.298165137614674,90.5339449541284,12.8,14.5,12.5,52.5,32.0,19.6,34.1,100.0
2019-02-22,19.334862385321102,17.314678899082566,20.689908256880727,82.75871559633025,12.5,15.4,12.3,52.9,31.5,21.2,35.2,96.3
2019-02-23,18.331192660550457,17.026605504587156,19.443119266055046,82.87522935779809,11.9,15.0,11.4,54.0,28.5,20.0,31.7,94.7
2019-02-24,20.044954128440367,17.857798165137613,22.227522935779803,83.61559633027524,13.1,15.7,12.6,46.1,33.0,21.2,38.8,98.7
2019-02-25,19.060550458715593,17.694495412844034,20.731192660550466,85.04220183486237,12.3,15.6,11.9,57.6,28.7,20.7,32.7,96.3
2019-02-26,21.03577981651377,18.538532110091747,22.409174311926613,82.2348623853211,12.9,16.2,12.3,44.3,34.5,22.0,38.0,98.2
2019-02-27,21.54587155963302,18.763302752293573,24.12477064220184,80.28073394495416,13.3,15.9,12.7,41.8,32.6,22.7,38.6,96.8
2019-02-28,18.64311926605504,18.05963302752294,19.77247706422019,86.58440366972478,12.8,16.3,12.2,65.7,28.1,20.5,33.8,95.0
2019-03-01,15.368807339449543,17.108256880733943,15.238532110091741,97.00366972477067,13.3,16.5,12.7,94.7,18.0,18.1,18.4,99.7
2019-03-02,20.95779816513761,17.865137614678904,23.103669724770647,80.68348623853211,12.3,15.4,12.0,41.0,33.2,21.9,38.6,99.5
2019-03-03,19.61926605504588,17.9954128440367,21.33944954128441,76.95229357798166,12.5,15.2,11.9,40.8,29.1,20.9,37.5,93.8
2019-03-04,16.26330275229358,17.38440366972476,16.36697247706422,91.5091743119266,14.1,16.7,13.5,80.3,21.3,18.1,22.9,97.4
2019-03-05,17.209174311926606,16.966972477064214,17.753211009174308,91.49266055045875,13.6,15.9,13.2,59.0,29.5,19.1,33.7,97.4
