date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2019-03-07,22.388095238095236,20.092857142857145,23.94285714285714,76.0142857142857,14.1,17.9,13.6,45.4,30.7,22.1,35.7,91.0
2019-03-08,19.255555555555556,18.788888888888895,20.455555555555552,79.42777777777776,12.5,16.1,12.0,41.5,33.7,22.4,38.1,94.5
2019-03-09,20.837500000000002,19.27916666666667,22.706944444444442,80.24166666666663,11.8,15.9,11.5,48.7,36.5,23.7,41.3,92.3
2019-03-10,15.408333333333328,17.51527777777777,15.266666666666671,92.75555555555557,13.2,16.8,12.5,88.7,19.0,19.0,19.8,96.8
2019-03-11,18.37916666666667,17.865277777777777,19.287499999999998,89.04027777777782,13.3,15.9,12.6,50.5,29.9,20.8,36.3,98.6
2019-03-12,19.68888888888889,18.79583333333333,21.233333333333334,84.09999999999998,12.7,16.1,12.3,49.1,34.5,21.7,38.3,96.2
2019-03-13,16.427777777777784,17.623611111111114,16.912499999999998,86.26944444444445,12.5,16.3,11.7,56.7,27.7,19.6,32.7,94.4
2019-03-14,18.255555555555556,17.64583333333333,19.640277777777783,81.02777777777776,11.9,15.2,11.4,51.4,29.5,21.0,34.5,93.6
2019-03-15,18.25416666666667,17.7625,19.868055555555557,80.2333333333333,11.5,15.2,11.4,49.8,30.5,20.8,37.0,91.5
2019-03-16,18.180555555555554,17.852777777777774,19.774999999999995,81.35138888888889,11.5,15.3,11.3,43.7,29.4,21.2,37.3,93.8
2019-03-17,17.018055555555556,17.320833333333333,18.48055555555555,83.85694444444444,11.0,15.2,11.0,61.2,26.8,19.9,35.1,92.7
2019-03-18,18.443055555555556,17.64027777777778,19.88333333333333,78.73055555555561,11.3,14.9,11.4,44.1,31.9,21.0,35.8,92.4
2019-03-19,16.470833333333335,17.05277777777778,17.241666666666667,87.22500000000002,12.0,15.4,11.6,68.5,25.3,19.0,29.2,94.3
2019-03-20,20.32777777777778,18.075000000000003,22.20833333333334,78.74166666666665,11.4,14.9,11.3,38.5,32.7,21.6,37.4,93.4
2019-03-21,17.952777777777772,18.180555555555557,18.316666666666656,97.03333333333329,15.0,17.2,14.5,87.6,25.3,19.2,28.6,100.0
2019-03-22,20.60833333333333,19.42638888888888,22.28888888888889,82.82083333333333,12.8,17.6,12.2,48.1,31.4,22.4,41.2,99.9
2019-03-23,16.616666666666667,17.386111111111113,17.851388888888888,84.94444444444443,10.6,15.5,9.9,56.4,26.9,19.8,34.0,92.9
2019-03-24,17.290277777777774,17.09722222222222,19.509722222222226,78.14722222222224,8.0,13.9,7.4,34.3,28.7,20.3,38.3,97.9
2019-03-25,15.729166666666666,16.838888888888892,17.574999999999996,82.86805555555557,7.2,13.7,6.7,43.1,30.2,19.5,39.8,95.3
2019-03-26,16.779166666666665,17.7125,17.911111111111104,79.87916666666665,11.9,16.2,10.9,35.0,28.2,20.2,35.3,98.4
2019-03-27,15.781944444444454,16.548611111111107,17.348611111111115,79.38888888888891,8.4,14.6,7.3,41.3,25.5,19.1,34.1,94.4
2019-03-28,16.375000000000004,16.477777777777774,17.488888888888884,84.79305555555557,8.9,13.9,8.1,48.7,27.7,19.4,37.1,98.2
2019-03-29,16.40694444444444,16.27638888888889,18.215277777777764,77.03472222222223,9.2,13.7,8.3,41.5,25.6,19.2,33.2,93.3
2019-03-30,16.33055555555556,16.437499999999996,17.09861111111111,88.70416666666668,10.5,14.6,9.7,47.5,25.4,18.4,30.3,96.9
2019-03-31,15.86805555555555,16.40277777777778,17.393055555555563,79.07638888888887,8.9,14.2,7.6,41.5,26.6,19.3,35.6,96.8
2019-04-01,15.024999999999999,15.447222222222223,16.951388888888893,70.92638888888887,6.7,12.6,5.4,31.6,28.5,18.6,37.1,93.0
2019-04-02,13.666666666666664,14.694444444444445,15.105555555555558,75.33749999999998,5.7,11.9,4.5,31.4,26.5,17.9,31.7,90.0
2019-04-03,15.693055555555556,15.198611111111113,17.440277777777776,68.85972222222223,4.7,11.2,3.6,25.1,30.2,19.8,38.3,91.9
2019-04-04,15.513888888888893,15.091666666666665,17.194444444444443,67.79722222222223,5.3,11.7,4.1,27.0,27.6,18.3,35.2,90.4
2019-04-05,18.24166666666667,16.48055555555556,19.80555555555556,75.80000000000001,5.8,12.0,4.6,31.8,33.5,20.3,40.5,93.4
2019-04-06,20.38333333333334,18.455555555555552,21.830555555555556,74.49305555555556,10.8,15.1,9.9,36.0,34.4,21.9,40.9,94.1
2019-04-07,19.25833333333333,17.954166666666666,20.286111111111108,72.23333333333336,8.6,14.6,7.6,34.8,29.6,20.6,33.6,92.7
2019-04-08,19.801388888888894,18.929166666666678,20.784722222222225,76.44444444444444,12.5,16.6,11.9,41.2,31.8,21.2,38.0,93.8
2019-04-09,19.612499999999994,18.436111111111117,21.02083333333333,70.67777777777778,9.4,15.1,8.7,32.9,33.7,22.0,41.6,90.8
2019-04-10,15.033333333333335,16.92777777777777,14.991666666666665,89.99861111111113,11.5,15.8,10.8,76.8,22.7,18.4,25.1,94.0
2019-04-11,19.074999999999996,17.829166666666666,20.715277777777768,78.56111111111112,10.3,14.5,9.6,36.8,32.9,21.3,41.3,94.1
2019-04-12,17.848611111111104,17.700000000000003,18.545833333333334,83.10972222222222,10.7,15.6,10.0,41.8,27.1,20.2,31.3,94.8
2019-04-13,18.874999999999993,17.763888888888882,20.29861111111111,76.75138888888887,6.8,13.6,6.0,44.5,34.8,21.4,42.0,93.3
2019-04-14,16.90972222222222,17.461111111111116,17.28055555555555,80.89444444444447,11.5,15.8,10.8,56.9,24.4,18.9,27.9,93.6
2019-04-15,14.966666666666669,15.02777777777778,15.709722222222227,57.44722222222222,9.8,12.8,9.4,28.9,22.0,16.5,26.8,94.2
2019-04-16,15.822222222222223,14.588888888888894,17.097222222222218,58.15972222222221,7.1,11.3,6.2,32.7,27.2,17.8,33.0,87.3
2019-04-17,13.612499999999999,14.933333333333337,13.40972222222222,88.13888888888887,11.6,14.4,10.9,81.6,15.9,15.4,16.9,93.5
2019-04-18,17.13472222222223,16.191666666666666,18.695833333333333,76.08888888888887,9.9,13.6,9.3,41.7,25.3,18.5,31.8,94.6
2019-04-19,18.026388888888878,16.80277777777778,19.10138888888888,68.2222222222222,12.8,15.3,12.2,47.9,26.3,18.6,32.1,90.7
2019-04-20,18.451388888888893,16.854166666666668,19.82083333333334,64.75833333333331,10.5,13.6,9.8,44.7,28.6,19.9,35.3,88.9
2019-04-21,19.352777777777774,17.96805555555556,20.59722222222222,74.65833333333332,11.6,15.3,11.1,44.0,29.0,20.5,33.5,91.6
2019-04-22,20.237499999999997,19.102777777777778,21.058333333333334,74.5,15.1,17.7,14.5,50.9,26.4,20.4,31.1,92.6
2019-04-23,21.26944444444446,19.454166666666666,21.98055555555555,72.38333333333334,15.8,18.0,15.2,43.5,28.6,21.0,31.2,97.3
