< Measurement Data Text Output >									
									
Date/Time	@date()	T60		ch.3	ch.4	ch.5	ch.6	ch.7	ch.8
		°C	°C						
06/24/2019 16:20'00	43640.68056	29.2	28.2						
06/24/2019 16:40'00	43640.69444	28.3	27.9						
06/24/2019 17:00'00	43640.70833	28.2	27.6						
06/24/2019 17:20'00	43640.72222	28.5	27.3						
06/24/2019 17:40'00	43640.73611	26.8	27						
06/24/2019 18:00'00	43640.75	26.5	26.8						
06/24/2019 18:20'00	43640.76389	24.9	26.5						
06/24/2019 18:40'00	43640.77778	24.5	26.2						
06/24/2019 19:00'00	43640.79167	23.6	26.1						
06/24/2019 19:20'00	43640.80556	23.5	25.9						
06/24/2019 19:40'00	43640.81944	22.9	25.7						
06/24/2019 20:00'00	43640.83333	23.1	25.5						
06/24/2019 20:20'00	43640.84722	23.1	25.4						
06/24/2019 20:40'00	43640.86111	23.3	25.3						
06/24/2019 21:00'00	43640.875	23.3	25.2						
06/24/2019 21:20'00	43640.88889	23.3	25.1						
06/24/2019 21:40'00	43640.90278	23.2	25.1						
06/24/2019 22:00'00	43640.91667	23	24.9						
06/24/2019 22:20'00	43640.93056	23.1	24.9						
06/24/2019 22:40'00	43640.94444	22.6	24.8						
06/24/2019 23:00'00	43640.95833	22.9	24.8						
06/24/2019 23:20'00	43640.97222	23	24.7						
06/24/2019 23:40'00	43640.98611	22.5	24.7						
06/25/2019 00:00'00	43641	22	24.6						
06/25/2019 00:20'00	43641.01389	21.5	24.5						
06/25/2019 00:40'00	43641.02778	21.2	24.4						
06/25/2019 01:00'00	43641.04167	20.8	24.3						
06/25/2019 01:20'00	43641.05556	20.7	24.2						
06/25/2019 01:40'00	43641.06944	20.5	24						
06/25/2019 02:00'00	43641.08333	20.4	23.9						
06/25/2019 02:20'00	43641.09722	20	23.8						
06/25/2019 02:40'00	43641.11111	19.9	23.7						
06/25/2019 03:00'00	43641.125	19.7	23.6						
06/25/2019 03:20'00	43641.13889	19.5	23.5						
06/25/2019 03:40'00	43641.15278	19.4	23.3						
06/25/2019 04:00'00	43641.16667	19.3	23.2						
06/25/2019 04:20'00	43641.18056	19.1	23.1						
06/25/2019 04:40'00	43641.19444	19.1	23						
06/25/2019 05:00'00	43641.20833	19.3	22.9						
06/25/2019 05:20'00	43641.22222	20	22.9						
06/25/2019 05:40'00	43641.23611	21.4	22.9						
06/25/2019 06:00'00	43641.25	24.2	23						
06/25/2019 06:20'00	43641.26389	25.4	23.3						
06/25/2019 06:40'00	43641.27778	26.9	23.6						
06/25/2019 07:00'00	43641.29167	29.6	24.2						
06/25/2019 07:20'00	43641.30556	28.7	24.9						
06/25/2019 07:40'00	43641.31944	29.2	25.4						
06/25/2019 08:00'00	43641.33333	33.3	25.7						
06/25/2019 08:20'00	43641.34722	33.8	26.1						
06/25/2019 08:40'00	43641.36111	31.2	26.5						
06/25/2019 09:00'00	43641.375	32.3	27.2						
06/25/2019 09:20'00	43641.38889	31.4	27.6						
06/25/2019 09:40'00	43641.40278	30.9	27.6						
06/25/2019 10:00'00	43641.41667	31.1	28						
06/25/2019 10:20'00	43641.43056	31.8	28.2						
06/25/2019 10:40'00	43641.44444	32.2	28.3						
06/25/2019 11:00'00	43641.45833	31.6	28.4						
06/25/2019 11:20'00	43641.47222	32.1	28.5						
06/25/2019 11:40'00	43641.48611	31.1	28.7						
06/25/2019 12:00'00	43641.5	29.4	28.8						
06/25/2019 12:20'00	43641.51389	29.7	28.8						
06/25/2019 12:40'00	43641.52778	31.2	28.9						
06/25/2019 13:00'00	43641.54167	31.6	29						
06/25/2019 13:20'00	43641.55556	32.6	29.2						
06/25/2019 13:40'00	43641.56944	30.2	29.3						
06/25/2019 14:00'00	43641.58333	30.3	29.2						
06/25/2019 14:20'00	43641.59722	31.3	29.2						
06/25/2019 14:40'00	43641.61111	29.7	29						
06/25/2019 15:00'00	43641.625	30.4	28.9						
06/25/2019 15:20'00	43641.63889	31.8	29						
06/25/2019 15:40'00	43641.65278	32.7	29						
06/25/2019 16:00'00	43641.66667	31.6	28.9						
06/25/2019 16:20'00	43641.68056	29.7	28.7						
06/25/2019 16:40'00	43641.69444	29.7	28.6						
06/25/2019 17:00'00	43641.70833	31.3	28.5						
06/25/2019 17:20'00	43641.72222	31.8	28.6						
06/25/2019 17:40'00	43641.73611	30.4	28.3						
06/25/2019 18:00'00	43641.75	28.3	28.2						
06/25/2019 18:20'00	43641.76389	28	28						
06/25/2019 18:40'00	43641.77778	26.8	27.7						
06/25/2019 19:00'00	43641.79167	25.2	27.5						
06/25/2019 19:20'00	43641.80556	24.2	27.1						
06/25/2019 19:40'00	43641.81944	23.7	26.9						
06/25/2019 20:00'00	43641.83333	23.4	26.7						
06/25/2019 20:20'00	43641.84722	23.1	26.4						
06/25/2019 20:40'00	43641.86111	23.1	26.2						
06/25/2019 21:00'00	43641.875	22.8	26.1						
06/25/2019 21:20'00	43641.88889	22.5	26						
06/25/2019 21:40'00	43641.90278	22.3	25.8						
06/25/2019 22:00'00	43641.91667	22.2	25.7						
06/25/2019 22:20'00	43641.93056	22	25.5						
06/25/2019 22:40'00	43641.94444	22.2	25.4						
06/25/2019 23:00'00	43641.95833	22.4	25.3						
06/25/2019 23:20'00	43641.97222	22.3	25.2						
06/25/2019 23:40'00	43641.98611	21.9	25.1						
06/26/2019 00:00'00	43642	21.8	25						
06/26/2019 00:20'00	43642.01389	21.5	24.9						
06/26/2019 00:40'00	43642.02778	21.4	24.8						
06/26/2019 01:00'00	43642.04167	21.2	24.7						
06/26/2019 01:20'00	43642.05556	21.2	24.6						
06/26/2019 01:40'00	43642.06944	21	24.5						
06/26/2019 02:00'00	43642.08333	20.9	24.4						
06/26/2019 02:20'00	43642.09722	20.7	24.3						
06/26/2019 02:40'00	43642.11111	20.6	24.2						
06/26/2019 03:00'00	43642.125	20.4	24.1						
06/26/2019 03:20'00	43642.13889	20.4	24						
06/26/2019 03:40'00	43642.15278	20.2	23.9						
06/26/2019 04:00'00	43642.16667	20.1	23.8						
06/26/2019 04:20'00	43642.18056	20	23.7						
06/26/2019 04:40'00	43642.19444	20	23.6						
06/26/2019 05:00'00	43642.20833	20.1	23.5						
06/26/2019 05:20'00	43642.22222	20.7	23.5						
06/26/2019 05:40'00	43642.23611	22.2	23.5						
06/26/2019 06:00'00	43642.25	22.9	23.5						
06/26/2019 06:20'00	43642.26389	23.1	23.6						
06/26/2019 06:40'00	43642.27778	24.6	23.6						
06/26/2019 07:00'00	43642.29167	25.5	23.8						
06/26/2019 07:20'00	43642.30556	26.6	24						
06/26/2019 07:40'00	43642.31944	28.8	24.3						
06/26/2019 08:00'00	43642.33333	31	24.7						
06/26/2019 08:20'00	43642.34722	27.1	25						
06/26/2019 08:40'00	43642.36111	29.9	25.2						
06/26/2019 09:00'00	43642.375	27.5	25.8						
06/26/2019 09:20'00	43642.38889	29.7	26.1						
06/26/2019 09:40'00	43642.40278	32.1	26.1						
06/26/2019 10:00'00	43642.41667	31.3	26.7						
06/26/2019 10:20'00	43642.43056	30.6	27.2						
06/26/2019 10:40'00	43642.44444	34	27.4						
06/26/2019 11:00'00	43642.45833	32.8	27.7						
06/26/2019 11:20'00	43642.47222	33.7	27.9						
06/26/2019 11:40'00	43642.48611	33.7	28.1						
06/26/2019 12:00'00	43642.5	34.2	28.5						
06/26/2019 12:20'00	43642.51389	31.1	28.6						
06/26/2019 12:40'00	43642.52778	30.1	28.6						
06/26/2019 13:00'00	43642.54167	29.6	28.5						
06/26/2019 13:20'00	43642.55556	30.5	28.5						
06/26/2019 13:40'00	43642.56944	30.8	28.5						
06/26/2019 14:00'00	43642.58333	29.8	28.4						
06/26/2019 14:20'00	43642.59722	26.1	28.3						
06/26/2019 14:40'00	43642.61111	27.8	28.1						
06/26/2019 15:00'00	43642.625	29.2	27.8						
06/26/2019 15:20'00	43642.63889	28.6	27.9						
06/26/2019 15:40'00	43642.65278	27.5	27.8						
06/26/2019 16:00'00	43642.66667	28.3	27.7						
06/26/2019 16:20'00	43642.68056	28.6	27.6						
06/26/2019 16:40'00	43642.69444	28.4	27.6						
06/26/2019 17:00'00	43642.70833	27.8	27.5						
06/26/2019 17:20'00	43642.72222	27	27.4						
06/26/2019 17:40'00	43642.73611	26.6	27.2						
06/26/2019 18:00'00	43642.75	26.3	27						
06/26/2019 18:20'00	43642.76389	26	26.8						
06/26/2019 18:40'00	43642.77778	25.7	26.6						
06/26/2019 19:00'00	43642.79167	25.1	26.5						
06/26/2019 19:20'00	43642.80556	24.8	26.3						
06/26/2019 19:40'00	43642.81944	24.7	26.2						
06/26/2019 20:00'00	43642.83333	24.6	26.1						
06/26/2019 20:20'00	43642.84722	24.6	26						
06/26/2019 20:40'00	43642.86111	24.6	25.9						
06/26/2019 21:00'00	43642.875	24.5	25.8						
06/26/2019 21:20'00	43642.88889	24.5	25.8						
06/26/2019 21:40'00	43642.90278	24.4	25.8						
06/26/2019 22:00'00	43642.91667	24	25.8						
06/26/2019 22:20'00	43642.93056	23.4	25.7						
06/26/2019 22:40'00	43642.94444	23.3	25.6						
06/26/2019 23:00'00	43642.95833	23.4	25.5						
06/26/2019 23:20'00	43642.97222	23.6	25.4						
06/26/2019 23:40'00	43642.98611	23.5	25.4						
06/27/2019 00:00'00	43643	23.5	25.4						
06/27/2019 00:20'00	43643.01389	23.6	25.3						
06/27/2019 00:40'00	43643.02778	23.5	25.2						
06/27/2019 01:00'00	43643.04167	23.4	25.2						
06/27/2019 01:20'00	43643.05556	23.6	25.2						
06/27/2019 01:40'00	43643.06944	23.6	25.1						
06/27/2019 02:00'00	43643.08333	23.7	25.1						
06/27/2019 02:20'00	43643.09722	23.7	25.1						
06/27/2019 02:40'00	43643.11111	23.6	25.2						
06/27/2019 03:00'00	43643.125	23.1	25.1						
06/27/2019 03:20'00	43643.13889	22.6	25						
06/27/2019 03:40'00	43643.15278	22.4	24.9						
06/27/2019 04:00'00	43643.16667	22.3	24.8						
06/27/2019 04:20'00	43643.18056	22.3	24.7						
06/27/2019 04:40'00	43643.19444	22.3	24.6						
06/27/2019 05:00'00	43643.20833	22.4	24.5						
06/27/2019 05:20'00	43643.22222	22.8	24.5						
06/27/2019 05:40'00	43643.23611	23	24.5						
