"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-71wf Ch.1","TR-71wf Ch.2"
"","","ÅãC","ÅãC"
"2019-06-24 16:20:00","43640.6805555556","31.6","26.7"
"2019-06-24 16:40:00","43640.6944444444","29.3","26.3"
"2019-06-24 17:00:00","43640.7083333333","28.2","26.0"
"2019-06-24 17:20:00","43640.7222222222","27.4","25.7"
"2019-06-24 17:40:00","43640.7361111111","26.2","25.3"
"2019-06-24 18:00:00","43640.7500000000","26.4","25.0"
"2019-06-24 18:20:00","43640.7638888889","24.8","24.9"
"2019-06-24 18:40:00","43640.7777777778","24.4","24.7"
"2019-06-24 19:00:00","43640.7916666667","23.5","24.6"
"2019-06-24 19:20:00","43640.8055555556","23.2","24.3"
"2019-06-24 19:40:00","43640.8194444444","22.9","24.2"
"2019-06-24 20:00:00","43640.8333333333","22.8","24.0"
"2019-06-24 20:20:00","43640.8472222222","22.9","23.9"
"2019-06-24 20:40:00","43640.8611111111","23.2","23.9"
"2019-06-24 21:00:00","43640.8750000000","23.2","23.8"
"2019-06-24 21:20:00","43640.8888888889","23.1","23.7"
"2019-06-24 21:40:00","43640.9027777778","23.1","23.7"
"2019-06-24 22:00:00","43640.9166666667","22.9","23.6"
"2019-06-24 22:20:00","43640.9305555556","23.2","23.5"
"2019-06-24 22:40:00","43640.9444444444","22.5","23.6"
"2019-06-24 23:00:00","43640.9583333333","22.9","23.6"
"2019-06-24 23:20:00","43640.9722222222","22.9","23.6"
"2019-06-24 23:40:00","43640.9861111111","22.3","23.5"
"2019-06-25 00:00:00","43641.0000000000","21.9","23.4"
"2019-06-25 00:20:00","43641.0138888889","21.6","23.2"
"2019-06-25 00:40:00","43641.0277777778","21.0","23.1"
"2019-06-25 01:00:00","43641.0416666667","20.6","22.9"
"2019-06-25 01:20:00","43641.0555555556","20.3","22.8"
"2019-06-25 01:40:00","43641.0694444444","20.4","22.6"
"2019-06-25 02:00:00","43641.0833333333","20.1","22.5"
"2019-06-25 02:20:00","43641.0972222222","19.7","22.3"
"2019-06-25 02:40:00","43641.1111111111","20.0","22.3"
"2019-06-25 03:00:00","43641.1250000000","19.7","22.1"
"2019-06-25 03:20:00","43641.1388888889","19.3","22.0"
