< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
01/30/2020 15:40'00,43860.65278,27.1,23,,,,,,
01/30/2020 16:00'00,43860.66667,27.5,23.3,,,,,,
01/30/2020 16:20'00,43860.68056,24.5,23,,,,,,
01/30/2020 16:40'00,43860.69444,23.3,22.7,,,,,,
01/30/2020 17:00'00,43860.70833,21.2,22.2,,,,,,
01/30/2020 17:20'00,43860.72222,19.6,21.7,,,,,,
01/30/2020 17:40'00,43860.73611,18.2,21.2,,,,,,
01/30/2020 18:00'00,43860.75,17.4,20.7,,,,,,
01/30/2020 18:20'00,43860.76389,16.8,20.2,,,,,,
01/30/2020 18:40'00,43860.77778,16.3,19.9,,,,,,
01/30/2020 19:00'00,43860.79167,15.8,19.5,,,,,,
01/30/2020 19:20'00,43860.80556,15.4,19.2,,,,,,
01/30/2020 19:40'00,43860.81944,15.1,18.9,,,,,,
01/30/2020 20:00'00,43860.83333,14.8,18.6,,,,,,
01/30/2020 20:20'00,43860.84722,14.4,18.3,,,,,,
01/30/2020 20:40'00,43860.86111,14.2,18.1,,,,,,
01/30/2020 21:00'00,43860.875,14,17.8,,,,,,
01/30/2020 21:20'00,43860.88889,13.7,17.6,,,,,,
01/30/2020 21:40'00,43860.90278,13.5,17.4,,,,,,
01/30/2020 22:00'00,43860.91667,13.3,17.2,,,,,,
01/30/2020 22:20'00,43860.93056,13.1,17,,,,,,
01/30/2020 22:40'00,43860.94444,14.7,17.1,,,,,,
01/30/2020 23:00'00,43860.95833,13.5,16.9,,,,,,
01/30/2020 23:20'00,43860.97222,13.5,16.7,,,,,,
01/30/2020 23:40'00,43860.98611,13.8,16.7,,,,,,
01/31/2020 00:00'00,43861,13.1,16.5,,,,,,
01/31/2020 00:20'00,43861.01389,14.1,16.6,,,,,,
01/31/2020 00:40'00,43861.02778,14,16.4,,,,,,
01/31/2020 01:00'00,43861.04167,13.7,16.4,,,,,,
01/31/2020 01:20'00,43861.05556,15.5,16.5,,,,,,
01/31/2020 01:40'00,43861.06944,13.2,16.3,,,,,,
