date,disease
2020/1/31,1
2020/2/1,1
2020/2/2,1
2020/2/3,1
2020/2/4,1
2020/2/5,1
2020/2/6,1
2020/2/7,1
2020/2/8,1
2020/2/9,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
2020/2/15,1
2020/2/16,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,1
2020/2/23,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,1
2020/2/28,1
2020/2/29,1
2020/3/1,1
2020/3/2,1
2020/3/3,1
2020/3/4,1
2020/3/5,1
2020/3/6,1
2020/3/7,1
2020/3/8,1
2020/3/9,1
2020/3/10,1
2020/3/11,1
2020/3/12,1
2020/3/13,1
2020/3/14,1
2020/3/15,1
2020/3/16,1
2020/3/17,1
2020/3/18,1
2020/3/19,1
2020/3/20,1
2020/3/21,1
2020/3/22,1
2020/3/23,1
2020/3/24,1
2020/3/25,1
2020/3/26,1
2020/3/27,1
2020/3/28,1
2020/3/29,1
2020/3/30,1
2020/3/31,1
2020/4/1,1
2020/4/2,1
2020/4/3,1
2020/4/4,1
2020/4/5,1
2020/4/6,1
2020/4/7,1
2020/4/8,1
2020/4/9,1
2020/4/10,1
2020/4/11,1
2020/4/12,1
2020/4/13,1
2020/4/14,1
2020/4/15,1
2020/4/16,1
2020/4/17,1
2020/4/18,1
2020/4/19,1
2020/4/20,1
2020/4/21,1
2020/4/22,1
2020/4/23,1
2020/4/24,1
2020/4/25,1
2020/4/26,1
2020/4/27,1
2020/4/28,1
2020/4/29,1
2020/4/30,1
2020/5/1,1
2020/5/2,1
2020/5/3,1
2020/5/4,1
2020/5/5,1
2020/5/6,1
2020/5/7,1
2020/5/8,1
2020/5/9,1
2020/5/10,1
2020/5/11,1
2020/5/12,1
2020/5/13,1
2020/5/14,1
2020/5/15,1
2020/5/16,1
2020/5/17,1
2020/5/18,0
2020/5/19,0
2020/5/20,0
