date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z
2020-02-02,19.72,17.80181818181818,19.089090909090906,68.30545454545454,13.2,14.3,13.1,29.4,33.0,21.0,28.2,87.9,18.499999999999996,18.373611111111106,17.902777777777775,72.4208333333333,13.5,16.3,13.3,29.2,33.8,21.4,29.6,90.2,17.672,19.652,17.115999999999996,83.18799999999999,13.7,17.6,13.5,48.5,29.1,21.6,26.1,92.0
2020-02-03,20.423636363636362,18.183636363636364,19.629090909090912,65.28727272727274,13.0,15.9,13.1,29.9,34.7,21.7,30.2,86.3,18.45,17.877777777777776,17.961111111111112,72.78749999999998,13.2,14.3,13.1,29.4,33.0,21.0,28.2,90.4,18.499999999999996,18.373611111111106,17.902777777777775,72.4208333333333,13.5,16.3,13.3,29.2,33.8,21.4,29.6,90.2
2020-02-04,18.37090909090909,17.80727272727272,18.05636363636364,73.1527272727273,13.1,15.9,13.1,51.4,27.1,20.9,25.7,89.6,19.0875,18.288888888888888,18.448611111111106,70.27361111111111,13.0,15.9,13.1,29.9,34.7,21.7,30.2,89.4,18.45,17.877777777777776,17.961111111111112,72.78749999999998,13.2,14.3,13.1,29.4,33.0,21.0,28.2,90.4
2020-02-05,20.060000000000002,17.643636363636364,19.54545454545455,68.51454545454543,13.2,10.7,13.2,28.6,35.7,21.3,29.9,92.0,17.51527777777778,17.90138888888889,17.251388888888886,77.12638888888893,13.1,15.9,13.1,51.4,27.1,20.9,25.7,91.2,19.0875,18.288888888888888,18.448611111111106,70.27361111111111,13.0,15.9,13.1,29.9,34.7,21.7,30.2,89.4
2020-02-06,19.034545454545466,17.832727272727272,18.46545454545454,67.27090909090909,12.9,15.7,13.0,36.7,30.6,20.8,26.7,88.2,18.72361111111111,17.78472222222223,18.329166666666666,72.55277777777776,13.2,10.7,13.2,28.6,35.7,21.3,29.9,92.0,17.51527777777778,17.90138888888889,17.251388888888886,77.12638888888893,13.1,15.9,13.1,51.4,27.1,20.9,25.7,91.2
2020-02-07,19.081818181818182,17.60727272727273,18.280000000000005,64.39454545454544,13.0,15.6,13.0,30.5,30.7,20.6,26.9,85.7,17.93055555555556,17.851388888888895,17.465277777777768,71.44305555555553,12.9,15.7,13.0,36.7,30.6,20.8,26.7,89.0,18.72361111111111,17.78472222222223,18.329166666666666,72.55277777777776,13.2,10.7,13.2,28.6,35.7,21.3,29.9,92.0
2020-02-08,18.76545454545454,17.78727272727273,18.663636363636364,69.79090909090911,12.8,15.7,12.9,40.4,29.2,21.1,28.0,100.0,17.890277777777772,17.626388888888894,17.261111111111113,68.22777777777777,13.0,15.6,13.0,30.5,30.7,20.6,26.9,86.5,17.93055555555556,17.851388888888895,17.465277777777768,71.44305555555553,12.9,15.7,13.0,36.7,30.6,20.8,26.7,89.0
2020-02-09,19.969090909090905,17.678181818181823,19.207272727272724,63.10545454545452,12.9,15.5,13.2,27.2,33.2,20.9,29.5,98.1,17.431944444444433,17.79166666666667,17.6125,76.72777777777782,12.5,15.7,12.9,40.4,29.2,21.1,28.0,100.0,17.890277777777772,17.626388888888894,17.261111111111113,68.22777777777777,13.0,15.6,13.0,30.5,30.7,20.6,26.9,86.5
2020-02-10,19.53818181818182,17.910909090909094,18.76545454545455,59.12363636363637,13.1,15.9,13.1,26.7,32.2,20.9,29.2,78.3,18.672222222222217,17.78611111111111,18.058333333333334,66.85416666666664,12.9,15.5,13.2,27.2,33.2,20.9,29.5,98.1,17.431944444444433,17.79166666666667,17.6125,76.72777777777782,12.5,15.7,12.9,40.4,29.2,21.1,28.0,100.0
2020-02-11,19.470909090909096,17.592727272727274,19.052727272727275,59.09818181818182,12.8,14.0,12.8,35.8,30.1,20.7,31.0,79.6,18.262500000000006,17.920833333333334,17.648611111111112,62.78472222222225,13.1,15.9,13.1,26.7,32.2,20.9,29.2,79.7,18.672222222222217,17.78611111111111,18.058333333333334,66.85416666666664,12.9,15.5,13.2,27.2,33.2,20.9,29.5,98.1
2020-02-12,20.178181818181823,18.11818181818182,19.52909090909091,57.76,13.1,16.0,13.0,21.5,33.8,21.2,32.0,78.8,18.263888888888893,17.683333333333334,17.922222222222224,63.57777777777778,12.8,14.0,12.8,35.8,30.1,20.7,31.0,81.6,18.262500000000006,17.920833333333334,17.648611111111112,62.78472222222225,13.1,15.9,13.1,26.7,32.2,20.9,29.2,79.7
2020-02-13,20.363636363636363,18.36727272727273,19.721818181818183,59.35999999999999,13.1,16.1,13.1,27.0,34.6,21.7,30.0,78.4,18.81666666666667,18.186111111111114,18.311111111111117,62.16805555555553,13.1,16.0,13.0,21.5,33.8,21.2,32.0,80.1,18.263888888888893,17.683333333333334,17.922222222222224,63.57777777777778,12.8,14.0,12.8,35.8,30.1,20.7,31.0,81.6
2020-02-14,20.990909090909092,19.238181818181825,20.309090909090905,69.76545454545455,14.9,17.6,14.9,33.5,35.6,22.4,29.1,85.7,19.49444444444444,18.612500000000004,18.998611111111114,64.57083333333334,13.1,16.1,13.1,27.0,34.6,21.7,30.0,82.9,18.81666666666667,18.186111111111114,18.311111111111117,62.16805555555553,13.1,16.0,13.0,21.5,33.8,21.2,32.0,80.1
2020-02-15,17.55090909090909,18.405454545454546,17.389090909090907,76.31636363636362,13.6,17.0,13.5,55.0,27.5,20.2,26.2,85.9,20.03611111111111,19.422222222222224,19.512499999999996,72.69861111111112,14.9,17.6,14.9,33.5,35.6,22.4,29.1,85.7,19.49444444444444,18.612500000000004,18.998611111111114,64.57083333333334,13.1,16.1,13.1,27.0,34.6,21.7,30.0,82.9
