T20_mean_x,H_mean_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,H_mean_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,H_mean_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,T20_mean_a,H_mean_a,T60_min_a,H_min_a,T20_max_a,ST_max_a,T60_max_a,H_max_a,T20_mean_b,H_mean_b,ST_min_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b,housa_x,housa_y,housa_z,housa_a,housa_b
23.88348623853211,94.77981651376149,84.0,26.7,25.5,26.3,100.0,27.43055555555555,75.33333333333333,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,73.0763888888889,21.5,43.0,35.8,30.7,39.6,100.0,25.844444444444452,71.6111111111111,22.1,48.0,33.1,28.8,34.7,90.0,27.09652777777778,74.05555555555556,24.7,23.2,45.0,34.5,31.0,36.5,96.0,0.9347361006404726,5.411068056520567,5.733157931741183,5.733732037588315,5.489318608822986
26.830275229357795,85.39449541284405,53.0,36.1,28.8,37.1,100.0,23.3902777777778,96.04861111111113,22.0,84.0,26.7,25.5,26.3,100.0,27.43055555555555,75.33333333333333,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,73.0763888888889,21.5,43.0,35.8,30.7,39.6,100.0,25.844444444444452,71.6111111111111,24.0,22.1,48.0,33.1,28.8,34.7,90.0,3.047379445067865,0.6926077394990944,5.411068056520567,5.733157931741183,5.733732037588315
28.8045871559633,81.13761467889908,55.0,38.3,29.4,37.7,99.0,26.343055555555548,86.76388888888891,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,96.04861111111113,22.0,84.0,26.7,25.5,26.3,100.0,27.43055555555555,75.33333333333333,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,73.0763888888889,23.8,21.5,43.0,35.8,30.7,39.6,100.0,4.215527082961666,2.6883345981659503,0.6926077394990944,5.411068056520567,5.733157931741183
28.94862385321101,80.89908256880734,51.0,38.3,33.2,36.8,100.0,27.82569444444445,83.7361111111111,23.6,55.0,38.3,29.4,37.7,100.0,26.343055555555548,86.76388888888891,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,96.04861111111113,22.0,84.0,26.7,25.5,26.3,100.0,27.43055555555555,75.33333333333333,24.0,21.6,41.0,36.0,30.8,39.6,100.0,4.187402263262971,3.470198760827348,2.6883345981659503,0.6926077394990944,5.411068056520567
29.19174311926607,78.30275229357798,53.0,36.8,29.3,35.0,100.0,28.03125000000001,83.6111111111111,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,83.7361111111111,23.6,55.0,38.3,29.4,37.7,100.0,26.343055555555548,86.76388888888891,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,96.04861111111113,24.0,22.0,84.0,26.7,25.5,26.3,100.0,4.878742593865846,3.459321181165858,3.470198760827348,2.6883345981659503,0.6926077394990944
29.71192660550457,77.31192660550458,53.0,35.9,29.4,35.4,100.0,28.26319444444445,79.68055555555556,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,83.6111111111111,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,83.7361111111111,23.6,55.0,38.3,29.4,37.7,100.0,26.343055555555548,86.76388888888891,23.7,22.2,53.0,36.1,28.8,37.1,100.0,5.286592192348535,4.383997971609549,3.459321181165858,3.470198760827348,2.6883345981659503
29.56513761467889,82.3302752293578,56.0,37.6,30.0,35.4,100.0,28.868749999999995,79.60416666666667,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,79.68055555555556,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,83.6111111111111,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,83.7361111111111,24.9,23.6,55.0,38.3,29.4,37.7,100.0,4.076066640976272,4.568461679612641,4.383997971609549,3.459321181165858,3.470198760827348
29.77155963302753,84.94495412844037,65.0,37.0,29.4,34.0,100.0,28.58958333333333,86.53472222222223,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,79.60416666666667,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,79.68055555555556,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,83.6111111111111,24.5,22.3,51.0,38.3,33.2,36.8,100.0,3.4154420600856343,2.9916823001041357,4.568461679612641,4.383997971609549,3.459321181165858
29.80183486238533,84.57798165137615,64.0,39.3,29.2,34.6,100.0,28.879861111111122,87.17361111111109,24.0,65.0,37.0,29.4,34.0,100.0,28.58958333333333,86.53472222222223,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,79.60416666666667,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,79.68055555555556,24.4,21.8,53.0,36.8,29.3,35.0,100.0,3.4937234734109346,2.8271279067628368,2.9916823001041357,4.568461679612641,4.383997971609549
30.362385321100913,79.8440366972477,59.0,38.9,30.5,35.3,100.0,28.928472222222233,86.5,24.4,64.0,39.3,29.2,34.6,100.0,28.879861111111122,87.17361111111109,24.0,65.0,37.0,29.4,34.0,100.0,28.58958333333333,86.53472222222223,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,79.60416666666667,24.7,22.4,53.0,35.9,29.4,35.4,100.0,4.7854350514090775,2.9715849414666637,2.8271279067628368,2.9916823001041357,4.568461679612641
