date,disease,H_mean_x,H_min_x,T20_max_x,H_max_x,H_min_y,H_max_y,T60_min_z,T60_max_z,H_max_z,T60_min_a,T20_max_a,ST_max_a,T60_max_a,H_max_a,T20_mean_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b,housa_x
2016-07-27,0,94.77981651376149,84.0,26.7,100.0,41.0,100.0,21.5,39.6,100.0,22.1,33.1,28.8,34.7,90.0,27.09652777777778,23.2,45.0,34.5,31.0,36.5,96.0,0.9347361006404726
2016-07-28,0,85.39449541284405,53.0,36.1,100.0,84.0,100.0,21.6,39.6,100.0,21.5,35.8,30.7,39.6,100.0,25.844444444444452,22.1,48.0,33.1,28.8,34.7,90.0,3.047379445067865
2016-07-29,0,81.13761467889908,55.0,38.3,99.0,53.0,100.0,22.0,26.3,100.0,21.6,36.0,30.8,39.6,100.0,26.68611111111111,21.5,43.0,35.8,30.7,39.6,100.0,4.215527082961666
2016-07-30,0,80.89908256880734,51.0,38.3,100.0,55.0,100.0,22.2,37.1,100.0,22.0,26.7,25.5,26.3,100.0,27.43055555555555,21.6,41.0,36.0,30.8,39.6,100.0,4.187402263262971
2016-07-31,0,78.30275229357798,53.0,36.8,100.0,51.0,100.0,23.6,37.7,100.0,22.2,36.1,28.8,37.1,100.0,23.3902777777778,22.0,84.0,26.7,25.5,26.3,100.0,4.878742593865846
2016-08-01,0,77.31192660550458,53.0,35.9,100.0,53.0,100.0,22.3,36.8,100.0,23.6,38.3,29.4,37.7,100.0,26.343055555555548,22.2,53.0,36.1,28.8,37.1,100.0,5.286592192348535
2016-08-02,0,82.3302752293578,56.0,37.6,100.0,53.0,100.0,21.8,35.0,100.0,22.3,38.3,33.2,36.8,100.0,27.82569444444445,23.6,55.0,38.3,29.4,37.7,100.0,4.076066640976272
2016-08-03,0,84.94495412844037,65.0,37.0,100.0,56.0,100.0,22.4,35.4,100.0,21.8,36.8,29.3,35.0,100.0,28.03125000000001,22.3,51.0,38.3,33.2,36.8,100.0,3.4154420600856343
2016-08-04,0,84.57798165137615,64.0,39.3,100.0,65.0,100.0,23.7,35.4,100.0,22.4,35.9,29.4,35.4,100.0,28.26319444444445,21.8,53.0,36.8,29.3,35.0,100.0,3.4937234734109346
2016-08-05,0,79.8440366972477,59.0,38.9,100.0,64.0,100.0,24.0,34.0,100.0,23.7,37.6,30.0,35.4,100.0,28.868749999999995,22.4,53.0,35.9,29.4,35.4,100.0,4.7854350514090775
2016-08-06,0,80.29357798165137,61.0,38.0,100.0,59.0,100.0,24.4,34.6,100.0,24.0,37.0,29.4,34.0,100.0,28.58958333333333,23.7,56.0,37.6,30.0,35.4,100.0,4.733296326380018
2016-08-07,0,80.74311926605505,62.0,39.2,100.0,61.0,100.0,24.0,35.3,100.0,24.4,39.3,29.2,34.6,100.0,28.879861111111122,24.0,65.0,37.0,29.4,34.0,100.0,4.61147690249275
2016-08-08,0,83.36697247706422,61.0,39.4,100.0,62.0,100.0,24.4,35.4,100.0,24.0,38.9,30.5,35.3,100.0,28.928472222222233,24.4,64.0,39.3,29.2,34.6,100.0,3.913765593020451
2016-08-09,0,76.8440366972477,55.0,38.5,100.0,61.0,100.0,24.5,35.9,100.0,24.4,38.0,30.0,35.4,100.0,29.415277777777767,24.0,59.0,38.9,30.5,35.3,100.0,5.697820620044209
2016-08-10,0,66.53211009174312,52.0,39.2,82.0,55.0,100.0,24.7,36.8,100.0,24.5,39.2,29.9,35.9,100.0,29.686111111111106,24.4,61.0,38.0,30.0,35.4,100.0,8.429933769703446
2016-08-11,0,67.36697247706422,45.0,37.5,89.0,52.0,83.0,24.2,35.5,100.0,24.7,39.4,30.2,36.8,100.0,29.740277777777766,24.5,62.0,39.2,29.9,35.9,100.0,7.4484274246908475
2016-08-12,0,78.57798165137615,58.0,35.6,97.0,45.0,94.0,24.5,35.7,83.0,24.2,38.5,32.4,35.5,100.0,29.25138888888889,24.7,61.0,39.4,30.2,36.8,100.0,4.68409890092016
2016-08-13,0,80.35779816513761,50.0,35.6,100.0,58.0,97.0,23.0,34.2,94.0,24.5,39.2,32.4,35.7,83.0,31.04444444444445,24.2,55.0,38.5,32.4,35.5,100.0,4.410174762130251
2016-08-14,0,80.35779816513761,62.0,37.1,93.0,50.0,100.0,21.7,34.0,97.0,23.0,37.5,28.6,34.2,94.0,31.352777777777767,24.5,52.0,39.2,32.4,35.7,83.0,4.412922744329778
2016-08-15,0,85.56880733944953,73.0,32.1,98.0,62.0,93.0,23.9,36.2,100.0,21.7,35.6,28.4,34.0,97.0,28.89236111111111,23.0,45.0,37.5,28.6,34.2,94.0,2.9969599849101365
2016-08-16,0,83.06422018348623,62.0,37.4,98.0,73.0,98.0,24.2,35.3,93.0,23.9,35.6,29.9,36.2,100.0,28.286111111111122,21.7,58.0,35.6,28.4,34.0,97.0,3.8301786979803736
2016-08-17,0,83.04587155963304,61.0,36.5,100.0,62.0,98.0,24.4,30.4,98.0,24.2,37.1,29.7,35.3,93.0,28.315972222222207,23.9,50.0,35.6,29.9,36.2,100.0,3.881961363730989
2016-08-18,0,78.65137614678899,58.0,35.5,98.0,61.0,100.0,23.8,36.9,98.0,24.4,32.1,27.3,30.4,98.0,28.718749999999986,24.2,62.0,37.1,29.7,35.3,93.0,5.08674865632963
2016-08-19,0,84.89908256880734,65.0,37.6,99.0,58.0,98.0,24.5,33.6,100.0,23.8,37.4,30.0,36.9,98.0,26.78263888888891,24.4,73.0,32.1,27.3,30.4,98.0,3.679532376374281
2016-08-20,0,83.71559633027523,66.0,39.1,98.0,65.0,99.0,25.7,33.9,98.0,24.5,36.5,29.0,33.6,100.0,28.92361111111111,23.8,62.0,37.4,30.0,36.9,98.0,3.823273802242837
