date,disease,H_min_x,T60_max_x,H_max_x,H_max_y,T20_min_z,ST_max_z,H_max_z,T60_max_a,H_max_a,H_mean_b,T60_max_b,H_max_b,housa_x
2016-07-27,0,78.0,26.3,100.0,96.0,21.4,33.3,97.0,35.8,84.0,71.0763888888889,35.6,92.0,1.886673386907236
2016-07-28,0,44.0,39.9,100.0,100.0,21.6,32.1,96.0,39.6,97.0,66.81944444444444,35.8,84.0,4.557839110855032
2016-07-29,0,40.0,41.5,91.0,100.0,21.6,25.9,100.0,41.4,96.0,69.20833333333333,39.6,97.0,7.33694301963046
2016-07-30,0,38.0,41.3,99.0,91.0,21.8,30.4,100.0,26.3,100.0,70.34027777777777,41.4,96.0,6.812836297486874
2016-07-31,0,35.0,41.0,100.0,99.0,23.8,31.6,91.0,39.9,100.0,91.77083333333331,26.3,100.0,8.829486065788803
2016-08-01,0,38.0,41.2,99.0,100.0,22.1,33.4,99.0,41.5,91.0,80.8125,39.9,100.0,9.513896430965973
2016-08-02,0,37.0,43.0,100.0,99.0,21.6,31.6,100.0,41.3,99.0,73.1875,41.5,91.0,7.741594173143022
2016-08-03,0,44.0,42.4,100.0,100.0,22.1,32.2,99.0,41.0,100.0,74.47916666666667,41.3,99.0,6.9190799558435705
2016-08-04,0,48.0,39.8,100.0,100.0,23.6,34.1,100.0,41.2,99.0,68.5,41.0,100.0,6.740193288617423
2016-08-05,0,42.0,41.9,100.0,100.0,23.7,31.5,100.0,43.0,100.0,68.19444444444444,41.2,99.0,8.089388660154547
2016-08-06,0,43.0,42.0,99.0,100.0,23.9,30.2,100.0,42.4,100.0,76.6111111111111,43.0,100.0,8.116632226055193
2016-08-07,0,47.0,41.1,99.0,99.0,23.7,34.1,100.0,39.8,100.0,76.47222222222223,42.4,100.0,7.746947747310398
2016-08-08,0,35.0,44.9,100.0,99.0,24.0,32.7,99.0,41.9,100.0,76.7986111111111,39.8,100.0,7.328900275445527
2016-08-09,0,41.0,41.4,98.0,100.0,24.3,31.4,99.0,42.0,99.0,73.79166666666667,41.9,100.0,8.798658275284392
2016-08-10,0,38.0,40.5,78.0,98.0,24.3,32.9,100.0,41.1,99.0,73.875,42.0,99.0,11.685241454521346
2016-08-11,0,35.0,40.2,86.0,78.0,23.7,31.9,98.0,44.9,100.0,73.375,41.1,99.0,10.272621382122855
2016-08-12,0,41.0,40.2,97.0,94.0,25.2,32.7,78.0,41.4,98.0,75.22222222222223,44.9,100.0,7.682339260505071
2016-08-13,0,32.0,40.0,99.0,97.0,22.9,30.5,94.0,40.5,78.0,66.7361111111111,41.4,98.0,7.0903070142710005
2016-08-14,0,42.0,41.8,85.0,99.0,21.4,30.2,97.0,40.2,94.0,58.77083333333334,40.5,78.0,8.142532743765724
2016-08-15,0,55.0,33.5,94.0,88.0,23.6,30.3,99.0,40.2,97.0,65.09722222222223,40.2,94.0,4.604456408620093
2016-08-16,0,46.0,41.5,95.0,94.0,24.5,30.9,88.0,40.0,99.0,72.6875,40.2,97.0,6.5141863926343175
2016-08-17,0,44.0,41.2,100.0,95.0,23.8,27.7,94.0,41.8,88.0,71.7986111111111,40.0,99.0,6.031292783044223
2016-08-18,0,56.0,36.9,92.0,100.0,23.5,30.4,95.0,33.5,94.0,70.84027777777777,41.8,88.0,7.062795089349503
2016-08-19,0,44.0,42.1,94.0,95.0,23.8,29.9,100.0,41.5,95.0,79.74305555555556,33.5,94.0,6.429910132319975
2016-08-20,0,51.0,39.8,95.0,94.0,25.9,30.0,95.0,41.2,100.0,76.72222222222223,41.5,95.0,6.069627723526148
2016-08-21,0,50.0,37.7,99.0,96.0,26.7,32.1,94.0,36.9,95.0,77.64583333333333,41.2,100.0,5.799470197756
2016-08-22,0,40.0,39.9,88.0,99.0,24.9,30.4,96.0,42.1,94.0,76.28472222222223,36.9,95.0,8.198011150951054
2016-08-23,0,59.0,34.4,95.0,91.0,24.1,30.2,99.0,39.8,96.0,78.2638888888889,42.1,94.0,4.964390210877791
2016-08-24,0,43.0,38.7,99.0,95.0,23.8,38.3,91.0,37.7,99.0,78.72916666666667,39.8,96.0,6.530931266832683
2016-08-25,0,55.0,35.8,94.0,99.0,25.6,29.4,95.0,39.9,91.0,75.88194444444444,37.7,99.0,6.012808734657898
