date,disease,T60_min_x,T20_max_x,T60_max_x,H_max_x,H_mean_y,T60_max_y,H_max_y,T60_max_z,H_max_z,H_max_a,T20_mean_b,T20_min_b,ST_max_b,H_max_b,housa_y
2016-11-21,1,13.1,24.9,23.7,99.0,99.0,20.2,99.0,23.9,99.0,99.0,13.025000000000002,7.7,16.9,99.0,0.1155542463076338
2016-11-22,1,13.2,21.5,20.2,99.0,94.5,23.7,99.0,20.2,99.0,99.0,12.43125,6.4,15.8,99.0,0.6879505846793629
2016-11-23,1,14.3,23.5,22.4,99.0,98.50694444444444,20.2,99.0,23.7,99.0,99.0,15.334722222222226,9.0,17.0,99.0,0.17940112942088074
2016-11-24,1,11.8,19.0,17.6,99.0,92.02777777777777,22.4,99.0,20.2,99.0,99.0,15.674305555555556,13.4,16.7,99.0,0.964798389813286
2016-11-25,1,9.3,22.7,20.7,99.0,89.50694444444444,17.6,99.0,22.4,99.0,99.0,17.29583333333333,13.0,18.0,99.0,1.0725473782264578
2016-11-26,1,6.0,22.1,20.5,99.0,98.20833333333331,20.7,99.0,17.6,99.0,99.0,16.39027777777777,13.1,17.4,99.0,0.1677053376774979
2016-11-27,1,10.5,24.6,22.8,99.0,92.59722222222223,20.5,99.0,20.7,99.0,99.0,16.564583333333335,12.3,18.1,99.0,0.6853295762848437
2016-11-28,1,13.5,24.4,22.4,99.0,93.65972222222223,22.8,99.0,20.5,99.0,99.0,13.303472222222226,10.3,16.2,99.0,0.6908021432879068
2016-11-29,1,12.1,21.5,19.1,99.0,98.65277777777777,22.4,99.0,22.8,99.0,99.0,11.724305555555553,7.6,15.8,99.0,0.15684172686062006
2016-11-30,1,11.6,20.3,18.7,99.0,90.56944444444444,19.1,99.0,22.4,99.0,99.0,11.676388888888884,6.0,15.0,99.0,1.0081658426682925
2016-12-01,1,12.1,22.4,20.6,99.0,88.22222222222223,18.7,99.0,19.1,99.0,99.0,14.766666666666666,10.3,16.1,99.0,1.241264566017101
2016-12-02,1,12.6,24.1,22.0,99.0,94.96527777777777,20.6,99.0,18.7,99.0,99.0,15.963888888888883,13.6,16.5,99.0,0.5443860332049631
2016-12-03,1,11.3,17.2,16.4,99.0,97.09722222222223,22.0,99.0,20.6,99.0,99.0,14.422916666666667,11.8,15.9,99.0,0.32808269885303604
2016-12-04,1,11.5,24.6,22.5,99.0,85.3888888888889,16.4,99.0,22.0,99.0,99.0,14.365277777777774,11.5,15.8,99.0,1.5029145820654417
