date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z,T20_mean_a,ST_mean_a,T60_mean_a,ST_max_a,T20_mean_b,ST_mean_b,T60_mean_b,ST_max_b,T60_max_b,housa_x,housa_y,housa_z,housa_a,housa_b
2019/6/29,0,27.94181818,26.71090909,28.10181818,29.4,37.2,25.00416667,25.54583333,25.03194444,28.4,26.4,28.1,26.03611111,25.95,25.86527778,28.6,34.2,26.87916667,26.32916667,26.28333333,29.3,24.58695652,25.89565217,24.49130435,28.2,29.2,3.98447732,1.845192535,4.684349967,5.23758332,4.290489507
2019/6/30,0,27.92909091,27.09818182,27.72545455,29.1,33.7,27.54305556,26.89305556,27.69722222,34.9,29.4,37.2,25.00416667,25.54583333,25.03194444,26.4,28.1,26.03611111,25.95,25.86527778,28.6,26.87916667,26.32916667,26.28333333,29.3,33.8,3.255051937,3.603954119,1.845192535,4.684349967,5.23758332
2019/7/1,0,26.36727273,26.65090909,26.43090909,27.2,29,27.44305556,27.14444444,27.28472222,35.3,29.1,33.7,27.54305556,26.89305556,27.69722222,29.4,37.2,25.00416667,25.54583333,25.03194444,26.4,26.03611111,25.95,25.86527778,28.6,34.2,1.593372865,2.745569046,3.603954119,1.845192535,4.684349967
2019/7/2,0,25.25454545,25.63636364,25.14545455,26.1,27.8,26.12083333,26.58194444,26.18333333,28.7,27.2,29,27.44305556,27.14444444,27.28472222,29.1,33.7,27.54305556,26.89305556,27.69722222,29.4,25.00416667,25.54583333,25.03194444,26.4,28.1,2.102772599,1.533910394,2.745569046,3.603954119,1.845192535
2019/7/3,0,25.82545455,25.58363636,25.50545455,27.5,30,24.79444444,25.55972222,24.69305556,27.5,26.1,27.8,26.12083333,26.58194444,26.18333333,27.2,29,27.44305556,27.14444444,27.28472222,29.1,27.54305556,26.89305556,27.69722222,29.4,37.2,2.748825334,1.811509791,1.533910394,2.745569046,3.603954119
2019/7/4,0,27.00727273,26.31454545,26.80363636,28.5,35.1,25.28888889,25.55694444,25.01527778,32.5,27.5,30,24.79444444,25.55972222,24.69305556,26.1,27.8,26.12083333,26.58194444,26.18333333,27.2,27.44305556,27.14444444,27.28472222,29.1,33.7,3.56344733,2.449463677,1.811509791,1.533910394,2.745569046
2019/7/5,0,26.70363636,26.09636364,26.43818182,28,31.4,26.38888889,26.26666667,26.20138889,34.9,28.5,35.1,25.28888889,25.55694444,25.01527778,27.5,30,24.79444444,25.55972222,24.69305556,26.1,26.12083333,26.58194444,26.18333333,27.2,29,2.86762164,2.866628201,2.449463677,1.811509791,1.533910394
2019/7/6,0,25.18545455,25.56909091,25.07454545,26.7,29.3,26.12777778,26.16527778,25.875,31.8,28,31.4,26.38888889,26.26666667,26.20138889,28.5,35.1,25.28888889,25.55694444,25.01527778,27.5,24.79444444,25.55972222,24.69305556,26.1,27.8,2.676226205,2.545885123,2.866628201,2.449463677,1.811509791
2019/7/7,0,25.31636364,24.65818182,25.53272727,27.5,34,24.21527778,25.15972222,24.08611111,29.7,26.7,29.3,26.12777778,26.16527778,25.875,28,31.4,26.38888889,26.26666667,26.20138889,28.5,25.28888889,25.55694444,25.01527778,27.5,30,3.596190422,2.316038487,2.545885123,2.866628201,2.449463677
2019/7/8,0,26.27636364,25.48727273,26.35454545,27.6,32.9,24.93611111,24.76527778,25.07638889,33.7,27.5,34,24.21527778,25.15972222,24.08611111,26.7,29.3,26.12777778,26.16527778,25.875,28,26.38888889,26.26666667,26.20138889,28.5,35.1,4.21872633,3.4208074,2.316038487,2.545885123,2.866628201
2019/7/9,0,25.32181818,25.29454545,25.06363636,26.2,29.8,25.86388889,25.58194444,25.88333333,32.2,27.6,32.9,24.93611111,24.76527778,25.07638889,27.5,34,24.21527778,25.15972222,24.08611111,26.7,26.12777778,26.16527778,25.875,28,31.4,3.152230692,3.677379749,3.4208074,2.316038487,2.545885123
2019/7/10,0,25.51090909,24.85818182,25.51454545,27.4,34.9,24.71111111,25.13194444,24.47777778,29.6,26.2,29.8,25.86388889,25.58194444,25.88333333,27.6,32.9,24.93611111,24.76527778,25.07638889,27.5,24.21527778,25.15972222,24.08611111,26.7,29.3,4.128443317,2.983046704,3.677379749,3.4208074,2.316038487
