date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z,T20_mean_a,ST_mean_a,T60_mean_a,ST_max_a,T20_mean_b,ST_mean_b,T60_mean_b,ST_max_b,T60_max_b,housa_x,housa_y,housa_z,housa_a,housa_b
2016/7/27,0,23.88348624,25.07798165,23.91651376,25.5,26.3,27.43055556,26.80069444,28.02986111,36,30.8,39.6,26.68611111,26.38958333,27.42013889,30.7,39.6,25.84444444,25.79305556,26.34166667,28.8,27.09652778,26.78055556,27.28888889,31,36.5,0.934736101,5.411068057,5.733157932,5.733732038,5.489318609
2016/7/28,0,26.83027523,25.54220183,27.00366972,28.8,37.1,23.39027778,24.84930556,23.49097222,26.7,25.5,26.3,27.43055556,26.80069444,28.02986111,30.8,39.6,26.68611111,26.38958333,27.42013889,30.7,25.84444444,25.79305556,26.34166667,28.8,34.7,3.047379445,0.692607739,5.411068057,5.733157932,5.733732038
2016/7/29,0,28.80458716,26.55688073,28.41284404,29.4,37.7,26.34305556,25.63541667,26.45555556,36.1,28.8,37.1,23.39027778,24.84930556,23.49097222,25.5,26.3,27.43055556,26.80069444,28.02986111,30.8,26.68611111,26.38958333,27.42013889,30.7,39.6,4.215527083,2.688334598,0.692607739,5.411068057,5.733157932
2016/7/30,0,28.94862385,27.10917431,28.01651376,33.2,36.8,27.82569444,26.50763889,27.46111111,38.3,29.4,37.7,26.34305556,25.63541667,26.45555556,28.8,37.1,23.39027778,24.84930556,23.49097222,25.5,27.43055556,26.80069444,28.02986111,30.8,39.6,4.187402263,3.470198761,2.688334598,0.692607739,5.411068057
2016/7/31,0,29.19174312,27.05963303,28.53853211,29.3,35,28.03125,26.94722222,27.24027778,38.3,33.2,36.8,27.82569444,26.50763889,27.46111111,29.4,37.7,26.34305556,25.63541667,26.45555556,28.8,23.39027778,24.84930556,23.49097222,25.5,26.3,4.878742594,3.459321181,3.470198761,2.688334598,0.692607739
2016/8/1,0,29.71192661,27.26788991,29.27522936,29.4,35.4,28.26319444,26.91666667,27.68888889,36.8,29.3,35,28.03125,26.94722222,27.24027778,33.2,36.8,27.82569444,26.50763889,27.46111111,29.4,26.34305556,25.63541667,26.45555556,28.8,37.1,5.286592192,4.383997972,3.459321181,3.470198761,2.688334598
2016/8/2,0,29.56513761,27.79449541,29.06697248,30,35.4,28.86875,27.20972222,28.45902778,35.9,29.4,35.4,28.26319444,26.91666667,27.68888889,29.3,35,28.03125,26.94722222,27.24027778,33.2,27.82569444,26.50763889,27.46111111,29.4,37.7,4.076066641,4.56846168,4.383997972,3.459321181,3.470198761
2016/8/3,0,29.77155963,27.7559633,28.72201835,29.4,34,28.58958333,27.62569444,28.29166667,37.6,30,35.4,28.86875,27.20972222,28.45902778,29.4,35.4,28.26319444,26.91666667,27.68888889,29.3,28.03125,26.94722222,27.24027778,33.2,36.8,3.41544206,2.9916823,4.56846168,4.383997972,3.459321181
2016/8/4,0,29.80183486,27.64770642,28.69266055,29.2,34.6,28.87986111,27.7,28.12777778,37,29.4,34,28.58958333,27.62569444,28.29166667,30,35.4,28.86875,27.20972222,28.45902778,29.4,28.26319444,26.91666667,27.68888889,29.3,35,3.493723473,2.827127907,2.9916823,4.56846168,4.383997972
2016/8/5,0,30.36238532,28.05412844,29.66422018,30.5,35.3,28.92847222,27.51527778,28.1,39.3,29.2,34.6,28.87986111,27.7,28.12777778,29.4,34,28.58958333,27.62569444,28.29166667,30,28.86875,27.20972222,28.45902778,29.4,35.4,4.785435051,2.971584941,2.827127907,2.9916823,4.56846168
2016/8/6,0,30.6587156,28.11559633,29.90550459,30,35.4,29.41527778,27.89930556,28.88958333,38.9,30.5,35.3,28.92847222,27.51527778,28.1,29.2,34.6,28.87986111,27.7,28.12777778,29.4,28.58958333,27.62569444,28.29166667,30,35.4,4.733296326,4.032620189,2.971584941,2.827127907,2.9916823
2016/8/7,0,30.5733945,28.24036697,29.84311927,29.9,35.9,29.68611111,28.02013889,29.13541667,38,30,35.4,29.41527778,27.89930556,28.88958333,30.5,35.3,28.92847222,27.51527778,28.1,29.2,28.87986111,27.7,28.12777778,29.4,34,4.611476902,3.982778144,4.032620189,2.971584941,2.827127907
2016/8/8,0,30.27155963,28.17889908,29.47798165,30.2,36.8,29.74027778,28.10069444,29.14722222,39.2,29.9,35.9,29.68611111,28.02013889,29.13541667,30,35.4,29.41527778,27.89930556,28.88958333,30.5,28.92847222,27.51527778,28.1,29.2,34.6,3.913765593,4.110486727,3.982778144,4.032620189,2.971584941
2016/8/9,0,31.61009174,28.27981651,30.40917431,32.4,35.5,29.25138889,28.025,28.71180556,39.4,30.2,36.8,29.74027778,28.10069444,29.14722222,29.9,35.9,29.68611111,28.02013889,29.13541667,30,29.41527778,27.89930556,28.88958333,30.5,35.3,5.69782062,3.387099467,4.110486727,3.982778144,4.032620189
2016/8/10,0,32.47889908,28.58715596,30.89816514,32.4,35.7,31.04444444,28.13611111,29.96319444,38.5,32.4,35.5,29.25138889,28.025,28.71180556,30.2,36.8,29.74027778,28.10069444,29.14722222,29.9,29.68611111,28.02013889,29.13541667,30,35.4,8.42993377,6.138508057,3.387099467,4.110486727,3.982778144
2016/8/11,0,30.10183486,26.7853211,28.84770642,28.6,34.2,31.35277778,28.32430556,30.01736111,39.2,32.4,35.7,31.04444444,28.13611111,29.96319444,32.4,35.5,29.25138889,28.025,28.71180556,30.2,29.74027778,28.10069444,29.14722222,29.9,35.9,7.448427425,7.839850905,6.138508057,3.387099467,4.110486727
2016/8/12,0,28.88899083,26.49266055,27.96330275,28.4,34,28.89236111,26.62013889,27.91597222,37.5,28.6,34.2,31.35277778,28.32430556,30.01736111,32.4,35.7,31.04444444,28.13611111,29.96319444,32.4,29.25138889,28.025,28.71180556,30.2,36.8,4.684098901,6.124999947,7.839850905,6.138508057,3.387099467
2016/8/13,0,28.99908257,27.18348624,28.50825688,29.9,36.2,28.28611111,26.60069444,27.56736111,35.6,28.4,34,28.89236111,26.62013889,27.91597222,28.6,34.2,31.35277778,28.32430556,30.01736111,32.4,31.04444444,28.13611111,29.96319444,32.4,35.5,4.410174762,4.021467031,6.124999947,7.839850905,6.138508057
2016/8/14,0,29.41009174,27.2587156,28.52110092,29.7,35.3,28.31597222,27.07013889,27.91319444,35.6,29.9,36.2,28.28611111,26.60069444,27.56736111,28.4,34,28.89236111,26.62013889,27.91597222,28.6,31.35277778,28.32430556,30.01736111,32.4,35.7,4.412922744,4.288283308,4.021467031,6.124999947,7.839850905
2016/8/15,0,27.26605505,26.63853211,26.90825688,27.3,30.4,28.71875,27.24236111,28.02847222,37.1,29.7,35.3,28.31597222,27.07013889,27.91319444,29.9,36.2,28.28611111,26.60069444,27.56736111,28.4,28.89236111,26.62013889,27.91597222,28.6,34.2,2.996959985,4.053456931,4.288283308,4.021467031,6.124999947
2016/8/16,0,29.68899083,27.30917431,28.65779817,30,36.9,26.78263889,26.50277778,26.54930556,32.1,27.3,30.4,28.71875,27.24236111,28.02847222,29.7,35.3,28.31597222,27.07013889,27.91319444,29.9,28.28611111,26.60069444,27.56736111,28.4,34,3.830178698,2.894882151,4.053456931,4.288283308,4.021467031
2016/8/17,0,29.98348624,27.62018349,28.91284404,29,33.6,28.92361111,27.32361111,28.18125,37.4,30,36.9,26.78263889,26.50277778,26.54930556,27.3,30.4,28.71875,27.24236111,28.02847222,29.7,28.31597222,27.07013889,27.91319444,29.9,36.2,3.881961364,3.347058169,2.894882151,4.053456931,4.288283308
2016/8/18,0,30.76422018,27.69357798,29.73853211,29,33.9,28.98333333,27.46875,28.20486111,36.5,29,33.6,28.92361111,27.32361111,28.18125,30,36.9,26.78263889,26.50277778,26.54930556,27.3,28.71875,27.24236111,28.02847222,29.7,35.3,5.086748656,3.498396478,3.347058169,2.894882151,4.053456931
2016/8/19,0,31.25045872,28.78807339,30.20458716,31,35.8,30.08263889,27.73888889,29.27291667,35.5,29,33.9,28.98333333,27.46875,28.20486111,29,33.6,28.92361111,27.32361111,28.18125,30,26.78263889,26.50277778,26.54930556,27.3,30.4,3.679532376,4.234196066,3.498396478,3.347058169,2.894882151
2016/8/20,0,30.75229358,28.37981651,29.43211009,29.7,34.1,30.38055556,28.67569444,29.61597222,37.6,31,35.8,30.08263889,27.73888889,29.27291667,29,33.9,28.98333333,27.46875,28.20486111,29,28.92361111,27.32361111,28.18125,30,36.9,3.823273802,3.276697049,4.234196066,3.498396478,3.347058169
2016/8/21,0,30.50642202,28.02018349,29.40917431,29.4,34.5,29.85625,28.28611111,28.93611111,39.1,29.7,34.1,30.38055556,28.67569444,29.61597222,31,35.8,30.08263889,27.73888889,29.27291667,29,28.98333333,27.46875,28.20486111,29,33.6,4.18051465,3.323781195,3.276697049,4.234196066,3.498396478
2016/8/22,0,30.81651376,29.51651376,30.16330275,39.1,41.7,29.88055556,27.93333333,28.97152778,37,29.4,34.5,29.85625,28.28611111,28.93611111,29.7,34.1,30.38055556,28.67569444,29.61597222,31,30.08263889,27.73888889,29.27291667,29,33.9,6.623893108,4.230414269,3.323781195,3.276697049,4.234196066
