date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,T20_mean_a,ST_mean_a,T60_mean_a,H_mean_a,T20_min_a,ST_min_a,T60_min_a,H_min_a,T20_max_a,ST_max_a,T60_max_a,H_max_a,T20_mean_b,ST_mean_b,T60_mean_b,H_mean_b,T20_min_b,ST_min_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b
2016-07-27,0,23.88348623853211,25.07798165137614,23.91651376146789,94.77981651376149,21.9,24.5,22.3,84.0,26.7,25.5,26.3,100.0,27.43055555555555,26.800694444444453,28.029861111111103,75.33333333333333,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,26.38958333333333,27.42013888888889,73.0763888888889,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0,25.844444444444452,25.793055555555572,26.34166666666668,71.6111111111111,22.3,24.0,22.1,48.0,33.1,28.8,34.7,90.0,27.09652777777778,26.780555555555555,27.288888888888877,74.05555555555556,23.2,24.7,23.2,45.0,34.5,31.0,36.5,96.0
2016-07-28,0,26.830275229357795,25.542201834862386,27.003669724770628,85.39449541284405,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,24.84930555555555,23.490972222222208,96.04861111111113,21.7,24.0,22.0,84.0,26.7,25.5,26.3,100.0,27.43055555555555,26.800694444444453,28.029861111111103,75.33333333333333,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,26.38958333333333,27.42013888888889,73.0763888888889,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0,25.844444444444452,25.793055555555572,26.34166666666668,71.6111111111111,22.3,24.0,22.1,48.0,33.1,28.8,34.7,90.0
2016-07-29,0,28.8045871559633,26.55688073394496,28.412844036697248,81.13761467889908,23.8,24.9,23.7,55.0,38.3,29.4,37.7,99.0,26.343055555555548,25.635416666666664,26.45555555555555,86.7638888888889,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,24.84930555555555,23.490972222222208,96.04861111111113,21.7,24.0,22.0,84.0,26.7,25.5,26.3,100.0,27.43055555555555,26.800694444444453,28.029861111111103,75.33333333333333,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,26.38958333333333,27.42013888888889,73.0763888888889,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0
2016-07-30,0,28.94862385321101,27.109174311926605,28.01651376146789,80.89908256880734,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,26.507638888888888,27.461111111111112,83.7361111111111,23.7,24.9,23.6,55.0,38.3,29.4,37.7,100.0,26.343055555555548,25.635416666666664,26.45555555555555,86.7638888888889,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,24.84930555555555,23.490972222222208,96.04861111111113,21.7,24.0,22.0,84.0,26.7,25.5,26.3,100.0,27.43055555555555,26.800694444444453,28.029861111111103,75.33333333333333,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0
2016-07-31,0,29.19174311926607,27.059633027522946,28.538532110091747,78.30275229357798,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,26.947222222222212,27.24027777777778,83.6111111111111,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,26.507638888888888,27.461111111111112,83.7361111111111,23.7,24.9,23.6,55.0,38.3,29.4,37.7,100.0,26.343055555555548,25.635416666666664,26.45555555555555,86.7638888888889,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0,23.3902777777778,24.84930555555555,23.490972222222208,96.04861111111113,21.7,24.0,22.0,84.0,26.7,25.5,26.3,100.0
2016-08-01,0,29.71192660550457,27.26788990825688,29.27522935779816,77.31192660550458,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,26.916666666666675,27.68888888888889,79.68055555555556,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,26.947222222222212,27.24027777777778,83.6111111111111,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,26.507638888888888,27.461111111111112,83.7361111111111,23.7,24.9,23.6,55.0,38.3,29.4,37.7,100.0,26.343055555555548,25.635416666666664,26.45555555555555,86.7638888888889,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0
2016-08-02,0,29.56513761467889,27.79449541284404,29.06697247706423,82.3302752293578,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,27.2097222222222,28.45902777777779,79.60416666666667,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,26.916666666666675,27.68888888888889,79.68055555555556,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,26.947222222222212,27.24027777777778,83.6111111111111,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,26.507638888888888,27.461111111111112,83.7361111111111,23.7,24.9,23.6,55.0,38.3,29.4,37.7,100.0
2016-08-03,0,29.77155963302753,27.755963302752296,28.722018348623862,84.94495412844037,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0,28.589583333333326,27.62569444444444,28.29166666666667,86.53472222222223,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,27.2097222222222,28.45902777777779,79.60416666666667,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,26.916666666666675,27.68888888888889,79.68055555555556,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0,28.03125000000001,26.947222222222212,27.24027777777778,83.6111111111111,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0
2016-08-04,0,29.801834862385327,27.647706422018327,28.69266055045871,84.57798165137615,23.8,26.1,24.4,64.0,39.3,29.2,34.6,100.0,28.879861111111122,27.7,28.127777777777787,87.1736111111111,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0,28.589583333333326,27.62569444444444,28.29166666666667,86.53472222222223,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,27.2097222222222,28.45902777777779,79.60416666666667,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,26.916666666666675,27.68888888888889,79.68055555555556,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0
2016-08-05,0,30.362385321100913,28.054128440366977,29.66422018348625,79.8440366972477,23.6,25.6,24.0,59.0,38.9,30.5,35.3,100.0,28.92847222222223,27.51527777777776,28.1,86.5,23.8,26.1,24.4,64.0,39.3,29.2,34.6,100.0,28.879861111111122,27.7,28.127777777777787,87.1736111111111,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0,28.589583333333326,27.62569444444444,28.29166666666667,86.53472222222223,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,27.2097222222222,28.45902777777779,79.60416666666667,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0
