date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2016-07-25,0.0,27.26597222222221,27.391666666666666,27.85902777777777,69.20833333333333,21.4,23.9,21.4,39.0,38.8,33.3,39.6,97.0
2016-07-26,0.0,27.975000000000005,27.68125000000001,28.476388888888888,70.34027777777777,21.6,24.2,21.7,34.0,38.6,32.1,41.4,96.0
2016-07-27,0.0,23.269444444444453,25.04375000000001,23.534722222222207,91.77083333333331,21.6,23.9,21.9,78.0,26.1,25.9,26.3,100.0
2016-07-28,0.0,26.64583333333332,26.195138888888888,27.13472222222221,80.8125,21.8,23.6,22.1,44.0,38.1,30.4,39.9,100.0
2016-07-29,0.0,28.035416666666656,27.288888888888888,28.624305555555548,73.1875,23.8,25.0,23.8,40.0,38.1,31.6,41.5,91.0
2016-07-30,0.0,27.74513888888889,27.527777777777786,28.231944444444427,74.47916666666667,22.1,24.6,22.1,38.0,37.0,33.4,41.3,99.0
2016-07-31,0.0,29.04722222222221,27.81805555555555,29.96388888888889,68.5,21.6,24.5,21.6,35.0,37.5,31.6,41.0,100.0
2016-08-01,0.0,29.70902777777779,28.27986111111112,30.712499999999995,68.19444444444444,22.1,24.9,22.1,38.0,37.8,32.2,41.2,99.0
2016-08-02,0.0,29.277083333333344,28.54513888888889,30.068055555555574,76.6111111111111,23.6,25.8,23.7,37.0,38.7,34.1,43.0,100.0
2016-08-03,0.0,29.29375000000001,28.476388888888913,29.936111111111106,76.47222222222223,23.7,26.2,23.9,44.0,39.0,31.5,42.4,100.0
2016-08-04,0.0,29.210416666666674,28.15763888888887,29.706944444444442,76.7986111111111,23.9,26.3,24.1,48.0,38.1,30.2,39.8,100.0
2016-08-05,0.0,29.87083333333333,28.62986111111111,30.63125000000001,73.79166666666667,23.7,26.1,23.8,42.0,39.2,34.1,41.9,100.0
2016-08-06,0.0,30.179166666666678,28.93888888888889,30.82916666666667,73.875,24.0,26.3,24.1,43.0,38.7,32.7,42.0,99.0
2016-08-07,0.0,30.18263888888889,28.894444444444453,30.595138888888894,73.375,24.3,26.6,24.4,47.0,38.9,31.4,41.1,99.0
2016-08-08,0.0,29.56250000000001,28.911111111111087,30.17916666666666,75.22222222222223,24.3,26.6,24.4,35.0,39.4,32.9,44.9,100.0
2016-08-09,0.0,31.42986111111113,28.97569444444445,31.690972222222232,66.7361111111111,23.7,26.4,23.8,41.0,39.1,31.9,41.4,98.0
2016-08-10,0.0,31.48541666666665,28.646527777777766,31.3673611111111,58.77083333333334,25.2,26.1,24.7,38.0,38.5,32.7,40.5,78.0
2016-08-11,0.0,29.27708333333332,27.66666666666667,29.568055555555574,65.09722222222223,22.9,25.7,22.8,35.0,37.2,30.5,40.2,94.0
2016-08-12,0.0,28.661111111111087,27.504166666666656,29.2652777777778,72.6875,21.4,24.7,21.4,41.0,37.3,30.2,40.2,97.0
2016-08-13,0.0,28.461805555555557,27.488194444444442,29.049999999999994,71.7986111111111,23.6,25.9,23.6,32.0,36.5,30.3,40.0,99.0
2016-08-14,0.0,29.00694444444443,27.706944444444428,29.652777777777796,70.84027777777777,24.5,25.8,24.4,42.0,37.3,30.9,41.8,88.0
