date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
2018-04-10,0,17.23819444,17.27916667,17.24236111,75.56458333,4.6,14.0,5.6,34.5,36.9,20.1,36.2,92.6,3.107919928844459,17.54930556,18.175,17.75347222,70.80694444,7.3,15.4,8.3,23.5,32.6,21.3,37.4,94.3,3.813773036071851,18.73611111,19.60347222,18.70069444,82.96666667,9.7,17.3,10.7,42.7,28.8,21.7,28.1,100.0,2.3378054637351173,1.0
2018-04-11,0,19.74097222,18.35694444,19.60486111,68.15694444,8.6,15.4,9.3,24.0,33.1,20.9,35.5,93.8,4.579827043325447,17.23819444,17.27916667,17.24236111,75.56458333,4.6,14.0,5.6,34.5,36.9,20.1,36.2,92.6,3.107919928844459,17.54930556,18.175,17.75347222,70.80694444,7.3,15.4,8.3,23.5,32.6,21.3,37.4,94.3,3.813773036071851,2.0
2018-04-12,0,18.14861111,18.20486111,18.09513889,92.68194444,12.0,16.1,12.7,80.3,25.8,19.4,24.1,99.9,0.9732372190123374,19.74097222,18.35694444,19.60486111,68.15694444,8.6,15.4,9.3,24.0,33.1,20.9,35.5,93.8,4.579827043325447,17.23819444,17.27916667,17.24236111,75.56458333,4.6,14.0,5.6,34.5,36.9,20.1,36.2,92.6,3.107919928844459,3.0
2018-04-13,0,22.48194444,20.29097222,22.74652778,76.64583333,13.9,18.2,14.7,26.9,34.5,22.5,38.2,99.7,3.942995660623652,18.14861111,18.20486111,18.09513889,92.68194444,12.0,16.1,12.7,80.3,25.8,19.4,24.1,99.9,0.9732372190123374,19.74097222,18.35694444,19.60486111,68.15694444,8.6,15.4,9.3,24.0,33.1,20.9,35.5,93.8,4.579827043325447,4.0
2018-04-14,0,20.53194444,19.77986111,20.64513889,67.84027778,11.4,17.4,12.3,21.5,33.6,24.3,36.3,93.5,4.8794652080532135,22.48194444,20.29097222,22.74652778,76.64583333,13.9,18.2,14.7,26.9,34.5,22.5,38.2,99.7,3.942995660623652,18.14861111,18.20486111,18.09513889,92.68194444,12.0,16.1,12.7,80.3,25.8,19.4,24.1,99.9,0.9732372190123374,5.0
2018-04-15,0,19.51944444,19.2,19.37708333,83.37013889,11.5,17.5,12.2,45.4,31.0,20.9,29.1,95.8,2.363821925505176,20.53194444,19.77986111,20.64513889,67.84027778,11.4,17.4,12.3,21.5,33.6,24.3,36.3,93.5,4.8794652080532135,22.48194444,20.29097222,22.74652778,76.64583333,13.9,18.2,14.7,26.9,34.5,22.5,38.2,99.7,3.942995660623652,6.0
2018-04-16,0,19.77638889,19.84791667,19.70277778,86.48055556,11.3,18.2,12.3,46.4,31.9,21.5,29.6,100.0,1.9542790344158,19.51944444,19.2,19.37708333,83.37013889,11.5,17.5,12.2,45.4,31.0,20.9,29.1,95.8,2.363821925505176,20.53194444,19.77986111,20.64513889,67.84027778,11.4,17.4,12.3,21.5,33.6,24.3,36.3,93.5,4.8794652080532135,7.0
2018-04-17,0,19.84861111,18.94583333,19.78194444,73.69861111,9.6,16.3,10.4,32.7,31.8,20.9,34.6,94.5,3.817496770033906,19.77638889,19.84791667,19.70277778,86.48055556,11.3,18.2,12.3,46.4,31.9,21.5,29.6,100.0,1.9542790344158,19.51944444,19.2,19.37708333,83.37013889,11.5,17.5,12.2,45.4,31.0,20.9,29.1,95.8,2.363821925505176,8.0
2018-04-18,0,17.86180556,19.025,17.93055556,89.68402778,13.4,18.1,14.2,62.3,27.6,20.4,26.5,96.1,1.3602019180197509,19.84861111,18.94583333,19.78194444,73.69861111,9.6,16.3,10.4,32.7,31.8,20.9,34.6,94.5,3.817496770033906,19.77638889,19.84791667,19.70277778,86.48055556,11.3,18.2,12.3,46.4,31.9,21.5,29.6,100.0,1.9542790344158,9.0
2018-04-19,0,19.71319444,19.37569444,19.70486111,81.58472222,12.9,17.8,13.8,38.6,34.2,21.2,38.8,97.6,2.6622734006574804,17.86180556,19.025,17.93055556,89.68402778,13.4,18.1,14.2,62.3,27.6,20.4,26.5,96.1,1.3602019180197509,19.84861111,18.94583333,19.78194444,73.69861111,9.6,16.3,10.4,32.7,31.8,20.9,34.6,94.5,3.817496770033906,10.0
2018-04-20,0,20.65555556,19.59930556,20.30902778,75.36527778,11.0,17.2,11.7,37.8,31.2,21.8,31.6,94.5,3.673855490704428,19.71319444,19.37569444,19.70486111,81.58472222,12.9,17.8,13.8,38.6,34.2,21.2,38.8,97.6,2.6622734006574804,17.86180556,19.025,17.93055556,89.68402778,13.4,18.1,14.2,62.3,27.6,20.4,26.5,96.1,1.3602019180197509,11.0
2018-04-21,0,21.99444444,20.47430556,21.94305556,69.42291667,11.5,17.9,12.3,33.7,33.1,22.9,36.0,99.4,4.956745706091079,20.65555556,19.59930556,20.30902778,75.36527778,11.0,17.2,11.7,37.8,31.2,21.8,31.6,94.5,3.673855490704428,19.71319444,19.37569444,19.70486111,81.58472222,12.9,17.8,13.8,38.6,34.2,21.2,38.8,97.6,2.6622734006574804,12.0
2018-04-22,0,22.57569444,20.70208333,22.06180556,70.82083333,12.3,18.2,13.0,36.7,35.9,23.1,36.1,92.2,4.758718297087365,21.99444444,20.47430556,21.94305556,69.42291667,11.5,17.9,12.3,33.7,33.1,22.9,36.0,99.4,4.956745706091079,20.65555556,19.59930556,20.30902778,75.36527778,11.0,17.2,11.7,37.8,31.2,21.8,31.6,94.5,3.673855490704428,13.0
2018-04-23,0,22.19930556,21.08680556,21.92638889,71.17986111,12.3,18.6,12.9,29.4,34.6,23.5,35.4,92.2,4.6679827802303775,22.57569444,20.70208333,22.06180556,70.82083333,12.3,18.2,13.0,36.7,35.9,23.1,36.1,92.2,4.758718297087365,21.99444444,20.47430556,21.94305556,69.42291667,11.5,17.9,12.3,33.7,33.1,22.9,36.0,99.4,4.956745706091079,14.0
2018-04-24,0,23.37916667,21.4,22.83888889,71.62777778,13.8,19.2,14.4,38.8,35.6,23.4,36.2,91.5,4.8125931067838685,22.19930556,21.08680556,21.92638889,71.17986111,12.3,18.6,12.9,29.4,34.6,23.5,35.4,92.2,4.6679827802303775,22.57569444,20.70208333,22.06180556,70.82083333,12.3,18.2,13.0,36.7,35.9,23.1,36.1,92.2,4.758718297087365,15.0
2018-04-25,0,19.83611111,20.99375,19.85069444,87.81875,17.6,20.5,17.8,67.3,25.8,21.5,24.6,100.0,1.7743125508418518,23.37916667,21.4,22.83888889,71.62777778,13.8,19.2,14.4,38.8,35.6,23.4,36.2,91.5,4.8125931067838685,22.19930556,21.08680556,21.92638889,71.17986111,12.3,18.6,12.9,29.4,34.6,23.5,35.4,92.2,4.6679827802303775,16.0
2018-04-26,0,21.83402778,21.10902778,21.99305556,77.43819444,13.9,19.2,14.4,44.5,32.8,23.0,35.9,97.3,3.6667085908774055,19.83611111,20.99375,19.85069444,87.81875,17.6,20.5,17.8,67.3,25.8,21.5,24.6,100.0,1.7743125508418518,23.37916667,21.4,22.83888889,71.62777778,13.8,19.2,14.4,38.8,35.6,23.4,36.2,91.5,4.8125931067838685,17.0
2018-04-27,0,21.60555556,21.09166667,21.49513889,64.33125,12.0,17.5,12.5,30.0,34.6,24.8,35.3,86.4,5.651965486800673,21.83402778,21.10902778,21.99305556,77.43819444,13.9,19.2,14.4,44.5,32.8,23.0,35.9,97.3,3.6667085908774055,19.83611111,20.99375,19.85069444,87.81875,17.6,20.5,17.8,67.3,25.8,21.5,24.6,100.0,1.7743125508418518,18.0
2018-04-28,0,20.93680556,21.32222222,20.92847222,72.53958333,15.1,19.3,15.6,51.1,29.0,23.5,29.4,88.2,4.227303760558606,21.60555556,21.09166667,21.49513889,64.33125,12.0,17.5,12.5,30.0,34.6,24.8,35.3,86.4,5.651965486800673,21.83402778,21.10902778,21.99305556,77.43819444,13.9,19.2,14.4,44.5,32.8,23.0,35.9,97.3,3.6667085908774055,19.0
2018-04-29,0,21.63125,21.07013889,21.64861111,61.65555556,12.4,17.9,13.0,29.5,35.1,25.0,37.2,87.8,6.12358668991821,20.93680556,21.32222222,20.92847222,72.53958333,15.1,19.3,15.6,51.1,29.0,23.5,29.4,88.2,4.227303760558606,21.60555556,21.09166667,21.49513889,64.33125,12.0,17.5,12.5,30.0,34.6,24.8,35.3,86.4,5.651965486800673,20.0
2018-04-30,0,22.37986111,21.60208333,22.11666667,66.73680556,12.6,18.2,13.3,32.1,33.8,25.4,34.7,89.9,5.43987772919318,21.63125,21.07013889,21.64861111,61.65555556,12.4,17.9,13.0,29.5,35.1,25.0,37.2,87.8,6.12358668991821,20.93680556,21.32222222,20.92847222,72.53958333,15.1,19.3,15.6,51.1,29.0,23.5,29.4,88.2,4.227303760558606,21.0
