H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,H_mean_y,T20_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,days
76.95,21.3,21.7,49.0,37.0,28.0,35.5,100.0,82.52083333333333,23.3,23.9,55.0,35.7,28.2,34.6,100.0,87.47916666666669,24.7,25.0,64.0,35.8,28.7,34.2,100.0,50.0
86.82847222222217,19.4,19.2,65.7,31.3,24.8,28.9,100.0,76.95,21.3,21.7,49.0,37.0,28.0,35.5,100.0,82.52083333333333,23.3,23.9,55.0,35.7,28.2,34.6,100.0,51.0
88.19236111111113,19.1,19.2,72.5,28.9,24.4,28.9,97.9,86.82847222222217,19.4,19.2,65.7,31.3,24.8,28.9,100.0,76.95,21.3,21.7,49.0,37.0,28.0,35.5,100.0,52.0
90.05625000000003,17.9,18.1,75.1,24.8,22.3,24.6,97.2,88.19236111111113,19.1,19.2,72.5,28.9,24.4,28.9,97.9,86.82847222222217,19.4,19.2,65.7,31.3,24.8,28.9,100.0,53.0
66.05416666666667,16.0,16.1,34.9,35.1,27.4,39.5,95.4,90.05625000000003,17.9,18.1,75.1,24.8,22.3,24.6,97.2,88.19236111111113,19.1,19.2,72.5,28.9,24.4,28.9,97.9,54.0
73.2097222222222,16.8,16.9,40.4,33.5,27.4,36.7,100.0,66.05416666666667,16.0,16.1,34.9,35.1,27.4,39.5,95.4,90.05625000000003,17.9,18.1,75.1,24.8,22.3,24.6,97.2,55.0
70.1875,17.3,17.5,34.5,34.2,28.0,39.1,93.9,73.2097222222222,16.8,16.9,40.4,33.5,27.4,36.7,100.0,66.05416666666667,16.0,16.1,34.9,35.1,27.4,39.5,95.4,56.0
69.72569444444447,17.6,18.0,37.1,34.7,27.9,38.6,91.9,70.1875,17.3,17.5,34.5,34.2,28.0,39.1,93.9,73.2097222222222,16.8,16.9,40.4,33.5,27.4,36.7,100.0,57.0
80.25069444444442,18.3,18.7,43.8,33.8,26.6,35.4,99.8,69.72569444444447,17.6,18.0,37.1,34.7,27.9,38.6,91.9,70.1875,17.3,17.5,34.5,34.2,28.0,39.1,93.9,58.0
96.96319444444441,18.0,14.0,90.4,26.4,24.1,26.4,100.0,80.25069444444442,18.3,18.7,43.8,33.8,26.6,35.4,99.8,69.72569444444447,17.6,18.0,37.1,34.7,27.9,38.6,91.9,59.0
87.66736111111109,19.8,13.9,51.0,32.2,25.8,34.5,100.0,96.96319444444441,18.0,14.0,90.4,26.4,24.1,26.4,100.0,80.25069444444442,18.3,18.7,43.8,33.8,26.6,35.4,99.8,60.0
84.33611111111105,18.8,19.1,53.9,33.2,26.3,35.4,98.5,87.66736111111109,19.8,13.9,51.0,32.2,25.8,34.5,100.0,96.96319444444441,18.0,14.0,90.4,26.4,24.1,26.4,100.0,61.0
83.33680555555559,20.1,20.6,48.1,35.5,27.4,35.8,100.0,84.33611111111105,18.8,19.1,53.9,33.2,26.3,35.4,98.5,87.66736111111109,19.8,13.9,51.0,32.2,25.8,34.5,100.0,62.0
86.81875000000008,19.6,19.9,68.9,30.5,25.2,29.5,100.0,83.33680555555559,20.1,20.6,48.1,35.5,27.4,35.8,100.0,84.33611111111105,18.8,19.1,53.9,33.2,26.3,35.4,98.5,63.0
83.74652777777777,22.0,21.8,62.7,34.7,26.3,33.8,99.8,86.81875000000008,19.6,19.9,68.9,30.5,25.2,29.5,100.0,83.33680555555559,20.1,20.6,48.1,35.5,27.4,35.8,100.0,64.0
71.96666666666665,20.2,20.5,47.9,35.4,27.6,36.9,95.8,83.74652777777777,22.0,21.8,62.7,34.7,26.3,33.8,99.8,86.81875000000008,19.6,19.9,68.9,30.5,25.2,29.5,100.0,65.0
71.2708333333334,18.3,18.7,46.3,34.3,26.0,34.2,87.4,71.96666666666665,20.2,20.5,47.9,35.4,27.6,36.9,95.8,83.74652777777777,22.0,21.8,62.7,34.7,26.3,33.8,99.8,66.0
77.14097222222225,17.0,17.7,52.5,33.2,26.1,33.8,92.5,71.2708333333334,18.3,18.7,46.3,34.3,26.0,34.2,87.4,71.96666666666665,20.2,20.5,47.9,35.4,27.6,36.9,95.8,67.0
89.90555555555555,19.9,20.2,75.1,28.2,24.7,27.0,96.9,77.14097222222225,17.0,17.7,52.5,33.2,26.1,33.8,92.5,71.2708333333334,18.3,18.7,46.3,34.3,26.0,34.2,87.4,68.0
81.80624999999998,17.3,17.6,59.1,31.6,24.8,29.8,97.2,89.90555555555555,19.9,20.2,75.1,28.2,24.7,27.0,96.9,77.14097222222225,17.0,17.7,52.5,33.2,26.1,33.8,92.5,69.0
77.32638888888884,16.4,17.0,51.4,35.2,26.1,34.7,96.1,81.80624999999998,17.3,17.6,59.1,31.6,24.8,29.8,97.2,89.90555555555555,19.9,20.2,75.1,28.2,24.7,27.0,96.9,70.0
87.80833333333334,18.6,19.0,71.1,31.8,24.5,29.1,94.8,77.32638888888884,16.4,17.0,51.4,35.2,26.1,34.7,96.1,81.80624999999998,17.3,17.6,59.1,31.6,24.8,29.8,97.2,71.0
90.65555555555555,18.9,15.2,70.9,34.4,25.5,32.6,100.0,87.80833333333334,18.6,19.0,71.1,31.8,24.5,29.1,94.8,77.32638888888884,16.4,17.0,51.4,35.2,26.1,34.7,96.1,72.0
99.28472222222223,19.8,20.3,96.9,24.7,23.5,24.2,100.0,90.65555555555555,18.9,15.2,70.9,34.4,25.5,32.6,100.0,87.80833333333334,18.6,19.0,71.1,31.8,24.5,29.1,94.8,73.0
