H_mean_x,T20_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
76.59236111,4.9,35.8,35.9,20.5,32.1,93.4,2.778180546449,71.50694444,7.6,25.7,29.8,20.2,25.6,93.8,3.343632909959892,81.55833333,10.2,35.4,25.6,20.6,23.9,99.6,2.386306274657213,1.0
69.425,8.4,20.6,35.8,22.0,32.7,94.7,4.190183319029487,76.59236111,4.9,35.8,35.9,20.5,32.1,93.4,2.778180546449,71.50694444,7.6,25.7,29.8,20.2,25.6,93.8,3.343632909959892,2.0
94.09513889,12.2,86.7,23.9,18.8,22.7,100.0,0.7576817736845416,69.425,8.4,20.6,35.8,22.0,32.7,94.7,4.190183319029487,76.59236111,4.9,35.8,35.9,20.5,32.1,93.4,2.778180546449,3.0
77.93333333,13.4,25.4,34.0,22.8,29.6,100.0,3.378333587633971,94.09513889,12.2,86.7,23.9,18.8,22.7,100.0,0.7576817736845416,69.425,8.4,20.6,35.8,22.0,32.7,94.7,4.190183319029487,4.0
69.03333333,11.2,27.6,31.4,22.2,28.1,95.2,4.151370881247749,77.93333333,13.4,25.4,34.0,22.8,29.6,100.0,3.378333587633971,94.09513889,12.2,86.7,23.9,18.8,22.7,100.0,0.7576817736845416,5.0
86.73819444,11.5,45.7,32.1,21.8,30.2,99.4,1.8378318327929,69.03333333,11.2,27.6,31.4,22.2,28.1,95.2,4.151370881247749,77.93333333,13.4,25.4,34.0,22.8,29.6,100.0,3.378333587633971,6.0
88.05625,11.3,47.2,27.6,20.9,25.4,100.0,1.6281264149975148,86.73819444,11.5,45.7,32.1,21.8,30.2,99.4,1.8378318327929,69.03333333,11.2,27.6,31.4,22.2,28.1,95.2,4.151370881247749,7.0
74.15694444,9.4,35.8,31.9,21.6,29.0,96.0,3.4697704165224343,88.05625,11.3,47.2,27.6,20.9,25.4,100.0,1.6281264149975148,86.73819444,11.5,45.7,32.1,21.8,30.2,99.4,1.8378318327929,8.0
92.90694444,13.6,63.9,27.0,20.1,26.0,99.8,0.905155259795004,74.15694444,9.4,35.8,31.9,21.6,29.0,96.0,3.4697704165224343,88.05625,11.3,47.2,27.6,20.9,25.4,100.0,1.6281264149975148,9.0
84.26527778,12.7,50.0,31.9,21.2,28.5,100.0,2.1483060358999744,92.90694444,13.6,63.9,27.0,20.1,26.0,99.8,0.905155259795004,74.15694444,9.4,35.8,31.9,21.6,29.0,96.0,3.4697704165224343,10.0
