T20_mean_x,H_mean_x,T20_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
17.23819444,75.56458333,4.6,34.5,36.9,36.2,92.6,3.107919928844459,70.80694444,7.3,23.5,32.6,21.3,37.4,94.3,3.813773036071851,82.96666667,9.7,42.7,28.8,21.7,28.1,100.0,2.3378054637351173,1.0
19.74097222,68.15694444,8.6,24.0,33.1,35.5,93.8,4.579827043325447,75.56458333,4.6,34.5,36.9,20.1,36.2,92.6,3.107919928844459,70.80694444,7.3,23.5,32.6,21.3,37.4,94.3,3.813773036071851,2.0
18.14861111,92.68194444,12.0,80.3,25.8,24.1,99.9,0.9732372190123374,68.15694444,8.6,24.0,33.1,20.9,35.5,93.8,4.579827043325447,75.56458333,4.6,34.5,36.9,20.1,36.2,92.6,3.107919928844459,3.0
22.48194444,76.64583333,13.9,26.9,34.5,38.2,99.7,3.9429956606236516,92.68194444,12.0,80.3,25.8,19.4,24.1,99.9,0.9732372190123374,68.15694444,8.6,24.0,33.1,20.9,35.5,93.8,4.579827043325447,4.0
20.53194444,67.84027778,11.4,21.5,33.6,36.3,93.5,4.8794652080532135,76.64583333,13.9,26.9,34.5,22.5,38.2,99.7,3.9429956606236516,92.68194444,12.0,80.3,25.8,19.4,24.1,99.9,0.9732372190123374,5.0
19.51944444,83.37013889,11.5,45.4,31.0,29.1,95.8,2.363821925505176,67.84027778,11.4,21.5,33.6,24.3,36.3,93.5,4.8794652080532135,76.64583333,13.9,26.9,34.5,22.5,38.2,99.7,3.9429956606236516,6.0
19.77638889,86.48055556,11.3,46.4,31.9,29.6,100.0,1.9542790344157999,83.37013889,11.5,45.4,31.0,20.9,29.1,95.8,2.363821925505176,67.84027778,11.4,21.5,33.6,24.3,36.3,93.5,4.8794652080532135,7.0
19.84861111,73.69861111,9.6,32.7,31.8,34.6,94.5,3.817496770033906,86.48055556,11.3,46.4,31.9,21.5,29.6,100.0,1.9542790344157999,83.37013889,11.5,45.4,31.0,20.9,29.1,95.8,2.363821925505176,8.0
17.86180556,89.68402778,13.4,62.3,27.6,26.5,96.1,1.3602019180197509,73.69861111,9.6,32.7,31.8,20.9,34.6,94.5,3.817496770033906,86.48055556,11.3,46.4,31.9,21.5,29.6,100.0,1.9542790344157999,9.0
19.71319444,81.58472222,12.9,38.6,34.2,38.8,97.6,2.6622734006574804,89.68402778,13.4,62.3,27.6,20.4,26.5,96.1,1.3602019180197509,73.69861111,9.6,32.7,31.8,20.9,34.6,94.5,3.817496770033906,10.0
20.65555556,75.36527778,11.0,37.8,31.2,31.6,94.5,3.673855490704428,81.58472222,12.9,38.6,34.2,21.2,38.8,97.6,2.6622734006574804,89.68402778,13.4,62.3,27.6,20.4,26.5,96.1,1.3602019180197509,11.0
21.99444444,69.42291667,11.5,33.7,33.1,36.0,99.4,4.956745706091079,75.36527778,11.0,37.8,31.2,21.8,31.6,94.5,3.673855490704428,81.58472222,12.9,38.6,34.2,21.2,38.8,97.6,2.6622734006574804,12.0
22.57569444,70.82083333,12.3,36.7,35.9,36.1,92.2,4.758718297087365,69.42291667,11.5,33.7,33.1,22.9,36.0,99.4,4.956745706091079,75.36527778,11.0,37.8,31.2,21.8,31.6,94.5,3.673855490704428,13.0
22.19930556,71.17986111,12.3,29.4,34.6,35.4,92.2,4.6679827802303775,70.82083333,12.3,36.7,35.9,23.1,36.1,92.2,4.758718297087365,69.42291667,11.5,33.7,33.1,22.9,36.0,99.4,4.956745706091079,14.0
23.37916667,71.62777778,13.8,38.8,35.6,36.2,91.5,4.8125931067838685,71.17986111,12.3,29.4,34.6,23.5,35.4,92.2,4.6679827802303775,70.82083333,12.3,36.7,35.9,23.1,36.1,92.2,4.758718297087365,15.0
19.83611111,87.81875,17.6,67.3,25.8,24.6,100.0,1.7743125508418518,71.62777778,13.8,38.8,35.6,23.4,36.2,91.5,4.8125931067838685,71.17986111,12.3,29.4,34.6,23.5,35.4,92.2,4.6679827802303775,16.0
21.83402778,77.43819444,13.9,44.5,32.8,35.9,97.3,3.6667085908774055,87.81875,17.6,67.3,25.8,21.5,24.6,100.0,1.7743125508418518,71.62777778,13.8,38.8,35.6,23.4,36.2,91.5,4.8125931067838685,17.0
21.60555556,64.33125,12.0,30.0,34.6,35.3,86.4,5.651965486800673,77.43819444,13.9,44.5,32.8,23.0,35.9,97.3,3.6667085908774055,87.81875,17.6,67.3,25.8,21.5,24.6,100.0,1.7743125508418518,18.0
20.93680556,72.53958333,15.1,51.1,29.0,29.4,88.2,4.227303760558606,64.33125,12.0,30.0,34.6,24.8,35.3,86.4,5.651965486800673,77.43819444,13.9,44.5,32.8,23.0,35.9,97.3,3.6667085908774055,19.0
21.63125,61.65555556,12.4,29.5,35.1,37.2,87.8,6.12358668991821,72.53958333,15.1,51.1,29.0,23.5,29.4,88.2,4.227303760558606,64.33125,12.0,30.0,34.6,24.8,35.3,86.4,5.651965486800673,20.0
22.37986111,66.73680556,12.6,32.1,33.8,34.7,89.9,5.43987772919318,61.65555556,12.4,29.5,35.1,25.0,37.2,87.8,6.12358668991821,72.53958333,15.1,51.1,29.0,23.5,29.4,88.2,4.227303760558606,21.0
21.95694444,71.17777778,13.5,39.9,34.5,34.2,89.7,4.619990667627146,66.73680556,12.6,32.1,33.8,25.4,34.7,89.9,5.43987772919318,61.65555556,12.4,29.5,35.1,25.0,37.2,87.8,6.12358668991821,22.0
23.33263889,67.94027778,14.4,36.9,33.6,34.7,90.8,5.5191690451499245,71.17777778,13.5,39.9,34.5,25.2,34.2,89.7,4.619990667627146,66.73680556,12.6,32.1,33.8,25.4,34.7,89.9,5.43987772919318,23.0
19.62222222,84.88541667,15.3,62.4,28.7,26.3,97.1,2.1868180345644634,67.94027778,14.4,36.9,33.6,25.5,34.7,90.8,5.5191690451499245,71.17777778,13.5,39.9,34.5,25.2,34.2,89.7,4.619990667627146,24.0
21.40694444,77.76944444,14.5,57.7,28.3,27.7,98.2,3.4776257188721105,84.88541667,15.3,62.4,28.7,22.1,26.3,97.1,2.1868180345644634,67.94027778,14.4,36.9,33.6,25.5,34.7,90.8,5.5191690451499245,25.0
