date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,T20_max_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z
2016/7/25,0,27.64368932,26.63592233,28.65436893,23.8,35.8,30.7,39.6,25.84444444,25.79305556,26.34166667,33.1,28.8,34.7,27.09652778,26.78055556,27.28888889,31,36.5
2016/7/26,0,28.75533981,26.97378641,29.57475728,24,36,30.8,39.6,26.68611111,26.38958333,27.42013889,35.8,30.7,39.6,25.84444444,25.79305556,26.34166667,28.8,34.7
2016/7/27,0,23.98737864,25.10873786,24,24.7,26.7,25.5,26.3,27.43055556,26.80069444,28.02986111,36,30.8,39.6,26.68611111,26.38958333,27.42013889,30.7,39.6
2016/7/28,0,26.81941748,25.4407767,26.99029126,23.7,36.1,28.8,37.1,23.39027778,24.84930556,23.49097222,26.7,25.5,26.3,27.43055556,26.80069444,28.02986111,30.8,39.6
2016/7/29,0,28.74951456,26.46407767,28.4,24.9,38.3,29.4,37.7,26.34305556,25.63541667,26.45555556,36.1,28.8,37.1,23.39027778,24.84930556,23.49097222,25.5,26.3
2016/7/30,0,28.87378641,27.01456311,27.94368932,24.5,38.3,33.2,36.8,27.82569444,26.50763889,27.46111111,38.3,29.4,37.7,26.34305556,25.63541667,26.45555556,28.8,37.1
2016/7/31,0,29.19708738,27.00194175,28.53883495,24.4,36.8,29.3,35,28.03125,26.94722222,27.24027778,38.3,33.2,36.8,27.82569444,26.50763889,27.46111111,29.4,37.7
2016/8/1,0,29.74563107,27.18932039,29.30291262,24.7,35.9,29.4,35.4,28.26319444,26.91666667,27.68888889,36.8,29.3,35,28.03125,26.94722222,27.24027778,33.2,36.8
2016/8/2,0,29.76213592,27.79320388,29.20679612,25.6,37.6,30,35.4,28.86875,27.20972222,28.45902778,35.9,29.4,35.4,28.26319444,26.91666667,27.68888889,29.3,35
2016/8/3,0,29.7631068,27.69805825,28.71359223,25.8,37,29.4,34,28.58958333,27.62569444,28.29166667,37.6,30,35.4,28.86875,27.20972222,28.45902778,29.4,35.4
2016/8/4,0,29.81262136,27.6184466,28.66990291,26.1,39.3,29.2,34.6,28.87986111,27.7,28.12777778,37,29.4,34,28.58958333,27.62569444,28.29166667,30,35.4
2016/8/5,0,30.40194175,28.03106796,29.68446602,25.6,38.9,30.5,35.3,28.92847222,27.51527778,28.1,39.3,29.2,34.6,28.87986111,27.7,28.12777778,29.4,34
2016/8/6,0,30.70776699,28.07669903,29.93592233,26,38,30,35.4,29.41527778,27.89930556,28.88958333,38.9,30.5,35.3,28.92847222,27.51527778,28.1,29.2,34.6
2016/8/7,0,30.58543689,28.21165049,29.87475728,26.3,39.2,29.9,35.9,29.68611111,28.02013889,29.13541667,38,30,35.4,29.41527778,27.89930556,28.88958333,30.5,35.3
2016/8/8,0,30.28737864,28.12912621,29.48252427,26.3,39.4,30.2,36.8,29.74027778,28.10069444,29.14722222,39.2,29.9,35.9,29.68611111,28.02013889,29.13541667,30,35.4
2016/8/9,0,31.48640777,28.17669903,30.28932039,26.1,38.5,32.4,35.5,29.25138889,28.025,28.71180556,39.4,30.2,36.8,29.74027778,28.10069444,29.14722222,29.9,35.9
2016/8/10,0,32.45533981,28.56601942,30.87961165,25.3,39.2,32.4,35.7,31.04444444,28.13611111,29.96319444,38.5,32.4,35.5,29.25138889,28.025,28.71180556,30.2,36.8
2016/8/11,0,30.10291262,26.78640777,28.83106796,25.3,37.5,28.6,34.2,31.35277778,28.32430556,30.01736111,39.2,32.4,35.7,31.04444444,28.13611111,29.96319444,32.4,35.5
2016/8/12,0,28.88640777,26.41456311,27.94271845,24.2,35.6,28.4,34,28.89236111,26.62013889,27.91597222,37.5,28.6,34.2,31.35277778,28.32430556,30.01736111,32.4,35.7
2016/8/13,0,28.98737864,27.13980583,28.51262136,25.6,35.6,29.9,36.2,28.28611111,26.60069444,27.56736111,35.6,28.4,34,28.89236111,26.62013889,27.91597222,28.6,34.2
2016/8/14,0,29.42912621,27.19708738,28.52524272,25.5,37.1,29.7,35.3,28.31597222,27.07013889,27.91319444,35.6,29.9,36.2,28.28611111,26.60069444,27.56736111,28.4,34
2016/8/15,0,27.25825243,26.62718447,26.89126214,25.9,32.1,27.3,30.4,28.71875,27.24236111,28.02847222,37.1,29.7,35.3,28.31597222,27.07013889,27.91319444,29.9,36.2
2016/8/16,0,29.71359223,27.24563107,28.6368932,25.2,37.4,30,36.9,26.78263889,26.50277778,26.54930556,32.1,27.3,30.4,28.71875,27.24236111,28.02847222,29.7,35.3
2016/8/17,0,29.95242718,27.56796117,28.87864078,26.1,36.5,29,33.6,28.92361111,27.32361111,28.18125,37.4,30,36.9,26.78263889,26.50277778,26.54930556,27.3,30.4
2016/8/18,0,30.76796117,27.64466019,29.73495146,26.5,35.5,29,33.9,28.98333333,27.46875,28.20486111,36.5,29,33.6,28.92361111,27.32361111,28.18125,30,36.9
2016/8/19,0,31.32815534,28.7592233,30.23980583,27.2,37.6,31,35.8,30.08263889,27.73888889,29.27291667,35.5,29,33.9,28.98333333,27.46875,28.20486111,29,33.6
2016/8/20,0,30.76116505,28.34757282,29.40679612,26.8,39.1,29.7,34.1,30.38055556,28.67569444,29.61597222,37.6,31,35.8,30.08263889,27.73888889,29.27291667,29,33.9
2016/8/21,0,30.46796117,27.99126214,29.36019417,26.4,37,29.4,34.5,29.85625,28.28611111,28.93611111,39.1,29.7,34.1,30.38055556,28.67569444,29.61597222,31,35.8
2016/8/22,0,30.80291262,29.46504854,30.11359223,25.8,40.2,39.1,41.7,29.88055556,27.93333333,28.97152778,37,29.4,34.5,29.85625,28.28611111,28.93611111,29.7,34.1
2016/8/23,0,29.85242718,27.69902913,28.69514563,26.5,36.3,29.3,32.6,30.09791667,29.0625,29.54097222,40.2,39.1,41.7,29.88055556,27.93333333,28.97152778,29.4,34.5
2016/8/24,0,31.06601942,28.3368932,29.86407767,26.2,37.6,36.5,38.1,29.55277778,27.66597222,28.61736111,36.3,29.3,32.6,30.09791667,29.0625,29.54097222,39.1,41.7
2016/8/25,0,29.43203883,27.49417476,28.49417476,26.2,35.6,28.8,32.9,30.03263889,28.16527778,29.12777778,37.6,36.5,38.1,29.55277778,27.66597222,28.61736111,29.3,32.6
2016/8/26,0,30.2592233,27.54660194,28.98349515,26.2,37.1,28.7,33.1,28.79444444,27.46041667,28.13333333,35.6,28.8,32.9,30.03263889,28.16527778,29.12777778,36.5,38.1
2016/8/27,0,30.16990291,27.26019417,28.86019417,25.4,37.3,28.9,33.5,29.19097222,27.41041667,28.21319444,37.1,28.7,33.1,28.79444444,27.46041667,28.13333333,28.8,32.9
2016/8/28,0,29.49223301,27.29126214,28.51747573,25.8,40.1,29.6,36.4,29.1,27.24236111,28.23194444,37.3,28.9,33.5,29.19097222,27.41041667,28.21319444,28.7,33.1
2016/8/29,0,29.42427184,27.16504854,28.40679612,25.8,39.1,29.6,37.8,28.46666667,27.24861111,27.91458333,40.1,29.6,36.4,29.1,27.24236111,28.23194444,28.9,33.5
2016/8/30,0,30.70970874,26.99223301,28.87087379,26,37.8,28.5,33.7,28.74930556,27.05347222,27.975,39.1,29.6,37.8,28.46666667,27.24861111,27.91458333,29.6,36.4
2016/8/31,0,27.45728155,25.91067961,26.59514563,24.5,37.4,27.8,32.9,29.65277778,27.06458333,28.32638889,37.8,28.5,33.7,28.74930556,27.05347222,27.975,29.6,37.8
2016/9/1,0,28.57281553,25.07961165,26.63980583,22.8,40.3,31.9,33.8,26.43055556,25.45625,25.79791667,37.4,27.8,32.9,29.65277778,27.06458333,28.32638889,28.5,33.7
2016/9/2,0,30.20776699,26.41456311,27.84757282,24.5,41.5,28.7,34.2,27.80069444,25.30277778,26.375,40.3,31.9,33.8,26.43055556,25.45625,25.79791667,27.8,32.9
2016/9/3,0,30.05825243,26.45242718,27.70582524,24.3,39.4,28.9,34.8,28.58819444,26.42847222,27.03680556,41.5,28.7,34.2,27.80069444,25.30277778,26.375,31.9,33.8
2016/9/4,0,30.7407767,27.21067961,28.63786408,25.8,41.4,29.1,36.4,29.06319444,26.6125,27.36388889,39.4,28.9,34.8,28.58819444,26.42847222,27.03680556,28.7,34.2
2016/9/5,0,30.37961165,27.46504854,28.74271845,26.2,39.5,29.1,34.3,29.88680556,27.25625,28.33333333,41.4,29.1,36.4,29.06319444,26.6125,27.36388889,28.9,34.8
2016/9/6,0,26.6631068,26.44563107,26.20582524,25.4,34.3,27.6,30.5,29.32083333,27.47222222,28.24375,39.5,29.1,34.3,29.88680556,27.25625,28.33333333,29.1,36.4
2016/9/7,0,28.62621359,26.83300971,27.47864078,26,40.3,28.2,34.6,26.37083333,26.54583333,26.16944444,34.3,27.6,30.5,29.32083333,27.47222222,28.24375,29.1,34.3
