date,disease,T20_mean_x,ST_mean_x,T60_mean_x,T20_max_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,T60_mean_z,T20_max_z,ST_max_z,T60_max_z,T20_mean_a,T60_mean_a,ST_max_a,T60_max_a,T20_mean_b,T60_mean_b,ST_max_b,T60_max_b,housa_x,housa_y,housa_z,housa_a,housa_b
2016-07-27,0,23.88348623853211,25.07798165137614,23.91651376146789,26.7,25.5,26.3,27.43055555555555,26.800694444444453,28.029861111111106,36.0,30.8,39.6,26.68611111111111,27.42013888888889,35.8,30.7,39.6,25.844444444444452,26.34166666666668,28.8,34.7,27.09652777777778,27.288888888888877,31.0,36.5,0.9347361006404726,5.411068056520567,5.733157931741183,5.733732037588315,5.489318608822986
2016-07-28,0,26.830275229357795,25.542201834862386,27.003669724770628,36.1,28.8,37.1,23.3902777777778,24.84930555555555,23.490972222222208,26.7,25.5,26.3,27.43055555555555,28.029861111111106,36.0,30.8,39.6,26.68611111111111,27.42013888888889,30.7,39.6,25.844444444444452,26.34166666666668,28.8,34.7,3.047379445067865,0.6926077394990944,5.411068056520567,5.733157931741183,5.733732037588315
2016-07-29,0,28.8045871559633,26.55688073394496,28.412844036697248,38.3,29.4,37.7,26.343055555555548,25.635416666666664,26.45555555555555,36.1,28.8,37.1,23.3902777777778,23.490972222222208,26.7,25.5,26.3,27.43055555555555,28.029861111111106,30.8,39.6,26.68611111111111,27.42013888888889,30.7,39.6,4.215527082961666,2.6883345981659503,0.6926077394990944,5.411068056520567,5.733157931741183
2016-07-30,0,28.94862385321101,27.109174311926605,28.01651376146789,38.3,33.2,36.8,27.82569444444445,26.507638888888888,27.461111111111112,38.3,29.4,37.7,26.343055555555548,26.45555555555555,36.1,28.8,37.1,23.3902777777778,23.490972222222208,25.5,26.3,27.43055555555555,28.029861111111106,30.8,39.6,4.187402263262971,3.470198760827348,2.6883345981659503,0.6926077394990944,5.411068056520567
2016-07-31,0,29.19174311926607,27.059633027522946,28.538532110091747,36.8,29.3,35.0,28.03125000000001,26.94722222222221,27.24027777777778,38.3,33.2,36.8,27.82569444444445,27.461111111111112,38.3,29.4,37.7,26.343055555555548,26.45555555555555,28.8,37.1,23.3902777777778,23.490972222222208,25.5,26.3,4.878742593865846,3.459321181165858,3.470198760827348,2.6883345981659503,0.6926077394990944
2016-08-01,0,29.71192660550457,27.26788990825688,29.27522935779816,35.9,29.4,35.4,28.26319444444445,26.916666666666675,27.68888888888889,36.8,29.3,35.0,28.03125000000001,27.24027777777778,38.3,33.2,36.8,27.82569444444445,27.461111111111112,29.4,37.7,26.343055555555548,26.45555555555555,28.8,37.1,5.286592192348535,4.383997971609549,3.459321181165858,3.470198760827348,2.6883345981659503
2016-08-02,0,29.56513761467889,27.79449541284404,29.066972477064233,37.6,30.0,35.4,28.868749999999995,27.2097222222222,28.45902777777779,35.9,29.4,35.4,28.26319444444445,27.68888888888889,36.8,29.3,35.0,28.03125000000001,27.24027777777778,33.2,36.8,27.82569444444445,27.461111111111112,29.4,37.7,4.076066640976272,4.568461679612641,4.383997971609549,3.459321181165858,3.470198760827348
2016-08-03,0,29.77155963302753,27.755963302752296,28.722018348623862,37.0,29.4,34.0,28.58958333333333,27.62569444444444,28.29166666666667,37.6,30.0,35.4,28.868749999999995,28.45902777777779,35.9,29.4,35.4,28.26319444444445,27.68888888888889,29.3,35.0,28.03125000000001,27.24027777777778,33.2,36.8,3.4154420600856343,2.9916823001041357,4.568461679612641,4.383997971609549,3.459321181165858
2016-08-04,0,29.80183486238533,27.647706422018327,28.69266055045871,39.3,29.2,34.6,28.879861111111122,27.7,28.12777777777779,37.0,29.4,34.0,28.58958333333333,28.29166666666667,37.6,30.0,35.4,28.868749999999995,28.45902777777779,29.4,35.4,28.26319444444445,27.68888888888889,29.3,35.0,3.4937234734109346,2.8271279067628368,2.9916823001041357,4.568461679612641,4.383997971609549
2016-08-05,0,30.362385321100913,28.054128440366977,29.66422018348625,38.9,30.5,35.3,28.928472222222233,27.51527777777776,28.1,39.3,29.2,34.6,28.879861111111122,28.12777777777779,37.0,29.4,34.0,28.58958333333333,28.29166666666667,30.0,35.4,28.868749999999995,28.45902777777779,29.4,35.4,4.7854350514090775,2.9715849414666637,2.8271279067628368,2.9916823001041357,4.568461679612641
2016-08-06,0,30.65871559633027,28.11559633027523,29.905504587155978,38.0,30.0,35.4,29.415277777777767,27.899305555555554,28.88958333333334,38.9,30.5,35.3,28.928472222222233,28.1,39.3,29.2,34.6,28.879861111111122,28.12777777777779,29.4,34.0,28.58958333333333,28.29166666666667,30.0,35.4,4.733296326380018,4.032620188547082,2.9715849414666637,2.8271279067628368,2.9916823001041357
2016-08-07,0,30.573394495412845,28.24036697247708,29.84311926605504,39.2,29.9,35.9,29.686111111111106,28.020138888888887,29.13541666666667,38.0,30.0,35.4,29.415277777777767,28.88958333333334,38.9,30.5,35.3,28.928472222222233,28.1,29.2,34.6,28.879861111111122,28.12777777777779,29.4,34.0,4.61147690249275,3.9827781435537117,4.032620188547082,2.9715849414666637,2.8271279067628368
2016-08-08,0,30.271559633027525,28.178899082568805,29.477981651376137,39.4,30.2,36.8,29.740277777777766,28.10069444444446,29.147222222222208,39.2,29.9,35.9,29.686111111111106,29.13541666666667,38.0,30.0,35.4,29.415277777777767,28.88958333333334,30.5,35.3,28.928472222222233,28.1,29.2,34.6,3.913765593020451,4.110486727419167,3.9827781435537117,4.032620188547082,2.9715849414666637
2016-08-09,0,31.61009174311927,28.279816513761467,30.40917431192661,38.5,32.4,35.5,29.25138888888889,28.02499999999999,28.71180555555555,39.4,30.2,36.8,29.740277777777766,29.147222222222208,39.2,29.9,35.9,29.686111111111106,29.13541666666667,30.0,35.4,29.415277777777767,28.88958333333334,30.5,35.3,5.697820620044209,3.3870994667873826,4.110486727419167,3.9827781435537117,4.032620188547082
2016-08-10,0,32.478899082568816,28.58715596330276,30.89816513761468,39.2,32.4,35.7,31.04444444444445,28.136111111111113,29.96319444444445,38.5,32.4,35.5,29.25138888888889,28.71180555555555,39.4,30.2,36.8,29.740277777777766,29.147222222222208,29.9,35.9,29.686111111111106,29.13541666666667,30.0,35.4,8.429933769703446,6.138508057260884,3.3870994667873826,4.110486727419167,3.9827781435537117
2016-08-11,0,30.101834862385324,26.785321100917443,28.84770642201834,37.5,28.6,34.2,31.352777777777767,28.324305555555558,30.01736111111111,39.2,32.4,35.7,31.04444444444445,29.96319444444445,38.5,32.4,35.5,29.25138888888889,28.71180555555555,30.2,36.8,29.740277777777766,29.147222222222208,29.9,35.9,7.448427424690847,7.839850905394886,6.138508057260884,3.3870994667873826,4.110486727419167
2016-08-12,0,28.888990825688065,26.49266055045873,27.963302752293572,35.6,28.4,34.0,28.89236111111111,26.62013888888889,27.915972222222226,37.5,28.6,34.2,31.352777777777767,30.01736111111111,39.2,32.4,35.7,31.04444444444445,29.96319444444445,32.4,35.5,29.25138888888889,28.71180555555555,30.2,36.8,4.6840989009201595,6.12499994689337,7.839850905394886,6.138508057260884,3.3870994667873826
2016-08-13,0,28.99908256880734,27.183486238532108,28.508256880733942,35.6,29.9,36.2,28.286111111111122,26.60069444444445,27.56736111111111,35.6,28.4,34.0,28.89236111111111,27.915972222222226,37.5,28.6,34.2,31.352777777777767,30.01736111111111,32.4,35.7,31.04444444444445,29.96319444444445,32.4,35.5,4.410174762130251,4.021467030871994,6.12499994689337,7.839850905394886,6.138508057260884
2016-08-14,0,29.41009174311925,27.258715596330266,28.5211009174312,37.1,29.7,35.3,28.315972222222207,27.070138888888888,27.91319444444445,35.6,29.9,36.2,28.286111111111122,27.56736111111111,35.6,28.4,34.0,28.89236111111111,27.915972222222226,28.6,34.2,31.352777777777767,30.01736111111111,32.4,35.7,4.412922744329778,4.288283308492527,4.021467030871994,6.12499994689337,7.839850905394886
2016-08-15,0,27.266055045871557,26.638532110091727,26.908256880733948,32.1,27.3,30.4,28.718749999999986,27.242361111111112,28.02847222222222,37.1,29.7,35.3,28.315972222222207,27.91319444444445,35.6,29.9,36.2,28.286111111111122,27.56736111111111,28.4,34.0,28.89236111111111,27.915972222222226,28.6,34.2,2.9969599849101365,4.0534569311323585,4.288283308492527,4.021467030871994,6.12499994689337
2016-08-16,0,29.688990825688066,27.309174311926604,28.65779816513761,37.4,30.0,36.9,26.78263888888891,26.50277777777778,26.549305555555573,32.1,27.3,30.4,28.718749999999986,28.02847222222222,37.1,29.7,35.3,28.315972222222207,27.91319444444445,29.9,36.2,28.286111111111122,27.56736111111111,28.4,34.0,3.8301786979803736,2.8948821512524576,4.0534569311323585,4.288283308492527,4.021467030871994
2016-08-17,0,29.983486238532105,27.620183486238545,28.912844036697244,36.5,29.0,33.6,28.92361111111111,27.323611111111106,28.18125000000001,37.4,30.0,36.9,26.78263888888891,26.549305555555573,32.1,27.3,30.4,28.718749999999986,28.02847222222222,29.7,35.3,28.315972222222207,27.91319444444445,29.9,36.2,3.8819613637309884,3.347058168929998,2.8948821512524576,4.0534569311323585,4.288283308492527
2016-08-18,0,30.764220183486252,27.693577981651405,29.738532110091747,35.5,29.0,33.9,28.983333333333324,27.46875000000001,28.20486111111111,36.5,29.0,33.6,28.92361111111111,28.18125000000001,37.4,30.0,36.9,26.78263888888891,26.549305555555573,27.3,30.4,28.718749999999986,28.02847222222222,29.7,35.3,5.08674865632963,3.4983964777991656,3.347058168929998,2.8948821512524576,4.0534569311323585
2016-08-19,0,31.250458715596327,28.78807339449541,30.20458715596332,37.6,31.0,35.8,30.082638888888912,27.738888888888887,29.27291666666666,35.5,29.0,33.9,28.983333333333324,28.20486111111111,36.5,29.0,33.6,28.92361111111111,28.18125000000001,30.0,36.9,26.78263888888891,26.549305555555573,27.3,30.4,3.679532376374281,4.2341960659180495,3.4983964777991656,3.347058168929998,2.8948821512524576
2016-08-20,0,30.75229357798165,28.37981651376147,29.43211009174312,39.1,29.7,34.1,30.38055555555555,28.675694444444442,29.615972222222233,37.6,31.0,35.8,30.082638888888912,29.27291666666666,35.5,29.0,33.9,28.983333333333324,28.20486111111111,29.0,33.6,28.92361111111111,28.18125000000001,30.0,36.9,3.823273802242837,3.2766970491850875,4.2341960659180495,3.4983964777991656,3.347058168929998
2016-08-21,0,30.506422018348626,28.020183486238533,29.409174311926595,37.0,29.4,34.5,29.85625,28.28611111111111,28.936111111111106,39.1,29.7,34.1,30.38055555555555,29.615972222222233,37.6,31.0,35.8,30.082638888888912,29.27291666666666,29.0,33.9,28.983333333333324,28.20486111111111,29.0,33.6,4.180514650058346,3.3237811952991265,3.2766970491850875,4.2341960659180495,3.4983964777991656
2016-08-22,0,30.816513761467885,29.51651376146789,30.16330275229357,40.2,39.1,41.7,29.88055555555555,27.93333333333333,28.971527777777766,37.0,29.4,34.5,29.85625,28.936111111111106,39.1,29.7,34.1,30.38055555555555,29.615972222222233,31.0,35.8,30.082638888888912,29.27291666666666,29.0,33.9,6.623893107726087,4.230414268685592,3.3237811952991265,3.2766970491850875,4.2341960659180495
2016-08-23,0,29.950458715596326,27.727522935779827,28.796330275229373,36.3,29.3,32.6,30.09791666666667,29.062499999999986,29.540972222222194,40.2,39.1,41.7,29.88055555555555,28.971527777777766,37.0,29.4,34.5,29.85625,28.936111111111106,29.7,34.1,30.38055555555555,29.615972222222233,31.0,35.8,3.4131309713324396,5.631601214827281,4.230414268685592,3.3237811952991265,3.2766970491850875
2016-08-24,0,31.02018348623852,28.350458715596336,29.84220183486238,37.6,36.5,38.1,29.552777777777766,27.665972222222237,28.61736111111113,36.3,29.3,32.6,30.09791666666667,29.540972222222194,40.2,39.1,41.7,29.88055555555555,28.971527777777766,29.4,34.5,29.85625,28.936111111111106,29.7,34.1,5.022092143063201,3.4625502234104006,5.631601214827281,4.230414268685592,3.3237811952991265
2016-08-25,0,29.44128440366973,27.518348623853196,28.520183486238537,35.6,28.8,32.9,30.03263888888888,28.165277777777767,29.127777777777766,37.6,36.5,38.1,29.552777777777766,28.61736111111113,36.3,29.3,32.6,30.09791666666667,29.540972222222194,39.1,41.7,29.88055555555555,28.971527777777766,29.4,34.5,4.000514695945775,4.318708218178698,3.4625502234104006,5.631601214827281,4.230414268685592
2016-08-26,0,30.207339449541273,27.56146788990825,28.922935779816516,37.1,28.7,33.1,28.79444444444445,27.46041666666665,28.13333333333334,35.6,28.8,32.9,30.03263888888888,29.127777777777766,37.6,36.5,38.1,29.552777777777766,28.61736111111113,29.3,32.6,30.09791666666667,29.540972222222194,39.1,41.7,4.510149402440328,3.5719931902760136,4.318708218178698,3.4625502234104006,5.631601214827281
2016-08-27,0,30.1256880733945,27.302752293577978,28.859633027522946,37.3,28.9,33.5,29.190972222222204,27.410416666666666,28.21319444444445,37.1,28.7,33.1,28.79444444444445,28.13333333333334,35.6,28.8,32.9,30.03263888888888,29.127777777777766,36.5,38.1,29.552777777777766,28.61736111111113,29.3,32.6,4.923786425061745,3.9547739971857134,3.5719931902760136,4.318708218178698,3.4625502234104006
2016-08-28,0,29.36513761467889,27.328440366972465,28.47155963302752,40.1,29.6,36.4,29.10000000000001,27.242361111111087,28.23194444444445,37.3,28.9,33.5,29.190972222222204,28.21319444444445,37.1,28.7,33.1,28.79444444444445,28.13333333333334,28.8,32.9,30.03263888888888,29.127777777777766,36.5,38.1,3.9088426636372113,4.141452160368725,3.9547739971857134,3.5719931902760136,4.318708218178698
2016-08-29,0,29.346788990825672,27.18807339449541,28.38623853211009,39.1,29.6,37.8,28.466666666666665,27.248611111111106,27.914583333333322,40.1,29.6,36.4,29.10000000000001,28.23194444444445,37.3,28.9,33.5,29.190972222222204,28.21319444444445,28.7,33.1,28.79444444444445,28.13333333333334,28.8,32.9,4.746586391850003,3.6402125703617183,4.141452160368725,3.9547739971857134,3.5719931902760136
2016-08-30,0,30.65871559633027,27.05596330275229,28.88348623853211,37.8,28.5,33.7,28.749305555555548,27.053472222222233,27.975000000000005,39.1,29.6,37.8,28.466666666666665,27.914583333333322,40.1,29.6,36.4,29.10000000000001,28.23194444444445,28.9,33.5,29.190972222222204,28.21319444444445,28.7,33.1,5.76014019858533,4.76460086936562,3.6402125703617183,4.141452160368725,3.9547739971857134
2016-08-31,0,27.3834862385321,25.85871559633027,26.54495412844037,37.4,27.8,32.9,29.6527777777778,27.064583333333346,28.32638888888889,37.8,28.5,33.7,28.749305555555548,27.975000000000005,39.1,29.6,37.8,28.466666666666665,27.914583333333322,29.6,36.4,29.10000000000001,28.23194444444445,28.9,33.5,5.496795291210638,5.166618573012609,4.76460086936562,3.6402125703617183,4.141452160368725
2016-09-01,0,28.55504587155964,25.213761467889906,26.710091743119268,40.3,31.9,33.8,26.43055555555555,25.45625,25.79791666666668,37.4,27.8,32.9,29.6527777777778,28.32638888888889,37.8,28.5,33.7,28.749305555555548,27.975000000000005,29.6,37.8,28.466666666666665,27.914583333333322,29.6,36.4,6.13592076294276,5.4795988537310505,5.166618573012609,4.76460086936562,3.6402125703617183
2016-09-02,0,30.06513761467889,26.477981651376147,27.83119266055047,41.5,28.7,34.2,27.80069444444446,25.302777777777766,26.375,40.3,31.9,33.8,26.43055555555555,25.79791666666668,37.4,27.8,32.9,29.6527777777778,28.32638888888889,28.5,33.7,28.749305555555548,27.975000000000005,29.6,37.8,4.460719369452894,5.588610584536374,5.4795988537310505,5.166618573012609,4.76460086936562
2016-09-03,0,29.981651376146804,26.52844036697249,27.7302752293578,39.4,28.9,34.8,28.58819444444444,26.428472222222233,27.036805555555574,41.5,28.7,34.2,27.80069444444446,26.375,40.3,31.9,33.8,26.43055555555555,25.79791666666668,27.8,32.9,29.6527777777778,28.32638888888889,28.5,33.7,4.877160701028041,3.87202738040457,5.588610584536374,5.4795988537310505,5.166618573012609
2016-09-04,0,30.65412844036698,27.25229357798167,28.644036697247724,41.4,29.1,36.4,29.063194444444452,26.612500000000004,27.363888888888887,39.4,28.9,34.8,28.58819444444444,27.036805555555574,41.5,28.7,34.2,27.80069444444446,26.375,31.9,33.8,26.43055555555555,25.79791666666668,27.8,32.9,4.727511666353916,4.441801551338578,3.87202738040457,5.588610584536374,5.4795988537310505
2016-09-05,0,30.294495412844032,27.50183486238534,28.735779816513762,39.5,29.1,34.3,29.886805555555558,27.25625000000001,28.333333333333353,41.4,29.1,36.4,29.063194444444452,27.363888888888887,39.4,28.9,34.8,28.58819444444444,27.036805555555574,28.7,34.2,27.80069444444446,26.375,31.9,33.8,4.363267021306845,4.783400944351174,4.441801551338578,3.87202738040457,5.588610584536374
2016-09-06,0,26.66697247706421,26.48440366972478,26.2422018348624,34.3,27.6,30.5,29.32083333333333,27.472222222222253,28.24375,39.5,29.1,34.3,29.886805555555558,28.333333333333353,41.4,29.1,36.4,29.063194444444452,27.363888888888887,28.9,34.8,28.58819444444444,27.036805555555574,28.7,34.2,1.901051737840756,3.9483358516030216,4.783400944351174,4.441801551338578,3.87202738040457
2016-09-07,0,28.5348623853211,26.867889908256874,27.466055045871574,40.3,28.2,34.6,26.37083333333333,26.54583333333333,26.16944444444445,34.3,27.6,30.5,29.32083333333333,28.24375,39.5,29.1,34.3,29.886805555555558,28.333333333333353,29.1,36.4,29.063194444444452,27.363888888888887,28.9,34.8,1.9736442357543675,1.5145031756641922,3.9483358516030216,4.783400944351174,4.441801551338578
