date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,H_min_x,ST_max_x,T60_max_x,housa_x,T20_mean_y,T60_mean_y,H_mean_y,H_min_y,ST_max_y,T60_max_y,housa_y,T20_mean_z,H_mean_z,H_min_z,T60_max_z,housa_z
2018-05-29,0,27.4375,25.20750000000001,26.36875000000001,76.95,49.0,28.0,35.5,4.6616417920041595,27.43263888888889,27.08402777777779,82.52083333333333,55.0,28.2,34.6,3.661342892241629,28.677083333333357,87.47916666666669,64.0,34.2,2.722717069801732
2018-05-30,0,23.73333333333332,23.4125,23.292361111111113,86.82847222222217,65.7,24.8,28.9,2.2858081735989164,27.4375,26.36875000000001,76.95,49.0,28.0,35.5,4.6616417920041595,27.43263888888889,82.52083333333333,55.0,34.6,3.661342892241629
2018-05-31,0,22.12708333333333,23.04513888888888,22.079861111111125,88.19236111111113,72.5,24.4,28.9,1.9274264698915404,23.73333333333332,23.292361111111113,86.82847222222217,65.7,24.8,28.9,2.2858081735989164,27.4375,76.95,49.0,35.5,4.6616417920041595
2018-06-01,0,19.822222222222205,21.659027777777773,19.983333333333327,90.05625000000003,75.1,22.3,24.6,1.4583243869499127,22.12708333333333,22.079861111111125,88.19236111111113,72.5,24.4,28.9,1.9274264698915404,23.73333333333332,86.82847222222217,65.7,28.9,2.2858081735989164
2018-06-02,0,24.36944444444444,23.39930555555557,25.287500000000005,66.05416666666667,34.9,27.4,39.5,6.5081230136774195,19.822222222222205,19.983333333333327,90.05625000000003,75.1,22.3,24.6,1.4583243869499127,22.12708333333333,88.19236111111113,72.5,28.9,1.9274264698915404
2018-06-03,0,24.21041666666667,24.059722222222234,24.836111111111112,73.2097222222222,40.4,27.4,36.7,5.022388185058055,24.36944444444444,25.287500000000005,66.05416666666667,34.9,27.4,39.5,6.5081230136774195,19.822222222222205,90.05625000000003,75.1,24.6,1.4583243869499127
2018-06-04,0,25.132638888888888,24.73194444444445,25.79930555555555,70.1875,34.5,28.0,39.1,5.862330515172597,24.21041666666667,24.836111111111112,73.2097222222222,40.4,27.4,36.7,5.022388185058055,24.36944444444444,66.05416666666667,34.9,39.5,6.5081230136774195
2018-06-05,0,25.815972222222207,25.05208333333334,26.226388888888888,69.72569444444447,37.1,27.9,38.6,6.079916812655659,25.132638888888888,25.79930555555555,70.1875,34.5,28.0,39.1,5.862330515172597,24.21041666666667,73.2097222222222,40.4,36.7,5.022388185058055
2018-06-06,0,24.540277777777792,24.614583333333343,24.49791666666667,80.25069444444442,43.8,26.6,35.4,3.640576995599537,25.815972222222207,26.226388888888888,69.72569444444447,37.1,27.9,38.6,6.079916812655659,25.132638888888888,70.1875,34.5,39.1,5.862330515172597
2018-06-07,0,21.291666666666664,23.13958333333333,20.286111111111094,96.96319444444441,90.4,24.1,26.4,0.4523560080112348,24.540277777777792,24.49791666666667,80.25069444444442,43.8,26.6,35.4,3.640576995599537,25.815972222222207,69.72569444444447,37.1,38.6,6.079916812655659
