date,disease,T20_mean_x,ST_mean_x,T60_mean_x,T20_min_x,ST_min_x,T60_min_x,ST_max_x,T20_mean_y,ST_mean_y,T60_mean_y,ST_min_y,T60_min_y,ST_max_y,T20_mean_z,ST_mean_z,T60_mean_z,T60_min_z,ST_max_z,T20_mean_a,ST_mean_a,T60_mean_a,ST_max_a,T20_mean_b,T60_mean_b,ST_max_b,housa_x,housa_y,housa_z,housa_a,housa_b
2016-07-27,0,23.738532110091747,25.348623853211013,24.011926605504588,21.9,24.5,22.2,25.9,27.975000000000005,27.68125000000001,28.476388888888888,24.2,21.7,32.1,27.26597222222221,27.391666666666666,27.85902777777777,21.4,33.3,26.363194444444442,26.51388888888891,26.79791666666665,30.2,26.940277777777766,27.31944444444445,31.6,1.886673386907236,6.649077481578847,6.698745602662119,6.8534882011105624,6.128800973179723
2016-07-28,0,27.18256880733943,26.137614678899087,27.80183486238532,21.8,23.6,22.1,30.4,23.269444444444453,25.04375000000001,23.534722222222207,23.9,21.9,25.9,27.975000000000005,27.68125000000001,28.476388888888888,21.7,32.1,27.26597222222221,27.391666666666666,27.85902777777777,33.3,26.363194444444442,26.79791666666665,30.2,4.557839110855032,1.4455971952383542,6.649077481578847,6.698745602662119,6.8534882011105624
2016-07-29,0,28.990825688073386,27.399082568807348,29.809174311926604,23.8,25.0,23.9,31.6,26.64583333333332,26.195138888888888,27.13472222222221,23.6,22.1,30.4,23.269444444444453,25.04375000000001,23.534722222222207,21.9,25.9,27.975000000000005,27.68125000000001,28.476388888888888,32.1,27.26597222222221,27.85902777777777,33.3,7.33694301963046,4.02917536371641,1.4455971952383542,6.649077481578847,6.698745602662119
2016-07-30,0,28.492660550458712,27.758715596330283,29.21651376146788,22.1,24.6,22.1,33.4,28.035416666666656,27.288888888888888,28.624305555555548,25.0,23.8,31.6,26.64583333333332,26.195138888888888,27.13472222222221,22.1,30.4,23.269444444444453,25.04375000000001,23.534722222222207,25.9,27.975000000000005,28.476388888888888,32.1,6.812836297486874,6.054054507112213,4.02917536371641,1.4455971952383542,6.649077481578847
2016-07-31,0,30.108256880733943,28.063302752293573,31.403669724770626,21.6,24.5,21.6,31.6,27.74513888888889,27.527777777777786,28.231944444444427,24.6,22.1,33.4,28.035416666666656,27.288888888888888,28.624305555555548,23.8,31.6,26.64583333333332,26.195138888888888,27.13472222222221,30.4,23.269444444444453,23.534722222222207,25.9,8.829486065788803,5.653728339284935,6.054054507112213,4.02917536371641,1.4455971952383542
2016-08-01,0,30.707339449541287,28.48440366972477,32.11376146788991,22.1,24.9,22.1,32.2,29.04722222222221,27.81805555555555,29.96388888888889,24.5,21.6,31.6,27.74513888888889,27.527777777777786,28.231944444444427,22.1,33.4,28.035416666666656,27.288888888888888,28.624305555555548,31.6,26.64583333333332,27.13472222222221,30.4,9.513896430965971,7.587248252306129,5.653728339284935,6.054054507112213,4.02917536371641
2016-08-02,0,30.435779816513755,28.82660550458715,31.425688073394504,23.6,25.8,23.7,34.1,29.70902777777779,28.27986111111112,30.712499999999995,24.9,22.1,32.2,29.04722222222221,27.81805555555555,29.96388888888889,21.6,31.6,27.74513888888889,27.527777777777786,28.231944444444427,33.4,28.035416666666656,28.624305555555548,31.6,7.741594173143022,7.940520479154196,7.587248252306129,5.653728339284935,6.054054507112213
2016-08-03,0,30.261467889908253,28.583486238532124,31.05412844036696,23.7,26.2,23.9,31.5,29.277083333333344,28.54513888888889,30.068055555555574,25.8,23.7,34.1,29.70902777777779,28.27986111111112,30.712499999999995,22.1,32.2,29.04722222222221,27.81805555555555,29.96388888888889,31.6,27.74513888888889,28.231944444444427,33.4,6.9190799558435705,5.6618051193035175,7.940520479154196,7.587248252306129,5.653728339284935
2016-08-04,0,30.106422018348628,28.30642201834861,30.760550458715592,23.9,26.3,24.1,30.2,29.29375000000001,28.476388888888913,29.936111111111106,26.2,23.9,31.5,29.277083333333344,28.54513888888889,30.068055555555574,23.7,34.1,29.70902777777779,28.27986111111112,30.712499999999995,32.2,29.04722222222221,29.96388888888889,31.6,6.740193288617423,5.6594639769365624,5.6618051193035175,7.940520479154196,7.587248252306129
2016-08-05,0,30.903669724770648,28.877064220183506,31.923853211009185,23.7,26.1,23.8,34.1,29.210416666666674,28.15763888888887,29.706944444444442,26.3,24.1,30.2,29.29375000000001,28.476388888888913,29.936111111111106,23.9,31.5,29.277083333333344,28.54513888888889,30.068055555555574,34.1,29.70902777777779,30.712499999999995,32.2,8.089388660154547,5.519815266399998,5.6594639769365624,5.6618051193035175,7.940520479154196
2016-08-06,0,31.23486238532111,29.14495412844037,32.10917431192661,24.0,26.3,24.1,32.7,29.87083333333333,28.62986111111111,30.63125000000001,26.1,23.8,34.1,29.210416666666674,28.15763888888887,29.706944444444442,24.1,30.2,29.29375000000001,28.476388888888913,29.936111111111106,31.5,29.277083333333344,30.068055555555574,34.1,8.116632226055193,6.517771091917519,5.519815266399998,5.6594639769365624,5.6618051193035175
