date,disease,H_mean_x,H_min_x,T20_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,housa_z,days
2018-04-10,0,76.59236111,35.8,35.9,32.1,2.778180546449,71.50694444,25.7,29.8,25.6,93.8,3.343632909959892,81.55833333,10.2,10.7,35.4,25.6,23.9,99.6,2.386306274657213,1.0
2018-04-11,0,69.425,20.6,35.8,32.7,4.190183319029487,76.59236111,35.8,35.9,32.1,93.4,2.778180546449,71.50694444,7.6,8.2,25.7,29.8,25.6,93.8,3.343632909959892,2.0
2018-04-12,0,94.09513889,86.7,23.9,22.7,0.7576817736845416,69.425,20.6,35.8,32.7,94.7,4.190183319029487,76.59236111,4.9,5.6,35.8,35.9,32.1,93.4,2.778180546449,3.0
2018-04-13,0,77.93333333,25.4,34.0,29.6,3.378333587633971,94.09513889,86.7,23.9,22.7,100.0,0.7576817736845416,69.425,8.4,9.0,20.6,35.8,32.7,94.7,4.190183319029487,4.0
2018-04-14,0,69.03333333,27.6,31.4,28.1,4.151370881247749,77.93333333,25.4,34.0,29.6,100.0,3.378333587633971,94.09513889,12.2,12.6,86.7,23.9,22.7,100.0,0.7576817736845416,5.0
2018-04-15,0,86.73819444,45.7,32.1,30.2,1.8378318327929,69.03333333,27.6,31.4,28.1,95.2,4.151370881247749,77.93333333,13.4,13.8,25.4,34.0,29.6,100.0,3.378333587633971,6.0
2018-04-16,0,88.05625,47.2,27.6,25.4,1.6281264149975148,86.73819444,45.7,32.1,30.2,99.4,1.8378318327929,69.03333333,11.2,11.7,27.6,31.4,28.1,95.2,4.151370881247749,7.0
2018-04-17,0,74.15694444,35.8,31.9,29.0,3.4697704165224343,88.05625,47.2,27.6,25.4,100.0,1.6281264149975148,86.73819444,11.5,11.8,45.7,32.1,30.2,99.4,1.8378318327929,8.0
2018-04-18,0,92.90694444,63.9,27.0,26.0,0.905155259795004,74.15694444,35.8,31.9,29.0,96.0,3.4697704165224343,88.05625,11.3,11.8,47.2,27.6,25.4,100.0,1.6281264149975148,9.0
2018-04-19,0,84.26527778,50.0,31.9,28.5,2.1483060358999744,92.90694444,63.9,27.0,26.0,99.8,0.905155259795004,74.15694444,9.4,10.0,35.8,31.9,29.0,96.0,3.4697704165224343,10.0
2018-04-20,0,77.22569444,38.0,31.9,28.7,3.2501311758593334,84.26527778,50.0,31.9,28.5,100.0,2.1483060358999744,92.90694444,13.6,13.7,63.9,27.0,26.0,99.8,0.905155259795004,11.0
2018-04-21,0,70.46319444,36.7,32.8,29.8,4.423642454994419,77.22569444,38.0,31.9,28.7,97.3,3.2501311758593334,84.26527778,12.7,13.3,50.0,31.9,28.5,100.0,2.1483060358999744,12.0
2018-04-22,0,73.05208333,38.0,35.9,32.0,4.206781854563522,70.46319444,36.7,32.8,29.8,95.2,4.423642454994419,77.22569444,11.1,11.6,38.0,31.9,28.7,97.3,3.2501311758593334,13.0
2018-04-23,0,73.66944444,32.7,35.6,32.7,4.089191583385527,73.05208333,38.0,35.9,32.0,95.3,4.206781854563522,70.46319444,11.6,12.1,36.7,32.8,29.8,95.2,4.423642454994419,14.0
2018-04-24,0,75.14444444,42.2,35.3,33.8,4.175933755983326,73.66944444,32.7,35.6,32.7,94.5,4.089191583385527,73.05208333,12.4,12.6,38.0,35.9,32.0,95.3,4.206781854563522,15.0
2018-04-25,0,90.72569444,72.7,25.2,24.5,1.3493918028588414,75.14444444,42.2,35.3,33.8,94.7,4.175933755983326,73.66944444,12.6,12.7,32.7,35.6,32.7,94.5,4.089191583385527,16.0
2018-04-26,0,81.76180556,55.4,31.9,27.7,2.7373272146475323,90.72569444,72.7,25.2,24.5,99.4,1.3493918028588414,75.14444444,13.7,14.1,42.2,35.3,33.8,94.7,4.175933755983326,17.0
2018-04-27,0,67.55347222,38.7,33.3,30.9,4.785968969571631,81.76180556,55.4,31.9,27.7,100.0,2.7373272146475323,90.72569444,18.0,18.1,72.7,25.2,24.5,99.4,1.3493918028588414,18.0
2018-04-28,0,77.47638889,59.1,28.0,25.7,3.2669516459941264,67.55347222,38.7,33.3,30.9,91.3,4.785968969571631,81.76180556,14.4,14.8,55.4,31.9,27.7,100.0,2.7373272146475323,19.0
