date,disease,T20_mean_x,T60_mean_x,H_mean_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,housa_y,H_mean_z,H_min_z,T20_max_z,T60_max_z,housa_z,days
2018-04-10,0,17.23819444,17.24236111,75.56458333,34.5,36.9,20.1,36.2,3.107919928844459,70.80694444,23.5,32.6,21.3,37.4,3.813773036071851,82.96666667,42.7,28.8,28.1,2.3378054637351173,1.0
2018-04-11,0,19.74097222,19.60486111,68.15694444,24.0,33.1,20.9,35.5,4.579827043325447,75.56458333,34.5,36.9,20.1,36.2,3.107919928844459,70.80694444,23.5,32.6,37.4,3.813773036071851,2.0
2018-04-12,0,18.14861111,18.09513889,92.68194444,80.3,25.8,19.4,24.1,0.9732372190123374,68.15694444,24.0,33.1,20.9,35.5,4.579827043325447,75.56458333,34.5,36.9,36.2,3.107919928844459,3.0
2018-04-13,0,22.48194444,22.74652778,76.64583333,26.9,34.5,22.5,38.2,3.9429956606236516,92.68194444,80.3,25.8,19.4,24.1,0.9732372190123374,68.15694444,24.0,33.1,35.5,4.579827043325447,4.0
2018-04-14,0,20.53194444,20.64513889,67.84027778,21.5,33.6,24.3,36.3,4.8794652080532135,76.64583333,26.9,34.5,22.5,38.2,3.9429956606236516,92.68194444,80.3,25.8,24.1,0.9732372190123374,5.0
2018-04-15,0,19.51944444,19.37708333,83.37013889,45.4,31.0,20.9,29.1,2.363821925505176,67.84027778,21.5,33.6,24.3,36.3,4.8794652080532135,76.64583333,26.9,34.5,38.2,3.9429956606236516,6.0
2018-04-16,0,19.77638889,19.70277778,86.48055556,46.4,31.9,21.5,29.6,1.9542790344157999,83.37013889,45.4,31.0,20.9,29.1,2.363821925505176,67.84027778,21.5,33.6,36.3,4.8794652080532135,7.0
2018-04-17,0,19.84861111,19.78194444,73.69861111,32.7,31.8,20.9,34.6,3.817496770033906,86.48055556,46.4,31.9,21.5,29.6,1.9542790344157999,83.37013889,45.4,31.0,29.1,2.363821925505176,8.0
2018-04-18,0,17.86180556,17.93055556,89.68402778,62.3,27.6,20.4,26.5,1.3602019180197509,73.69861111,32.7,31.8,20.9,34.6,3.817496770033906,86.48055556,46.4,31.9,29.6,1.9542790344157999,9.0
2018-04-19,0,19.71319444,19.70486111,81.58472222,38.6,34.2,21.2,38.8,2.6622734006574804,89.68402778,62.3,27.6,20.4,26.5,1.3602019180197509,73.69861111,32.7,31.8,34.6,3.817496770033906,10.0
2018-04-20,0,20.65555556,20.30902778,75.36527778,37.8,31.2,21.8,31.6,3.673855490704428,81.58472222,38.6,34.2,21.2,38.8,2.6622734006574804,89.68402778,62.3,27.6,26.5,1.3602019180197509,11.0
2018-04-21,0,21.99444444,21.94305556,69.42291667,33.7,33.1,22.9,36.0,4.956745706091079,75.36527778,37.8,31.2,21.8,31.6,3.673855490704428,81.58472222,38.6,34.2,38.8,2.6622734006574804,12.0
2018-04-22,0,22.57569444,22.06180556,70.82083333,36.7,35.9,23.1,36.1,4.758718297087365,69.42291667,33.7,33.1,22.9,36.0,4.956745706091079,75.36527778,37.8,31.2,31.6,3.673855490704428,13.0
2018-04-23,0,22.19930556,21.92638889,71.17986111,29.4,34.6,23.5,35.4,4.6679827802303775,70.82083333,36.7,35.9,23.1,36.1,4.758718297087365,69.42291667,33.7,33.1,36.0,4.956745706091079,14.0
2018-04-24,0,23.37916667,22.83888889,71.62777778,38.8,35.6,23.4,36.2,4.8125931067838685,71.17986111,29.4,34.6,23.5,35.4,4.6679827802303775,70.82083333,36.7,35.9,36.1,4.758718297087365,15.0
2018-04-25,0,19.83611111,19.85069444,87.81875,67.3,25.8,21.5,24.6,1.7743125508418518,71.62777778,38.8,35.6,23.4,36.2,4.8125931067838685,71.17986111,29.4,34.6,35.4,4.6679827802303775,16.0
2018-04-26,0,21.83402778,21.99305556,77.43819444,44.5,32.8,23.0,35.9,3.6667085908774055,87.81875,67.3,25.8,21.5,24.6,1.7743125508418518,71.62777778,38.8,35.6,36.2,4.8125931067838685,17.0
2018-04-27,0,21.60555556,21.49513889,64.33125,30.0,34.6,24.8,35.3,5.651965486800673,77.43819444,44.5,32.8,23.0,35.9,3.6667085908774055,87.81875,67.3,25.8,24.6,1.7743125508418518,18.0
2018-04-28,0,20.93680556,20.92847222,72.53958333,51.1,29.0,23.5,29.4,4.227303760558606,64.33125,30.0,34.6,24.8,35.3,5.651965486800673,77.43819444,44.5,32.8,35.9,3.6667085908774055,19.0
2018-04-29,0,21.63125,21.64861111,61.65555556,29.5,35.1,25.0,37.2,6.12358668991821,72.53958333,51.1,29.0,23.5,29.4,4.227303760558606,64.33125,30.0,34.6,35.3,5.651965486800673,20.0
2018-04-30,0,22.37986111,22.11666667,66.73680556,32.1,33.8,25.4,34.7,5.43987772919318,61.65555556,29.5,35.1,25.0,37.2,6.12358668991821,72.53958333,51.1,29.0,29.4,4.227303760558606,21.0
2018-05-01,0,21.95694444,21.72152778,71.17777778,39.9,34.5,25.2,34.2,4.619990667627146,66.73680556,32.1,33.8,25.4,34.7,5.43987772919318,61.65555556,29.5,35.1,37.2,6.12358668991821,22.0
2018-05-02,0,23.33263889,23.13263889,67.94027778,36.9,33.6,25.5,34.7,5.5191690451499245,71.17777778,39.9,34.5,25.2,34.2,4.619990667627146,66.73680556,32.1,33.8,34.7,5.43987772919318,23.0
2018-05-03,0,19.62222222,19.72013889,84.88541667,62.4,28.7,22.1,26.3,2.1868180345644634,67.94027778,36.9,33.6,25.5,34.7,5.5191690451499245,71.17777778,39.9,34.5,34.2,4.619990667627146,24.0
2018-05-04,0,21.40694444,21.24305556,77.76944444,57.7,28.3,23.2,27.7,3.4776257188721105,84.88541667,62.4,28.7,22.1,26.3,2.1868180345644634,67.94027778,36.9,33.6,34.7,5.5191690451499245,25.0
2018-05-05,0,19.69444444,19.475,63.94930556,32.1,30.2,24.0,32.1,5.1503492768642944,77.76944444,57.7,28.3,23.2,27.7,3.4776257188721105,84.88541667,62.4,28.7,26.3,2.1868180345644634,26.0
2018-05-06,0,20.12152778,19.77638889,65.46736111,32.4,30.5,23.1,31.0,5.010781039801309,63.94930556,32.1,30.2,24.0,32.1,5.1503492768642944,77.76944444,57.7,28.3,27.7,3.4776257188721105,27.0
