date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2016/11/16,0,14.97986111,15.78611111,14.19930556,87.39583333,8.2,13.7,9,49,26.5,18,21.4,100
2016/11/16,0,14.97986111,15.78611111,14.19930556,87.39583333,8.2,13.7,9,49,26.5,18,21.4,100
2016/11/17,0,14.13194444,15.1625,13.74097222,89.71527778,8.4,13,8.5,55,24.7,17.7,22,100
2016/11/17,0,14.13194444,15.1625,13.74097222,89.71527778,8.4,13,8.5,55,24.7,17.7,22,100
2016/11/18,0,15.86527778,15.57777778,15.00972222,91.20833333,9.6,13.8,9.9,59,27.1,17.8,23,100
2016/11/18,0,15.86527778,15.57777778,15.00972222,91.20833333,9.6,13.8,9.9,59,27.1,17.8,23,100
2016/11/19,0,16.07708333,16.18125,15.83402778,99.47916667,13.9,15.4,13.9,92,22.8,17.5,20.6,100
2016/11/19,0,16.07708333,16.18125,15.83402778,99.47916667,13.9,15.4,13.9,92,22.8,17.5,20.6,100
2016/11/20,0,18.00902778,17.18194444,17.43194444,94.25,12.7,15.4,12.8,70,27.3,19.2,23.8,100
2016/11/20,0,18.00902778,17.18194444,17.43194444,94.25,12.7,15.4,12.8,70,27.3,19.2,23.8,100
2016/11/21,0,16.58888889,16.93541667,16.37847222,96.80555556,13.1,15.9,13.4,77,21.8,17.9,20.2,100
2016/11/21,0,16.58888889,16.93541667,16.37847222,96.80555556,13.1,15.9,13.4,77,21.8,17.9,20.2,100
2016/11/22,0,17.82916667,17.57638889,17.43055556,93.625,13.3,16.4,13.6,62,26,19.5,23.6,100
2016/11/22,0,17.82916667,17.57638889,17.43055556,93.625,13.3,16.4,13.6,62,26,19.5,23.6,100
2016/11/23,0,15.31597222,16.42569444,15.12916667,93.03472222,12.5,15.4,12.7,58,21.9,17.7,19.9,100
2016/11/23,0,15.31597222,16.42569444,15.12916667,93.03472222,12.5,15.4,12.7,58,21.9,17.7,19.9,100
2016/11/24,0,12.95763889,15.00138889,12.66805556,97.8125,7.6,12.9,7.5,73,24.6,17.4,21.9,100
2016/11/24,0,12.95763889,15.00138889,12.66805556,97.8125,7.6,12.9,7.5,73,24.6,17.4,21.9,100
2016/11/25,0,12.375,13.64166667,11.64305556,87.90277778,6.9,11.8,6.7,57,22,15.6,18.2,100
2016/11/25,0,12.375,13.64166667,11.64305556,87.90277778,6.9,11.8,6.7,57,22,15.6,18.2,100
2016/11/26,0,14.89513889,14.67777778,14.34861111,83.26388889,10.2,13.1,10.6,48,23.7,16.4,20.7,100
2016/11/26,0,14.89513889,14.67777778,14.34861111,83.26388889,10.2,13.1,10.6,48,23.7,16.4,20.7,100
2016/11/27,0,16.49305556,15.99166667,16.02638889,96.27083333,14.4,15.2,14.4,77,25,17.3,21.7,100
2016/11/27,0,16.49305556,15.99166667,16.02638889,96.27083333,14.4,15.2,14.4,77,25,17.3,21.7,100
2016/11/28,0,16.07777778,16.21875,15.82569444,89,13.4,15.4,13.7,62,24,17.6,21.7,100
2016/11/28,0,16.07777778,16.21875,15.82569444,89,13.4,15.4,13.7,62,24,17.6,21.7,100
2016/11/29,0,16.12430556,16.03541667,15.72916667,83.34722222,13.4,15.2,13.7,56,23.9,17.9,21.9,93
2016/11/29,0,16.12430556,16.03541667,15.72916667,83.34722222,13.4,15.2,13.7,56,23.9,17.9,21.9,93
2016/11/30,0,15.34027778,15.71944444,14.8625,89.36111111,13.3,15.2,13.4,61,21.2,16.6,19.2,100
2016/11/30,0,15.34027778,15.71944444,14.8625,89.36111111,13.3,15.2,13.4,61,21.2,16.6,19.2,100
2016/12/1,0,16.01319444,15.86597222,15.55625,94.29166667,13.4,15.2,13.4,69,23.3,16.8,20.2,100
2016/12/1,0,16.01319444,15.86597222,15.55625,94.29166667,13.4,15.2,13.4,69,23.3,16.8,20.2,100
2016/12/2,0,15.41111111,15.78263889,15.17916667,84.36805556,13.1,15.2,13.4,49,21,16.9,19.7,100
2016/12/2,0,15.41111111,15.78263889,15.17916667,84.36805556,13.1,15.2,13.4,49,21,16.9,19.7,100
2016/12/3,0,15.80972222,15.69444444,15.17430556,80.84722222,12.9,15,13.1,50,24.1,17.3,20.9,93
2016/12/3,0,15.80972222,15.69444444,15.17430556,80.84722222,12.9,15,13.1,50,24.1,17.3,20.9,93
2016/12/4,0,16.38055556,16.06527778,15.84513889,88.24305556,13,14.9,13,67,24.8,17.8,21.6,100
2016/12/4,0,16.38055556,16.06527778,15.84513889,88.24305556,13,14.9,13,67,24.8,17.8,21.6,100
2016/12/5,0,16.38958333,16.37430556,16.03541667,90.98611111,13.6,15.5,13.8,57,22.9,17.8,21,100
2016/12/5,0,16.38958333,16.37430556,16.03541667,90.98611111,13.6,15.5,13.8,57,22.9,17.8,21,100
2016/12/6,0,15.70277778,16.06527778,15.42986111,84.55555556,13.2,15.5,13.5,52,23.6,17.4,21.8,99
2016/12/6,0,15.70277778,16.06527778,15.42986111,84.55555556,13.2,15.5,13.5,52,23.6,17.4,21.8,99
2016/12/7,0,15.49930556,15.78263889,15.19375,78.44444444,13,15.1,13.2,48,22.6,17,20.8,90
