,date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
0,2016-11-16,0,13.025000000000002,15.35000000000001,12.738888888888896,85.1736111111111,7.7,14.1,8.1,52.0,26.3,16.9,22.8,99.0
1,2016-11-17,0,12.43125,14.454166666666666,12.264583333333333,87.45833333333331,6.4,13.1,6.6,50.0,22.0,15.8,20.6,99.0
2,2016-11-18,0,15.334722222222226,15.240972222222213,14.85833333333334,94.08333333333331,9.0,13.8,9.2,72.0,25.9,17.0,23.9,99.0
3,2016-11-19,0,15.674305555555556,15.956944444444444,15.425694444444455,99.0,13.4,15.1,13.4,99.0,22.0,16.7,20.2,99.0
4,2016-11-20,0,17.29583333333333,16.747222222222227,16.924305555555552,94.5,13.0,15.6,13.1,74.0,24.9,18.0,23.7,99.0
5,2016-11-21,0,16.39027777777777,16.77638888888888,16.162499999999998,98.50694444444444,13.1,16.1,13.2,93.0,21.5,17.4,20.2,99.0
6,2016-11-22,0,16.564583333333335,17.03680555555556,16.297916666666666,92.02777777777777,12.3,16.2,12.2,63.0,23.5,18.1,22.4,99.0
7,2016-11-23,0,13.303472222222226,15.690972222222236,13.13680555555555,89.50694444444444,10.3,14.7,10.4,56.0,19.0,16.2,17.6,99.0
8,2016-11-24,0,11.724305555555553,14.513888888888884,11.517361111111116,98.20833333333331,7.6,13.6,7.5,75.0,22.7,15.8,20.7,99.0
9,2016-11-25,0,11.676388888888885,13.677777777777779,11.31597222222223,92.59722222222223,6.0,12.3,6.0,62.0,22.1,15.0,20.5,99.0
10,2016-11-26,0,14.766666666666666,14.679861111111116,14.323611111111108,93.65972222222223,10.3,13.6,10.5,75.0,24.6,16.1,22.8,99.0
11,2016-11-27,0,15.963888888888883,15.776388888888905,15.565972222222221,98.65277777777777,13.6,15.2,13.5,94.0,24.4,16.5,22.4,99.0
12,2016-11-28,0,14.422916666666667,15.486111111111107,13.969444444444434,90.56944444444444,11.8,14.9,12.1,65.0,21.5,15.9,19.1,99.0
13,2016-11-29,0,14.365277777777774,14.98125000000001,13.704166666666666,88.22222222222223,11.5,14.6,11.6,54.0,20.3,15.8,18.7,99.0
14,2016-11-30,0,14.67708333333333,15.122222222222225,14.181250000000004,94.96527777777777,12.0,14.5,12.1,76.0,22.4,16.0,20.6,99.0
15,2016-12-01,0,15.336805555555555,15.474305555555546,15.009722222222226,97.09722222222223,12.7,14.9,12.6,82.0,24.1,16.1,22.0,99.0
16,2016-12-02,0,13.607638888888893,14.95277777777777,13.253472222222214,85.3888888888889,11.1,14.6,11.3,46.0,17.2,15.4,16.4,99.0
17,2016-12-03,0,15.256250000000005,15.190972222222225,14.611805555555565,92.26388888888887,11.7,14.4,11.5,65.0,24.6,16.5,22.5,99.0
18,2016-12-04,0,16.024305555555564,15.763888888888896,15.514583333333334,96.19444444444444,12.5,14.9,12.5,82.0,25.3,17.0,23.3,99.0
19,2016-12-05,0,14.965972222222224,15.788888888888884,14.697916666666664,91.22222222222223,12.7,15.3,12.7,59.0,20.4,16.4,19.1,99.0
20,2016-12-06,0,14.097222222222225,15.269444444444444,13.671527777777774,89.22916666666669,11.4,14.6,11.7,60.0,19.8,16.0,18.9,99.0
21,2016-12-07,0,13.80347222222222,14.63263888888887,13.219444444444447,89.0,11.6,14.2,11.1,60.0,18.1,15.1,16.7,99.0
22,2016-12-08,0,14.197222222222221,14.756944444444445,13.650694444444447,89.85416666666669,11.9,14.4,11.6,58.0,19.9,15.5,18.6,99.0
23,2016-12-09,0,15.381944444444445,14.806250000000013,14.820138888888893,94.42361111111113,12.2,13.6,12.4,74.0,23.6,15.6,22.0,99.0
24,2016-12-10,0,13.515277777777774,14.572222222222214,12.936805555555555,89.34027777777777,10.8,14.1,11.0,57.0,20.0,15.2,17.9,99.0
25,2016-12-11,0,13.561111111111117,14.149305555555546,12.60069444444444,88.35416666666669,10.8,13.8,11.0,62.0,18.8,14.8,16.8,99.0
26,2016-12-12,0,13.94375,14.199305555555554,13.246527777777779,92.02083333333331,12.0,13.7,11.1,68.0,20.1,14.8,18.2,99.0
27,2016-12-13,0,13.674305555555561,14.48263888888887,13.320138888888891,98.54166666666669,12.3,14.3,12.2,95.0,16.5,14.8,15.6,99.0
28,2016-12-14,0,14.142361111111109,14.619444444444444,13.49930555555556,90.27777777777777,11.4,14.1,11.4,62.0,21.4,15.5,19.4,99.0
29,2016-12-15,0,12.681944444444444,13.67847222222222,11.825694444444444,87.1875,9.9,13.4,9.7,53.0,15.0,14.1,14.2,99.0
30,2016-12-16,0,12.636805555555556,13.561805555555551,11.751388888888894,90.30555555555556,9.1,13.0,9.5,59.0,16.5,13.8,14.6,99.0
31,2016-12-17,0,13.315277777777776,13.060416666666667,12.57708333333334,92.77777777777777,11.0,11.4,10.4,67.0,18.6,13.4,17.1,99.0
32,2016-12-18,0,14.64097222222222,14.043055555555545,13.919444444444444,94.89583333333331,11.9,13.3,11.6,75.0,22.2,15.1,20.7,99.0
33,2016-12-19,0,15.184027777777768,14.708333333333336,14.582638888888885,95.88888888888887,12.0,14.0,11.8,73.0,23.0,15.9,21.8,99.0
34,2016-12-20,0,14.74375,14.890277777777774,14.309722222222225,98.97916666666669,12.4,14.4,12.5,98.0,19.8,15.6,18.7,99.0
35,2016-12-21,0,15.660416666666665,15.261111111111108,15.11875000000001,96.92361111111113,12.4,14.5,12.3,83.0,23.8,16.4,22.4,99.0
36,2016-12-22,0,15.388194444444444,15.274999999999983,15.06388888888889,99.0,12.7,14.8,12.7,99.0,19.8,15.8,18.7,99.0
37,2016-12-23,0,14.38055555555556,15.419444444444432,14.044444444444444,97.38194444444444,12.5,14.8,12.4,87.0,19.3,15.8,17.7,99.0
38,2016-12-24,0,13.959722222222226,14.78541666666667,13.39375,92.5625,11.9,14.5,11.6,63.0,19.2,15.2,17.6,99.0
39,2016-12-25,0,14.62013888888889,14.687499999999993,13.940972222222214,93.77777777777777,11.2,14.3,11.6,72.0,21.5,15.4,20.0,99.0
40,2016-12-26,0,15.20347222222222,15.032638888888876,14.7125,97.10416666666669,12.0,14.3,12.0,87.0,23.4,16.2,21.6,99.0
41,2016-12-27,0,15.000694444444445,15.286111111111104,14.655555555555555,98.51388888888887,12.4,14.7,12.1,89.0,23.1,16.3,21.7,99.0
42,2016-12-28,0,15.122222222222224,14.947916666666664,14.275694444444447,95.6875,10.7,14.1,10.5,80.0,26.7,16.3,24.5,99.0
43,2016-12-29,0,15.872222222222225,15.257638888888886,15.254166666666665,98.26388888888887,11.9,14.4,11.8,91.0,28.4,16.9,26.8,99.0
44,2016-12-30,0,15.564583333333335,15.050694444444455,14.65347222222223,97.45833333333331,11.4,14.2,11.0,87.0,28.1,16.6,26.3,99.0
45,2016-12-31,0,15.96388888888889,14.731250000000005,15.106250000000005,98.54861111111113,11.7,14.1,11.4,91.0,28.7,16.7,26.8,99.0
46,2017-01-01,0,16.10833333333333,15.144444444444435,15.43819444444444,97.875,11.5,14.3,11.5,79.0,29.1,16.7,27.1,99.0
47,2017-01-02,0,16.4,15.55972222222223,15.778472222222213,98.31944444444444,11.8,14.7,12.0,82.0,29.7,17.1,27.7,99.0
48,2017-01-03,0,15.650000000000002,15.570138888888886,15.136111111111115,97.625,11.7,14.9,12.1,79.0,29.4,16.8,27.6,99.0
49,2017-01-04,0,15.715277777777775,15.534722222222221,15.047916666666666,96.40277777777777,11.9,14.9,11.8,76.0,26.5,16.9,25.2,99.0
50,2017-01-05,0,14.895833333333336,14.906944444444447,13.865277777777774,92.21527777777777,11.5,14.2,11.0,57.0,27.3,16.1,23.8,99.0
