,0
0,0.0013245839
1,0.053638127
2,0.027312703
3,0.015806822
4,0.035858665
5,0.3210952
6,0.35585847
7,0.014931346
8,0.004744835
9,0.089878134
10,0.09280763
11,0.0025456112
12,0.04339584
13,0.1946827
14,0.001542526
15,0.0070838304
16,0.026399855
17,0.6064525
18,0.21076371
19,0.14113934
20,0.023305748
21,0.010362585
22,0.032739155
23,0.046055675
24,0.18150564
25,0.46666273
26,0.756123
27,0.35571712
28,0.05899254
29,0.007294873
30,0.0019872002
31,0.25304067
32,0.01521094
33,0.021173967
34,0.0006789458
35,0.0011806751
36,0.0048946734
37,0.002687708
38,0.032528687
39,0.019917801
40,0.15911181
41,0.053838786
42,0.0066398955
43,0.004194714
44,0.0042113806
45,0.0126626715
46,0.005590203
47,0.0037902312
48,0.003639433
49,0.0041843457
50,0.020744534
51,0.019931713
52,0.017954629
53,0.009215651
54,0.02764415
55,0.089236796
56,0.08557413
57,0.039575774
58,0.21137424
59,0.22718117
60,0.10640711
61,0.167756
62,0.35201123
63,0.004991815
64,0.020728488
65,0.14502719
66,0.092123844
67,0.008872835
68,0.2657242
69,0.009111458
70,0.45858073
71,0.6918892
72,0.45870724
73,0.042453878
74,0.020129137
75,0.0022853208
76,0.016706882
77,0.013678807
78,0.13443601
79,0.4676917
80,0.29861492
81,0.087831825
82,0.014826361
83,0.021476498
84,0.72160596
85,0.48454726
86,0.5531957
87,0.7039047
88,0.11724209
89,0.46750683
90,0.3841666
91,0.21736407
92,0.5318561
93,0.121873
94,0.16931792
95,0.23997092
96,0.08490751
97,0.07008376
98,0.07876841
99,0.10863569
100,0.1339079
101,0.31454584
102,0.12215641
103,0.2262452
104,0.5323016
105,0.8728274
106,0.65475035
107,0.45880052
108,0.20366175
109,0.049634427
110,0.45549285
111,0.06648307
112,0.66431147
113,0.6717335
114,0.51319253
115,0.75424075
116,0.091925345
117,0.1622668
118,0.19788493
119,0.6581516
120,0.27470195
121,0.03283579
122,0.08033071
123,0.18470736
124,0.7802482
125,0.12465486
126,0.0695239
127,0.5802741
128,0.28688592
129,0.21914501
130,0.08531592
131,0.5215398
132,0.10915227
133,0.63764495
134,0.15485989
135,0.099500805
136,0.22188018
137,0.698129
138,0.30147067
139,0.049815018
140,0.025822224
141,0.04007171
142,0.102700055
143,0.07325989
144,0.03286403
145,0.31211096
146,0.69981664
147,0.14819412
148,0.33380926
149,0.08915173
150,0.21481895
151,0.42178684
152,0.9401278
153,0.38776216
154,0.36370566
155,0.32551768
156,0.3943709
157,0.3422235
158,0.42569008
159,0.41552174
160,0.25155878
161,0.3430642
162,0.13604213
163,0.12617944
164,0.49137825
165,0.61511964
166,0.89383155
167,0.99536324
168,0.9888393
169,0.7619052
170,0.3266234
171,0.10256249
172,0.64889145
173,0.054975342
174,0.014489451
175,0.35294995
176,0.23946062
177,0.2980343
178,0.19424868
179,0.88233745
180,0.97084755
181,0.7289278
182,0.015202315
183,0.71675366
184,0.7429687
185,0.12337721
186,0.18158226
187,0.9155659
188,0.88001126
189,0.8907106
190,0.6753942
191,0.97707206
192,0.81171614
193,0.857197
194,0.112360545
195,0.16609967
196,0.40379304
197,0.8538023
198,0.24564923
199,0.08464205
200,0.2081281
201,0.14314085
202,0.16024725
203,0.06078392
204,0.05210526
205,0.06921754
206,0.07974458
207,0.49125692
208,0.34452412
209,0.040881693
210,0.0064482586
211,0.038517345
212,0.07907518
213,0.14537984
214,0.18237755
215,0.21211524
216,0.30526933
217,0.9533534
218,0.7343283
219,0.9247649
220,0.6342771
221,0.16774663
222,0.9308667
223,0.98826575
224,0.9611636
225,0.9929045
226,0.7664017
227,0.28995562
228,0.22196643
229,0.2552083
230,0.4714201
231,0.7999147
232,0.95199794
233,0.88044554
234,0.64912313
235,0.28844246
236,0.94116145
237,0.079710454
238,0.103785105
239,0.9671061
240,0.84513676
241,0.93770397
242,0.9602129
243,0.8431865
244,0.84332013
245,0.96219814
246,0.9324698
247,0.93256277
248,0.8950624
249,0.5963353
250,0.9376021
251,0.856159
252,0.45410043
253,0.18724564
254,0.44102725
255,0.113359995
256,0.83475614
257,0.8202309
258,0.96180254
259,0.97756344
260,0.93703705
261,0.31948256
262,0.21696076
263,0.1282434
264,0.13559285
265,0.039768286
266,0.4924754
267,0.32913598
268,0.86239654
269,0.016917633
270,0.08358964
271,0.032892186
272,0.016037218
273,0.010238691
274,0.0055863555
275,0.01326466
276,0.050114077
277,0.49511847
278,0.44542426
279,0.11997935
280,0.20313545
281,0.23833743
282,0.02071474
283,0.07303345
284,0.077360354
285,0.10757007
286,0.010848346
287,0.0064345836
288,0.13181953
289,0.050122682
290,0.04957079
