,0
0,0.016790638
1,0.0383538
2,0.77551913
3,0.8158034
4,0.33776703
5,0.15421945
6,0.8436559
7,0.5574183
8,0.9356795
9,0.9582006
10,0.9509815
11,0.9629099
12,0.99686986
13,0.60098815
14,0.9226441
15,0.9878379
16,0.9778516
17,0.9585946
18,0.9283648
19,0.99048245
20,0.4028813
21,0.9832865
22,0.94571966
23,0.9551319
24,0.9740457
25,0.99343914
26,0.9967841
27,0.8748944
28,0.9509164
29,0.81149584
30,0.97237724
31,0.9936108
32,0.93416154
33,0.91302687
34,0.448454
35,0.96393526
36,0.9933809
37,0.9909609
38,0.9557332
39,0.9808107
40,0.9962196
41,0.9158151
42,0.94148165
43,0.912466
44,0.96272033
45,0.99482936
46,0.99467635
47,0.88217515
48,0.9791205
49,0.93897074
50,0.87512976
51,0.7689919
52,0.9772628
53,0.38123757
54,0.11052693
55,0.027705425
56,0.0132764485
57,0.02395675
58,0.2003523
59,0.027537005
60,0.1417526
61,0.35453394
62,0.5398617
63,0.4453553
64,0.4063319
65,0.72060204
66,0.16834043
67,0.3357535
68,0.9689603
69,0.28626576
70,0.32154956
71,0.03680499
72,0.33318406
73,0.90721875
74,0.9490065
75,0.46377826
76,0.2825901
77,0.52143365
78,0.69338155
79,0.7353141
80,0.55208457
81,0.009143751
82,0.09259334
83,0.0427093
84,0.019393047
85,0.09084249
86,0.8529555
87,0.060549423
88,0.518995
89,0.014135957
90,0.18497054
91,0.051812824
92,0.17274329
93,0.10136709
94,0.09407595
95,0.7617827
96,0.08538512
97,0.14691424
98,0.061578896
99,0.07385059
100,0.081251904
101,0.04904391
102,0.24588856
103,0.30359358
104,0.70920473
105,0.3035283
106,0.34195808
107,0.19616282
108,0.0921886
109,0.8709489
110,0.81363153
111,0.60922545
112,0.94912064
113,0.7426877
114,0.80216044
115,0.16381478
116,0.14684656
117,0.71169555
118,0.117012665
119,0.90483445
120,0.4073781
121,0.6296937
122,0.7615518
123,0.7455211
124,0.8365675
125,0.95606107
126,0.76579183
127,0.98777825
128,0.9561259
129,0.9213582
130,0.13076682
131,0.122012794
132,0.0031784337
133,0.6963234
134,0.96491265
135,0.488511
136,0.798693
137,0.022214042
138,0.04684668
139,0.9164811
140,0.9434105
141,0.85254294
142,0.88649106
143,0.21647082
144,0.9083253
145,0.97926795
146,0.98063767
147,0.92961866
148,0.4643163
149,0.9634302
150,0.68276054
151,0.50725174
152,0.2793256
153,0.988274
154,0.9868448
155,0.18912491
156,0.967945
157,0.5245167
158,0.2964893
159,0.4546308
160,0.09090023
161,0.28527796
162,0.01739026
163,0.055278
164,0.9699411
165,0.97403926
166,0.92902184
167,0.8514334
168,0.50190544
169,0.96386945
170,0.99105304
171,0.97978747
172,0.97322065
173,0.9720363
174,0.9582214
175,0.9781034
176,0.75226504
177,0.7575299
178,0.9075026
179,0.9478012
180,0.96123934
181,0.9419539
182,0.7182099
183,0.941871
184,0.68358845
185,0.8564497
186,0.9955669
187,0.024120262
188,0.8283254
189,0.10883758
190,0.83841527
191,0.012954122
192,0.027636811
193,0.13472585
194,0.063770756
195,0.020673098
196,0.022111211
197,0.02724407
198,0.085680515
199,0.046950888
200,0.098404475
201,0.09928647
202,0.10470502
203,0.05138905
204,0.042324428
205,0.074552126
206,0.9067811
207,0.7583917
208,0.079379685
209,0.8159427
210,0.27507767
211,0.59473723
212,0.38115615
213,0.086255595
214,0.11865247
215,0.026049566
216,0.17685252
217,0.9690164
218,0.93782705
219,0.44290563
220,0.51063836
221,0.53263986
222,0.26991636
223,0.8400736
224,0.29270244
225,0.85383534
226,0.10301079
