,0
0,0.18889797
1,0.93276393
2,0.15515496
3,0.9460454
4,0.90232503
5,0.9478967
6,0.9979664
7,0.94012433
8,0.9801894
9,0.9150785
10,0.9965379
11,0.6162411
12,0.8927751
13,0.34874544
14,0.8410379
15,0.84377
16,0.98854476
17,0.89935017
18,0.99061733
19,0.5428902
20,0.9907355
21,0.88975763
22,0.90235746
23,0.8913996
24,0.99174
25,0.98904127
26,0.97114146
27,0.9408295
28,0.8650893
29,0.8180892
30,0.872573
31,0.7627998
32,0.69928217
33,0.9024317
34,0.99473095
35,0.9342079
36,0.74492383
37,0.9829297
38,0.9347784
39,0.99651587
40,0.9889998
41,0.99007416
42,0.9308413
43,0.9408728
44,0.9734542
45,0.77287674
46,0.84389454
47,0.14742666
48,0.14845318
49,0.7340677
50,0.9755515
51,0.99897754
52,0.9957488
53,0.25058597
54,0.71316767
55,0.07905379
56,0.100723416
57,0.03384823
58,0.040047515
59,0.05733633
60,0.036152344
61,0.017601082
62,0.032155234
63,0.03471544
64,0.029969549
65,0.006436157
66,0.13673897
67,0.03791812
68,0.0012239174
69,0.0042449194
70,0.003084233
71,0.003961982
72,0.0091620395
73,0.04903899
74,0.05537749
75,0.02263036
76,0.004633928
77,0.006809024
78,0.024631057
79,0.12709907
80,0.91207725
81,0.5813371
82,0.39247534
83,0.9990865
84,0.6655753
85,0.9816799
86,0.9962191
87,0.98449373
88,0.89075345
89,0.19016005
90,0.8380407
91,0.9735343
92,0.9851163
93,0.9462833
94,0.14793657
95,0.086328514
96,0.3464112
97,0.99377865
98,0.9926588
99,0.9952448
100,0.6614598
101,0.044488337
102,0.025217073
103,0.1523177
104,0.4327647
105,0.07244477
106,0.687887
107,0.92046356
108,0.76132226
109,0.86312044
110,0.15533844
111,0.86863565
112,0.5096065
113,0.98189527
114,0.24439847
115,0.4292221
116,0.29358307
117,0.20171075
118,0.85833424
119,0.2667379
120,0.8625371
121,0.5064309
122,0.8318307
123,0.89159113
124,0.8784435
125,0.95488214
126,0.8745591
127,0.6463587
128,0.11617278
129,0.21083497
130,0.55036837
131,0.2185374
132,0.99394035
133,0.8357402
134,0.95926344
135,0.93708354
136,0.9106734
137,0.8592282
138,0.99690765
139,0.995069
140,0.785642
141,0.37402955
142,0.8471784
143,0.67490536
144,0.9191894
145,0.8392561
146,0.85159385
147,0.99534553
148,0.99321556
149,0.99726784
150,0.99439275
151,0.9990656
152,0.9989489
153,0.9960608
154,0.6952159
155,0.45620868
156,0.9430113
157,0.9083703
158,0.96815586
159,0.96545905
160,0.9691309
161,0.95307535
162,0.42042968
163,0.79998326
164,0.9747902
165,0.9802239
166,0.98627704
167,0.6308528
168,0.47407135
169,0.48205078
170,0.07844057
171,0.11179926
172,0.87191665
173,0.8670181
174,0.9933674
175,0.9927406
176,0.99843603
177,0.9978073
178,0.99859303
179,0.99871814
180,0.9058432
181,0.64661396
182,0.3831152
183,0.7900198
184,0.88876116
185,0.8448466
186,0.65628463
187,0.35554302
188,0.34776813
189,0.36204025
190,0.5930985
191,0.967368
192,0.66193396
193,0.90772706
194,0.8012657
195,0.39833218
196,0.37255627
197,0.63593054
198,0.61873996
199,0.2850429
200,0.15264128
201,0.89037687
202,0.99151176
203,0.9908501
204,0.635322
205,0.94154483
206,0.5393352
207,0.5178086
208,0.5976172
209,0.6390867
210,0.8941528
211,0.91204375
212,0.44806814
213,0.742396
214,0.9339472
215,0.77749336
216,0.6944429
217,0.834856
218,0.46428457
219,0.10116003
220,0.4464096
221,0.5381263
222,0.18886146
223,0.37144986
224,0.6401809
225,0.5850681
226,0.8184267
227,0.6999908
228,0.40128946
229,0.116630934
230,0.4818758
231,0.5556954
232,0.8036002
233,0.17185773
234,0.042294633
235,0.037929986
236,0.08607102
237,0.3818467
238,0.35096645
239,0.40461165
240,0.6449964
241,0.9578672
242,0.9902018
243,0.956138
244,0.9224383
245,0.86960965
246,0.7772799
247,0.9952205
248,0.99852365
249,0.99375147
250,0.9853064
251,0.9808384
252,0.88236713
253,0.9856989
254,0.999323
255,0.9967525
256,0.98671573
257,0.9245696
258,0.9581392
259,0.9945529
260,0.9994747
261,0.9988418
262,0.9978497
263,0.99383
264,0.9835925
265,0.8964073
266,0.8418984
267,0.9601452
268,0.7904795
269,0.8458394
270,0.9740046
271,0.99814546
272,0.99695575
273,0.9800212
274,0.82484806
275,0.8878653
276,0.8977636
277,0.65239495
278,0.22950847
279,0.15693256
280,0.060865883
281,0.10295754
282,0.06693231
283,0.043851912
284,0.049056362
285,0.0362361
286,0.061728276
287,0.42757562
288,0.0364563
289,0.012572772
290,0.005381961
291,0.005687689
292,0.04763466
293,0.16167493
294,0.02415689
295,0.005212945
