,0
0,0.6450813
1,0.90811807
2,0.0066425917
3,0.86207086
4,0.773826
5,0.2909866
6,0.99849117
7,0.9952011
8,0.99037
9,0.9886263
10,0.9970234
11,0.891571
12,0.9956785
13,0.13432233
14,0.11000763
15,0.22346452
16,0.99013793
17,0.98153275
18,0.9979358
19,0.9739363
20,0.9991062
21,0.9885367
22,0.98507106
23,0.9948119
24,0.9647422
25,0.97847474
26,0.9932854
27,0.46484005
28,0.9838791
29,0.82227004
30,0.11654565
31,0.8580836
32,0.12924
33,0.08286045
34,0.986922
35,0.5458214
36,0.9995128
37,0.9814951
38,0.9829851
39,0.986419
40,0.9894817
41,0.98069155
42,0.98733985
43,0.9974457
44,0.99878234
45,0.99348587
46,0.8324041
47,0.028233819
48,0.020071806
49,0.37517026
50,0.5481652
51,0.99903667
52,0.9995396
53,0.96540815
54,0.09535125
55,0.795461
56,0.0045711533
57,0.010172543
58,0.023437072
59,0.004138765
60,0.011392388
61,0.008279903
62,0.0017516528
63,0.047729544
64,0.016959662
65,0.02564599
66,0.002151685
67,0.012422949
68,0.0029156709
69,0.0022163666
70,0.00064302183
71,0.0046031117
72,0.017421355
73,0.049298536
74,0.019552525
75,0.04711007
76,0.001821235
77,0.009473454
78,0.04379901
79,0.09273006
80,0.05840797
81,0.11978941
82,0.1608952
83,0.867325
84,0.84954363
85,0.8952659
86,0.9980071
87,0.99856806
88,0.8487749
89,0.8265427
90,0.46097383
91,0.6344393
92,0.72306305
93,0.75397265
94,0.96920145
95,0.6891317
96,0.35295674
97,0.24562147
98,0.9741281
99,0.99191976
100,0.9960407
101,0.9947044
102,0.017886251
103,0.0015657464
104,0.74877465
105,0.96378875
106,0.021439072
107,0.25426337
108,0.9563591
109,0.4406161
110,0.09714216
111,0.62688917
112,0.9630064
113,0.20315929
114,0.7114139
115,0.6320311
116,0.37335265
117,0.51742524
118,0.8991073
119,0.8890627
120,0.91782266
121,0.8167505
122,0.6171279
123,0.9770504
124,0.6059339
125,0.5630305
126,0.71886146
127,0.48842037
128,0.8357735
129,0.8870089
130,0.6300157
131,0.9967583
132,0.89794964
133,0.90619427
134,0.6245577
135,0.81529456
136,0.9983615
137,0.973476
138,0.98067826
139,0.9919944
140,0.9455328
141,0.98056936
142,0.45448285
143,0.44397992
144,0.97214276
145,0.15167743
146,0.9339816
147,0.96711135
148,0.99257636
149,0.8803857
150,0.8257046
151,0.9601151
152,0.99600667
153,0.9898358
154,0.9392394
155,0.8362301
156,0.9838255
157,0.059601262
158,0.6594657
159,0.97456545
160,0.3061229
161,0.97925687
162,0.9960497
163,0.9240196
164,0.23269427
165,0.83247256
166,0.9986014
167,0.9832534
168,0.78368306
169,0.8788321
170,0.9038369
171,0.23948887
172,0.35907632
173,0.89521635
174,0.8431228
175,0.947192
176,0.9944601
177,0.9897283
178,0.9955888
179,0.9835706
180,0.9899609
181,0.99444073
182,0.62950325
183,0.4074869
184,0.7209722
185,0.9393354
186,0.98225963
187,0.62898237
188,0.6004996
189,0.92054003
190,0.97918165
191,0.76760733
192,0.03193106
193,0.62349904
194,0.86905634
195,0.46192375
196,0.06651264
197,0.49572936
198,0.010879166
199,0.29371476
200,0.16504435
201,0.24695031
202,0.06171441
203,0.22220066
204,0.8476475
205,0.9973853
206,0.83701366
207,0.9917892
208,0.8452435
209,0.1584733
210,0.34839088
211,0.68309474
212,0.36950308
213,0.9852691
214,0.5215267
215,0.2964577
216,0.98582524
217,0.5982588
218,0.5594865
219,0.14568645
220,0.8072244
221,0.51480335
222,0.075238764
223,0.1741764
224,0.8072244
225,0.7325357
226,0.28248644
227,0.44409227
228,0.9724166
229,0.22290161
230,0.79580003
231,0.6624709
232,0.37594238
233,0.057196982
234,0.98739314
235,0.075505465
236,0.35672426
237,0.01729721
238,0.21684776
239,0.07848892
240,0.57367104
241,0.062886044
242,0.16860132
243,0.42289373
244,0.94305676
245,0.67293227
246,0.979038
247,0.9814293
248,0.79234505
249,0.9697369
250,0.9986368
251,0.9954983
252,0.9896836
253,0.97747654
254,0.9975962
255,0.40385827
256,0.9975962
257,0.9852335
258,0.9963665
259,0.9746723
260,0.9714451
261,0.99252784
262,0.9971717
263,0.99853456
264,0.99854136
265,0.9937721
266,0.9975817
267,0.99805874
268,0.6132623
269,0.9862643
270,0.767818
271,0.95425534
272,0.99338996
273,0.9924852
274,0.99859613
275,0.9979202
276,0.83732766
277,0.9621775
278,0.92299503
279,0.9789155
280,0.9870559
281,0.09255879
282,0.43203136
283,0.26587313
284,0.48110747
285,0.5038118
286,0.090204924
287,0.25135177
288,0.011370421
289,0.20881256
290,0.8901253
291,0.07600245
292,0.0053919656
293,0.024432765
294,0.009006322
295,0.9376731
296,0.030895201
297,0.08981645
298,0.0016610008
